energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.248099e+00,2.616299e+01
7.216461e+01,1.031199e+00,3.217238e+01
7.439616e+01,8.836149e-01,3.813718e+01
7.669672e+01,7.778146e-01,4.399572e+01
7.906841e+01,6.983953e-01,4.974929e+01
8.151345e+01,6.369471e-01,5.537488e+01
8.403409e+01,5.881417e-01,6.087014e+01
8.663268e+01,5.485283e-01,6.623917e+01
8.931163e+01,5.157830e-01,7.149048e+01
9.207342e+01,4.885884e-01,7.657809e+01
9.492061e+01,4.660974e-01,8.142703e+01
9.785584e+01,4.475142e-01,8.599437e+01
1.008818e+02,4.322394e-01,9.023704e+01
1.040014e+02,4.195388e-01,9.419353e+01
1.072175e+02,4.087099e-01,9.795104e+01
1.105329e+02,3.994148e-01,1.015308e+02
1.139510e+02,3.912397e-01,1.050083e+02
1.174747e+02,3.839026e-01,1.084413e+02
1.211073e+02,3.772752e-01,1.118461e+02
1.248524e+02,3.713936e-01,1.151754e+02
1.287132e+02,3.662665e-01,1.183893e+02
1.326934e+02,3.621448e-01,1.213247e+02
1.367967e+02,3.590937e-01,1.238943e+02
1.410268e+02,3.570475e-01,1.260798e+02
1.453878e+02,3.558046e-01,1.279492e+02
1.498836e+02,3.552110e-01,1.295598e+02
1.545185e+02,3.551593e-01,1.309536e+02
1.592967e+02,3.556183e-01,1.321327e+02
1.642226e+02,3.566132e-01,1.330673e+02
1.693009e+02,3.579780e-01,1.338535e+02
1.745362e+02,3.596575e-01,1.345201e+02
1.799334e+02,3.618934e-01,1.348992e+02
1.854975e+02,3.646951e-01,1.349777e+02
1.912336e+02,3.680483e-01,1.347618e+02
1.971471e+02,3.718792e-01,1.343026e+02
2.032435e+02,3.761246e-01,1.336464e+02
2.095284e+02,3.807686e-01,1.328078e+02
2.160077e+02,3.857954e-01,1.318027e+02
2.226873e+02,3.911676e-01,1.306631e+02
2.295735e+02,3.968552e-01,1.294163e+02
2.366726e+02,4.028462e-01,1.280765e+02
2.439912e+02,4.091280e-01,1.266586e+02
2.515362e+02,4.156930e-01,1.251737e+02
2.593144e+02,4.225414e-01,1.236278e+02
2.673332e+02,4.296855e-01,1.220180e+02
2.756000e+02,4.371082e-01,1.203629e+02
2.841224e+02,4.447876e-01,1.186840e+02
2.929083e+02,4.527221e-01,1.169881e+02
3.019659e+02,4.608955e-01,1.152910e+02
3.113036e+02,4.693072e-01,1.135983e+02
3.209301e+02,4.779565e-01,1.119149e+02
3.308542e+02,4.868286e-01,1.102551e+02
3.410852e+02,4.959243e-01,1.086225e+02
3.516326e+02,5.052310e-01,1.070283e+02
3.625062e+02,5.147383e-01,1.054831e+02
3.737160e+02,5.244433e-01,1.039904e+02
3.852724e+02,5.343473e-01,1.025531e+02
3.971862e+02,5.444453e-01,1.011751e+02
4.094684e+02,5.547373e-01,9.985832e+01
4.221304e+02,5.652282e-01,9.860289e+01
4.351840e+02,5.759162e-01,9.740949e+01
4.486412e+02,5.868238e-01,9.626702e+01
4.625145e+02,5.979520e-01,9.517499e+01
4.768169e+02,6.093102e-01,9.413173e+01
4.915615e+02,6.209085e-01,9.313197e+01
5.067621e+02,6.327510e-01,9.217534e+01
5.224327e+02,6.448507e-01,9.125692e+01
5.385879e+02,6.572181e-01,9.037395e+01
5.552427e+02,6.698562e-01,8.952558e+01
5.724125e+02,6.827886e-01,8.870215e+01
5.901132e+02,6.960248e-01,8.790016e+01
6.083613e+02,7.095756e-01,8.711909e+01
6.271737e+02,7.234462e-01,8.635861e+01
6.465678e+02,7.376464e-01,8.561477e+01
6.665617e+02,7.521931e-01,8.488506e+01
6.871738e+02,7.670937e-01,8.416951e+01
7.084233e+02,7.823565e-01,8.346761e+01
7.303299e+02,7.979954e-01,8.277234e+01
7.529139e+02,8.140411e-01,8.207905e+01
7.761963e+02,8.304906e-01,8.138820e+01
8.001987e+02,8.473579e-01,8.069978e+01
8.249432e+02,8.646675e-01,8.001061e+01
8.504530e+02,8.824268e-01,7.931656e+01
8.767516e+02,9.006472e-01,7.861748e+01
9.038634e+02,9.193452e-01,7.791350e+01
9.318136e+02,9.385379e-01,7.720308e+01
9.606281e+02,9.582440e-01,7.648500e+01
9.903337e+02,9.784727e-01,7.576004e+01
1.020958e+03,9.992340e-01,7.502841e+01
1.052529e+03,1.020532e+00,7.429097e+01
1.085076e+03,1.042404e+00,7.354724e+01
1.118630e+03,1.064860e+00,7.279770e+01
1.153222e+03,1.087896e+00,7.204337e+01
1.188883e+03,1.111537e+00,7.128388e+01
1.225647e+03,1.135797e+00,7.051968e+01
1.263547e+03,1.160717e+00,6.975061e+01
1.302620e+03,1.186302e+00,6.897747e+01
1.342901e+03,1.212555e+00,6.819886e+01
1.384428e+03,1.239502e+00,6.741160e+01
1.427238e+03,1.267175e+00,6.661616e+01
1.471373e+03,1.295596e+00,6.581355e+01
1.516872e+03,1.324747e+00,6.500583e+01
1.563779e+03,1.354696e+00,6.419237e+01
1.612135e+03,1.385442e+00,6.337493e+01
1.661988e+03,1.417009e+00,6.255203e+01
1.713381e+03,1.449456e+00,6.172401e+01
1.766364e+03,1.482748e+00,6.089227e+01
1.820986e+03,1.516953e+00,6.005452e+01
1.877296e+03,1.552051e+00,5.921121e+01
1.935348e+03,1.588104e+00,5.836259e+01
1.995195e+03,1.625089e+00,5.750976e+01
2.056892e+03,1.663075e+00,5.665217e+01
2.120497e+03,1.702110e+00,5.579049e+01
2.186070e+03,1.742244e+00,5.492255e+01
