energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.801132e+00,8.524319e+00
7.216461e+01,3.303496e+00,9.939800e+00
7.439616e+01,2.958421e+00,1.124398e+01
7.669672e+01,2.708543e+00,1.243662e+01
7.906841e+01,2.521325e+00,1.352392e+01
8.151345e+01,2.377818e+00,1.451039e+01
8.403409e+01,2.266080e+00,1.540072e+01
8.663268e+01,2.177997e+00,1.620160e+01
8.931163e+01,2.108022e+00,1.691947e+01
9.207342e+01,2.052157e+00,1.756141e+01
9.492061e+01,2.007306e+00,1.813631e+01
9.785584e+01,1.971436e+00,1.864933e+01
1.008818e+02,1.943223e+00,1.910238e+01
1.040014e+02,1.921600e+00,1.949778e+01
1.072175e+02,1.905596e+00,1.983967e+01
1.105329e+02,1.894352e+00,2.013329e+01
1.139510e+02,1.887201e+00,2.038315e+01
1.174747e+02,1.883668e+00,2.059239e+01
1.211073e+02,1.883367e+00,2.076390e+01
1.248524e+02,1.886023e+00,2.089958e+01
1.287132e+02,1.891460e+00,2.100040e+01
1.326934e+02,1.899448e+00,2.106877e+01
1.367967e+02,1.909788e+00,2.110712e+01
1.410268e+02,1.922312e+00,2.111773e+01
1.453878e+02,1.936875e+00,2.110279e+01
1.498836e+02,1.953359e+00,2.106430e+01
1.545185e+02,1.971664e+00,2.100409e+01
1.592967e+02,1.991706e+00,2.092388e+01
1.642226e+02,2.013417e+00,2.082526e+01
1.693009e+02,2.036739e+00,2.070971e+01
1.745362e+02,2.061622e+00,2.057862e+01
1.799334e+02,2.088028e+00,2.043329e+01
1.854975e+02,2.115923e+00,2.027493e+01
1.912336e+02,2.145283e+00,2.010468e+01
1.971471e+02,2.176087e+00,1.992358e+01
2.032435e+02,2.208345e+00,1.973215e+01
2.095284e+02,2.242073e+00,1.953076e+01
2.160077e+02,2.277261e+00,1.932040e+01
2.226873e+02,2.313902e+00,1.910201e+01
2.295735e+02,2.351993e+00,1.887646e+01
2.366726e+02,2.391536e+00,1.864456e+01
2.439912e+02,2.432534e+00,1.840707e+01
2.515362e+02,2.474993e+00,1.816470e+01
2.593144e+02,2.518924e+00,1.791810e+01
2.673332e+02,2.564339e+00,1.766788e+01
2.756000e+02,2.611256e+00,1.741453e+01
2.841224e+02,2.659690e+00,1.715864e+01
