energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.466114e+00,9.372117e+00
7.216461e+01,2.954468e+00,1.115539e+01
7.439616e+01,2.597734e+00,1.286975e+01
7.669672e+01,2.339143e+00,1.449327e+01
7.906841e+01,2.144890e+00,1.602269e+01
8.151345e+01,1.994882e+00,1.745849e+01
8.403409e+01,1.876604e+00,1.880210e+01
8.663268e+01,1.781829e+00,2.005606e+01
8.931163e+01,1.704958e+00,2.122336e+01
9.207342e+01,1.642048e+00,2.230728e+01
9.492061e+01,1.590249e+00,2.331123e+01
9.785584e+01,1.547464e+00,2.423843e+01
1.008818e+02,1.512435e+00,2.508495e+01
1.040014e+02,1.484130e+00,2.584838e+01
1.072175e+02,1.461485e+00,2.653279e+01
1.105329e+02,1.443638e+00,2.714291e+01
1.139510e+02,1.429913e+00,2.768313e+01
1.174747e+02,1.419771e+00,2.815756e+01
1.211073e+02,1.412767e+00,2.857042e+01
1.248524e+02,1.408510e+00,2.892653e+01
1.287132e+02,1.406704e+00,2.922969e+01
1.326934e+02,1.407112e+00,2.948317e+01
1.367967e+02,1.409563e+00,2.968917e+01
1.410268e+02,1.413893e+00,2.985053e+01
1.453878e+02,1.419993e+00,2.996895e+01
1.498836e+02,1.427767e+00,3.004623e+01
1.545185e+02,1.437134e+00,3.008411e+01
1.592967e+02,1.448021e+00,3.008456e+01
1.642226e+02,1.460302e+00,3.005184e+01
1.693009e+02,1.473889e+00,2.998912e+01
1.745362e+02,1.488713e+00,2.989924e+01
1.799334e+02,1.504716e+00,2.978466e+01
1.854975e+02,1.521862e+00,2.964720e+01
1.912336e+02,1.540119e+00,2.948873e+01
1.971471e+02,1.559470e+00,2.931046e+01
2.032435e+02,1.577399e+00,2.921503e+01
2.095284e+02,1.595051e+00,2.915388e+01
2.160077e+02,1.613408e+00,2.908827e+01
2.226873e+02,1.631766e+00,2.904702e+01
2.295735e+02,1.650351e+00,2.902100e+01
2.366726e+02,1.668840e+00,2.902399e+01
2.439912e+02,1.687443e+00,2.904696e+01
2.515362e+02,1.706693e+00,2.906755e+01
2.593144e+02,1.726711e+00,2.908080e+01
2.673332e+02,1.747349e+00,2.909347e+01
2.756000e+02,1.769353e+00,2.907340e+01
2.841224e+02,1.792667e+00,2.902414e+01
2.929083e+02,1.816914e+00,2.896302e+01
3.019659e+02,1.841988e+00,2.889538e+01
3.113036e+02,1.867998e+00,2.881704e+01
3.209301e+02,1.895121e+00,2.872115e+01
3.308542e+02,1.922896e+00,2.862894e+01
3.410852e+02,1.951537e+00,2.853155e+01
3.516326e+02,1.981598e+00,2.840520e+01
3.625062e+02,2.013309e+00,2.824159e+01
3.737160e+02,2.046278e+00,2.805985e+01
3.852724e+02,2.080510e+00,2.786128e+01
3.971862e+02,2.116017e+00,2.764685e+01
4.094684e+02,2.152811e+00,2.741779e+01
4.221304e+02,2.190881e+00,2.717602e+01
4.351840e+02,2.230239e+00,2.692273e+01
4.486412e+02,2.270899e+00,2.665879e+01
4.625145e+02,2.312921e+00,2.638356e+01
4.768169e+02,2.356320e+00,2.609792e+01
4.915615e+02,2.401110e+00,2.580306e+01
5.067621e+02,2.447306e+00,2.550002e+01
5.224327e+02,2.494957e+00,2.518896e+01
5.385879e+02,2.544069e+00,2.487097e+01
5.552427e+02,2.594672e+00,2.454680e+01
5.724125e+02,2.646805e+00,2.421707e+01
5.901132e+02,2.700469e+00,2.388283e+01
6.083613e+02,2.755709e+00,2.354456e+01
6.271737e+02,2.812563e+00,2.320268e+01
6.465678e+02,2.871051e+00,2.285793e+01
6.665617e+02,2.931232e+00,2.251064e+01
6.871738e+02,2.993107e+00,2.216174e+01
7.084233e+02,3.056718e+00,2.181170e+01
7.303299e+02,3.122135e+00,2.146068e+01
7.529139e+02,3.189366e+00,2.110925e+01
7.761963e+02,3.258481e+00,2.075731e+01
8.001987e+02,3.329498e+00,2.040559e+01
8.249432e+02,3.402500e+00,2.005413e+01
8.504530e+02,3.477487e+00,1.970373e+01
8.767516e+02,3.554517e+00,1.935465e+01
9.038634e+02,3.633650e+00,1.900714e+01
9.318136e+02,3.714956e+00,1.866137e+01
9.606281e+02,3.798419e+00,1.831801e+01
9.903337e+02,3.884166e+00,1.797682e+01
