energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.569591e+01,9.089339e-01
7.216461e+01,3.065533e+01,1.073388e+00
7.439616e+01,2.711621e+01,1.230500e+00
7.669672e+01,2.450207e+01,1.380693e+00
7.906841e+01,2.249897e+01,1.524308e+00
8.151345e+01,2.093050e+01,1.660771e+00
8.403409e+01,1.968341e+01,1.789533e+00
8.663268e+01,1.867444e+01,1.910957e+00
8.931163e+01,1.784691e+01,2.025405e+00
9.207342e+01,1.716100e+01,2.133210e+00
9.492061e+01,1.658912e+01,2.234482e+00
9.785584e+01,1.611092e+01,2.329288e+00
1.008818e+02,1.570981e+01,2.417912e+00
1.040014e+02,1.537300e+01,2.500634e+00
1.072175e+02,1.508974e+01,2.577903e+00
1.105329e+02,1.484883e+01,2.650816e+00
1.139510e+02,1.464402e+01,2.719741e+00
1.174747e+02,1.447097e+01,2.784830e+00
1.211073e+02,1.432426e+01,2.846754e+00
1.248524e+02,1.419453e+01,2.907654e+00
1.287132e+02,1.407935e+01,2.967891e+00
1.326934e+02,1.397880e+01,3.027108e+00
1.367967e+02,1.389791e+01,3.083199e+00
1.410268e+02,1.383650e+01,3.135716e+00
1.453878e+02,1.380094e+01,3.181756e+00
1.498836e+02,1.379454e+01,3.219409e+00
1.545185e+02,1.381971e+01,3.247072e+00
1.592967e+02,1.387674e+01,3.264074e+00
1.642226e+02,1.395406e+01,3.274816e+00
1.693009e+02,1.404599e+01,3.281506e+00
1.745362e+02,1.414812e+01,3.285959e+00
1.799334e+02,1.425746e+01,3.289442e+00
1.854975e+02,1.437347e+01,3.292187e+00
1.912336e+02,1.449472e+01,3.294849e+00
1.971471e+02,1.462085e+01,3.297592e+00
2.032435e+02,1.429761e+01,3.517712e+00
2.095284e+02,1.379305e+01,3.848209e+00
2.160077e+02,1.329419e+01,4.208164e+00
2.226873e+02,1.271991e+01,4.654416e+00
2.295735e+02,1.212835e+01,5.165439e+00
2.366726e+02,1.150441e+01,5.768214e+00
2.439912e+02,1.089079e+01,6.442261e+00
2.515362e+02,1.034086e+01,7.137132e+00
2.593144e+02,9.856222e+00,7.839208e+00
2.673332e+02,9.417507e+00,8.561528e+00
2.756000e+02,9.062975e+00,9.230730e+00
2.841224e+02,8.774190e+00,9.850530e+00
2.929083e+02,8.521116e+00,1.045701e+01
3.019659e+02,8.293694e+00,1.106061e+01
3.113036e+02,8.093159e+00,1.165093e+01
3.209301e+02,7.923326e+00,1.220989e+01
3.308542e+02,7.762630e+00,1.278419e+01
3.410852e+02,7.617721e+00,1.335326e+01
3.516326e+02,7.504731e+00,1.386202e+01
3.625062e+02,7.426155e+00,1.429003e+01
3.737160e+02,7.365675e+00,1.468013e+01
3.852724e+02,7.320790e+00,1.503565e+01
3.971862e+02,7.289813e+00,1.535777e+01
4.094684e+02,7.271493e+00,1.564782e+01
4.221304e+02,7.264207e+00,1.590880e+01
4.351840e+02,7.267049e+00,1.614226e+01
4.486412e+02,7.279402e+00,1.634882e+01
4.625145e+02,7.301167e+00,1.652682e+01
4.768169e+02,7.332047e+00,1.667665e+01
4.915615e+02,7.371248e+00,1.680030e+01
5.067621e+02,7.418763e+00,1.689809e+01
5.224327e+02,7.473649e+00,1.697181e+01
