energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.811625e+00,1.783812e+01
7.216461e+01,1.615120e+00,2.023982e+01
7.439616e+01,1.485525e+00,2.224095e+01
7.669672e+01,1.398743e+00,2.384934e+01
7.906841e+01,1.340178e+00,2.510686e+01
8.151345e+01,1.299871e+00,2.608808e+01
8.403409e+01,1.272211e+00,2.684523e+01
8.663268e+01,1.253760e+00,2.741737e+01
8.931163e+01,1.242274e+00,2.783510e+01
9.207342e+01,1.236204e+00,2.812343e+01
9.492061e+01,1.234490e+00,2.830173e+01
9.785584e+01,1.236496e+00,2.838179e+01
1.008818e+02,1.241569e+00,2.837941e+01
1.040014e+02,1.248994e+00,2.831519e+01
1.072175e+02,1.258335e+00,2.820227e+01
1.105329e+02,1.269331e+00,2.804896e+01
1.139510e+02,1.281756e+00,2.786303e+01
1.174747e+02,1.295484e+00,2.764909e+01
1.211073e+02,1.310421e+00,2.741094e+01
1.248524e+02,1.326497e+00,2.715164e+01
1.287132e+02,1.343610e+00,2.687558e+01
1.326934e+02,1.361632e+00,2.658801e+01
1.367967e+02,1.380427e+00,2.629446e+01
1.410268e+02,1.399922e+00,2.599826e+01
1.453878e+02,1.420124e+00,2.569976e+01
1.498836e+02,1.440987e+00,2.540121e+01
1.545185e+02,1.462379e+00,2.510790e+01
1.592967e+02,1.484190e+00,2.482417e+01
1.642226e+02,1.505887e+00,2.456946e+01
1.693009e+02,1.523914e+00,2.447130e+01
1.745362e+02,1.521447e+00,2.514795e+01
1.799334e+02,1.499662e+00,2.660343e+01
1.854975e+02,1.473967e+00,2.830155e+01
1.912336e+02,1.447257e+00,3.014468e+01
1.971471e+02,1.420574e+00,3.209724e+01
2.032435e+02,1.395389e+00,3.409094e+01
2.095284e+02,1.372415e+00,3.608138e+01
2.160077e+02,1.352358e+00,3.801547e+01
2.226873e+02,1.335476e+00,3.985808e+01
2.295735e+02,1.321934e+00,4.157709e+01
2.366726e+02,1.312953e+00,4.306744e+01
2.439912e+02,1.308426e+00,4.430833e+01
2.515362e+02,1.308070e+00,4.529663e+01
2.593144e+02,1.311318e+00,4.605705e+01
2.673332e+02,1.317672e+00,4.661592e+01
2.756000e+02,1.326726e+00,4.699793e+01
