energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.344991e+00,1.391012e+01
7.216461e+01,1.932435e+00,1.715675e+01
7.439616e+01,1.644119e+00,2.049833e+01
7.669672e+01,1.432031e+00,2.392482e+01
7.906841e+01,1.269970e+00,2.742772e+01
8.151345e+01,1.142454e+00,3.099960e+01
8.403409e+01,1.039770e+00,3.463347e+01
8.663268e+01,9.556237e-01,3.831788e+01
8.931163e+01,8.856503e-01,4.204269e+01
9.207342e+01,8.267272e-01,4.579953e+01
9.492061e+01,7.765697e-01,4.958124e+01
9.785584e+01,7.334938e-01,5.337973e+01
1.008818e+02,6.962570e-01,5.718333e+01
1.040014e+02,6.638670e-01,6.098342e+01
1.072175e+02,6.355342e-01,6.477294e+01
1.105329e+02,6.106267e-01,6.854599e+01
1.139510e+02,5.886301e-01,7.229824e+01
1.174747e+02,5.691227e-01,7.602670e+01
1.211073e+02,5.518406e-01,7.971306e+01
1.248524e+02,5.365397e-01,8.334299e+01
1.287132e+02,5.229798e-01,8.690994e+01
1.326934e+02,5.109507e-01,9.040997e+01
1.367967e+02,5.002680e-01,9.384175e+01
1.410268e+02,4.907619e-01,9.720842e+01
1.453878e+02,4.823472e-01,1.004957e+02
1.498836e+02,4.750484e-01,1.036570e+02
1.545185e+02,4.687888e-01,1.066774e+02
1.592967e+02,4.635964e-01,1.095081e+02
1.642226e+02,4.594152e-01,1.121304e+02
1.693009e+02,4.561887e-01,1.145302e+02
1.745362e+02,4.538316e-01,1.167101e+02
1.799334e+02,4.523472e-01,1.186401e+02
1.854975e+02,4.517887e-01,1.202705e+02
1.912336e+02,4.521861e-01,1.215621e+02
1.971471e+02,4.537959e-01,1.223726e+02
2.032435e+02,4.568280e-01,1.225808e+02
2.095284e+02,4.611107e-01,1.222583e+02
2.160077e+02,4.663870e-01,1.215294e+02
2.226873e+02,4.724878e-01,1.204818e+02
2.295735e+02,4.792674e-01,1.191951e+02
2.366726e+02,4.866054e-01,1.177373e+02
2.439912e+02,4.943785e-01,1.161773e+02
2.515362e+02,5.025282e-01,1.145504e+02
2.593144e+02,5.110318e-01,1.128740e+02
2.673332e+02,5.198676e-01,1.111642e+02
2.756000e+02,5.290130e-01,1.094374e+02
2.841224e+02,5.384553e-01,1.077043e+02
2.929083e+02,5.481823e-01,1.059752e+02
3.019659e+02,5.581919e-01,1.042551e+02
3.113036e+02,5.684755e-01,1.025518e+02
