energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,6.704902e+01,4.844915e-01
7.216461e+01,5.723434e+01,5.757785e-01
7.439616e+01,5.036909e+01,6.636213e-01
7.669672e+01,4.531148e+01,7.481595e-01
7.906841e+01,4.144234e+01,8.295217e-01
8.151345e+01,3.839695e+01,9.078224e-01
8.403409e+01,3.595557e+01,9.828730e-01
8.663268e+01,3.397620e+01,1.054316e+00
8.931163e+01,3.234855e+01,1.122271e+00
9.207342e+01,3.099484e+01,1.186869e+00
9.492061e+01,2.985888e+01,1.248236e+00
9.785584e+01,2.891992e+01,1.305289e+00
1.008818e+02,2.816643e+01,1.356619e+00
1.040014e+02,2.756441e+01,1.402488e+00
1.072175e+02,2.708641e+01,1.443279e+00
1.105329e+02,2.670672e+01,1.479722e+00
1.139510e+02,2.640748e+01,1.512339e+00
1.174747e+02,2.617789e+01,1.541346e+00
1.211073e+02,2.600771e+01,1.567081e+00
1.248524e+02,2.588330e+01,1.590353e+00
1.287132e+02,2.579515e+01,1.611759e+00
1.326934e+02,2.572019e+01,1.633352e+00
1.367967e+02,2.565479e+01,1.655452e+00
1.410268e+02,2.560226e+01,1.677685e+00
1.453878e+02,2.552895e+01,1.703753e+00
1.498836e+02,2.183136e+01,2.213004e+00
1.545185e+02,1.887087e+01,2.780723e+00
1.592967e+02,1.651778e+01,3.395501e+00
1.642226e+02,1.461261e+01,4.058313e+00
1.693009e+02,1.304910e+01,4.768597e+00
1.745362e+02,1.174740e+01,5.527540e+00
1.799334e+02,1.068134e+01,6.312188e+00
1.854975e+02,9.808281e+00,7.108445e+00
1.912336e+02,9.081760e+00,7.915200e+00
1.971471e+02,8.468325e+00,8.732270e+00
2.032435e+02,7.944161e+00,9.559317e+00
2.095284e+02,7.491837e+00,1.039576e+01
2.160077e+02,7.099618e+00,1.123786e+01
2.226873e+02,6.757652e+00,1.208346e+01
2.295735e+02,6.457026e+00,1.293288e+01
2.366726e+02,6.191386e+00,1.378539e+01
2.439912e+02,5.954707e+00,1.464232e+01
2.515362e+02,5.743882e+00,1.550036e+01
2.593144e+02,5.561506e+00,1.633288e+01
2.673332e+02,5.405921e+00,1.712758e+01
2.756000e+02,5.273045e+00,1.788434e+01
2.841224e+02,5.159509e+00,1.860362e+01
2.929083e+02,5.062470e+00,1.928643e+01
3.019659e+02,4.980172e+00,1.993222e+01
3.113036e+02,4.911029e+00,2.053899e+01
3.209301e+02,4.853960e+00,2.110461e+01
3.308542e+02,4.807625e+00,2.163011e+01
3.410852e+02,4.770883e+00,2.211668e+01
3.516326e+02,4.742747e+00,2.256568e+01
3.625062e+02,4.722734e+00,2.297552e+01
3.737160e+02,4.711907e+00,2.333244e+01
3.852724e+02,4.710041e+00,2.363470e+01
3.971862e+02,4.716030e+00,2.388652e+01
4.094684e+02,4.729277e+00,2.409074e+01
4.221304e+02,4.749098e+00,2.425056e+01
4.351840e+02,4.774912e+00,2.436925e+01
4.486412e+02,4.806713e+00,2.444842e+01
4.625145e+02,4.843472e+00,2.449440e+01
4.768169e+02,4.884943e+00,2.451063e+01
4.915615e+02,4.930867e+00,2.449926e+01
5.067621e+02,4.980846e+00,2.446278e+01
5.224327e+02,5.035125e+00,2.440179e+01
