energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.264064e+00,9.914500e+00
7.216461e+01,2.880454e+00,1.137272e+01
7.439616e+01,2.636280e+00,1.256268e+01
7.669672e+01,2.488613e+00,1.342961e+01
7.906841e+01,2.408950e+00,1.396942e+01
8.151345e+01,2.372807e+00,1.425215e+01
8.403409e+01,2.361860e+00,1.436895e+01
8.663268e+01,2.365899e+00,1.438163e+01
8.931163e+01,2.378839e+00,1.433203e+01
9.207342e+01,2.396961e+00,1.424789e+01
9.492061e+01,2.418156e+00,1.414578e+01
9.785584e+01,2.441480e+00,1.403342e+01
1.008818e+02,2.466663e+00,1.391326e+01
1.040014e+02,2.493414e+00,1.378796e+01
1.072175e+02,2.521434e+00,1.366029e+01
1.105329e+02,2.550639e+00,1.353122e+01
1.139510e+02,2.580853e+00,1.340250e+01
1.174747e+02,2.612019e+00,1.327483e+01
1.211073e+02,2.644036e+00,1.314930e+01
1.248524e+02,2.676828e+00,1.302677e+01
1.287132e+02,2.710354e+00,1.290777e+01
1.326934e+02,2.744681e+00,1.279189e+01
1.367967e+02,2.779998e+00,1.267763e+01
1.410268e+02,2.816316e+00,1.256509e+01
1.453878e+02,2.853637e+00,1.245444e+01
1.498836e+02,2.892111e+00,1.234453e+01
1.545185e+02,2.931795e+00,1.223504e+01
1.592967e+02,2.972699e+00,1.212613e+01
1.642226e+02,3.014918e+00,1.201712e+01
1.693009e+02,3.058590e+00,1.190705e+01
1.745362e+02,3.103732e+00,1.179604e+01
1.799334e+02,3.150359e+00,1.168422e+01
1.854975e+02,3.198486e+00,1.157174e+01
1.912336e+02,3.248135e+00,1.145871e+01
1.971471e+02,3.299349e+00,1.134501e+01
2.032435e+02,3.352281e+00,1.122965e+01
2.095284e+02,3.406972e+00,1.111255e+01
2.160077e+02,3.463454e+00,1.099386e+01
2.226873e+02,3.521752e+00,1.087375e+01
2.295735e+02,3.581893e+00,1.075237e+01
2.366726e+02,3.643906e+00,1.062987e+01
2.439912e+02,3.707895e+00,1.050575e+01
2.515362e+02,3.773999e+00,1.037923e+01
2.593144e+02,3.842266e+00,1.025047e+01
2.673332e+02,3.912706e+00,1.011979e+01
2.756000e+02,3.985372e+00,9.987373e+00
2.841224e+02,4.060261e+00,9.853739e+00
2.929083e+02,4.137366e+00,9.719388e+00
3.019659e+02,4.216744e+00,9.584449e+00
3.113036e+02,4.298436e+00,9.449076e+00
3.209301e+02,4.382484e+00,9.313417e+00
3.308542e+02,4.468948e+00,9.177579e+00
3.410852e+02,4.557857e+00,9.041724e+00
3.516326e+02,4.649273e+00,8.905940e+00
3.625062e+02,4.743305e+00,8.770062e+00
3.737160e+02,4.840008e+00,8.634095e+00
3.852724e+02,4.939405e+00,8.498214e+00
3.971862e+02,5.041676e+00,8.362065e+00
4.094684e+02,5.146829e+00,8.225701e+00
4.221304e+02,5.255057e+00,8.089111e+00
4.351840e+02,5.366240e+00,7.952759e+00
4.486412e+02,5.480515e+00,7.816802e+00
4.625145e+02,5.597957e+00,7.681377e+00
4.768169e+02,5.718640e+00,7.546566e+00
4.915615e+02,5.842679e+00,7.412319e+00
5.067621e+02,5.942309e+00,7.475207e+00
5.224327e+02,6.031818e+00,7.624321e+00
5.385879e+02,6.126443e+00,7.750682e+00
5.552427e+02,6.225958e+00,7.856789e+00
5.724125e+02,6.330382e+00,7.943785e+00
5.901132e+02,6.439624e+00,8.012069e+00
6.083613e+02,6.553125e+00,8.068336e+00
6.271737e+02,6.669894e+00,8.118849e+00
6.465678e+02,6.790142e+00,8.163517e+00
6.665617e+02,6.913974e+00,8.202383e+00
6.871738e+02,7.041473e+00,8.235068e+00
7.084233e+02,7.173260e+00,8.256804e+00
7.303299e+02,7.310452e+00,8.264867e+00
7.529139e+02,7.452415e+00,8.261920e+00
7.761963e+02,7.599109e+00,8.249590e+00
8.001987e+02,7.750523e+00,8.228337e+00
8.249432e+02,7.906930e+00,8.198246e+00
8.504530e+02,8.068499e+00,8.160298e+00
8.767516e+02,8.234863e+00,8.115377e+00
9.038634e+02,8.406687e+00,8.064349e+00
9.318136e+02,8.582855e+00,8.008379e+00
9.606281e+02,8.764839e+00,7.947066e+00
9.903337e+02,8.951977e+00,7.881191e+00
1.020958e+03,9.144823e+00,7.810905e+00
1.052529e+03,9.343147e+00,7.736734e+00
1.085076e+03,9.546934e+00,7.658988e+00
1.118630e+03,9.756345e+00,7.577866e+00
1.153222e+03,9.972345e+00,7.493323e+00
1.188883e+03,1.019385e+01,7.406328e+00
1.225647e+03,1.042185e+01,7.315963e+00
1.263547e+03,1.065650e+01,7.223048e+00
1.302620e+03,1.089776e+01,7.127257e+00
1.342901e+03,1.114561e+01,7.030354e+00
1.384428e+03,1.139937e+01,6.933371e+00
1.427238e+03,1.166159e+01,6.831456e+00
1.471373e+03,1.193185e+01,6.729646e+00
1.516872e+03,1.220540e+01,6.629910e+00
1.563779e+03,1.249197e+01,6.524285e+00
1.612135e+03,1.278176e+01,6.421474e+00
1.661988e+03,1.308124e+01,6.318473e+00
1.713381e+03,1.338795e+01,6.214565e+00
1.766364e+03,1.370608e+01,6.106384e+00
1.820986e+03,1.403014e+01,6.002732e+00
1.877296e+03,1.436137e+01,5.898766e+00
1.935348e+03,1.470722e+01,5.792249e+00
1.995195e+03,1.505099e+01,5.693780e+00
2.056892e+03,1.541447e+01,5.589105e+00
