energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.726060e+01,1.862739e+00
7.216461e+01,1.563123e+01,2.079068e+00
7.439616e+01,1.445557e+01,2.272201e+00
7.669672e+01,1.351601e+01,2.457282e+00
7.906841e+01,1.265506e+01,2.657858e+00
8.151345e+01,1.171754e+01,2.917503e+00
8.403409e+01,1.070955e+01,3.257131e+00
8.663268e+01,9.751348e+00,3.657205e+00
8.931163e+01,8.972356e+00,4.059031e+00
9.207342e+01,8.363022e+00,4.439428e+00
9.492061e+01,7.882198e+00,4.794778e+00
9.785584e+01,7.497750e+00,5.125111e+00
1.008818e+02,7.170834e+00,5.446789e+00
1.040014e+02,6.879753e+00,5.771525e+00
1.072175e+02,6.614223e+00,6.105397e+00
1.105329e+02,6.366637e+00,6.454672e+00
1.139510e+02,6.134437e+00,6.821287e+00
1.174747e+02,5.914539e+00,7.208929e+00
1.211073e+02,5.705232e+00,7.620221e+00
1.248524e+02,5.505783e+00,8.056606e+00
1.287132e+02,5.317078e+00,8.516147e+00
1.326934e+02,5.138341e+00,8.999919e+00
1.367967e+02,4.968836e+00,9.509107e+00
1.410268e+02,4.810744e+00,1.003639e+01
1.453878e+02,4.664062e+00,1.057887e+01
1.498836e+02,4.527626e+00,1.113703e+01
1.545185e+02,4.401465e+00,1.170731e+01
1.592967e+02,4.284883e+00,1.228851e+01
1.642226e+02,4.176863e+00,1.288109e+01
1.693009e+02,4.076510e+00,1.348562e+01
1.745362e+02,3.983129e+00,1.410223e+01
1.799334e+02,3.896869e+00,1.472663e+01
1.854975e+02,3.817419e+00,1.535667e+01
1.912336e+02,3.744113e+00,1.599256e+01
1.971471e+02,3.676388e+00,1.663442e+01
2.032435e+02,3.614390e+00,1.727742e+01
2.095284e+02,3.558127e+00,1.791728e+01
2.160077e+02,3.507090e+00,1.855380e+01
2.226873e+02,3.460837e+00,1.918680e+01
2.295735e+02,3.419058e+00,1.981529e+01
2.366726e+02,3.381419e+00,2.043891e+01
2.439912e+02,3.347582e+00,2.105775e+01
2.515362e+02,3.317376e+00,2.167048e+01
2.593144e+02,3.290819e+00,2.227368e+01
2.673332e+02,3.267687e+00,2.286687e+01
2.756000e+02,3.247732e+00,2.345010e+01
2.841224e+02,3.230741e+00,2.402346e+01
2.929083e+02,3.216519e+00,2.458706e+01
3.019659e+02,3.205226e+00,2.513619e+01
3.113036e+02,3.197096e+00,2.566483e+01
3.209301e+02,3.191960e+00,2.617275e+01
3.308542e+02,3.189652e+00,2.666015e+01
3.410852e+02,3.190097e+00,2.712603e+01
3.516326e+02,3.193227e+00,2.756942e+01
3.625062e+02,3.198918e+00,2.799067e+01
3.737160e+02,3.207050e+00,2.839023e+01
3.852724e+02,3.217621e+00,2.876661e+01
3.971862e+02,3.230689e+00,2.911743e+01
4.094684e+02,3.246027e+00,2.944598e+01
4.221304e+02,3.263519e+00,2.975349e+01
4.351840e+02,3.283458e+00,3.003316e+01
4.486412e+02,3.306243e+00,3.027648e+01
4.625145e+02,3.331845e+00,3.048335e+01
4.768169e+02,3.360144e+00,3.065541e+01
4.915615e+02,3.391082e+00,3.079417e+01
5.067621e+02,3.424576e+00,3.090120e+01
5.224327e+02,3.460556e+00,3.097803e+01
5.385879e+02,3.498992e+00,3.102610e+01
5.552427e+02,3.539837e+00,3.104663e+01
5.724125e+02,3.583150e+00,3.103887e+01
5.901132e+02,3.628992e+00,3.100261e+01
6.083613e+02,3.677316e+00,3.093942e+01
6.271737e+02,3.728118e+00,3.085090e+01
6.465678e+02,3.781362e+00,3.073864e+01
6.665617e+02,3.837040e+00,3.060415e+01
6.871738e+02,3.895148e+00,3.044890e+01
7.084233e+02,3.955694e+00,3.027422e+01
7.303299e+02,4.018681e+00,3.008144e+01
7.529139e+02,4.084050e+00,2.987200e+01
7.761963e+02,4.151937e+00,2.964678e+01
8.001987e+02,4.222269e+00,2.940670e+01
8.249432e+02,4.295205e+00,2.915141e+01
8.504530e+02,4.370739e+00,2.888182e+01
8.767516e+02,4.448912e+00,2.859913e+01
9.038634e+02,4.529764e+00,2.830447e+01
9.318136e+02,4.613278e+00,2.799885e+01
9.606281e+02,4.699522e+00,2.768310e+01
9.903337e+02,4.788572e+00,2.735814e+01
1.020958e+03,4.880450e+00,2.702499e+01
1.052529e+03,4.975166e+00,2.668462e+01
1.085076e+03,5.072794e+00,2.633768e+01
1.118630e+03,5.173334e+00,2.598494e+01
1.153222e+03,5.276933e+00,2.562689e+01
1.188883e+03,5.383654e+00,2.526426e+01
1.225647e+03,5.493444e+00,2.489798e+01
1.263547e+03,5.606445e+00,2.452862e+01
1.302620e+03,5.722715e+00,2.415665e+01
1.342901e+03,5.842347e+00,2.378236e+01
1.384428e+03,5.965458e+00,2.340652e+01
1.427238e+03,6.091984e+00,2.303019e+01
1.471373e+03,6.221932e+00,2.265367e+01
1.516872e+03,6.355519e+00,2.227723e+01
1.563779e+03,6.492843e+00,2.190122e+01
1.612135e+03,6.633974e+00,2.152600e+01
1.661988e+03,6.778945e+00,2.115195e+01
1.713381e+03,6.927929e+00,2.077937e+01
1.766364e+03,7.080963e+00,2.040862e+01
1.820986e+03,7.238144e+00,2.004001e+01
1.877296e+03,7.399589e+00,1.967379e+01
1.935348e+03,7.565481e+00,1.931017e+01
1.995195e+03,7.735778e+00,1.894951e+01
2.056892e+03,7.910668e+00,1.859193e+01
2.120497e+03,8.090257e+00,1.823767e+01
2.186070e+03,8.274203e+00,1.788713e+01
2.253670e+03,8.463323e+00,1.754009e+01
