energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.136320e+01,1.512939e+00
7.216461e+01,1.869604e+01,1.751585e+00
7.439616e+01,1.674242e+01,1.982204e+00
7.669672e+01,1.521919e+01,2.210732e+00
7.906841e+01,1.396377e+01,2.444387e+00
8.151345e+01,1.289854e+01,2.686475e+00
8.403409e+01,1.197283e+01,2.940415e+00
8.663268e+01,1.114751e+01,3.211467e+00
8.931163e+01,1.039296e+01,3.506722e+00
9.207342e+01,9.666954e+00,3.844920e+00
9.492061e+01,8.962697e+00,4.237369e+00
9.785584e+01,8.274224e+00,4.699417e+00
1.008818e+02,7.609255e+00,5.241195e+00
1.040014e+02,6.977513e+00,5.870383e+00
1.072175e+02,6.379607e+00,6.602424e+00
1.105329e+02,5.812524e+00,7.461137e+00
1.139510e+02,5.284140e+00,8.456513e+00
1.174747e+02,4.817460e+00,9.551342e+00
1.211073e+02,4.405807e+00,1.074716e+01
1.248524e+02,4.044992e+00,1.203651e+01
1.287132e+02,3.727392e+00,1.342240e+01
1.326934e+02,3.449459e+00,1.489240e+01
1.367967e+02,3.207768e+00,1.642901e+01
1.410268e+02,2.997892e+00,1.801832e+01
1.453878e+02,2.816903e+00,1.963590e+01
1.498836e+02,2.659682e+00,2.127840e+01
1.545185e+02,2.522792e+00,2.293592e+01
1.592967e+02,2.402817e+00,2.460628e+01
1.642226e+02,2.299570e+00,2.624878e+01
1.693009e+02,2.213312e+00,2.780804e+01
1.745362e+02,2.141288e+00,2.927670e+01
1.799334e+02,2.081030e+00,3.065483e+01
1.854975e+02,2.031506e+00,3.192336e+01
1.912336e+02,1.992442e+00,3.305053e+01
1.971471e+02,1.962227e+00,3.404026e+01
2.032435e+02,1.939506e+00,3.489952e+01
2.095284e+02,1.923660e+00,3.562288e+01
2.160077e+02,1.913852e+00,3.621601e+01
2.226873e+02,1.909274e+00,3.668878e+01
2.295735e+02,1.909954e+00,3.702971e+01
2.366726e+02,1.915520e+00,3.724207e+01
2.439912e+02,1.925194e+00,3.734524e+01
2.515362e+02,1.937810e+00,3.737424e+01
2.593144e+02,1.952957e+00,3.734131e+01
2.673332e+02,1.970434e+00,3.725262e+01
2.756000e+02,1.990077e+00,3.711378e+01
2.841224e+02,2.011854e+00,3.692616e+01
2.929083e+02,2.035909e+00,3.668556e+01
3.019659e+02,2.062093e+00,3.639829e+01
3.113036e+02,2.090316e+00,3.606888e+01
3.209301e+02,2.120699e+00,3.569474e+01
3.308542e+02,2.153115e+00,3.528225e+01
3.410852e+02,2.187340e+00,3.484142e+01
3.516326e+02,2.223226e+00,3.437923e+01
3.625062e+02,2.260723e+00,3.389934e+01
3.737160e+02,2.299768e+00,3.340576e+01
3.852724e+02,2.340201e+00,3.290564e+01
3.971862e+02,2.381988e+00,3.240171e+01
4.094684e+02,2.425105e+00,3.189619e+01
4.221304e+02,2.469543e+00,3.139065e+01
4.351840e+02,2.515288e+00,3.088692e+01
4.486412e+02,2.562344e+00,3.038609e+01
4.625145e+02,2.610696e+00,2.988975e+01
4.768169e+02,2.660339e+00,2.939925e+01
4.915615e+02,2.711288e+00,2.891532e+01
5.067621e+02,2.763541e+00,2.843894e+01
5.224327e+02,2.817114e+00,2.797049e+01
5.385879e+02,2.871942e+00,2.751336e+01
5.552427e+02,2.927868e+00,2.707303e+01
5.724125e+02,2.984849e+00,2.665155e+01
5.901132e+02,3.042814e+00,2.625153e+01
6.083613e+02,3.101573e+00,2.587906e+01
6.271737e+02,3.161087e+00,2.553529e+01
6.465678e+02,3.221551e+00,2.521401e+01
6.665617e+02,3.283019e+00,2.491369e+01
6.871738e+02,3.345550e+00,2.463275e+01
7.084233e+02,3.409130e+00,2.437175e+01
7.303299e+02,3.473776e+00,2.413066e+01
7.529139e+02,3.539615e+00,2.390554e+01
7.761963e+02,3.606742e+00,2.369426e+01
8.001987e+02,3.675222e+00,2.349550e+01
8.249432e+02,3.745203e+00,2.330517e+01
8.504530e+02,3.816760e+00,2.312247e+01
8.767516e+02,3.889917e+00,2.294707e+01
9.038634e+02,3.964803e+00,2.277682e+01
9.318136e+02,4.041425e+00,2.261126e+01
9.606281e+02,4.119875e+00,2.245018e+01
9.903337e+02,4.200160e+00,2.229354e+01
1.020958e+03,4.282347e+00,2.214124e+01
1.052529e+03,4.366495e+00,2.199254e+01
1.085076e+03,4.452800e+00,2.184306e+01
1.118630e+03,4.541360e+00,2.169124e+01
1.153222e+03,4.632282e+00,2.153704e+01
1.188883e+03,4.725617e+00,2.138034e+01
1.225647e+03,4.821452e+00,2.122005e+01
1.263547e+03,4.919878e+00,2.105616e+01
1.302620e+03,5.020949e+00,2.088790e+01
1.342901e+03,5.124861e+00,2.071364e+01
1.384428e+03,5.231655e+00,2.053337e+01
1.427238e+03,5.341388e+00,2.034712e+01
1.471373e+03,5.454264e+00,2.015437e+01
1.516872e+03,5.570317e+00,1.995548e+01
1.563779e+03,5.689514e+00,1.975166e+01
1.612135e+03,5.811870e+00,1.954693e+01
1.661988e+03,5.937347e+00,1.934376e+01
1.713381e+03,6.066012e+00,1.914159e+01
1.766364e+03,6.198059e+00,1.893679e+01
1.820986e+03,6.333860e+00,1.872684e+01
1.877296e+03,6.473337e+00,1.851213e+01
1.935348e+03,6.616767e+00,1.829279e+01
1.995195e+03,6.764131e+00,1.806930e+01
2.056892e+03,6.915525e+00,1.784214e+01
2.120497e+03,7.071032e+00,1.761164e+01
2.186070e+03,7.230648e+00,1.737859e+01
2.253670e+03,7.394616e+00,1.714336e+01
2.323360e+03,7.563125e+00,1.690616e+01
2.395205e+03,7.736390e+00,1.666734e+01
2.469272e+03,7.914028e+00,1.642747e+01
2.545630e+03,8.096352e+00,1.618661e+01
2.624348e+03,8.283918e+00,1.594432e+01
2.705501e+03,8.476273e+00,1.570119e+01
2.789163e+03,8.674015e+00,1.545723e+01
2.875413e+03,8.877039e+00,1.521289e+01
2.964329e+03,9.085187e+00,1.496864e+01
3.055995e+03,9.299417e+00,1.472409e+01
3.150496e+03,9.518905e+00,1.448001e+01
3.247919e+03,9.744481e+00,1.423624e+01
3.348355e+03,9.976342e+00,1.399294e+01
3.451896e+03,1.021428e+01,1.375065e+01
3.558639e+03,1.045859e+01,1.350947e+01
3.668683e+03,1.070972e+01,1.326923e+01
3.782130e+03,1.096668e+01,1.303074e+01
3.899085e+03,1.123138e+01,1.279344e+01
4.019656e+03,1.150307e+01,1.255776e+01
4.143956e+03,1.178119e+01,1.232445e+01
4.272100e+03,1.206718e+01,1.209278e+01
4.404207e+03,1.236071e+01,1.186323e+01
4.540398e+03,1.266263e+01,1.163568e+01
4.680801e+03,1.297129e+01,1.141079e+01
4.825546e+03,1.328982e+01,1.118781e+01
4.974766e+03,1.361635e+01,1.096730e+01
5.128601e+03,1.395002e+01,1.074972e+01
5.287193e+03,1.429397e+01,1.053448e+01
5.450689e+03,1.464749e+01,1.032174e+01
5.619241e+03,1.500856e+01,1.011929e+01
5.793005e+03,1.537794e+01,9.937581e+00
5.972142e+03,1.575535e+01,9.771503e+00
6.156819e+03,1.614459e+01,9.607318e+00
6.347207e+03,1.654271e+01,9.443027e+00
6.543482e+03,1.695231e+01,9.278624e+00
6.745826e+03,1.737396e+01,9.114137e+00
6.954427e+03,1.780774e+01,8.952972e+00
7.169480e+03,1.825104e+01,8.795682e+00
7.391182e+03,1.870492e+01,8.638766e+00
7.619740e+03,1.917136e+01,8.482684e+00
7.855365e+03,1.964878e+01,8.327195e+00
8.098277e+03,2.013928e+01,8.172922e+00
8.348700e+03,2.064609e+01,8.020739e+00
8.606867e+03,2.115964e+01,7.870267e+00
8.873018e+03,2.170002e+01,7.720398e+00
9.147399e+03,2.224472e+01,7.572925e+00
9.430264e+03,2.280771e+01,7.426030e+00
9.721877e+03,2.338171e+01,7.281509e+00
1.002251e+04,2.397328e+01,7.137921e+00
1.033243e+04,2.457811e+01,6.996702e+00
1.065194e+04,2.520841e+01,6.855737e+00
1.098133e+04,2.584749e+01,6.717159e+00
1.132091e+04,2.649802e+01,6.581005e+00
1.167099e+04,2.717687e+01,6.445030e+00
1.203189e+04,2.787443e+01,6.311681e+00
1.240395e+04,2.858107e+01,6.180867e+00
1.278752e+04,2.930416e+01,6.051771e+00
1.318295e+04,3.007028e+01,5.923261e+00
1.359061e+04,3.084944e+01,5.796640e+00
1.401087e+04,3.163448e+01,5.673711e+00
1.444413e+04,3.244362e+01,5.550679e+00
1.489078e+04,3.326465e+01,5.431662e+00
1.535125e+04,3.411838e+01,5.314153e+00
1.582596e+04,3.502125e+01,5.196349e+00
1.631535e+04,3.591396e+01,5.083281e+00
1.681987e+04,3.680379e+01,4.972268e+00
1.733999e+04,3.775956e+01,4.861989e+00
1.787619e+04,3.876227e+01,4.752763e+00
1.842898e+04,3.977588e+01,4.646137e+00
1.899886e+04,4.079291e+01,4.542256e+00
1.958636e+04,4.179621e+01,4.441137e+00
2.019203e+04,4.286164e+01,4.341417e+00
2.081643e+04,4.402561e+01,4.241046e+00
2.146014e+04,4.516233e+01,4.145141e+00
2.212375e+04,4.631768e+01,4.050478e+00
2.280789e+04,4.754713e+01,3.956765e+00
2.351318e+04,4.879274e+01,3.865520e+00
2.424027e+04,5.001735e+01,3.777341e+00
2.498986e+04,5.125713e+01,3.690585e+00
2.576262e+04,5.259899e+01,3.604897e+00
