energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.248657e+00,2.615108e+01
7.216461e+01,1.031732e+00,3.215538e+01
7.439616e+01,8.841276e-01,3.811448e+01
7.669672e+01,7.783093e-01,4.396692e+01
7.906841e+01,6.988739e-01,4.971410e+01
8.151345e+01,6.374116e-01,5.533310e+01
8.403409e+01,5.885935e-01,6.082162e+01
8.663268e+01,5.489691e-01,6.618381e+01
8.931163e+01,5.162143e-01,7.142817e+01
9.207342e+01,4.890119e-01,7.650874e+01
9.492061e+01,4.665143e-01,8.135074e+01
9.785584e+01,4.479257e-01,8.591137e+01
1.008818e+02,4.326463e-01,9.014769e+01
1.040014e+02,4.199416e-01,9.409827e+01
1.072175e+02,4.091089e-01,9.785016e+01
1.105329e+02,3.998105e-01,1.014246e+02
1.139510e+02,3.916323e-01,1.048970e+02
1.174747e+02,3.842923e-01,1.083248e+02
1.211073e+02,3.776625e-01,1.117244e+02
1.248524e+02,3.717791e-01,1.150487e+02
1.287132e+02,3.666508e-01,1.182574e+02
1.326934e+02,3.625286e-01,1.211880e+02
1.367967e+02,3.594778e-01,1.237532e+02
1.410268e+02,3.574324e-01,1.259349e+02
1.453878e+02,3.561908e-01,1.278010e+02
1.498836e+02,3.555989e-01,1.294087e+02
1.545185e+02,3.555491e-01,1.308000e+02
1.592967e+02,3.560104e-01,1.319769e+02
1.642226e+02,3.570080e-01,1.329097e+02
1.693009e+02,3.583758e-01,1.336943e+02
1.745362e+02,3.600585e-01,1.343595e+02
1.799334e+02,3.622981e-01,1.347377e+02
1.854975e+02,3.651040e-01,1.348156e+02
1.912336e+02,3.684618e-01,1.345996e+02
1.971471e+02,3.722978e-01,1.341406e+02
2.032435e+02,3.765486e-01,1.334850e+02
2.095284e+02,3.811984e-01,1.326472e+02
2.160077e+02,3.862314e-01,1.316432e+02
2.226873e+02,3.916101e-01,1.305048e+02
2.295735e+02,3.973046e-01,1.292594e+02
2.366726e+02,4.033027e-01,1.279211e+02
2.439912e+02,4.095919e-01,1.265049e+02
2.515362e+02,4.161647e-01,1.250218e+02
2.593144e+02,4.230211e-01,1.234777e+02
2.673332e+02,4.301736e-01,1.218698e+02
2.756000e+02,4.376049e-01,1.202167e+02
2.841224e+02,4.452932e-01,1.185399e+02
2.929083e+02,4.532369e-01,1.168460e+02
3.019659e+02,4.614199e-01,1.151510e+02
3.113036e+02,4.698412e-01,1.134603e+02
3.209301e+02,4.785006e-01,1.117790e+02
3.308542e+02,4.873829e-01,1.101212e+02
3.410852e+02,4.964891e-01,1.084906e+02
3.516326e+02,5.058066e-01,1.068983e+02
3.625062e+02,5.153249e-01,1.053551e+02
3.737160e+02,5.250411e-01,1.038642e+02
3.852724e+02,5.349565e-01,1.024288e+02
3.971862e+02,5.450661e-01,1.010525e+02
4.094684e+02,5.553699e-01,9.973736e+01
4.221304e+02,5.658729e-01,9.848353e+01
4.351840e+02,5.765731e-01,9.729168e+01
4.486412e+02,5.874932e-01,9.615069e+01
4.625145e+02,5.986342e-01,9.506008e+01
4.768169e+02,6.100054e-01,9.401821e+01
4.915615e+02,6.216169e-01,9.301977e+01
5.067621e+02,6.334730e-01,9.206442e+01
5.224327e+02,6.455865e-01,9.114724e+01
5.385879e+02,6.579680e-01,9.026546e+01
5.552427e+02,6.706206e-01,8.941825e+01
5.724125e+02,6.835678e-01,8.859595e+01
5.901132e+02,6.968190e-01,8.779506e+01
6.083613e+02,7.103853e-01,8.701506e+01
6.271737e+02,7.242717e-01,8.625564e+01
6.465678e+02,7.384880e-01,8.551282e+01
6.665617e+02,7.530514e-01,8.478412e+01
6.871738e+02,7.679690e-01,8.406957e+01
7.084233e+02,7.832491e-01,8.336864e+01
7.303299e+02,7.989058e-01,8.267434e+01
7.529139e+02,8.149698e-01,8.198200e+01
7.761963e+02,8.314380e-01,8.129211e+01
8.001987e+02,8.483244e-01,8.060464e+01
8.249432e+02,8.656538e-01,7.991641e+01
8.504530e+02,8.834333e-01,7.922331e+01
8.767516e+02,9.016744e-01,7.852517e+01
9.038634e+02,9.203937e-01,7.782215e+01
9.318136e+02,9.396082e-01,7.711268e+01
9.606281e+02,9.593368e-01,7.639556e+01
9.903337e+02,9.795885e-01,7.567156e+01
1.020958e+03,1.000373e+00,7.494090e+01
1.052529e+03,1.021696e+00,7.420443e+01
1.085076e+03,1.043592e+00,7.346166e+01
1.118630e+03,1.066074e+00,7.271309e+01
1.153222e+03,1.089137e+00,7.195975e+01
1.188883e+03,1.112804e+00,7.120123e+01
1.225647e+03,1.137092e+00,7.043801e+01
1.263547e+03,1.162040e+00,6.966993e+01
1.302620e+03,1.187655e+00,6.889777e+01
1.342901e+03,1.213937e+00,6.812015e+01
1.384428e+03,1.240915e+00,6.733387e+01
1.427238e+03,1.268619e+00,6.653943e+01
1.471373e+03,1.297073e+00,6.573782e+01
1.516872e+03,1.326257e+00,6.493110e+01
1.563779e+03,1.356240e+00,6.411865e+01
1.612135e+03,1.387021e+00,6.330222e+01
1.661988e+03,1.418624e+00,6.248033e+01
1.713381e+03,1.451108e+00,6.165332e+01
1.766364e+03,1.484438e+00,6.082260e+01
1.820986e+03,1.518681e+00,5.998586e+01
1.877296e+03,1.553820e+00,5.914357e+01
1.935348e+03,1.589913e+00,5.829597e+01
1.995195e+03,1.626941e+00,5.744417e+01
2.056892e+03,1.664969e+00,5.658761e+01
2.120497e+03,1.704049e+00,5.572695e+01
2.186070e+03,1.744229e+00,5.486004e+01
2.253670e+03,1.785538e+00,5.398790e+01
2.323360e+03,1.827901e+00,5.311348e+01
2.395205e+03,1.871344e+00,5.223794e+01
2.469272e+03,1.916003e+00,5.136141e+01
2.545630e+03,1.961880e+00,5.048586e+01
2.624348e+03,2.008925e+00,4.961419e+01
2.705501e+03,2.057171e+00,4.874622e+01
2.789163e+03,2.106843e+00,4.788016e+01
2.875413e+03,2.157838e+00,4.701862e+01
2.964329e+03,2.210186e+00,4.616243e+01
3.055995e+03,2.263863e+00,4.531278e+01
3.150496e+03,2.319183e+00,4.446572e+01
3.247919e+03,2.375846e+00,4.362626e+01
3.348355e+03,2.434083e+00,4.279325e+01
3.451896e+03,2.493959e+00,4.196731e+01
3.558639e+03,2.555295e+00,4.115081e+01
3.668683e+03,2.618216e+00,4.034404e+01
3.782130e+03,2.682885e+00,3.954588e+01
3.899085e+03,2.749328e+00,3.875725e+01
4.019656e+03,2.817357e+00,3.797951e+01
4.143956e+03,2.887276e+00,3.721107e+01
4.272100e+03,2.959130e+00,3.645184e+01
4.404207e+03,3.032781e+00,3.570402e+01
4.540398e+03,3.108687e+00,3.499185e+01
4.680801e+03,3.185855e+00,3.434735e+01
4.825546e+03,3.265182e+00,3.374704e+01
4.974766e+03,3.346491e+00,3.315905e+01
5.128601e+03,3.429794e+00,3.257807e+01
5.287193e+03,3.515328e+00,3.200093e+01
5.450689e+03,3.603473e+00,3.143008e+01
5.619241e+03,3.693340e+00,3.087991e+01
