energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,4.173457e+00,7.752615e+00
7.216461e+01,3.661468e+00,8.949856e+00
7.439616e+01,3.307540e+00,1.003031e+01
7.669672e+01,3.050797e+00,1.100490e+01
7.906841e+01,2.858121e+00,1.188339e+01
8.151345e+01,2.710027e+00,1.267412e+01
8.403409e+01,2.594405e+00,1.338370e+01
8.663268e+01,2.503119e+00,1.401889e+01
8.931163e+01,2.430560e+00,1.458602e+01
9.207342e+01,2.372796e+00,1.509048e+01
9.492061e+01,2.327006e+00,1.553678e+01
9.785584e+01,2.291029e+00,1.592956e+01
1.008818e+02,2.263227e+00,1.627302e+01
1.040014e+02,2.242427e+00,1.657009e+01
1.072175e+02,2.227655e+00,1.682399e+01
1.105329e+02,2.218103e+00,1.703813e+01
1.139510e+02,2.213120e+00,1.721562e+01
1.174747e+02,2.212183e+00,1.735934e+01
1.211073e+02,2.214884e+00,1.747168e+01
1.248524e+02,2.220909e+00,1.755458e+01
1.287132e+02,2.229992e+00,1.760999e+01
1.326934e+02,2.241883e+00,1.764004e+01
1.367967e+02,2.256373e+00,1.764674e+01
1.410268e+02,2.273296e+00,1.763185e+01
1.453878e+02,2.292529e+00,1.759675e+01
1.498836e+02,2.313965e+00,1.754283e+01
1.545185e+02,2.337496e+00,1.747164e+01
1.592967e+02,2.363034e+00,1.738461e+01
1.642226e+02,2.390514e+00,1.728292e+01
1.693009e+02,2.419884e+00,1.716767e+01
1.745362e+02,2.451094e+00,1.703999e+01
1.799334e+02,2.484101e+00,1.690099e+01
1.854975e+02,2.518874e+00,1.675165e+01
1.912336e+02,2.555392e+00,1.659284e+01
1.971471e+02,2.593632e+00,1.642548e+01
2.032435e+02,2.633583e+00,1.625036e+01
2.095284e+02,2.675260e+00,1.606790e+01
2.160077e+02,2.718654e+00,1.587892e+01
2.226873e+02,2.763740e+00,1.568446e+01
2.295735e+02,2.810497e+00,1.548549e+01
2.366726e+02,2.858951e+00,1.528232e+01
2.439912e+02,2.909128e+00,1.507528e+01
2.515362e+02,2.961040e+00,1.486493e+01
2.593144e+02,3.014698e+00,1.465178e+01
2.673332e+02,3.070121e+00,1.443631e+01
2.756000e+02,3.127333e+00,1.421891e+01
2.841224e+02,3.186356e+00,1.399996e+01
2.929083e+02,3.247215e+00,1.377986e+01
3.019659e+02,3.309932e+00,1.355907e+01
3.113036e+02,3.374542e+00,1.333781e+01
3.209301e+02,3.441096e+00,1.311610e+01
3.308542e+02,3.509630e+00,1.289421e+01
3.410852e+02,3.580185e+00,1.267243e+01
3.516326e+02,3.652770e+00,1.245121e+01
3.625062e+02,3.727428e+00,1.223091e+01
3.737160e+02,3.804210e+00,1.201157e+01
3.852724e+02,3.844898e+00,1.228100e+01
