energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,6.025909e+00,5.345748e+00
7.216461e+01,5.456004e+00,5.966428e+00
7.439616e+01,5.086760e+00,6.460759e+00
7.669672e+01,4.838687e+00,6.850943e+00
7.906841e+01,4.669296e+00,7.155345e+00
8.151345e+01,4.553356e+00,7.390029e+00
8.403409e+01,4.473535e+00,7.571611e+00
8.663268e+01,4.420450e+00,7.709485e+00
8.931163e+01,4.388194e+00,7.810194e+00
9.207342e+01,4.372567e+00,7.879196e+00
9.492061e+01,4.370499e+00,7.921085e+00
9.785584e+01,4.379706e+00,7.939740e+00
1.008818e+02,4.398286e+00,7.938888e+00
1.040014e+02,4.424261e+00,7.923029e+00
1.072175e+02,4.456103e+00,7.895900e+00
1.105329e+02,4.492396e+00,7.861181e+00
1.139510e+02,4.532648e+00,7.820208e+00
1.174747e+02,4.576660e+00,7.773565e+00
1.211073e+02,4.624078e+00,7.722327e+00
1.248524e+02,4.674389e+00,7.668047e+00
1.287132e+02,4.726939e+00,7.612687e+00
1.326934e+02,4.781628e+00,7.556651e+00
1.367967e+02,4.838173e+00,7.500864e+00
1.410268e+02,4.896383e+00,7.445982e+00
1.453878e+02,4.955972e+00,7.392937e+00
1.498836e+02,5.016732e+00,7.342424e+00
1.545185e+02,5.078521e+00,7.294929e+00
1.592967e+02,5.140900e+00,7.251826e+00
1.642226e+02,5.203539e+00,7.214134e+00
1.693009e+02,5.266451e+00,7.181843e+00
1.745362e+02,5.330218e+00,7.153202e+00
1.799334e+02,5.395019e+00,7.127729e+00
1.854975e+02,5.435591e+00,7.183700e+00
1.912336e+02,5.472351e+00,7.256325e+00
1.971471e+02,5.516179e+00,7.313098e+00
2.032435e+02,5.479852e+00,7.640039e+00
2.095284e+02,5.238922e+00,8.721362e+00
2.160077e+02,4.904503e+00,1.032822e+01
2.226873e+02,4.620534e+00,1.193294e+01
2.295735e+02,4.387951e+00,1.347032e+01
2.366726e+02,4.176109e+00,1.506808e+01
2.439912e+02,4.026982e+00,1.639410e+01
2.515362e+02,3.937969e+00,1.736182e+01
2.593144e+02,3.890022e+00,1.804649e+01
2.673332e+02,3.873510e+00,1.848892e+01
2.756000e+02,3.880194e+00,1.874062e+01
2.841224e+02,3.902560e+00,1.886040e+01
2.929083e+02,3.937379e+00,1.887486e+01
3.019659e+02,3.982081e+00,1.880766e+01
3.113036e+02,4.034480e+00,1.868024e+01
3.209301e+02,4.093022e+00,1.850872e+01
3.308542e+02,4.156511e+00,1.830602e+01
3.410852e+02,4.223779e+00,1.808476e+01
3.516326e+02,4.294295e+00,1.785084e+01
3.625062e+02,4.367800e+00,1.760820e+01
3.737160e+02,4.443921e+00,1.736111e+01
3.852724e+02,4.522348e+00,1.711326e+01
3.971862e+02,4.602847e+00,1.686739e+01
4.094684e+02,4.685465e+00,1.662384e+01
4.221304e+02,4.770205e+00,1.638301e+01
4.351840e+02,4.857051e+00,1.614562e+01
4.486412e+02,4.945998e+00,1.591241e+01
4.625145e+02,5.036977e+00,1.568399e+01
4.768169e+02,5.130051e+00,1.546043e+01
4.915615e+02,5.225268e+00,1.524212e+01
5.067621e+02,5.322614e+00,1.502930e+01
5.224327e+02,5.422097e+00,1.482203e+01
5.385879e+02,5.523818e+00,1.462034e+01
5.552427e+02,5.627873e+00,1.442362e+01
5.724125e+02,5.734365e+00,1.423095e+01
5.901132e+02,5.843445e+00,1.404183e+01
6.083613e+02,5.955231e+00,1.385588e+01
6.271737e+02,6.069782e+00,1.367328e+01
6.465678e+02,6.187182e+00,1.349364e+01
6.665617e+02,6.307550e+00,1.331607e+01
6.871738e+02,6.431206e+00,1.314012e+01
7.084233e+02,6.557916e+00,1.296621e+01
7.303299e+02,6.688205e+00,1.279247e+01
7.529139e+02,6.821843e+00,1.261941e+01
7.761963e+02,6.959325e+00,1.244652e+01
8.001987e+02,7.100257e+00,1.227449e+01
8.249432e+02,7.245324e+00,1.210240e+01
8.504530e+02,7.394251e+00,1.193094e+01
8.767516e+02,7.547109e+00,1.176022e+01
9.038634e+02,7.704144e+00,1.159009e+01
9.318136e+02,7.865367e+00,1.142034e+01
9.606281e+02,8.031082e+00,1.125111e+01
9.903337e+02,8.201135e+00,1.108263e+01
1.020958e+03,8.376006e+00,1.091468e+01
1.052529e+03,8.555458e+00,1.074772e+01
1.085076e+03,8.739692e+00,1.058109e+01
1.118630e+03,8.928621e+00,1.041479e+01
1.153222e+03,9.123254e+00,1.024827e+01
1.188883e+03,9.323214e+00,1.008219e+01
1.225647e+03,9.528166e+00,9.917095e+00
1.263547e+03,9.738613e+00,9.752713e+00
1.302620e+03,9.954844e+00,9.589192e+00
1.342901e+03,1.017723e+01,9.426329e+00
1.384428e+03,1.040543e+01,9.264560e+00
1.427238e+03,1.063943e+01,9.103820e+00
1.471373e+03,1.087966e+01,8.944013e+00
1.516872e+03,1.112671e+01,8.785049e+00
1.563779e+03,1.137892e+01,8.635227e+00
1.612135e+03,1.162013e+01,8.589374e+00
1.661988e+03,1.186898e+01,8.539548e+00
1.713381e+03,1.212316e+01,8.487572e+00
1.766364e+03,1.238376e+01,8.432630e+00
1.820986e+03,1.265524e+01,8.371502e+00
1.877296e+03,1.293027e+01,8.309889e+00
1.935348e+03,1.321501e+01,8.244035e+00
1.995195e+03,1.350708e+01,8.176939e+00
2.056892e+03,1.380879e+01,8.105207e+00
2.120497e+03,1.411631e+01,8.031497e+00
2.186070e+03,1.443003e+01,7.956888e+00
2.253670e+03,1.475572e+01,7.877536e+00
2.323360e+03,1.508765e+01,7.798289e+00
2.395205e+03,1.543458e+01,7.714477e+00
2.469272e+03,1.578318e+01,7.632826e+00
2.545630e+03,1.614246e+01,7.547488e+00
2.624348e+03,1.651730e+01,7.459390e+00
