energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.850873e+01,1.742072e+00
7.216461e+01,1.654181e+01,1.971915e+00
7.439616e+01,1.517357e+01,2.173889e+00
7.669672e+01,1.418111e+01,2.351206e+00
7.906841e+01,1.343691e+01,2.507387e+00
8.151345e+01,1.285176e+01,2.648636e+00
8.403409e+01,1.238682e+01,2.775973e+00
8.663268e+01,1.201669e+01,2.889908e+00
8.931163e+01,1.172033e+01,2.991808e+00
9.207342e+01,1.148502e+01,3.082044e+00
9.492061e+01,1.129946e+01,3.161604e+00
9.785584e+01,1.115240e+01,3.232431e+00
1.008818e+02,1.103561e+01,3.296135e+00
1.040014e+02,1.094104e+01,3.354901e+00
1.072175e+02,1.086640e+01,3.408889e+00
1.105329e+02,1.081374e+01,3.456408e+00
1.139510e+02,1.078177e+01,3.497318e+00
1.174747e+02,1.076990e+01,3.531244e+00
1.211073e+02,1.077517e+01,3.559134e+00
1.248524e+02,1.079436e+01,3.582264e+00
1.287132e+02,1.082539e+01,3.601466e+00
1.326934e+02,1.086712e+01,3.617160e+00
1.367967e+02,1.091912e+01,3.629432e+00
1.410268e+02,1.098159e+01,3.638041e+00
1.453878e+02,1.105413e+01,3.643112e+00
1.498836e+02,1.113563e+01,3.645240e+00
1.545185e+02,1.122516e+01,3.644939e+00
1.592967e+02,1.132195e+01,3.642666e+00
1.642226e+02,1.142564e+01,3.638639e+00
1.693009e+02,1.153636e+01,3.632791e+00
1.745362e+02,1.165466e+01,3.624789e+00
1.799334e+02,1.178077e+01,3.614525e+00
1.854975e+02,1.191470e+01,3.602036e+00
1.912336e+02,1.205632e+01,3.587459e+00
1.971471e+02,1.220539e+01,3.571018e+00
2.032435e+02,1.236190e+01,3.552790e+00
2.095284e+02,1.252596e+01,3.532798e+00
2.160077e+02,1.269751e+01,3.511154e+00
2.226873e+02,1.287135e+01,3.491438e+00
2.295735e+02,1.231905e+01,3.988268e+00
2.366726e+02,1.152282e+01,4.747690e+00
2.439912e+02,1.057223e+01,5.794531e+00
2.515362e+02,9.656239e+00,7.020141e+00
2.593144e+02,8.932941e+00,8.207651e+00
2.673332e+02,8.644977e+00,8.821721e+00
2.756000e+02,8.441215e+00,9.330362e+00
2.841224e+02,8.276018e+00,9.797201e+00
2.929083e+02,8.132751e+00,1.024685e+01
3.019659e+02,8.009312e+00,1.067842e+01
3.113036e+02,7.900544e+00,1.109917e+01
3.209301e+02,7.799609e+00,1.152313e+01
3.308542e+02,7.722312e+00,1.190557e+01
3.410852e+02,7.682521e+00,1.220023e+01
3.516326e+02,7.665870e+00,1.244033e+01
3.625062e+02,7.668424e+00,1.263324e+01
3.737160e+02,7.684059e+00,1.279514e+01
3.852724e+02,7.708907e+00,1.293632e+01
3.971862e+02,7.742825e+00,1.305650e+01
4.094684e+02,7.785083e+00,1.315745e+01
4.221304e+02,7.835463e+00,1.323922e+01
4.351840e+02,7.894928e+00,1.329823e+01
4.486412e+02,7.962873e+00,1.333613e+01
4.625145e+02,8.039101e+00,1.335373e+01
4.768169e+02,8.124664e+00,1.334702e+01
4.915615e+02,8.218070e+00,1.332218e+01
5.067621e+02,8.317684e+00,1.328522e+01
5.224327e+02,8.424181e+00,1.323407e+01
5.385879e+02,8.537205e+00,1.316944e+01
5.552427e+02,8.657476e+00,1.309115e+01
5.724125e+02,8.784038e+00,1.300152e+01
