energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,7.521134e+00,4.310873e+00
7.216461e+01,6.395382e+00,5.146391e+00
7.439616e+01,5.552128e+00,6.022063e+00
7.669672e+01,4.881240e+00,6.964956e+00
7.906841e+01,4.325365e+00,8.000746e+00
8.151345e+01,3.861913e+00,9.128294e+00
8.403409e+01,3.470259e+00,1.035533e+01
8.663268e+01,3.138958e+00,1.167493e+01
8.931163e+01,2.858606e+00,1.307632e+01
9.207342e+01,2.618796e+00,1.456196e+01
9.492061e+01,2.412536e+00,1.612793e+01
9.785584e+01,2.233106e+00,1.778054e+01
1.008818e+02,2.076291e+00,1.951701e+01
1.040014e+02,1.939365e+00,2.132454e+01
1.072175e+02,1.818795e+00,2.320610e+01
1.105329e+02,1.712488e+00,2.515265e+01
1.139510e+02,1.618784e+00,2.715144e+01
1.174747e+02,1.535743e+00,2.920035e+01
1.211073e+02,1.462028e+00,3.129087e+01
1.248524e+02,1.396244e+00,3.342211e+01
1.287132e+02,1.337394e+00,3.558855e+01
1.326934e+02,1.284551e+00,3.778785e+01
1.367967e+02,1.236857e+00,4.002153e+01
1.410268e+02,1.194436e+00,4.225089e+01
1.453878e+02,1.156850e+00,4.445911e+01
1.498836e+02,1.123890e+00,4.661828e+01
1.545185e+02,1.095178e+00,4.871052e+01
1.592967e+02,1.070752e+00,5.069261e+01
1.642226e+02,1.050638e+00,5.251954e+01
1.693009e+02,1.034366e+00,5.418366e+01
1.745362e+02,1.021460e+00,5.568595e+01
1.799334e+02,1.011552e+00,5.702643e+01
1.854975e+02,1.004297e+00,5.820989e+01
1.912336e+02,9.993999e-01,5.924243e+01
1.971471e+02,9.970701e-01,6.008600e+01
2.032435e+02,9.972856e-01,6.072622e+01
2.095284e+02,9.997365e-01,6.118140e+01
2.160077e+02,1.004155e+00,6.147049e+01
2.226873e+02,1.010438e+00,6.159833e+01
2.295735e+02,1.018469e+00,6.157423e+01
2.366726e+02,1.028055e+00,6.141765e+01
2.439912e+02,1.039058e+00,6.114394e+01
2.515362e+02,1.051367e+00,6.076697e+01
2.593144e+02,1.064863e+00,6.030170e+01
2.673332e+02,1.079453e+00,5.976145e+01
2.756000e+02,1.094988e+00,5.916583e+01
2.841224e+02,1.111332e+00,5.853280e+01
2.929083e+02,1.128464e+00,5.786730e+01
3.019659e+02,1.146381e+00,5.717228e+01
3.113036e+02,1.165110e+00,5.644704e+01
3.209301e+02,1.184645e+00,5.569525e+01
3.308542e+02,1.204972e+00,5.492112e+01
3.410852e+02,1.226085e+00,5.412841e+01
3.516326e+02,1.247942e+00,5.332399e+01
3.625062e+02,1.270498e+00,5.251588e+01
3.737160e+02,1.293726e+00,5.170909e+01
3.852724e+02,1.317622e+00,5.090611e+01
3.971862e+02,1.342176e+00,5.010987e+01
4.094684e+02,1.367381e+00,4.932326e+01
4.221304e+02,1.393216e+00,4.855007e+01
4.351840e+02,1.419669e+00,4.779319e+01
4.486412e+02,1.446737e+00,4.705437e+01
4.625145e+02,1.474405e+00,4.633637e+01
4.768169e+02,1.502637e+00,4.564405e+01
4.915615e+02,1.531441e+00,4.497789e+01
5.067621e+02,1.560814e+00,4.433899e+01
5.224327e+02,1.590785e+00,4.372481e+01
5.385879e+02,1.621378e+00,4.313435e+01
5.552427e+02,1.652589e+00,4.256858e+01
5.724125e+02,1.684423e+00,4.202794e+01
5.901132e+02,1.716895e+00,4.151207e+01
6.083613e+02,1.750004e+00,4.102168e+01
6.271737e+02,1.783761e+00,4.055691e+01
6.465678e+02,1.818231e+00,4.011196e+01
6.665617e+02,1.853449e+00,3.968473e+01
6.871738e+02,1.889433e+00,3.927520e+01
7.084233e+02,1.926218e+00,3.888044e+01
7.303299e+02,1.963852e+00,3.849823e+01
7.529139e+02,2.002340e+00,3.812821e+01
7.761963e+02,2.041761e+00,3.776705e+01
8.001987e+02,2.082123e+00,3.741356e+01
8.249432e+02,2.123467e+00,3.706757e+01
8.504530e+02,2.165805e+00,3.672942e+01
8.767516e+02,2.209155e+00,3.639918e+01
9.038634e+02,2.253551e+00,3.607659e+01
9.318136e+02,2.299021e+00,3.575950e+01
9.606281e+02,2.345637e+00,3.544619e+01
9.903337e+02,2.393399e+00,3.513674e+01
1.020958e+03,2.442369e+00,3.483020e+01
1.052529e+03,2.492592e+00,3.452431e+01
1.085076e+03,2.544102e+00,3.421875e+01
1.118630e+03,2.596944e+00,3.391114e+01
1.153222e+03,2.651238e+00,3.359749e+01
1.188883e+03,2.707026e+00,3.327699e+01
1.225647e+03,2.764328e+00,3.294966e+01
1.263547e+03,2.823181e+00,3.261598e+01
1.302620e+03,2.883662e+00,3.227593e+01
1.342901e+03,2.945806e+00,3.192938e+01
1.384428e+03,3.009643e+00,3.157677e+01
1.427238e+03,3.075173e+00,3.121983e+01
1.471373e+03,3.142437e+00,3.086400e+01
1.516872e+03,3.211410e+00,3.051171e+01
1.563779e+03,3.282114e+00,3.016218e+01
1.612135e+03,3.354728e+00,2.980984e+01
1.661988e+03,3.429341e+00,2.945202e+01
1.713381e+03,3.505971e+00,2.908913e+01
1.766364e+03,3.584685e+00,2.872141e+01
1.820986e+03,3.665516e+00,2.834919e+01
1.877296e+03,3.748522e+00,2.797340e+01
1.935348e+03,3.833813e+00,2.759599e+01
