energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,7.213948e+00,4.463898e+00
7.216461e+01,6.548522e+00,4.968406e+00
7.439616e+01,6.110903e+00,5.374848e+00
7.669672e+01,5.812692e+00,5.699903e+00
7.906841e+01,5.606252e+00,5.956999e+00
8.151345e+01,5.464356e+00,6.156108e+00
8.403409e+01,5.369085e+00,6.306691e+00
8.663268e+01,5.308346e+00,6.417093e+00
8.931163e+01,5.273424e+00,6.494967e+00
9.207342e+01,5.258756e+00,6.545704e+00
9.492061e+01,5.260197e+00,6.573989e+00
9.785584e+01,5.274770e+00,6.583558e+00
1.008818e+02,5.300257e+00,6.577500e+00
1.040014e+02,5.334292e+00,6.559598e+00
1.072175e+02,5.375671e+00,6.531840e+00
1.105329e+02,5.422836e+00,6.497038e+00
1.139510e+02,5.474955e+00,6.456764e+00
1.174747e+02,5.531255e+00,6.412545e+00
1.211073e+02,5.591174e+00,6.365541e+00
1.248524e+02,5.654623e+00,6.316026e+00
1.287132e+02,5.721294e+00,6.264708e+00
1.326934e+02,5.790741e+00,6.212570e+00
1.367967e+02,5.857636e+00,6.170246e+00
1.410268e+02,5.900326e+00,6.180764e+00
1.453878e+02,5.930901e+00,6.220171e+00
1.498836e+02,5.969547e+00,6.247356e+00
1.545185e+02,6.016056e+00,6.262647e+00
1.592967e+02,6.063755e+00,6.280002e+00
1.642226e+02,6.110423e+00,6.304249e+00
1.693009e+02,6.155422e+00,6.336876e+00
1.745362e+02,6.198040e+00,6.379598e+00
1.799334e+02,6.237663e+00,6.433979e+00
1.854975e+02,6.273939e+00,6.501052e+00
1.912336e+02,6.306509e+00,6.581942e+00
1.971471e+02,6.334976e+00,6.677939e+00
2.032435e+02,6.358846e+00,6.790680e+00
2.095284e+02,6.377716e+00,6.921728e+00
2.160077e+02,6.391211e+00,7.072687e+00
2.226873e+02,6.401110e+00,7.239584e+00
2.295735e+02,6.409291e+00,7.417866e+00
2.366726e+02,6.415820e+00,7.607746e+00
2.439912e+02,6.420662e+00,7.809742e+00
2.515362e+02,6.424270e+00,8.022928e+00
2.593144e+02,6.427454e+00,8.245149e+00
2.673332e+02,6.430301e+00,8.476445e+00
2.756000e+02,6.432785e+00,8.717128e+00
2.841224e+02,6.435391e+00,8.965793e+00
2.929083e+02,6.439786e+00,9.216847e+00
3.019659e+02,6.446190e+00,9.469404e+00
3.113036e+02,6.454565e+00,9.723415e+00
3.209301e+02,6.465100e+00,9.977912e+00
3.308542e+02,6.478009e+00,1.023192e+01
3.410852e+02,6.493282e+00,1.048535e+01
3.516326e+02,6.510712e+00,1.073858e+01
3.625062e+02,6.530101e+00,1.099244e+01
3.737160e+02,6.551401e+00,1.124702e+01
3.852724e+02,6.574604e+00,1.150215e+01
3.971862e+02,6.601130e+00,1.175123e+01
4.094684e+02,6.631655e+00,1.199103e+01
4.221304e+02,6.666071e+00,1.222160e+01
4.351840e+02,6.704486e+00,1.244195e+01
4.486412e+02,6.747600e+00,1.264863e+01
4.625145e+02,6.795348e+00,1.284146e+01
4.768169e+02,6.847607e+00,1.302077e+01
4.915615e+02,6.904307e+00,1.318691e+01
5.067621e+02,6.965465e+00,1.333984e+01
5.224327e+02,7.031065e+00,1.347930e+01
5.385879e+02,7.101125e+00,1.360562e+01
5.552427e+02,7.175589e+00,1.371890e+01
5.724125e+02,7.254970e+00,1.381653e+01
5.901132e+02,7.339703e+00,1.389671e+01
6.083613e+02,7.429637e+00,1.396012e+01
6.271737e+02,7.524879e+00,1.400749e+01
6.465678e+02,7.625212e+00,1.403977e+01
6.665617e+02,7.730586e+00,1.405777e+01
6.871738e+02,7.841106e+00,1.406216e+01
7.084233e+02,7.956607e+00,1.405383e+01
7.303299e+02,8.077133e+00,1.403344e+01
7.529139e+02,8.202629e+00,1.400171e+01
7.761963e+02,8.333258e+00,1.395925e+01
8.001987e+02,8.468803e+00,1.390656e+01
8.249432e+02,8.609864e+00,1.384306e+01
8.504530e+02,8.756333e+00,1.376923e+01
8.767516e+02,8.908155e+00,1.368585e+01
9.038634e+02,9.065546e+00,1.359352e+01
9.318136e+02,9.228425e+00,1.349285e+01
9.606281e+02,9.397005e+00,1.338433e+01
9.903337e+02,9.571214e+00,1.326859e+01
1.020958e+03,9.751173e+00,1.314626e+01
1.052529e+03,9.937014e+00,1.301786e+01
1.085076e+03,1.012882e+01,1.288383e+01
1.118630e+03,1.032620e+01,1.274484e+01
1.153222e+03,1.053022e+01,1.260085e+01
1.188883e+03,1.074048e+01,1.245254e+01
1.225647e+03,1.095688e+01,1.230047e+01
1.263547e+03,1.117958e+01,1.214503e+01
1.302620e+03,1.140922e+01,1.198637e+01
1.342901e+03,1.164573e+01,1.182472e+01
1.384428e+03,1.188901e+01,1.166071e+01
1.427238e+03,1.213915e+01,1.149491e+01
1.471373e+03,1.239617e+01,1.132754e+01
1.516872e+03,1.266098e+01,1.115855e+01
1.563779e+03,1.293290e+01,1.098854e+01
1.612135e+03,1.321268e+01,1.081751e+01
1.661988e+03,1.350046e+01,1.064578e+01
1.713381e+03,1.379586e+01,1.047370e+01
1.766364e+03,1.409943e+01,1.030142e+01
1.820986e+03,1.441149e+01,1.012913e+01
1.877296e+03,1.473187e+01,9.957131e+00
1.935348e+03,1.506106e+01,9.785555e+00
1.995195e+03,1.539963e+01,9.614462e+00
2.056892e+03,1.574714e+01,9.444250e+00
2.120497e+03,1.610439e+01,9.274749e+00
2.186070e+03,1.647001e+01,9.106362e+00
2.253670e+03,1.684406e+01,8.939376e+00
2.323360e+03,1.722999e+01,8.773310e+00
2.395205e+03,1.762902e+01,8.608317e+00
2.469272e+03,1.803526e+01,8.445170e+00
2.545630e+03,1.845200e+01,8.283631e+00
2.624348e+03,1.888214e+01,8.123435e+00
2.705501e+03,1.932100e+01,7.965256e+00
2.789163e+03,1.977325e+01,7.808645e+00
2.875413e+03,2.023576e+01,7.654057e+00
2.964329e+03,2.071160e+01,7.501238e+00
3.055995e+03,2.120087e+01,7.350275e+00
3.150496e+03,2.169538e+01,7.225188e+00
3.247919e+03,2.219587e+01,7.121018e+00
3.348355e+03,2.271104e+01,7.016206e+00
3.451896e+03,2.324219e+01,6.909381e+00
3.558639e+03,2.378304e+01,6.802983e+00
3.668683e+03,2.434065e+01,6.700847e+00
3.782130e+03,2.491238e+01,6.597943e+00
3.899085e+03,2.549905e+01,6.494742e+00
4.019656e+03,2.610144e+01,6.390726e+00
4.143956e+03,2.672181e+01,6.286434e+00
4.272100e+03,2.735732e+01,6.181570e+00
4.404207e+03,2.800644e+01,6.076999e+00
4.540398e+03,2.867340e+01,5.971892e+00
4.680801e+03,2.936194e+01,5.867689e+00
4.825546e+03,3.006884e+01,5.762982e+00
4.974766e+03,3.078931e+01,5.658966e+00
5.128601e+03,3.153458e+01,5.555884e+00
5.287193e+03,3.229450e+01,5.452589e+00
5.450689e+03,3.307916e+01,5.349779e+00
5.619241e+03,3.388309e+01,5.248700e+00
5.793005e+03,3.470925e+01,5.147947e+00
5.972142e+03,3.555262e+01,5.048060e+00
6.156819e+03,3.642462e+01,4.948850e+00
6.347207e+03,3.731926e+01,4.850482e+00
6.543482e+03,3.823440e+01,4.753223e+00
6.745826e+03,3.916843e+01,4.658354e+00
6.954427e+03,4.013206e+01,4.563253e+00
