energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.597569e+00,2.024695e+01
7.216461e+01,1.407982e+00,2.325932e+01
7.439616e+01,1.278182e+00,2.592715e+01
7.669672e+01,1.185103e+00,2.828340e+01
7.906841e+01,1.116207e+00,3.035841e+01
8.151345e+01,1.064365e+00,3.217031e+01
8.403409e+01,1.025097e+00,3.373490e+01
8.663268e+01,9.952159e-01,3.507617e+01
8.931163e+01,9.725342e-01,3.621658e+01
9.207342e+01,9.554404e-01,3.718000e+01
9.492061e+01,9.425896e-01,3.799726e+01
9.785584e+01,9.331892e-01,3.868484e+01
1.008818e+02,9.266740e-01,3.925537e+01
1.040014e+02,9.226115e-01,3.971989e+01
1.072175e+02,9.206612e-01,4.008842e+01
1.105329e+02,9.204825e-01,4.037450e+01
1.139510e+02,9.218145e-01,4.058938e+01
1.174747e+02,9.245013e-01,4.073938e+01
1.211073e+02,9.284179e-01,4.083004e+01
1.248524e+02,9.334970e-01,4.086385e+01
1.287132e+02,9.397260e-01,4.084014e+01
1.326934e+02,9.470287e-01,4.076338e+01
1.367967e+02,9.553336e-01,4.063832e+01
1.410268e+02,9.645809e-01,4.046933e+01
1.453878e+02,9.747207e-01,4.026042e+01
1.498836e+02,9.857111e-01,4.001531e+01
1.545185e+02,9.975178e-01,3.973739e+01
1.592967e+02,1.010112e+00,3.942978e+01
1.642226e+02,1.023471e+00,3.909537e+01
1.693009e+02,1.037574e+00,3.873680e+01
1.745362e+02,1.052408e+00,3.835652e+01
1.799334e+02,1.067960e+00,3.795677e+01
1.854975e+02,1.084222e+00,3.753964e+01
1.912336e+02,1.101187e+00,3.710704e+01
1.971471e+02,1.118850e+00,3.666076e+01
2.032435e+02,1.137211e+00,3.620245e+01
2.095284e+02,1.156269e+00,3.573360e+01
2.160077e+02,1.176025e+00,3.525564e+01
2.226873e+02,1.196483e+00,3.476985e+01
2.295735e+02,1.217646e+00,3.427745e+01
2.366726e+02,1.239521e+00,3.377956e+01
2.439912e+02,1.262115e+00,3.327720e+01
2.515362e+02,1.285435e+00,3.277130e+01
2.593144e+02,1.309491e+00,3.226278e+01
2.673332e+02,1.334294e+00,3.175241e+01
2.756000e+02,1.359858e+00,3.124065e+01
2.841224e+02,1.386196e+00,3.072813e+01
2.929083e+02,1.413320e+00,3.021558e+01
3.019659e+02,1.441245e+00,2.970359e+01
3.113036e+02,1.469985e+00,2.919277e+01
3.209301e+02,1.499554e+00,2.868370e+01
3.308542e+02,1.529967e+00,2.817686e+01
3.410852e+02,1.561244e+00,2.767267e+01
3.516326e+02,1.593397e+00,2.717163e+01
3.625062e+02,1.626449e+00,2.667405e+01
3.737160e+02,1.660421e+00,2.618027e+01
3.852724e+02,1.695333e+00,2.569023e+01
3.971862e+02,1.731209e+00,2.520413e+01
4.094684e+02,1.768075e+00,2.472226e+01
4.221304e+02,1.805948e+00,2.424496e+01
4.351840e+02,1.844848e+00,2.377256e+01
4.486412e+02,1.884804e+00,2.330524e+01
4.625145e+02,1.925836e+00,2.284336e+01
4.768169e+02,1.967965e+00,2.238713e+01
4.915615e+02,2.011224e+00,2.193665e+01
5.067621e+02,2.055643e+00,2.149187e+01
5.224327e+02,2.101248e+00,2.105274e+01
5.385879e+02,2.148073e+00,2.061940e+01
5.552427e+02,2.196143e+00,2.019199e+01
5.724125e+02,2.244076e+00,1.985043e+01
5.901132e+02,2.288655e+00,1.976767e+01
6.083613e+02,2.334642e+00,1.966899e+01
6.271737e+02,2.382111e+00,1.955345e+01
6.465678e+02,2.431035e+00,1.942444e+01
6.665617e+02,2.481462e+00,1.928105e+01
6.871738e+02,2.533438e+00,1.912474e+01
7.084233e+02,2.586974e+00,1.895675e+01
7.303299e+02,2.642100e+00,1.877802e+01
7.529139e+02,2.698812e+00,1.859041e+01
7.761963e+02,2.757223e+00,1.839232e+01
8.001987e+02,2.817311e+00,1.818566e+01
8.249432e+02,2.879162e+00,1.797078e+01
8.504530e+02,2.942785e+00,1.774834e+01
8.767516e+02,3.008223e+00,1.751943e+01
9.038634e+02,3.075535e+00,1.728479e+01
9.318136e+02,3.144704e+00,1.704517e+01
9.606281e+02,3.215824e+00,1.680164e+01
9.903337e+02,3.288897e+00,1.655451e+01
1.020958e+03,3.364021e+00,1.630394e+01
1.052529e+03,3.441240e+00,1.605072e+01
1.085076e+03,3.520519e+00,1.579657e+01
1.118630e+03,3.601920e+00,1.554045e+01
1.153222e+03,3.685623e+00,1.528286e+01
1.188883e+03,3.771540e+00,1.502626e+01
1.225647e+03,3.859925e+00,1.476653e+01
1.263547e+03,3.950438e+00,1.451043e+01
1.302620e+03,4.043626e+00,1.425189e+01
1.342901e+03,4.139071e+00,1.399825e+01
1.384428e+03,4.237286e+00,1.374236e+01
1.427238e+03,4.338011e+00,1.348910e+01
1.471373e+03,4.441449e+00,1.323712e+01
1.516872e+03,4.547918e+00,1.298454e+01
1.563779e+03,4.656999e+00,1.273578e+01
1.612135e+03,4.768969e+00,1.248886e+01
1.661988e+03,4.883826e+00,1.224646e+01
1.713381e+03,5.002069e+00,1.200176e+01
1.766364e+03,5.123177e+00,1.176297e+01
1.820986e+03,5.247214e+00,1.153007e+01
1.877296e+03,5.374810e+00,1.129640e+01
1.935348e+03,5.506134e+00,1.106336e+01
1.995195e+03,5.640478e+00,1.083773e+01
2.056892e+03,5.778977e+00,1.061038e+01
2.120497e+03,5.920641e+00,1.039021e+01
2.186070e+03,6.066028e+00,1.017086e+01
2.253670e+03,6.214990e+00,9.955541e+00
2.323360e+03,6.368044e+00,9.743940e+00
2.395205e+03,6.526091e+00,9.535352e+00
2.469272e+03,6.687709e+00,9.327097e+00
2.545630e+03,6.853134e+00,9.125636e+00
2.624348e+03,7.023934e+00,8.925969e+00
2.705501e+03,7.197460e+00,8.734645e+00
2.789163e+03,7.378303e+00,8.536135e+00
2.875413e+03,7.561265e+00,8.351717e+00
2.964329e+03,7.750313e+00,8.165785e+00
3.055995e+03,7.944659e+00,7.983903e+00
3.150496e+03,8.143557e+00,7.804144e+00
3.247919e+03,8.347816e+00,7.628298e+00
3.348355e+03,8.557107e+00,7.459161e+00
3.451896e+03,8.773807e+00,7.285079e+00
3.558639e+03,8.995318e+00,7.117775e+00
3.668683e+03,9.221462e+00,6.957293e+00
3.782130e+03,9.452791e+00,6.803259e+00
3.899085e+03,9.692914e+00,6.643346e+00
4.019656e+03,9.938925e+00,6.489508e+00
4.143956e+03,1.019004e+01,6.342048e+00
4.272100e+03,1.045036e+01,6.189959e+00
4.404207e+03,1.071242e+01,6.052955e+00
4.540398e+03,1.098477e+01,5.910857e+00
4.680801e+03,1.126443e+01,5.774150e+00
4.825546e+03,1.155525e+01,5.631366e+00
4.974766e+03,1.184609e+01,5.505092e+00
5.128601e+03,1.215156e+01,5.371649e+00
5.287193e+03,1.246114e+01,5.244254e+00
5.450689e+03,1.277969e+01,5.121507e+00
5.619241e+03,1.310365e+01,5.004312e+00
5.793005e+03,1.344431e+01,4.878054e+00
5.972142e+03,1.378293e+01,4.770846e+00
6.156819e+03,1.413892e+01,4.654312e+00
6.347207e+03,1.450197e+01,4.542621e+00
6.543482e+03,1.487223e+01,4.435721e+00
6.745826e+03,1.525030e+01,4.333413e+00
6.954427e+03,1.564950e+01,4.220953e+00
7.169480e+03,1.604603e+01,4.127204e+00
7.391182e+03,1.646181e+01,4.023433e+00
7.619740e+03,1.688902e+01,3.923529e+00
7.855365e+03,1.732497e+01,3.827812e+00
8.098277e+03,1.777104e+01,3.735978e+00
8.348700e+03,1.822644e+01,3.648108e+00
8.606867e+03,1.869139e+01,3.564037e+00
8.873018e+03,1.918012e+01,3.469122e+00
9.147399e+03,1.966420e+01,3.392606e+00
9.430264e+03,2.018259e+01,3.304028e+00
9.721877e+03,2.070763e+01,3.219333e+00
1.002251e+04,2.122364e+01,3.153400e+00
1.033243e+04,2.177332e+01,3.075277e+00
1.065194e+04,2.233189e+01,3.000639e+00
1.098133e+04,2.290375e+01,2.928495e+00
1.132091e+04,2.351454e+01,2.844806e+00
1.167099e+04,2.411354e+01,2.779235e+00
1.203189e+04,2.472220e+01,2.716840e+00
1.240395e+04,2.537297e+01,2.641461e+00
1.278752e+04,2.600543e+01,2.584960e+00
