energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.721891e+00,8.858187e+00
7.216461e+01,2.851082e+00,1.178119e+01
7.439616e+01,2.280219e+00,1.500853e+01
7.669672e+01,1.889920e+00,1.844416e+01
7.906841e+01,1.614302e+00,2.198273e+01
8.151345e+01,1.429608e+00,2.522295e+01
8.403409e+01,1.310265e+00,2.789684e+01
8.663268e+01,1.232505e+00,2.999998e+01
8.931163e+01,1.182384e+00,3.157477e+01
9.207342e+01,1.151158e+00,3.269201e+01
9.492061e+01,1.132733e+00,3.344593e+01
9.785584e+01,1.123211e+00,3.391766e+01
1.008818e+02,1.120112e+00,3.417001e+01
1.040014e+02,1.122310e+00,3.423043e+01
1.072175e+02,1.128712e+00,3.413471e+01
1.105329e+02,1.138183e+00,3.392667e+01
1.139510e+02,1.149976e+00,3.363724e+01
1.174747e+02,1.163538e+00,3.329080e+01
1.211073e+02,1.178443e+00,3.290693e+01
1.248524e+02,1.194431e+00,3.249814e+01
1.287132e+02,1.211267e+00,3.207584e+01
1.326934e+02,1.228812e+00,3.164714e+01
1.367967e+02,1.246967e+00,3.121733e+01
1.410268e+02,1.265647e+00,3.079092e+01
1.453878e+02,1.284814e+00,3.037027e+01
1.498836e+02,1.304499e+00,2.995463e+01
1.545185e+02,1.324711e+00,2.954423e+01
1.592967e+02,1.345475e+00,2.913862e+01
1.642226e+02,1.366798e+00,2.873814e+01
1.693009e+02,1.388679e+00,2.834342e+01
1.745362e+02,1.411147e+00,2.795383e+01
1.799334e+02,1.434215e+00,2.756943e+01
1.854975e+02,1.457885e+00,2.719069e+01
1.912336e+02,1.482169e+00,2.681767e+01
1.971471e+02,1.507133e+00,2.644820e+01
2.032435e+02,1.532800e+00,2.608202e+01
2.095284e+02,1.559181e+00,2.571934e+01
2.160077e+02,1.586301e+00,2.535981e+01
2.226873e+02,1.614186e+00,2.500300e+01
2.295735e+02,1.642856e+00,2.464904e+01
2.366726e+02,1.672324e+00,2.429788e+01
2.439912e+02,1.702654e+00,2.394798e+01
2.515362e+02,1.733865e+00,2.359937e+01
2.593144e+02,1.765953e+00,2.325283e+01
2.673332e+02,1.798943e+00,2.290873e+01
2.756000e+02,1.832845e+00,2.256729e+01
2.841224e+02,1.867678e+00,2.222868e+01
2.929083e+02,1.903465e+00,2.189284e+01
3.019659e+02,1.940252e+00,2.155884e+01
3.113036e+02,1.978079e+00,2.122638e+01
3.209301e+02,2.016959e+00,2.089572e+01
3.308542e+02,2.056921e+00,2.056697e+01
3.410852e+02,2.097991e+00,2.024002e+01
3.516326e+02,2.140260e+00,1.991349e+01
3.625062e+02,2.183703e+00,1.958785e+01
3.737160e+02,2.228370e+00,1.926318e+01
3.852724e+02,2.274297e+00,1.893969e+01
3.971862e+02,2.321527e+00,1.861759e+01
4.094684e+02,2.370057e+00,1.829729e+01
4.221304e+02,2.419893e+00,1.797920e+01
4.351840e+02,2.471122e+00,1.766336e+01
4.486412e+02,2.523709e+00,1.735044e+01
4.625145e+02,2.577721e+00,1.704037e+01
4.768169e+02,2.633210e+00,1.673301e+01
4.915615e+02,2.690192e+00,1.642836e+01
5.067621e+02,2.748726e+00,1.612644e+01
5.224327e+02,2.808828e+00,1.582724e+01
5.385879e+02,2.870521e+00,1.553084e+01
5.552427e+02,2.933904e+00,1.523713e+01
5.724125e+02,2.998998e+00,1.494667e+01
5.901132e+02,3.065823e+00,1.465961e+01
6.083613e+02,3.134432e+00,1.437598e+01
6.271737e+02,3.204842e+00,1.409595e+01
6.465678e+02,3.277118e+00,1.381954e+01
6.665617e+02,3.351312e+00,1.354685e+01
6.871738e+02,3.427422e+00,1.327800e+01
7.084233e+02,3.500464e+00,1.315769e+01
7.303299e+02,3.573908e+00,1.307943e+01
7.529139e+02,3.649559e+00,1.299364e+01
7.761963e+02,3.727385e+00,1.290041e+01
8.001987e+02,3.807395e+00,1.280112e+01
8.249432e+02,3.889621e+00,1.269854e+01
8.504530e+02,3.973947e+00,1.259375e+01
8.767516e+02,4.060671e+00,1.248648e+01
9.038634e+02,4.149374e+00,1.237763e+01
9.318136e+02,4.241027e+00,1.226343e+01
9.606281e+02,4.335010e+00,1.214356e+01
9.903337e+02,4.431481e+00,1.201858e+01
1.020958e+03,4.530877e+00,1.188791e+01
1.052529e+03,4.633001e+00,1.175253e+01
1.085076e+03,4.738126e+00,1.161325e+01
1.118630e+03,4.846304e+00,1.146968e+01
1.153222e+03,4.957293e+00,1.132244e+01
1.188883e+03,5.071285e+00,1.117211e+01
1.225647e+03,5.188451e+00,1.101931e+01
1.263547e+03,5.309007e+00,1.086417e+01
1.302620e+03,5.432609e+00,1.070706e+01
1.342901e+03,5.559526e+00,1.054788e+01
1.384428e+03,5.690107e+00,1.038685e+01
1.427238e+03,5.823920e+00,1.022516e+01
1.471373e+03,5.961397e+00,1.006263e+01
1.516872e+03,6.103201e+00,9.898980e+00
1.563779e+03,6.248609e+00,9.734860e+00
1.612135e+03,6.397556e+00,9.571772e+00
1.661988e+03,6.550268e+00,9.409495e+00
1.713381e+03,6.708344e+00,9.242787e+00
1.766364e+03,6.868940e+00,9.080903e+00
1.820986e+03,7.034846e+00,8.917988e+00
1.877296e+03,7.205810e+00,8.754104e+00
1.935348e+03,7.379100e+00,8.596056e+00
1.995195e+03,7.559356e+00,8.434768e+00
2.056892e+03,7.742223e+00,8.276854e+00
2.120497e+03,7.932936e+00,8.115579e+00
2.186070e+03,8.127592e+00,7.959144e+00
2.253670e+03,8.327537e+00,7.805471e+00
2.323360e+03,8.534222e+00,7.649071e+00
2.395205e+03,8.742060e+00,7.499570e+00
2.469272e+03,8.960663e+00,7.347885e+00
2.545630e+03,9.182196e+00,7.198981e+00
2.624348e+03,9.408309e+00,7.055175e+00
