energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.709580e+00,1.201746e+01
7.216461e+01,2.266921e+00,1.458830e+01
7.439616e+01,1.955973e+00,1.717222e+01
7.669672e+01,1.726729e+00,1.975668e+01
7.906841e+01,1.551165e+00,2.233730e+01
8.151345e+01,1.412646e+00,2.491217e+01
8.403409e+01,1.300745e+00,2.748016e+01
8.663268e+01,1.208614e+00,3.004027e+01
8.931163e+01,1.131547e+00,3.259239e+01
9.207342e+01,1.066201e+00,3.513739e+01
9.492061e+01,1.010116e+00,3.767809e+01
9.785584e+01,9.617472e-01,4.020287e+01
1.008818e+02,9.199829e-01,4.269438e+01
1.040014e+02,8.837163e-01,4.514854e+01
1.072175e+02,8.520521e-01,4.756338e+01
1.105329e+02,8.242756e-01,4.993765e+01
1.139510e+02,7.998601e-01,5.226632e+01
1.174747e+02,7.783515e-01,5.454672e+01
1.211073e+02,7.593545e-01,5.677870e+01
1.248524e+02,7.425337e-01,5.896343e+01
1.287132e+02,7.276175e-01,6.110150e+01
1.326934e+02,7.146039e-01,6.316476e+01
1.367967e+02,7.034016e-01,6.513583e+01
1.410268e+02,6.938238e-01,6.701264e+01
1.453878e+02,6.857357e-01,6.878988e+01
1.498836e+02,6.790159e-01,7.046366e+01
1.545185e+02,6.735315e-01,7.203533e+01
1.592967e+02,6.691790e-01,7.350472e+01
1.642226e+02,6.659122e-01,7.486422e+01
1.693009e+02,6.636436e-01,7.611566e+01
1.745362e+02,6.622922e-01,7.726226e+01
1.799334e+02,6.618835e-01,7.828799e+01
1.854975e+02,6.624152e-01,7.918309e+01
1.912336e+02,6.638965e-01,7.993636e+01
1.971471e+02,6.664159e-01,8.052047e+01
2.032435e+02,6.699275e-01,8.093838e+01
2.095284e+02,6.746894e-01,8.112624e+01
2.160077e+02,6.806858e-01,8.108386e+01
2.226873e+02,6.877717e-01,8.084366e+01
2.295735e+02,6.958474e-01,8.043002e+01
2.366726e+02,7.049462e-01,7.983788e+01
2.439912e+02,7.149783e-01,7.909300e+01
2.515362e+02,7.258235e-01,7.822899e+01
2.593144e+02,7.373316e-01,7.728662e+01
2.673332e+02,7.494048e-01,7.629358e+01
2.756000e+02,7.620251e-01,7.525821e+01
2.841224e+02,7.752389e-01,7.417374e+01
2.929083e+02,7.890186e-01,7.305132e+01
3.019659e+02,8.032968e-01,7.191092e+01
3.113036e+02,8.180371e-01,7.076451e+01
3.209301e+02,8.332272e-01,6.961808e+01
3.308542e+02,8.488552e-01,6.847738e+01
3.410852e+02,8.648901e-01,6.735210e+01
3.516326e+02,8.813259e-01,6.624585e+01
3.625062e+02,8.981729e-01,6.515842e+01
3.737160e+02,9.154564e-01,6.408647e+01
3.852724e+02,9.331863e-01,6.303016e+01
3.971862e+02,9.513705e-01,6.199010e+01
4.094684e+02,9.700172e-01,6.096683e+01
4.221304e+02,9.891430e-01,5.995927e+01
4.351840e+02,1.008762e+00,5.896665e+01
4.486412e+02,1.028886e+00,5.798926e+01
4.625145e+02,1.049525e+00,5.702738e+01
4.768169e+02,1.070696e+00,5.607989e+01
4.915615e+02,1.092425e+00,5.514425e+01
5.067621e+02,1.114727e+00,5.422038e+01
5.224327e+02,1.137614e+00,5.330844e+01
5.385879e+02,1.161102e+00,5.240834e+01
5.552427e+02,1.185216e+00,5.151775e+01
5.724125e+02,1.209979e+00,5.063580e+01
5.901132e+02,1.235406e+00,4.976270e+01
6.083613e+02,1.261511e+00,4.889871e+01
6.271737e+02,1.288314e+00,4.804391e+01
6.465678e+02,1.315832e+00,4.719793e+01
6.665617e+02,1.344086e+00,4.636080e+01
6.871738e+02,1.373092e+00,4.553273e+01
7.084233e+02,1.402868e+00,4.471412e+01
7.303299e+02,1.433432e+00,4.390521e+01
7.529139e+02,1.464806e+00,4.310621e+01
7.761963e+02,1.496991e+00,4.231972e+01
8.001987e+02,1.530000e+00,4.154733e+01
8.249432e+02,1.563862e+00,4.078767e+01
8.504530e+02,1.598411e+00,4.007159e+01
8.767516e+02,1.633531e+00,3.941870e+01
9.038634e+02,1.669123e+00,3.884506e+01
9.318136e+02,1.705047e+00,3.837147e+01
9.606281e+02,1.741131e+00,3.802232e+01
9.903337e+02,1.777543e+00,3.776663e+01
1.020958e+03,1.814795e+00,3.752445e+01
1.052529e+03,1.853028e+00,3.727619e+01
1.085076e+03,1.892363e+00,3.700915e+01
1.118630e+03,1.932834e+00,3.672258e+01
1.153222e+03,1.974404e+00,3.642626e+01
1.188883e+03,2.017055e+00,3.612712e+01
1.225647e+03,2.060817e+00,3.582524e+01
1.263547e+03,2.105729e+00,3.551969e+01
1.302620e+03,2.151828e+00,3.520963e+01
1.342901e+03,2.199141e+00,3.489528e+01
1.384428e+03,2.247700e+00,3.457672e+01
1.427238e+03,2.297556e+00,3.425222e+01
1.471373e+03,2.348737e+00,3.392193e+01
1.516872e+03,2.401283e+00,3.358576e+01
1.563779e+03,2.455255e+00,3.324183e+01
1.612135e+03,2.510681e+00,3.289015e+01
1.661988e+03,2.567620e+00,3.253017e+01
1.713381e+03,2.626138e+00,3.215852e+01
1.766364e+03,2.686271e+00,3.177607e+01
1.820986e+03,2.748049e+00,3.138441e+01
1.877296e+03,2.811522e+00,3.098424e+01
1.935348e+03,2.876748e+00,3.057608e+01
1.995195e+03,2.943739e+00,3.016103e+01
2.056892e+03,3.012552e+00,2.973996e+01
2.120497e+03,3.083265e+00,2.931286e+01
2.186070e+03,3.155889e+00,2.888071e+01
2.253670e+03,3.230511e+00,2.844396e+01
2.323360e+03,3.307143e+00,2.800396e+01
2.395205e+03,3.385840e+00,2.756137e+01
2.469272e+03,3.466677e+00,2.711690e+01
2.545630e+03,3.549674e+00,2.667130e+01
2.624348e+03,3.634878e+00,2.622525e+01
2.705501e+03,3.722420e+00,2.577905e+01
2.789163e+03,3.812291e+00,2.533393e+01
2.875413e+03,3.904560e+00,2.488973e+01
2.964329e+03,3.999295e+00,2.444734e+01
3.055995e+03,4.096588e+00,2.400693e+01
3.150496e+03,4.196474e+00,2.356941e+01
3.247919e+03,4.299064e+00,2.313465e+01
3.348355e+03,4.404344e+00,2.270331e+01
3.451896e+03,4.512430e+00,2.227587e+01
3.558639e+03,4.623459e+00,2.185197e+01
3.668683e+03,4.737331e+00,2.143230e+01
3.782130e+03,4.854384e+00,2.101620e+01
3.899085e+03,4.974438e+00,2.060493e+01
4.019656e+03,5.097766e+00,2.019791e+01
4.143956e+03,5.224329e+00,1.979602e+01
4.272100e+03,5.354318e+00,1.939835e+01
4.404207e+03,5.487705e+00,1.900613e+01
4.540398e+03,5.624699e+00,1.861833e+01
4.680801e+03,5.765330e+00,1.823582e+01
4.825546e+03,5.909796e+00,1.785828e+01
4.974766e+03,6.057940e+00,1.748632e+01
5.128601e+03,6.210219e+00,1.711923e+01
5.287193e+03,6.366291e+00,1.675807e+01
5.450689e+03,6.526919e+00,1.640180e+01
5.619241e+03,6.691640e+00,1.605079e+01
5.793005e+03,6.860451e+00,1.570595e+01
5.972142e+03,7.034175e+00,1.536599e+01
6.156819e+03,7.212495e+00,1.503151e+01
6.347207e+03,7.395543e+00,1.470275e+01
6.543482e+03,7.583524e+00,1.437960e+01
6.745826e+03,7.776650e+00,1.406159e+01
6.954427e+03,7.974637e+00,1.374926e+01
7.169480e+03,8.178104e+00,1.345234e+01
7.391182e+03,8.386615e+00,1.317343e+01
7.619740e+03,8.600106e+00,1.290613e+01
7.855365e+03,8.819759e+00,1.264416e+01
8.098277e+03,9.045344e+00,1.238673e+01
8.348700e+03,9.276617e+00,1.213640e+01
8.606867e+03,9.514316e+00,1.188892e+01
8.873018e+03,9.758456e+00,1.164453e+01
9.147399e+03,1.000961e+01,1.140286e+01
9.430264e+03,1.026734e+01,1.116505e+01
9.721877e+03,1.053115e+01,1.093083e+01
1.002251e+04,1.080302e+01,1.069934e+01
1.033243e+04,1.108257e+01,1.047061e+01
1.065194e+04,1.136893e+01,1.024682e+01
1.098133e+04,1.166195e+01,1.002655e+01
1.132091e+04,1.196286e+01,9.809185e+00
1.167099e+04,1.227401e+01,9.594680e+00
1.203189e+04,1.259189e+01,9.384366e+00
1.240395e+04,1.291947e+01,9.177416e+00
1.278752e+04,1.325558e+01,8.973999e+00
1.318295e+04,1.360087e+01,8.773982e+00
1.359061e+04,1.395361e+01,8.577945e+00
1.401087e+04,1.431769e+01,8.385274e+00
1.444413e+04,1.469384e+01,8.195606e+00
1.489078e+04,1.507487e+01,8.011090e+00
1.535125e+04,1.547337e+01,7.827178e+00
1.582596e+04,1.587632e+01,7.649328e+00
1.631535e+04,1.629286e+01,7.473670e+00
1.681987e+04,1.671763e+01,7.302120e+00
1.733999e+04,1.715612e+01,7.133108e+00
1.787619e+04,1.760768e+01,6.967991e+00
1.842898e+04,1.807323e+01,6.805381e+00
1.899886e+04,1.854479e+01,6.647620e+00
1.958636e+04,1.903440e+01,6.491456e+00
2.019203e+04,1.953624e+01,6.339511e+00
2.081643e+04,2.005225e+01,6.189949e+00
2.146014e+04,2.057789e+01,6.044278e+00
2.212375e+04,2.111552e+01,5.901674e+00
2.280789e+04,2.166449e+01,5.762690e+00
2.351318e+04,2.223520e+01,5.626319e+00
2.424027e+04,2.283530e+01,5.490241e+00
2.498986e+04,2.343511e+01,5.360187e+00
2.576262e+04,2.405050e+01,5.232463e+00
2.655928e+04,2.469800e+01,5.104800e+00
2.738057e+04,2.534794e+01,4.982709e+00
2.822726e+04,2.601162e+01,4.865009e+00
2.910014e+04,2.672896e+01,4.743963e+00
3.000000e+04,2.744138e+01,4.628693e+00
