energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.940057e+00,1.670408e+01
7.216461e+01,1.703296e+00,1.926385e+01
7.439616e+01,1.545320e+00,2.148313e+01
7.669672e+01,1.434988e+00,2.339100e+01
7.906841e+01,1.355635e+00,2.501758e+01
8.151345e+01,1.297716e+00,2.638835e+01
8.403409e+01,1.255690e+00,2.751704e+01
8.663268e+01,1.225656e+00,2.842450e+01
8.931163e+01,1.204792e+00,2.913563e+01
9.207342e+01,1.190275e+00,2.970029e+01
9.492061e+01,1.180512e+00,3.014770e+01
9.785584e+01,1.174584e+00,3.049434e+01
1.008818e+02,1.171892e+00,3.075115e+01
1.040014e+02,1.172132e+00,3.092171e+01
1.072175e+02,1.174887e+00,3.101647e+01
1.105329e+02,1.179589e+00,3.105380e+01
1.139510e+02,1.185974e+00,3.104213e+01
1.174747e+02,1.193841e+00,3.098822e+01
1.211073e+02,1.203040e+00,3.089763e+01
1.248524e+02,1.213487e+00,3.077349e+01
1.287132e+02,1.225108e+00,3.061887e+01
1.326934e+02,1.237842e+00,3.043668e+01
1.367967e+02,1.251579e+00,3.023203e+01
1.410268e+02,1.266237e+00,3.000897e+01
1.453878e+02,1.281793e+00,2.976908e+01
1.498836e+02,1.298234e+00,2.951369e+01
1.545185e+02,1.315559e+00,2.924353e+01
1.592967e+02,1.333759e+00,2.895981e+01
1.642226e+02,1.352745e+00,2.866739e+01
1.693009e+02,1.372456e+00,2.836967e+01
1.745362e+02,1.392898e+00,2.806727e+01
1.799334e+02,1.414033e+00,2.776255e+01
1.854975e+02,1.435790e+00,2.745938e+01
1.912336e+02,1.458175e+00,2.715821e+01
1.971471e+02,1.481185e+00,2.685971e+01
2.032435e+02,1.504566e+00,2.657584e+01
2.095284e+02,1.527281e+00,2.635285e+01
2.160077e+02,1.547554e+00,2.626761e+01
2.226873e+02,1.565907e+00,2.629591e+01
2.295735e+02,1.582522e+00,2.642749e+01
2.366726e+02,1.587163e+00,2.713573e+01
2.439912e+02,1.556877e+00,2.956634e+01
2.515362e+02,1.497987e+00,3.368108e+01
2.593144e+02,1.443423e+00,3.792103e+01
2.673332e+02,1.408278e+00,4.124886e+01
2.756000e+02,1.388608e+00,4.370331e+01
2.841224e+02,1.380825e+00,4.539917e+01
2.929083e+02,1.383540e+00,4.636240e+01
3.019659e+02,1.393210e+00,4.682666e+01
3.113036e+02,1.407410e+00,4.696958e+01
3.209301e+02,1.424881e+00,4.688978e+01
3.308542e+02,1.444712e+00,4.666200e+01
3.410852e+02,1.466644e+00,4.631071e+01
3.516326e+02,1.490285e+00,4.587184e+01
3.625062e+02,1.515339e+00,4.537261e+01
3.737160e+02,1.541716e+00,4.482376e+01
3.852724e+02,1.569281e+00,4.423974e+01
3.971862e+02,1.597867e+00,4.363649e+01
4.094684e+02,1.627418e+00,4.302120e+01
4.221304e+02,1.657881e+00,4.240063e+01
4.351840e+02,1.689187e+00,4.178131e+01
4.486412e+02,1.721315e+00,4.116733e+01
4.625145e+02,1.754277e+00,4.055970e+01
4.768169e+02,1.788052e+00,3.996126e+01
4.915615e+02,1.822642e+00,3.937349e+01
5.067621e+02,1.858035e+00,3.879855e+01
5.224327e+02,1.894230e+00,3.823774e+01
5.385879e+02,1.931243e+00,3.769141e+01
5.552427e+02,1.969123e+00,3.715748e+01
5.724125e+02,2.007952e+00,3.663136e+01
5.901132e+02,2.047783e+00,3.611060e+01
6.083613e+02,2.088680e+00,3.559385e+01
6.271737e+02,2.130637e+00,3.508274e+01
6.465678e+02,2.173654e+00,3.457844e+01
6.665617e+02,2.217760e+00,3.408077e+01
6.871738e+02,2.263002e+00,3.358892e+01
7.084233e+02,2.309437e+00,3.310145e+01
7.303299e+02,2.357085e+00,3.261830e+01
7.529139e+02,2.406009e+00,3.213863e+01
7.761963e+02,2.456221e+00,3.166143e+01
8.001987e+02,2.507806e+00,3.118674e+01
8.249432e+02,2.560736e+00,3.071521e+01
8.504530e+02,2.615102e+00,3.024646e+01
8.767516e+02,2.670891e+00,2.978124e+01
9.038634e+02,2.728165e+00,2.931928e+01
9.318136e+02,2.786965e+00,2.886075e+01
9.606281e+02,2.847336e+00,2.840491e+01
9.903337e+02,2.909306e+00,2.795155e+01
1.020958e+03,2.972949e+00,2.750098e+01
1.052529e+03,3.038305e+00,2.705292e+01
1.085076e+03,3.105364e+00,2.660841e+01
1.118630e+03,3.174263e+00,2.616672e+01
1.153222e+03,3.244947e+00,2.572810e+01
1.188883e+03,3.317500e+00,2.529273e+01
1.225647e+03,3.392107e+00,2.486023e+01
1.263547e+03,3.468554e+00,2.443162e+01
1.302620e+03,3.547045e+00,2.400688e+01
1.342901e+03,3.627761e+00,2.358475e+01
1.384428e+03,3.710598e+00,2.316592e+01
1.427238e+03,3.795539e+00,2.274996e+01
1.471373e+03,3.882829e+00,2.233615e+01
1.516872e+03,3.972479e+00,2.192524e+01
1.563779e+03,4.064530e+00,2.151743e+01
1.612135e+03,4.159017e+00,2.111305e+01
1.661988e+03,4.256146e+00,2.071139e+01
1.713381e+03,4.355571e+00,2.031511e+01
1.766364e+03,4.457821e+00,1.992182e+01
1.820986e+03,4.556338e+00,1.981418e+01
1.877296e+03,4.657457e+00,1.969886e+01
1.935348e+03,4.761415e+00,1.957027e+01
1.995195e+03,4.868243e+00,1.943012e+01
2.056892e+03,4.978096e+00,1.927373e+01
2.120497e+03,5.091507e+00,1.910731e+01
2.186070e+03,5.207838e+00,1.893087e+01
2.253670e+03,5.327482e+00,1.874568e+01
2.323360e+03,5.450310e+00,1.855153e+01
2.395205e+03,5.576884e+00,1.835168e+01
2.469272e+03,5.706186e+00,1.814456e+01
2.545630e+03,5.838805e+00,1.792984e+01
2.624348e+03,5.976331e+00,1.771169e+01
2.705501e+03,6.116304e+00,1.748412e+01
2.789163e+03,6.262231e+00,1.725060e+01
