energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,6.842962e+00,4.680105e+00
7.216461e+01,6.425523e+00,5.021887e+00
7.439616e+01,6.178553e+00,5.256184e+00
7.669672e+01,6.038626e+00,5.406432e+00
7.906841e+01,5.974154e+00,5.487105e+00
8.151345e+01,5.954647e+00,5.522926e+00
8.403409e+01,5.958652e+00,5.534999e+00
8.663268e+01,5.972208e+00,5.538567e+00
8.931163e+01,5.993191e+00,5.535865e+00
9.207342e+01,6.017242e+00,5.532133e+00
9.492061e+01,6.043236e+00,5.528806e+00
9.785584e+01,6.069946e+00,5.527533e+00
1.008818e+02,6.096976e+00,5.528932e+00
1.040014e+02,6.124184e+00,5.533298e+00
1.072175e+02,6.152139e+00,5.539935e+00
1.105329e+02,6.180829e+00,5.548932e+00
1.139510e+02,6.210069e+00,5.560622e+00
1.174747e+02,6.239674e+00,5.575347e+00
1.211073e+02,6.269623e+00,5.593210e+00
1.248524e+02,6.300649e+00,5.613145e+00
1.287132e+02,6.332934e+00,5.634896e+00
1.326934e+02,6.366379e+00,5.658644e+00
1.367967e+02,6.400879e+00,5.684581e+00
1.410268e+02,6.437402e+00,5.711101e+00
1.453878e+02,6.477360e+00,5.735797e+00
1.498836e+02,6.520663e+00,5.758735e+00
1.545185e+02,6.567262e+00,5.779964e+00
1.592967e+02,6.617584e+00,5.798655e+00
1.642226e+02,6.672179e+00,5.813783e+00
1.693009e+02,6.730978e+00,5.825437e+00
1.745362e+02,6.793905e+00,5.833751e+00
1.799334e+02,6.861001e+00,5.838647e+00
1.854975e+02,6.932394e+00,5.839931e+00
1.912336e+02,7.008027e+00,5.837746e+00
1.971471e+02,7.087846e+00,5.832254e+00
2.032435e+02,7.171817e+00,5.823605e+00
2.095284e+02,7.259937e+00,5.811924e+00
2.160077e+02,7.352453e+00,5.796826e+00
2.226873e+02,7.449565e+00,5.778060e+00
2.295735e+02,7.551252e+00,5.755819e+00
2.366726e+02,7.657485e+00,5.730310e+00
2.439912e+02,7.768307e+00,5.701695e+00
2.515362e+02,7.883698e+00,5.670177e+00
2.593144e+02,8.003625e+00,5.635953e+00
2.673332e+02,8.128243e+00,5.599102e+00
2.756000e+02,8.257575e+00,5.559684e+00
2.841224e+02,8.391660e+00,5.517838e+00
2.929083e+02,8.530554e+00,5.473727e+00
3.019659e+02,8.674350e+00,5.427488e+00
3.113036e+02,8.823091e+00,5.379281e+00
3.209301e+02,8.976849e+00,5.329093e+00
3.308542e+02,9.135843e+00,5.276873e+00
3.410852e+02,9.300292e+00,5.222731e+00
3.516326e+02,9.469935e+00,5.166951e+00
3.625062e+02,9.645062e+00,5.109606e+00
3.737160e+02,9.825789e+00,5.050825e+00
3.852724e+02,1.001220e+01,4.990740e+00
3.971862e+02,1.020423e+01,4.929479e+00
4.094684e+02,1.029050e+01,5.078240e+00
4.221304e+02,1.034483e+01,5.293222e+00
4.351840e+02,1.040114e+01,5.509061e+00
4.486412e+02,1.046320e+01,5.719037e+00
