energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.316153e+00,2.465592e+01
7.216461e+01,1.135502e+00,2.897175e+01
7.439616e+01,1.011497e+00,3.295747e+01
7.669672e+01,9.220843e-01,3.662079e+01
7.906841e+01,8.551345e-01,3.998400e+01
8.151345e+01,8.036968e-01,4.306239e+01
8.403409e+01,7.634531e-01,4.586989e+01
8.663268e+01,7.315631e-01,4.842069e+01
8.931163e+01,7.060852e-01,5.072878e+01
9.207342e+01,6.856544e-01,5.280716e+01
9.492061e+01,6.692843e-01,5.466796e+01
9.785584e+01,6.562454e-01,5.632249e+01
1.008818e+02,6.460019e-01,5.777958e+01
1.040014e+02,6.381200e-01,5.905041e+01
1.072175e+02,6.322031e-01,6.015329e+01
1.105329e+02,6.276846e-01,6.114050e+01
1.139510e+02,6.242116e-01,6.204616e+01
1.174747e+02,6.199014e-01,6.314269e+01
1.211073e+02,6.114076e-01,6.497695e+01
1.248524e+02,5.984171e-01,6.770313e+01
1.287132e+02,5.848573e-01,7.074906e+01
1.326934e+02,5.729588e-01,7.370981e+01
1.367967e+02,5.629879e-01,7.648582e+01
1.410268e+02,5.548937e-01,7.903452e+01
1.453878e+02,5.484991e-01,8.134627e+01
1.498836e+02,5.435856e-01,8.343072e+01
1.545185e+02,5.400211e-01,8.528586e+01
1.592967e+02,5.375018e-01,8.696350e+01
1.642226e+02,5.358249e-01,8.849896e+01
1.693009e+02,5.349113e-01,8.989940e+01
1.745362e+02,5.347000e-01,9.116999e+01
1.799334e+02,5.351409e-01,9.231520e+01
1.854975e+02,5.361785e-01,9.334345e+01
1.912336e+02,5.377514e-01,9.426728e+01
1.971471e+02,5.398258e-01,9.509212e+01
2.032435e+02,5.423750e-01,9.582241e+01
2.095284e+02,5.453783e-01,9.646154e+01
2.160077e+02,5.488482e-01,9.700218e+01
2.226873e+02,5.527804e-01,9.744351e+01
2.295735e+02,5.571587e-01,9.778967e+01
2.366726e+02,5.619687e-01,9.804502e+01
2.439912e+02,5.671974e-01,9.821392e+01
2.515362e+02,5.728346e-01,9.830056e+01
2.593144e+02,5.788659e-01,9.831093e+01
2.673332e+02,5.852807e-01,9.825022e+01
2.756000e+02,5.920966e-01,9.811321e+01
2.841224e+02,5.993079e-01,9.790382e+01
2.929083e+02,6.069099e-01,9.762611e+01
3.019659e+02,6.148999e-01,9.728393e+01
3.113036e+02,6.232744e-01,9.688125e+01
3.209301e+02,6.320320e-01,9.642152e+01
3.308542e+02,6.411801e-01,9.590500e+01
3.410852e+02,6.507263e-01,9.533256e+01
3.516326e+02,6.606692e-01,9.470797e+01
3.625062e+02,6.710105e-01,9.403477e+01
3.737160e+02,6.817522e-01,9.331634e+01
3.852724e+02,6.928969e-01,9.255566e+01
3.971862e+02,7.044522e-01,9.175385e+01
4.094684e+02,7.164238e-01,9.091342e+01
4.221304e+02,7.288156e-01,9.003744e+01
4.351840e+02,7.416328e-01,8.912807e+01
4.486412e+02,7.548844e-01,8.818731e+01
4.625145e+02,7.685737e-01,8.721827e+01
4.768169e+02,7.827059e-01,8.622375e+01
4.915615e+02,7.972910e-01,8.520560e+01
5.067621e+02,8.123348e-01,8.416590e+01
5.224327e+02,8.278474e-01,8.310670e+01
5.385879e+02,8.438345e-01,8.203054e+01
5.552427e+02,8.603047e-01,8.093921e+01
5.724125e+02,8.772694e-01,7.983422e+01
5.901132e+02,8.947370e-01,7.871765e+01
6.083613e+02,9.127192e-01,7.759118e+01
6.271737e+02,9.312209e-01,7.645679e+01
6.465678e+02,9.502620e-01,7.531541e+01
6.665617e+02,9.698442e-01,7.416927e+01
6.871738e+02,9.899828e-01,7.301951e+01
7.084233e+02,1.010696e+00,7.186711e+01
7.303299e+02,1.031986e+00,7.071406e+01
7.529139e+02,1.053871e+00,6.956109e+01
7.761963e+02,1.076363e+00,6.840960e+01
8.001987e+02,1.099477e+00,6.726052e+01
8.249432e+02,1.123225e+00,6.611493e+01
8.504530e+02,1.147622e+00,6.497391e+01
8.767516e+02,1.172686e+00,6.383812e+01
9.038634e+02,1.198447e+00,6.270788e+01
9.318136e+02,1.224885e+00,6.158531e+01
9.606281e+02,1.252055e+00,6.046987e+01
9.903337e+02,1.279950e+00,5.936295e+01
1.020958e+03,1.308583e+00,5.826532e+01
1.052529e+03,1.337990e+00,5.717709e+01
1.085076e+03,1.368185e+00,5.609896e+01
1.118630e+03,1.399200e+00,5.503117e+01
1.153222e+03,1.431023e+00,5.397499e+01
1.188883e+03,1.463703e+00,5.293013e+01
1.225647e+03,1.497254e+00,5.189719e+01
1.263547e+03,1.531671e+00,5.087703e+01
1.302620e+03,1.567017e+00,4.986906e+01
1.342901e+03,1.603326e+00,4.887306e+01
1.384428e+03,1.640574e+00,4.789051e+01
1.427238e+03,1.678794e+00,4.692169e+01
1.471373e+03,1.718019e+00,4.596647e+01
1.516872e+03,1.758311e+00,4.502414e+01
1.563779e+03,1.799388e+00,4.415647e+01
1.612135e+03,1.840248e+00,4.360658e+01
1.661988e+03,1.882241e+00,4.304542e+01
1.713381e+03,1.925373e+00,4.247462e+01
1.766364e+03,1.969707e+00,4.189390e+01
1.820986e+03,2.015284e+00,4.130215e+01
1.877296e+03,2.062020e+00,4.072431e+01
1.935348e+03,2.109953e+00,4.015144e+01
1.995195e+03,2.159142e+00,3.956865e+01
2.056892e+03,2.209685e+00,3.898164e+01
2.120497e+03,2.261708e+00,3.838444e+01
2.186070e+03,2.315108e+00,3.778636e+01
2.253670e+03,2.369992e+00,3.718019e+01
2.323360e+03,2.426235e+00,3.657544e+01
2.395205e+03,2.484132e+00,3.597056e+01
2.469272e+03,2.543468e+00,3.536037e+01
2.545630e+03,2.604429e+00,3.475308e+01
2.624348e+03,2.667154e+00,3.414512e+01
2.705501e+03,2.731443e+00,3.354145e+01
2.789163e+03,2.797453e+00,3.294130e+01
2.875413e+03,2.865252e+00,3.233605e+01
2.964329e+03,2.934878e+00,3.174266e+01
3.055995e+03,3.006450e+00,3.114455e+01
3.150496e+03,3.079702e+00,3.056005e+01
3.247919e+03,3.155085e+00,2.997368e+01
3.348355e+03,3.232565e+00,2.939326e+01
3.451896e+03,3.312134e+00,2.882058e+01
3.558639e+03,3.393763e+00,2.825274e+01
3.668683e+03,3.477361e+00,2.769036e+01
3.782130e+03,3.563231e+00,2.713220e+01
3.899085e+03,3.651258e+00,2.658803e+01
4.019656e+03,3.741969e+00,2.603820e+01
4.143956e+03,3.834958e+00,2.550239e+01
4.272100e+03,3.930711e+00,2.497887e+01
4.404207e+03,4.029052e+00,2.445116e+01
4.540398e+03,4.129275e+00,2.393918e+01
4.680801e+03,4.232116e+00,2.343132e+01
4.825546e+03,4.338205e+00,2.293559e+01
4.974766e+03,4.446997e+00,2.244370e+01
5.128601e+03,4.559202e+00,2.196302e+01
5.287193e+03,4.673613e+00,2.148232e+01
5.450689e+03,4.791000e+00,2.101987e+01
5.619241e+03,4.912215e+00,2.056067e+01
5.793005e+03,5.036596e+00,2.010457e+01
5.972142e+03,5.162880e+00,1.966464e+01
6.156819e+03,5.294724e+00,1.922222e+01
6.347207e+03,5.428063e+00,1.879693e+01
6.543482e+03,5.567314e+00,1.836882e+01
6.745826e+03,5.707667e+00,1.795818e+01
6.954427e+03,5.853103e+00,1.755775e+01
7.169480e+03,6.002139e+00,1.715884e+01
7.391182e+03,6.155351e+00,1.677157e+01
7.619740e+03,6.312935e+00,1.638462e+01
7.855365e+03,6.475408e+00,1.600824e+01
8.098277e+03,6.639815e+00,1.564351e+01
8.348700e+03,6.810835e+00,1.528256e+01
8.606867e+03,6.983236e+00,1.493302e+01
8.873018e+03,7.163928e+00,1.457824e+01
9.147399e+03,7.350793e+00,1.423463e+01
9.430264e+03,7.537654e+00,1.390395e+01
