energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.648589e+00,1.223623e+01
7.216461e+01,2.332395e+00,1.406522e+01
7.439616e+01,2.115574e+00,1.569010e+01
7.669672e+01,1.960054e+00,1.712766e+01
7.906841e+01,1.846377e+00,1.837868e+01
8.151345e+01,1.763969e+00,1.943027e+01
8.403409e+01,1.704662e+00,2.029151e+01
8.663268e+01,1.640456e+00,2.132732e+01
8.931163e+01,1.561091e+00,2.275783e+01
9.207342e+01,1.453566e+00,2.498683e+01
9.492061e+01,1.333304e+00,2.798004e+01
9.785584e+01,1.220801e+00,3.141765e+01
1.008818e+02,1.120672e+00,3.517633e+01
1.040014e+02,1.037455e+00,3.898283e+01
1.072175e+02,9.663020e-01,4.289201e+01
1.105329e+02,9.023102e-01,4.707149e+01
1.139510e+02,8.459637e-01,5.142284e+01
1.174747e+02,7.984119e-01,5.573207e+01
1.211073e+02,7.588036e-01,5.989777e+01
1.248524e+02,7.260787e-01,6.384949e+01
1.287132e+02,6.991050e-01,6.755360e+01
1.326934e+02,6.769065e-01,7.099377e+01
1.367967e+02,6.588846e-01,7.413274e+01
1.410268e+02,6.444479e-01,7.695582e+01
1.453878e+02,6.333178e-01,7.941787e+01
1.498836e+02,6.254471e-01,8.144470e+01
1.545185e+02,6.204607e-01,8.303631e+01
1.592967e+02,6.177820e-01,8.425478e+01
1.642226e+02,6.168909e-01,8.517301e+01
1.693009e+02,6.172959e-01,8.587478e+01
1.745362e+02,6.185900e-01,8.643749e+01
1.799334e+02,6.205434e-01,8.690620e+01
1.854975e+02,6.230846e-01,8.729306e+01
1.912336e+02,6.263906e-01,8.755212e+01
1.971471e+02,6.306478e-01,8.763411e+01
2.032435e+02,6.357986e-01,8.755007e+01
2.095284e+02,6.416057e-01,8.735824e+01
2.160077e+02,6.478478e-01,8.711450e+01
2.226873e+02,6.544852e-01,8.682970e+01
2.295735e+02,6.615422e-01,8.649850e+01
2.366726e+02,6.689939e-01,8.612853e+01
2.439912e+02,6.768534e-01,8.571766e+01
2.515362e+02,6.851726e-01,8.525369e+01
2.593144e+02,6.939410e-01,8.474131e+01
2.673332e+02,7.031170e-01,8.419390e+01
2.756000e+02,7.127468e-01,8.360107e+01
2.841224e+02,7.229102e-01,8.294374e+01
2.929083e+02,7.335644e-01,8.223711e+01
3.019659e+02,7.446077e-01,8.151116e+01
3.113036e+02,7.560066e-01,8.077779e+01
3.209301e+02,7.677613e-01,8.003851e+01
3.308542e+02,7.799176e-01,7.928386e+01
3.410852e+02,7.925198e-01,7.850466e+01
3.516326e+02,8.055735e-01,7.770201e+01
3.625062e+02,8.190624e-01,7.688365e+01
3.737160e+02,8.330405e-01,7.603856e+01
3.852724e+02,8.475658e-01,7.515476e+01
3.971862e+02,8.626260e-01,7.423955e+01
4.094684e+02,8.781885e-01,7.330660e+01
4.221304e+02,8.942221e-01,7.236628e+01
4.351840e+02,9.107397e-01,7.142006e+01
4.486412e+02,9.277429e-01,7.047012e+01
4.625145e+02,9.452606e-01,6.951300e+01
4.768169e+02,9.633066e-01,6.854847e+01
4.915615e+02,9.818846e-01,6.757912e+01
5.067621e+02,1.001007e+00,6.660532e+01
5.224327e+02,1.020714e+00,6.562240e+01
5.385879e+02,1.041027e+00,6.462848e+01
5.552427e+02,1.061945e+00,6.362743e+01
5.724125e+02,1.083448e+00,6.262852e+01
5.901132e+02,1.105527e+00,6.163916e+01
6.083613e+02,1.128198e+00,6.065696e+01
6.271737e+02,1.151521e+00,5.967411e+01
6.465678e+02,1.175512e+00,5.868982e+01
6.665617e+02,1.200165e+00,5.770789e+01
6.871738e+02,1.225518e+00,5.672748e+01
7.084233e+02,1.251580e+00,5.574866e+01
7.303299e+02,1.278373e+00,5.477341e+01
7.529139e+02,1.305885e+00,5.380426e+01
7.761963e+02,1.334145e+00,5.284291e+01
8.001987e+02,1.363175e+00,5.188845e+01
8.249432e+02,1.392978e+00,5.094195e+01
8.504530e+02,1.423602e+00,5.000197e+01
8.767516e+02,1.455038e+00,4.906998e+01
9.038634e+02,1.487340e+00,4.814585e+01
9.318136e+02,1.520512e+00,4.723057e+01
9.606281e+02,1.554557e+00,4.632523e+01
9.903337e+02,1.589502e+00,4.543000e+01
1.020958e+03,1.625410e+00,4.454423e+01
1.052529e+03,1.662249e+00,4.366869e+01
1.085076e+03,1.700079e+00,4.280361e+01
1.118630e+03,1.738885e+00,4.194914e+01
1.153222e+03,1.777420e+00,4.135205e+01
1.188883e+03,1.813806e+00,4.131118e+01
1.225647e+03,1.853193e+00,4.089885e+01
1.263547e+03,1.893929e+00,4.043790e+01
1.302620e+03,1.935566e+00,3.999207e+01
1.342901e+03,1.978467e+00,3.952582e+01
1.384428e+03,2.022555e+00,3.904992e+01
1.427238e+03,2.067547e+00,3.860640e+01
1.471373e+03,2.113921e+00,3.814155e+01
1.516872e+03,2.161556e+00,3.767732e+01
1.563779e+03,2.210344e+00,3.720913e+01
1.612135e+03,2.260700e+00,3.671476e+01
1.661988e+03,2.312373e+00,3.621311e+01
1.713381e+03,2.365418e+00,3.571205e+01
1.766364e+03,2.419856e+00,3.520324e+01
1.820986e+03,2.476005e+00,3.468447e+01
1.877296e+03,2.533466e+00,3.416103e+01
1.935348e+03,2.592689e+00,3.363016e+01
1.995195e+03,2.653463e+00,3.309663e+01
2.056892e+03,2.715934e+00,3.255891e+01
2.120497e+03,2.779980e+00,3.202001e+01
2.186070e+03,2.845690e+00,3.148225e+01
2.253670e+03,2.913170e+00,3.094074e+01
2.323360e+03,2.982679e+00,3.040196e+01
2.395205e+03,3.053993e+00,2.986158e+01
2.469272e+03,3.127191e+00,2.932684e+01
2.545630e+03,3.202532e+00,2.879202e+01
2.624348e+03,3.279558e+00,2.826052e+01
2.705501e+03,3.358540e+00,2.773388e+01
2.789163e+03,3.440126e+00,2.720928e+01
2.875413e+03,3.523626e+00,2.668746e+01
2.964329e+03,3.608839e+00,2.617494e+01
3.055995e+03,3.697133e+00,2.566397e+01
3.150496e+03,3.787508e+00,2.515695e+01
3.247919e+03,3.880426e+00,2.465539e+01
3.348355e+03,3.975246e+00,2.416056e+01
3.451896e+03,4.073142e+00,2.367382e+01
3.558639e+03,4.173320e+00,2.319085e+01
3.668683e+03,4.276629e+00,2.271346e+01
3.782130e+03,4.381832e+00,2.224164e+01
3.899085e+03,4.491549e+00,2.177594e+01
4.019656e+03,4.601709e+00,2.132106e+01
4.143956e+03,4.716911e+00,2.086848e+01
4.272100e+03,4.833718e+00,2.042688e+01
4.404207e+03,4.954102e+00,1.998997e+01
4.540398e+03,5.078698e+00,1.955821e+01
4.680801e+03,5.204575e+00,1.913638e+01
4.825546e+03,5.336031e+00,1.872032e+01
4.974766e+03,5.469219e+00,1.831218e+01
5.128601e+03,5.605969e+00,1.791082e+01
5.287193e+03,5.748398e+00,1.751267e+01
5.450689e+03,5.892023e+00,1.712630e+01
5.619241e+03,6.039873e+00,1.674716e+01
5.793005e+03,6.193821e+00,1.637241e+01
5.972142e+03,6.351257e+00,1.599810e+01
6.156819e+03,6.509549e+00,1.564338e+01
6.347207e+03,6.674426e+00,1.528848e+01
6.543482e+03,6.846539e+00,1.494446e+01
6.745826e+03,7.019949e+00,1.460375e+01
6.954427e+03,7.194011e+00,1.427714e+01
7.169480e+03,7.379927e+00,1.393739e+01
7.391182e+03,7.568219e+00,1.362153e+01
7.619740e+03,7.763292e+00,1.330580e+01
7.855365e+03,7.962936e+00,1.299106e+01
8.098277e+03,8.163368e+00,1.270301e+01
8.348700e+03,8.364516e+00,1.241170e+01
8.606867e+03,8.579056e+00,1.212219e+01
8.873018e+03,8.808033e+00,1.183229e+01
9.147399e+03,9.042290e+00,1.154324e+01
9.430264e+03,9.268213e+00,1.127607e+01
9.721877e+03,9.496537e+00,1.101391e+01
1.002251e+04,9.730929e+00,1.076258e+01
1.033243e+04,9.981070e+00,1.051330e+01
1.065194e+04,1.024824e+01,1.025347e+01
1.098133e+04,1.052582e+01,9.985703e+00
1.132091e+04,1.080484e+01,9.746124e+00
1.167099e+04,1.108129e+01,9.516382e+00
1.203189e+04,1.134206e+01,9.328246e+00
1.240395e+04,1.161700e+01,9.092410e+00
1.278752e+04,1.190025e+01,8.910264e+00
1.318295e+04,1.222529e+01,8.702063e+00
1.359061e+04,1.257304e+01,8.489901e+00
1.401087e+04,1.291384e+01,8.278474e+00
1.444413e+04,1.325921e+01,8.075980e+00
1.489078e+04,1.357316e+01,7.920614e+00
1.535125e+04,1.391337e+01,7.703326e+00
1.582596e+04,1.423783e+01,7.543343e+00
1.631535e+04,1.458161e+01,7.407278e+00
1.681987e+04,1.496617e+01,7.239874e+00
1.733999e+04,1.538884e+01,7.056572e+00
1.787619e+04,1.584103e+01,6.836802e+00
1.842898e+04,1.624952e+01,6.654901e+00
1.899886e+04,1.660512e+01,6.567357e+00
1.958636e+04,1.700262e+01,6.358651e+00
2.019203e+04,1.740121e+01,6.248257e+00
2.081643e+04,1.786664e+01,6.106904e+00
2.146014e+04,1.840281e+01,5.921013e+00
2.212375e+04,1.892870e+01,5.767932e+00
2.280789e+04,1.944241e+01,5.630699e+00
2.351318e+04,1.991452e+01,5.511017e+00
2.424027e+04,2.036818e+01,5.380482e+00
2.498986e+04,2.085203e+01,5.231605e+00
2.576262e+04,2.136797e+01,5.146608e+00
2.655928e+04,2.203074e+01,4.960805e+00
2.738057e+04,2.258791e+01,4.900491e+00
2.822726e+04,2.325166e+01,4.702104e+00
2.910014e+04,2.370513e+01,4.669575e+00
3.000000e+04,2.416198e+01,4.562874e+00
