energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.505285e+01,1.287155e+00
7.216461e+01,2.255226e+01,1.445555e+00
7.439616e+01,2.088181e+01,1.577161e+00
7.669672e+01,1.972178e+01,1.685830e+00
7.906841e+01,1.889693e+01,1.775010e+00
8.151345e+01,1.829869e+01,1.848265e+00
8.403409e+01,1.786459e+01,1.907918e+00
8.663268e+01,1.755004e+01,1.956394e+00
8.931163e+01,1.732670e+01,1.995422e+00
9.207342e+01,1.717547e+01,2.026316e+00
9.492061e+01,1.707797e+01,2.050902e+00
9.785584e+01,1.702400e+01,2.070158e+00
1.008818e+02,1.700490e+01,2.085078e+00
1.040014e+02,1.701244e+01,2.096771e+00
1.072175e+02,1.704321e+01,2.105640e+00
1.105329e+02,1.709496e+01,2.111945e+00
1.139510e+02,1.716537e+01,2.116004e+00
1.174747e+02,1.724944e+01,2.118705e+00
1.211073e+02,1.734355e+01,2.120719e+00
1.248524e+02,1.744728e+01,2.122108e+00
1.287132e+02,1.755902e+01,2.123193e+00
1.326934e+02,1.767507e+01,2.124739e+00
1.367967e+02,1.779487e+01,2.126877e+00
1.410268e+02,1.791647e+01,2.130042e+00
1.453878e+02,1.802934e+01,2.136583e+00
1.498836e+02,1.797896e+01,2.181740e+00
1.545185e+02,1.772301e+01,2.278303e+00
1.592967e+02,1.745231e+01,2.384501e+00
1.642226e+02,1.704057e+01,2.536175e+00
1.693009e+02,1.644625e+01,2.754908e+00
1.745362e+02,1.566157e+01,3.060990e+00
1.799334e+02,1.474205e+01,3.460522e+00
1.854975e+02,1.373903e+01,3.962090e+00
1.912336e+02,1.277287e+01,4.532436e+00
1.971471e+02,1.187456e+01,5.162314e+00
2.032435e+02,1.107343e+01,5.830156e+00
2.095284e+02,1.038122e+01,6.513112e+00
2.160077e+02,9.784588e+00,7.203444e+00
2.226873e+02,9.286710e+00,7.874111e+00
2.295735e+02,8.876721e+00,8.510837e+00
2.366726e+02,8.565880e+00,9.066700e+00
2.439912e+02,8.349280e+00,9.515546e+00
2.515362e+02,8.205947e+00,9.865583e+00
2.593144e+02,8.125808e+00,1.011626e+01
2.673332e+02,8.098106e+00,1.027559e+01
2.756000e+02,8.111134e+00,1.035962e+01
2.841224e+02,8.156495e+00,1.038198e+01
2.929083e+02,8.226621e+00,1.035718e+01
3.019659e+02,8.315523e+00,1.029777e+01
3.113036e+02,8.418357e+00,1.021454e+01
3.209301e+02,8.531744e+00,1.011534e+01
3.308542e+02,8.654193e+00,1.000396e+01
3.410852e+02,8.784447e+00,9.883706e+00
3.516326e+02,8.921234e+00,9.757838e+00
3.625062e+02,9.063657e+00,9.628791e+00
3.737160e+02,9.211304e+00,9.497899e+00
3.852724e+02,9.363454e+00,9.366986e+00
3.971862e+02,9.520120e+00,9.236384e+00
4.094684e+02,9.681383e+00,9.106204e+00
4.221304e+02,9.847159e+00,8.976912e+00
4.351840e+02,1.001725e+01,8.849153e+00
4.486412e+02,1.019161e+01,8.723361e+00
4.625145e+02,1.037019e+01,8.599794e+00
4.768169e+02,1.055304e+01,8.478581e+00
4.915615e+02,1.074026e+01,8.359749e+00
5.067621e+02,1.093193e+01,8.243290e+00
5.224327e+02,1.112823e+01,8.129100e+00
5.385879e+02,1.132925e+01,8.017096e+00
5.552427e+02,1.153522e+01,7.907106e+00
5.724125e+02,1.174632e+01,7.798965e+00
5.901132e+02,1.196274e+01,7.692518e+00
6.083613e+02,1.218469e+01,7.587595e+00
6.271737e+02,1.241236e+01,7.484041e+00
6.465678e+02,1.264605e+01,7.381682e+00
6.665617e+02,1.288585e+01,7.280400e+00
6.871738e+02,1.313197e+01,7.180109e+00
7.084233e+02,1.338479e+01,7.080609e+00
7.303299e+02,1.364433e+01,6.981862e+00
7.529139e+02,1.391087e+01,6.883782e+00
7.761963e+02,1.418471e+01,6.786257e+00
8.001987e+02,1.446591e+01,6.689291e+00
8.249432e+02,1.475496e+01,6.592768e+00
8.504530e+02,1.505161e+01,6.496770e+00
8.767516e+02,1.535660e+01,6.401150e+00
