energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.903987e+00,1.708956e+01
7.216461e+01,1.619851e+00,2.037697e+01
7.439616e+01,1.428393e+00,2.342887e+01
7.669672e+01,1.290749e+00,2.627776e+01
7.906841e+01,1.186042e+00,2.898041e+01
8.151345e+01,1.104088e+00,3.154414e+01
8.403409e+01,1.038517e+00,3.397600e+01
8.663268e+01,9.842749e-01,3.632089e+01
8.931163e+01,9.384834e-01,3.859965e+01
9.207342e+01,8.993443e-01,4.082002e+01
9.492061e+01,8.655625e-01,4.298752e+01
9.785584e+01,8.363110e-01,4.509684e+01
1.008818e+02,8.109242e-01,4.714355e+01
1.040014e+02,7.888067e-01,4.912842e+01
1.072175e+02,7.694797e-01,5.105256e+01
1.105329e+02,7.525452e-01,5.291817e+01
1.139510e+02,7.376713e-01,5.472830e+01
1.174747e+02,7.245973e-01,5.648469e+01
1.211073e+02,7.131062e-01,5.818912e+01
1.248524e+02,7.030458e-01,5.983970e+01
1.287132e+02,6.942856e-01,6.143471e+01
1.326934e+02,6.866948e-01,6.297513e+01
1.367967e+02,6.801573e-01,6.446260e+01
1.410268e+02,6.746078e-01,6.589352e+01
1.453878e+02,6.700292e-01,6.725807e+01
1.498836e+02,6.663518e-01,6.855555e+01
1.545185e+02,6.635087e-01,6.978653e+01
1.592967e+02,6.614345e-01,7.095295e+01
1.642226e+02,6.600648e-01,7.205814e+01
1.693009e+02,6.593547e-01,7.310327e+01
1.745362e+02,6.592447e-01,7.409354e+01
1.799334e+02,6.596657e-01,7.503743e+01
1.854975e+02,6.605851e-01,7.593729e+01
1.912336e+02,6.619773e-01,7.679469e+01
1.971471e+02,6.638072e-01,7.761388e+01
2.032435e+02,6.660491e-01,7.839784e+01
2.095284e+02,6.686860e-01,7.914799e+01
2.160077e+02,6.717049e-01,7.986534e+01
2.226873e+02,6.751053e-01,8.054813e+01
2.295735e+02,6.788812e-01,8.119620e+01
2.366726e+02,6.830227e-01,8.181065e+01
2.439912e+02,6.875203e-01,8.239279e+01
2.515362e+02,6.923911e-01,8.293714e+01
2.593144e+02,6.976628e-01,8.343587e+01
2.673332e+02,7.033292e-01,8.388980e+01
2.756000e+02,7.093856e-01,8.430002e+01
2.841224e+02,7.158256e-01,8.466797e+01
2.929083e+02,7.226454e-01,8.499479e+01
3.019659e+02,7.298989e-01,8.526593e+01
3.113036e+02,7.376145e-01,8.547374e+01
