energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.708873e+00,1.208947e+01
7.216461e+01,2.172898e+00,1.533505e+01
7.439616e+01,1.808465e+00,1.874688e+01
7.669672e+01,1.555221e+00,2.216798e+01
7.906841e+01,1.374819e+00,2.548142e+01
8.151345e+01,1.243079e+00,2.861363e+01
8.403409e+01,1.144680e+00,3.152477e+01
8.663268e+01,1.069894e+00,3.419287e+01
8.931163e+01,1.012331e+00,3.660862e+01
9.207342e+01,9.676702e-01,3.877131e+01
9.492061e+01,9.328703e-01,4.068801e+01
9.785584e+01,9.052795e-01,4.239818e+01
1.008818e+02,8.831898e-01,4.392936e+01
1.040014e+02,8.655719e-01,4.529290e+01
1.072175e+02,8.516613e-01,4.649879e+01
1.105329e+02,8.408734e-01,4.755634e+01
1.139510e+02,8.327537e-01,4.847428e+01
1.174747e+02,8.267543e-01,4.927697e+01
1.211073e+02,8.223839e-01,4.999169e+01
1.248524e+02,8.194424e-01,5.062569e+01
1.287132e+02,8.177844e-01,5.118383e+01
1.326934e+02,8.172800e-01,5.167154e+01
1.367967e+02,8.177829e-01,5.209767e+01
1.410268e+02,8.192072e-01,5.246651e+01
1.453878e+02,8.214849e-01,5.278163e+01
1.498836e+02,8.245133e-01,5.305120e+01
1.545185e+02,8.282345e-01,5.327941e+01
1.592967e+02,8.326149e-01,5.346836e+01
1.642226e+02,8.376290e-01,5.361964e+01
1.693009e+02,8.432523e-01,5.373510e+01
1.745362e+02,8.494638e-01,5.381648e+01
1.799334e+02,8.562455e-01,5.386543e+01
1.854975e+02,8.635832e-01,5.388347e+01
1.912336e+02,8.714666e-01,5.387177e+01
1.971471e+02,8.798853e-01,5.383172e+01
2.032435e+02,8.888248e-01,5.376550e+01
2.095284e+02,8.982749e-01,5.367474e+01
2.160077e+02,9.082687e-01,5.355579e+01
2.226873e+02,9.188176e-01,5.340780e+01
2.295735e+02,9.300018e-01,5.322122e+01
2.366726e+02,9.418453e-01,5.299405e+01
2.439912e+02,9.543666e-01,5.272519e+01
2.515362e+02,9.675783e-01,5.241471e+01
2.593144e+02,9.814719e-01,5.206561e+01
2.673332e+02,9.960414e-01,5.168058e+01
2.756000e+02,1.011326e+00,5.125686e+01
2.841224e+02,1.027452e+00,5.077961e+01
2.929083e+02,1.044630e+00,5.022470e+01
3.019659e+02,1.062082e+00,4.969974e+01
3.113036e+02,1.070246e+00,5.047499e+01
3.209301e+02,1.078068e+00,5.133682e+01
3.308542e+02,1.089096e+00,5.180097e+01
3.410852e+02,1.102673e+00,5.195928e+01
3.516326e+02,1.117240e+00,5.203177e+01
3.625062e+02,1.132698e+00,5.203430e+01
3.737160e+02,1.149029e+00,5.197216e+01
3.852724e+02,1.166201e+00,5.185209e+01
3.971862e+02,1.184135e+00,5.168833e+01
4.094684e+02,1.202806e+00,5.148641e+01
4.221304e+02,1.222220e+00,5.124878e+01
4.351840e+02,1.242382e+00,5.097734e+01
4.486412e+02,1.263308e+00,5.067219e+01
4.625145e+02,1.285012e+00,5.033483e+01
4.768169e+02,1.307501e+00,4.996762e+01
4.915615e+02,1.330775e+00,4.957316e+01
5.067621e+02,1.354842e+00,4.915413e+01
5.224327e+02,1.379650e+00,4.872046e+01
5.385879e+02,1.405192e+00,4.827566e+01
5.552427e+02,1.431485e+00,4.782035e+01
5.724125e+02,1.458547e+00,4.735570e+01
5.901132e+02,1.486381e+00,4.688279e+01
6.083613e+02,1.515001e+00,4.640400e+01
6.271737e+02,1.544414e+00,4.592014e+01
6.465678e+02,1.574639e+00,4.543174e+01
6.665617e+02,1.605712e+00,4.493884e+01
6.871738e+02,1.637621e+00,4.444277e+01
