energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.272469e+00,1.435673e+01
7.216461e+01,1.907503e+00,1.735980e+01
7.439616e+01,1.660763e+00,2.023013e+01
7.669672e+01,1.483259e+00,2.297587e+01
7.906841e+01,1.350700e+00,2.558505e+01
8.151345e+01,1.250152e+00,2.801850e+01
8.403409e+01,1.171712e+00,3.028982e+01
8.663268e+01,1.109534e+00,3.239909e+01
8.931163e+01,1.060922e+00,3.429953e+01
9.207342e+01,1.021880e+00,3.603371e+01
9.492061e+01,9.896953e-01,3.764118e+01
9.785584e+01,9.631375e-01,3.912395e+01
1.008818e+02,9.413199e-01,4.048149e+01
1.040014e+02,9.234714e-01,4.171852e+01
1.072175e+02,9.089892e-01,4.283988e+01
1.105329e+02,8.973056e-01,4.385657e+01
1.139510e+02,8.878982e-01,4.478413e+01
1.174747e+02,8.804757e-01,4.562780e+01
1.211073e+02,8.748203e-01,4.639094e+01
1.248524e+02,8.707529e-01,4.707670e+01
1.287132e+02,8.681191e-01,4.768857e+01
1.326934e+02,8.667702e-01,4.823159e+01
1.367967e+02,8.665256e-01,4.871552e+01
1.410268e+02,8.672876e-01,4.914441e+01
1.453878e+02,8.689831e-01,4.952115e+01
1.498836e+02,8.714831e-01,4.985494e+01
1.545185e+02,8.747133e-01,5.015068e+01
1.592967e+02,8.786355e-01,5.041036e+01
1.642226e+02,8.832159e-01,5.063585e+01
1.693009e+02,8.884309e-01,5.082842e+01
1.745362e+02,8.943275e-01,5.098201e+01
1.799334e+02,9.009275e-01,5.109340e+01
1.854975e+02,9.082089e-01,5.116434e+01
1.912336e+02,9.161507e-01,5.119686e+01
1.971471e+02,9.246805e-01,5.119914e+01
2.032435e+02,9.337371e-01,5.117826e+01
2.095284e+02,9.433109e-01,5.113558e+01
2.160077e+02,9.533985e-01,5.107213e+01
2.226873e+02,9.639794e-01,5.099063e+01
2.295735e+02,9.750244e-01,5.089531e+01
2.366726e+02,9.865346e-01,5.078663e+01
2.439912e+02,9.985399e-01,5.066179e+01
2.515362e+02,1.011044e+00,5.052104e+01
2.593144e+02,1.024051e+00,5.036505e+01
2.673332e+02,1.037559e+00,5.019478e+01
2.756000e+02,1.051630e+00,5.000381e+01
2.841224e+02,1.066413e+00,4.977516e+01
2.929083e+02,1.081971e+00,4.950263e+01
3.019659e+02,1.098440e+00,4.917198e+01
3.113036e+02,1.116158e+00,4.874410e+01
