energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.608455e+00,1.245122e+01
7.216461e+01,2.244437e+00,1.467088e+01
7.439616e+01,1.997145e+00,1.670712e+01
7.669672e+01,1.821639e+00,1.855044e+01
7.906841e+01,1.691762e+00,2.022008e+01
8.151345e+01,1.593925e+00,2.171364e+01
8.403409e+01,1.520171e+00,2.302017e+01
8.663268e+01,1.462626e+00,2.418217e+01
8.931163e+01,1.417086e+00,2.521834e+01
9.207342e+01,1.381115e+00,2.613460e+01
9.492061e+01,1.352945e+00,2.693641e+01
9.785584e+01,1.331100e+00,2.763331e+01
1.008818e+02,1.314042e+00,2.824649e+01
1.040014e+02,1.300959e+00,2.878438e+01
1.072175e+02,1.291348e+00,2.925056e+01
1.105329e+02,1.284773e+00,2.964953e+01
1.139510e+02,1.280694e+00,2.999194e+01
1.174747e+02,1.278731e+00,3.028548e+01
1.211073e+02,1.278665e+00,3.053375e+01
1.248524e+02,1.280291e+00,3.074102e+01
1.287132e+02,1.283464e+00,3.091023e+01
1.326934e+02,1.288013e+00,3.104596e+01
1.367967e+02,1.293828e+00,3.115107e+01
1.410268e+02,1.300751e+00,3.123091e+01
1.453878e+02,1.308681e+00,3.128888e+01
1.498836e+02,1.317617e+00,3.132443e+01
1.545185e+02,1.327586e+00,3.133597e+01
1.592967e+02,1.338559e+00,3.132450e+01
1.642226e+02,1.350504e+00,3.129127e+01
1.693009e+02,1.363395e+00,3.123750e+01
1.745362e+02,1.377228e+00,3.116352e+01
1.799334e+02,1.392036e+00,3.106804e+01
1.854975e+02,1.407808e+00,3.095197e+01
1.912336e+02,1.424526e+00,3.081659e+01
1.971471e+02,1.442209e+00,3.066166e+01
2.032435e+02,1.460915e+00,3.048512e+01
2.095284e+02,1.480640e+00,3.028803e+01
2.160077e+02,1.501476e+00,3.006694e+01
2.226873e+02,1.523533e+00,2.981786e+01
2.295735e+02,1.546889e+00,2.953840e+01
2.366726e+02,1.571572e+00,2.922895e+01
2.439912e+02,1.597606e+00,2.889022e+01
2.515362e+02,1.624904e+00,2.852820e+01
2.593144e+02,1.653448e+00,2.814568e+01
2.673332e+02,1.682056e+00,2.780005e+01
2.756000e+02,1.694878e+00,2.823528e+01
2.841224e+02,1.686968e+00,2.969837e+01
2.929083e+02,1.693034e+00,3.050112e+01
3.019659e+02,1.708141e+00,3.087026e+01
3.113036e+02,1.726265e+00,3.111011e+01
3.209301e+02,1.746302e+00,3.127805e+01
3.308542e+02,1.768079e+00,3.138403e+01
3.410852e+02,1.791466e+00,3.143611e+01
3.516326e+02,1.816383e+00,3.144010e+01
3.625062e+02,1.842767e+00,3.140068e+01
3.737160e+02,1.870562e+00,3.132290e+01
3.852724e+02,1.899739e+00,3.120994e+01
3.971862e+02,1.930296e+00,3.106403e+01
4.094684e+02,1.962237e+00,3.088668e+01
4.221304e+02,1.995567e+00,3.068028e+01
4.351840e+02,2.030251e+00,3.044853e+01
4.486412e+02,2.066194e+00,3.019858e+01
4.625145e+02,2.103373e+00,2.993351e+01
4.768169e+02,2.141812e+00,2.965442e+01
4.915615e+02,2.181508e+00,2.936275e+01
5.067621e+02,2.222475e+00,2.906032e+01
5.224327e+02,2.264664e+00,2.875151e+01
5.385879e+02,2.308085e+00,2.843720e+01
5.552427e+02,2.352752e+00,2.811818e+01
5.724125e+02,2.398714e+00,2.779519e+01
5.901132e+02,2.445958e+00,2.746935e+01
6.083613e+02,2.494512e+00,2.714118e+01
6.271737e+02,2.544420e+00,2.681081e+01
6.465678e+02,2.595683e+00,2.648025e+01
6.665617e+02,2.648288e+00,2.615080e+01
6.871738e+02,2.702287e+00,2.582248e+01
7.084233e+02,2.757694e+00,2.549558e+01
7.303299e+02,2.814563e+00,2.516990e+01
7.529139e+02,2.872982e+00,2.484501e+01
7.761963e+02,2.932875e+00,2.452208e+01
8.001987e+02,2.994399e+00,2.419930e+01
8.249432e+02,3.057573e+00,2.387617e+01
8.504530e+02,3.122440e+00,2.355233e+01
8.767516e+02,3.189127e+00,2.322741e+01
9.038634e+02,3.257581e+00,2.290251e+01
9.318136e+02,3.327902e+00,2.257709e+01
9.606281e+02,3.400135e+00,2.225149e+01
9.903337e+02,3.474269e+00,2.192633e+01
1.020958e+03,3.550426e+00,2.160110e+01
1.052529e+03,3.628534e+00,2.127728e+01
1.085076e+03,3.708879e+00,2.095313e+01
1.118630e+03,3.791408e+00,2.062935e+01
1.153222e+03,3.876075e+00,2.030695e+01
1.188883e+03,3.962963e+00,1.998575e+01
1.225647e+03,4.052246e+00,1.966503e+01
1.263547e+03,4.143875e+00,1.934585e+01
1.302620e+03,4.237973e+00,1.902804e+01
1.342901e+03,4.334610e+00,1.871140e+01
1.384428e+03,4.433779e+00,1.839682e+01
1.427238e+03,4.535635e+00,1.808402e+01
1.471373e+03,4.640113e+00,1.777397e+01
1.516872e+03,4.747565e+00,1.746484e+01
1.563779e+03,4.857623e+00,1.715943e+01
1.612135e+03,4.970776e+00,1.685543e+01
1.661988e+03,5.087071e+00,1.655323e+01
1.713381e+03,5.206237e+00,1.625441e+01
1.766364e+03,5.328620e+00,1.595823e+01
1.820986e+03,5.454325e+00,1.566433e+01
1.877296e+03,5.583070e+00,1.537425e+01
1.935348e+03,5.715509e+00,1.508607e+01
