energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,4.113468e+00,7.901574e+00
7.216461e+01,3.494403e+00,9.438571e+00
7.439616e+01,3.060342e+00,1.093533e+01
7.669672e+01,2.739345e+00,1.239523e+01
7.906841e+01,2.493352e+00,1.381611e+01
8.151345e+01,2.300582e+00,1.518929e+01
8.403409e+01,2.146476e+00,1.651146e+01
8.663268e+01,2.021197e+00,1.778158e+01
8.931163e+01,1.917931e+00,1.899979e+01
9.207342e+01,1.831846e+00,2.016668e+01
9.492061e+01,1.759474e+00,2.128249e+01
9.785584e+01,1.698237e+00,2.234757e+01
1.008818e+02,1.646175e+00,2.336244e+01
1.040014e+02,1.601773e+00,2.432779e+01
1.072175e+02,1.563842e+00,2.524441e+01
1.105329e+02,1.531422e+00,2.611348e+01
1.139510e+02,1.503526e+00,2.694168e+01
1.174747e+02,1.479857e+00,2.772248e+01
1.211073e+02,1.460123e+00,2.845054e+01
1.248524e+02,1.444015e+00,2.912257e+01
1.287132e+02,1.431239e+00,2.973657e+01
1.326934e+02,1.421446e+00,3.029411e+01
1.367967e+02,1.414325e+00,3.079732e+01
1.410268e+02,1.409641e+00,3.124764e+01
1.453878e+02,1.407254e+00,3.164426e+01
1.498836e+02,1.407028e+00,3.198736e+01
1.545185e+02,1.408790e+00,3.227938e+01
1.592967e+02,1.412393e+00,3.252270e+01
1.642226e+02,1.417736e+00,3.271877e+01
1.693009e+02,1.424746e+00,3.286846e+01
1.745362e+02,1.433330e+00,3.297409e+01
1.799334e+02,1.443402e+00,3.303815e+01
1.854975e+02,1.454903e+00,3.306244e+01
1.912336e+02,1.467789e+00,3.304854e+01
1.971471e+02,1.482001e+00,3.299889e+01
2.032435e+02,1.497495e+00,3.291565e+01
2.095284e+02,1.514256e+00,3.279989e+01
2.160077e+02,1.532246e+00,3.265384e+01
2.226873e+02,1.551431e+00,3.247988e+01
2.295735e+02,1.571782e+00,3.228022e+01
2.366726e+02,1.593273e+00,3.205696e+01
2.439912e+02,1.615887e+00,3.181206e+01
2.515362e+02,1.639608e+00,3.154738e+01
2.593144e+02,1.664426e+00,3.126466e+01
2.673332e+02,1.690340e+00,3.096515e+01
2.756000e+02,1.717357e+00,3.064991e+01
2.841224e+02,1.745473e+00,3.032048e+01
2.929083e+02,1.774687e+00,2.997832e+01
3.019659e+02,1.805001e+00,2.962480e+01
3.113036e+02,1.836418e+00,2.926119e+01
3.209301e+02,1.868946e+00,2.888867e+01
3.308542e+02,1.902595e+00,2.850818e+01
3.410852e+02,1.937378e+00,2.812067e+01
3.516326e+02,1.973306e+00,2.772713e+01
3.625062e+02,2.010392e+00,2.732851e+01
3.737160e+02,2.048651e+00,2.692567e+01
3.852724e+02,2.088099e+00,2.651940e+01
3.971862e+02,2.128756e+00,2.611036e+01
4.094684e+02,2.170641e+00,2.569922e+01
4.221304e+02,2.213775e+00,2.528667e+01
4.351840e+02,2.258181e+00,2.487325e+01
4.486412e+02,2.303881e+00,2.445952e+01
4.625145e+02,2.350901e+00,2.404602e+01
4.768169e+02,2.399265e+00,2.363324e+01
4.915615e+02,2.449000e+00,2.322163e+01
5.067621e+02,2.500137e+00,2.281157e+01
5.224327e+02,2.552703e+00,2.240345e+01
5.385879e+02,2.606728e+00,2.199764e+01
5.552427e+02,2.662246e+00,2.159447e+01
5.724125e+02,2.719290e+00,2.119421e+01
5.901132e+02,2.777891e+00,2.079717e+01
6.083613e+02,2.838086e+00,2.040358e+01
6.271737e+02,2.899917e+00,2.001356e+01
6.465678e+02,2.963422e+00,1.962735e+01
6.665617e+02,3.028634e+00,1.924515e+01
6.871738e+02,3.095598e+00,1.886714e+01
7.084233e+02,3.164357e+00,1.849348e+01
7.303299e+02,3.234950e+00,1.812433e+01
7.529139e+02,3.307429e+00,1.775980e+01
7.761963e+02,3.381833e+00,1.740001e+01
8.001987e+02,3.458208e+00,1.704502e+01
8.249432e+02,3.536617e+00,1.669478e+01
8.504530e+02,3.617097e+00,1.634945e+01
8.767516e+02,3.699714e+00,1.600905e+01
9.038634e+02,3.784510e+00,1.567368e+01
9.318136e+02,3.871547e+00,1.534338e+01
9.606281e+02,3.960875e+00,1.501823e+01
9.903337e+02,4.052549e+00,1.469827e+01
1.020958e+03,4.146634e+00,1.438349e+01
1.052529e+03,4.243188e+00,1.407392e+01
1.085076e+03,4.342303e+00,1.376951e+01
1.118630e+03,4.444001e+00,1.347034e+01
1.153222e+03,4.548368e+00,1.317635e+01
1.188883e+03,4.655483e+00,1.288751e+01
1.225647e+03,4.765404e+00,1.260382e+01
1.263547e+03,4.878192e+00,1.232526e+01
1.302620e+03,4.993965e+00,1.205170e+01
1.342901e+03,5.112753e+00,1.178320e+01
1.384428e+03,5.234670e+00,1.151965e+01
1.427238e+03,5.357860e+00,1.130818e+01
1.471373e+03,5.483844e+00,1.111030e+01
1.516872e+03,5.613250e+00,1.091298e+01
1.563779e+03,5.746108e+00,1.071642e+01
1.612135e+03,5.882540e+00,1.052080e+01
1.661988e+03,6.022603e+00,1.032692e+01
1.713381e+03,6.166447e+00,1.013364e+01
1.766364e+03,6.314115e+00,9.942175e+00
1.820986e+03,6.465753e+00,9.752096e+00
1.877296e+03,6.621393e+00,9.563872e+00
1.935348e+03,6.781201e+00,9.376915e+00
1.995195e+03,6.945304e+00,9.192000e+00
2.056892e+03,7.113725e+00,9.009628e+00
2.120497e+03,7.286680e+00,8.828475e+00
2.186070e+03,7.464296e+00,8.649721e+00
2.253670e+03,7.646436e+00,8.473372e+00
2.323360e+03,7.833617e+00,8.298633e+00
2.395205e+03,8.025841e+00,8.126137e+00
2.469272e+03,8.223014e+00,7.956304e+00
2.545630e+03,8.425401e+00,7.788869e+00
2.624348e+03,8.633258e+00,7.623973e+00
2.705501e+03,8.846532e+00,7.461592e+00
2.789163e+03,9.065479e+00,7.301705e+00
2.875413e+03,9.290316e+00,7.144227e+00
2.964329e+03,9.521103e+00,6.989207e+00
3.055995e+03,9.758114e+00,6.836506e+00
3.150496e+03,1.000127e+01,6.686238e+00
3.247919e+03,1.025072e+01,6.539488e+00
3.348355e+03,1.050722e+01,6.393988e+00
3.451896e+03,1.077042e+01,6.251954e+00
3.558639e+03,1.104042e+01,6.112181e+00
3.668683e+03,1.131762e+01,5.974539e+00
3.782130e+03,1.160221e+01,5.840193e+00
3.899085e+03,1.189474e+01,5.706835e+00
4.019656e+03,1.219458e+01,5.577765e+00
4.143956e+03,1.250273e+01,5.450288e+00
4.272100e+03,1.281875e+01,5.325710e+00
4.404207e+03,1.314344e+01,5.202834e+00
4.540398e+03,1.347662e+01,5.083394e+00
4.680801e+03,1.381897e+01,4.965570e+00
4.825546e+03,1.417046e+01,4.849336e+00
4.974766e+03,1.453123e+01,4.736354e+00
5.128601e+03,1.490102e+01,4.626759e+00
5.287193e+03,1.528101e+01,4.518508e+00
5.450689e+03,1.567195e+01,4.411411e+00
5.619241e+03,1.607248e+01,4.307516e+00
5.793005e+03,1.648428e+01,4.206566e+00
5.972142e+03,1.690616e+01,4.106937e+00
6.156819e+03,1.734091e+01,4.008179e+00
6.347207e+03,1.778555e+01,3.914197e+00
6.543482e+03,1.824261e+01,3.820411e+00
6.745826e+03,1.871169e+01,3.729115e+00
6.954427e+03,1.919384e+01,3.639645e+00
7.169480e+03,1.968847e+01,3.552923e+00
7.391182e+03,2.019746e+01,3.466694e+00
7.619740e+03,2.071971e+01,3.383115e+00
7.855365e+03,2.125525e+01,3.302122e+00
8.098277e+03,2.180465e+01,3.221624e+00
8.348700e+03,2.236925e+01,3.143507e+00
8.606867e+03,2.294885e+01,3.067760e+00
8.873018e+03,2.354355e+01,2.992363e+00
9.147399e+03,2.415691e+01,2.918981e+00
9.430264e+03,2.478475e+01,2.848053e+00
9.721877e+03,2.542867e+01,2.779348e+00
1.002251e+04,2.609370e+01,2.710399e+00
1.033243e+04,2.677356e+01,2.643776e+00
1.065194e+04,2.747088e+01,2.579256e+00
1.098133e+04,2.819012e+01,2.516070e+00
1.132091e+04,2.892522e+01,2.453833e+00
1.167099e+04,2.968025e+01,2.393077e+00
1.203189e+04,3.045937e+01,2.333928e+00
1.240395e+04,3.125737e+01,2.276789e+00
1.278752e+04,3.207574e+01,2.219272e+00
1.318295e+04,3.291451e+01,2.163542e+00
1.359061e+04,3.377667e+01,2.111811e+00
1.401087e+04,3.466591e+01,2.058349e+00
1.444413e+04,3.557447e+01,2.006318e+00
1.489078e+04,3.649971e+01,1.957606e+00
1.535125e+04,3.745910e+01,1.907732e+00
1.582596e+04,3.844445e+01,1.860314e+00
1.631535e+04,3.945426e+01,1.814984e+00
1.681987e+04,4.048677e+01,1.769529e+00
1.733999e+04,4.154790e+01,1.723758e+00
1.787619e+04,4.263845e+01,1.681417e+00
1.842898e+04,4.377373e+01,1.637605e+00
1.899886e+04,4.493075e+01,1.597851e+00
1.958636e+04,4.612295e+01,1.556861e+00
2.019203e+04,4.733828e+01,1.517387e+00
2.081643e+04,4.858138e+01,1.479284e+00
2.146014e+04,4.986609e+01,1.442204e+00
2.212375e+04,5.118796e+01,1.406261e+00
2.280789e+04,5.255356e+01,1.368801e+00
2.351318e+04,5.394129e+01,1.335297e+00
2.424027e+04,5.537222e+01,1.300197e+00
2.498986e+04,5.681429e+01,1.269264e+00
2.576262e+04,5.829983e+01,1.236662e+00
2.655928e+04,5.981901e+01,1.205167e+00
2.738057e+04,6.139569e+01,1.174412e+00
2.822726e+04,6.301042e+01,1.144695e+00
2.910014e+04,6.465692e+01,1.116069e+00
3.000000e+04,6.635352e+01,1.087519e+00
