energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.700105e+00,1.904356e+01
7.216461e+01,1.487482e+00,2.204743e+01
7.439616e+01,1.341148e+00,2.475860e+01
7.669672e+01,1.235546e+00,2.719884e+01
7.906841e+01,1.156778e+00,2.938901e+01
8.151345e+01,1.096644e+00,3.134883e+01
8.403409e+01,1.050100e+00,3.309267e+01
8.663268e+01,1.013962e+00,3.462785e+01
8.931163e+01,9.858683e-01,3.596863e+01
9.207342e+01,9.641440e-01,3.712868e+01
9.492061e+01,9.475918e-01,3.811984e+01
9.785584e+01,9.353556e-01,3.895138e+01
1.008818e+02,9.268565e-01,3.962802e+01
1.040014e+02,9.217831e-01,4.014643e+01
1.072175e+02,9.187541e-01,4.057619e+01
1.105329e+02,8.994198e-01,4.212248e+01
1.139510e+02,8.658717e-01,4.483765e+01
1.174747e+02,8.302312e-01,4.803312e+01
1.211073e+02,7.969797e-01,5.138869e+01
1.248524e+02,7.686619e-01,5.462284e+01
1.287132e+02,7.460135e-01,5.755440e+01
1.326934e+02,7.285350e-01,6.012234e+01
1.367967e+02,7.154576e-01,6.231974e+01
1.410268e+02,7.053519e-01,6.426078e+01
1.453878e+02,6.975640e-01,6.598928e+01
1.498836e+02,6.917817e-01,6.751598e+01
1.545185e+02,6.876039e-01,6.887576e+01
1.592967e+02,6.845986e-01,7.011912e+01
1.642226e+02,6.826244e-01,7.125633e+01
1.693009e+02,6.815837e-01,7.229329e+01
1.745362e+02,6.813985e-01,7.323482e+01
1.799334e+02,6.820026e-01,7.408559e+01
1.854975e+02,6.833251e-01,7.485273e+01
1.912336e+02,6.853164e-01,7.554078e+01
1.971471e+02,6.879397e-01,7.615305e+01
2.032435e+02,6.911581e-01,7.669335e+01
2.095284e+02,6.949470e-01,7.716445e+01
2.160077e+02,6.992829e-01,7.756920e+01
2.226873e+02,7.041481e-01,7.790959e+01
2.295735e+02,7.095246e-01,7.818838e+01
2.366726e+02,7.154001e-01,7.840799e+01
2.439912e+02,7.217584e-01,7.857148e+01
2.515362e+02,7.285913e-01,7.868098e+01
2.593144e+02,7.359091e-01,7.873380e+01
2.673332e+02,7.437236e-01,7.872831e+01
2.756000e+02,7.520257e-01,7.866741e+01
2.841224e+02,7.608100e-01,7.855380e+01
2.929083e+02,7.700672e-01,7.839060e+01
3.019659e+02,7.798027e-01,7.817839e+01
3.113036e+02,7.900299e-01,7.791626e+01
3.209301e+02,8.007465e-01,7.760684e+01
3.308542e+02,8.119456e-01,7.725332e+01
3.410852e+02,8.236323e-01,7.685792e+01
3.516326e+02,8.358019e-01,7.642358e+01
3.625062e+02,8.484597e-01,7.595250e+01
3.737160e+02,8.616062e-01,7.544723e+01
3.852724e+02,8.752433e-01,7.490964e+01
3.971862e+02,8.894173e-01,7.433296e+01
4.094684e+02,9.041370e-01,7.371717e+01
4.221304e+02,9.194061e-01,7.306525e+01
4.351840e+02,9.352309e-01,7.237997e+01
4.486412e+02,9.516143e-01,7.166433e+01
4.625145e+02,9.685488e-01,7.092367e+01
4.768169e+02,9.860388e-01,7.016285e+01
4.915615e+02,1.004070e+00,6.938508e+01
5.067621e+02,1.022675e+00,6.859071e+01
5.224327e+02,1.041842e+00,6.778257e+01
5.385879e+02,1.061593e+00,6.696162e+01
5.552427e+02,1.081947e+00,6.612874e+01
5.724125e+02,1.102918e+00,6.528218e+01
5.901132e+02,1.124516e+00,6.442212e+01
6.083613e+02,1.146761e+00,6.354992e+01
6.271737e+02,1.169691e+00,6.266638e+01
6.465678e+02,1.193285e+00,6.177441e+01
6.665617e+02,1.217574e+00,6.087497e+01
6.871738e+02,1.242561e+00,5.996896e+01
7.084233e+02,1.268285e+00,5.905486e+01
7.303299e+02,1.294748e+00,5.813472e+01
7.529139e+02,1.321952e+00,5.721048e+01
7.761963e+02,1.349934e+00,5.628330e+01
8.001987e+02,1.378739e+00,5.535493e+01
8.249432e+02,1.408303e+00,5.442859e+01
8.504530e+02,1.438685e+00,5.350350e+01
8.767516e+02,1.469925e+00,5.258017e+01
9.038634e+02,1.502062e+00,5.165917e+01
9.318136e+02,1.535000e+00,5.074404e+01
9.606281e+02,1.568868e+00,4.983313e+01
9.903337e+02,1.603689e+00,4.892708e+01
1.020958e+03,1.639371e+00,4.802901e+01
1.052529e+03,1.676080e+00,4.713656e+01
1.085076e+03,1.713787e+00,4.625135e+01
1.118630e+03,1.752450e+00,4.537505e+01
1.153222e+03,1.792121e+00,4.450777e+01
1.188883e+03,1.832922e+00,4.364820e+01
1.225647e+03,1.874820e+00,4.279805e+01
1.263547e+03,1.917799e+00,4.195841e+01
1.302620e+03,1.961866e+00,4.112972e+01
1.342901e+03,2.007250e+00,4.030908e+01
1.384428e+03,2.053591e+00,3.950220e+01
1.427238e+03,2.100614e+00,3.882764e+01
1.471373e+03,2.147231e+00,3.841695e+01
1.516872e+03,2.195099e+00,3.798937e+01
1.563779e+03,2.244265e+00,3.754676e+01
1.612135e+03,2.294915e+00,3.708966e+01
1.661988e+03,2.346955e+00,3.663373e+01
1.713381e+03,2.400149e+00,3.618120e+01
1.766364e+03,2.454715e+00,3.572717e+01
1.820986e+03,2.511008e+00,3.525747e+01
1.877296e+03,2.568710e+00,3.478256e+01
1.935348e+03,2.628021e+00,3.429613e+01
1.995195e+03,2.689498e+00,3.379673e+01
2.056892e+03,2.751701e+00,3.330293e+01
2.120497e+03,2.816637e+00,3.279245e+01
2.186070e+03,2.882351e+00,3.228671e+01
2.253670e+03,2.950477e+00,3.177121e+01
2.323360e+03,3.020240e+00,3.125657e+01
2.395205e+03,3.091576e+00,3.074423e+01
2.469272e+03,3.165615e+00,3.022563e+01
2.545630e+03,3.241518e+00,2.970444e+01
2.624348e+03,3.318772e+00,2.919065e+01
2.705501e+03,3.397837e+00,2.867865e+01
2.789163e+03,3.479621e+00,2.816166e+01
2.875413e+03,3.563577e+00,2.765426e+01
2.964329e+03,3.650025e+00,2.714163e+01
3.055995e+03,3.738717e+00,2.663613e+01
3.150496e+03,3.829577e+00,2.613149e+01
3.247919e+03,3.922810e+00,2.563547e+01
3.348355e+03,4.018796e+00,2.514123e+01
3.451896e+03,4.117635e+00,2.464885e+01
3.558639e+03,4.219115e+00,2.415925e+01
3.668683e+03,4.322132e+00,2.368534e+01
3.782130e+03,4.428616e+00,2.321200e+01
3.899085e+03,4.538759e+00,2.273926e+01
4.019656e+03,4.652833e+00,2.226678e+01
4.143956e+03,4.764297e+00,2.182065e+01
4.272100e+03,4.883008e+00,2.136630e+01
4.404207e+03,5.007348e+00,2.091954e+01
4.540398e+03,5.129208e+00,2.048728e+01
4.680801e+03,5.256164e+00,2.005277e+01
4.825546e+03,5.391789e+00,1.962093e+01
4.974766e+03,5.520559e+00,1.920979e+01
5.128601e+03,5.664173e+00,1.879118e+01
5.287193e+03,5.805198e+00,1.838448e+01
5.450689e+03,5.948889e+00,1.799172e+01
5.619241e+03,6.103520e+00,1.758896e+01
5.793005e+03,6.251301e+00,1.721404e+01
5.972142e+03,6.415615e+00,1.682245e+01
6.156819e+03,6.570828e+00,1.645998e+01
6.347207e+03,6.743744e+00,1.608041e+01
6.543482e+03,6.909136e+00,1.572659e+01
6.745826e+03,7.086515e+00,1.537575e+01
6.954427e+03,7.263439e+00,1.502944e+01
7.169480e+03,7.447917e+00,1.469142e+01
7.391182e+03,7.642855e+00,1.435552e+01
7.619740e+03,7.823182e+00,1.404310e+01
7.855365e+03,8.038983e+00,1.370400e+01
8.098277e+03,8.229852e+00,1.340170e+01
8.348700e+03,8.450585e+00,1.308334e+01
8.606867e+03,8.674435e+00,1.277747e+01
8.873018e+03,8.871065e+00,1.250491e+01
9.147399e+03,9.115742e+00,1.220019e+01
9.430264e+03,9.358077e+00,1.191118e+01
9.721877e+03,9.572221e+00,1.165156e+01
1.002251e+04,9.822165e+00,1.137155e+01
1.033243e+04,1.009593e+01,1.109112e+01
1.065194e+04,1.035420e+01,1.083091e+01
1.098133e+04,1.056762e+01,1.060577e+01
1.132091e+04,1.087730e+01,1.033180e+01
1.167099e+04,1.118632e+01,1.008496e+01
1.203189e+04,1.145262e+01,9.854213e+00
1.240395e+04,1.169261e+01,9.630557e+00
1.278752e+04,1.203505e+01,9.391821e+00
