energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.283192e+01,9.836750e-01
7.216461e+01,2.931045e+01,1.114557e+00
7.439616e+01,2.695678e+01,1.224937e+00
7.669672e+01,2.531574e+01,1.317487e+00
7.906841e+01,2.414220e+01,1.394533e+00
8.151345e+01,2.329421e+01,1.457967e+00
8.403409e+01,2.268364e+01,1.509386e+00
8.663268e+01,2.225015e+01,1.550390e+00
8.931163e+01,2.195262e+01,1.582367e+00
9.207342e+01,2.176207e+01,1.606520e+00
9.492061e+01,2.165580e+01,1.624072e+00
9.785584e+01,2.161430e+01,1.636349e+00
1.008818e+02,2.162291e+01,1.644483e+00
1.040014e+02,2.166937e+01,1.649548e+00
1.072175e+02,2.174487e+01,1.652366e+00
1.105329e+02,2.184040e+01,1.653874e+00
1.139510e+02,2.194967e+01,1.654759e+00
1.174747e+02,2.206336e+01,1.656111e+00
1.211073e+02,2.216263e+01,1.660239e+00
1.248524e+02,2.216703e+01,1.677282e+00
1.287132e+02,2.201016e+01,1.716639e+00
1.326934e+02,2.162234e+01,1.790309e+00
1.367967e+02,2.090893e+01,1.918557e+00
1.410268e+02,1.974322e+01,2.138202e+00
1.453878e+02,1.832971e+01,2.442926e+00
1.498836e+02,1.690625e+01,2.808680e+00
1.545185e+02,1.561288e+01,3.210088e+00
1.592967e+02,1.448776e+01,3.630835e+00
1.642226e+02,1.351902e+01,4.063609e+00
1.693009e+02,1.268980e+01,4.501809e+00
1.745362e+02,1.197826e+01,4.942029e+00
1.799334e+02,1.137133e+01,5.377651e+00
1.854975e+02,1.085176e+01,5.806251e+00
1.912336e+02,1.040711e+01,6.224458e+00
1.971471e+02,1.002867e+01,6.627642e+00
2.032435e+02,9.715056e+00,7.004992e+00
2.095284e+02,9.459531e+00,7.351372e+00
2.160077e+02,9.265645e+00,7.650775e+00
2.226873e+02,9.123984e+00,7.903575e+00
2.295735e+02,9.024616e+00,8.114274e+00
2.366726e+02,8.960072e+00,8.287073e+00
2.439912e+02,8.924563e+00,8.425971e+00
2.515362e+02,8.912754e+00,8.535930e+00
2.593144e+02,8.921037e+00,8.620470e+00
2.673332e+02,8.946971e+00,8.682037e+00
2.756000e+02,8.988591e+00,8.722868e+00
2.841224e+02,9.044958e+00,8.743853e+00
2.929083e+02,9.116444e+00,8.743930e+00
3.019659e+02,9.201587e+00,8.725443e+00
3.113036e+02,9.299042e+00,8.690787e+00
3.209301e+02,9.407797e+00,8.641905e+00
3.308542e+02,9.527196e+00,8.580254e+00
3.410852e+02,9.656470e+00,8.507584e+00
3.516326e+02,9.794919e+00,8.425511e+00
3.625062e+02,9.942063e+00,8.335369e+00
3.737160e+02,1.009753e+01,8.238253e+00
3.852724e+02,1.026096e+01,8.135261e+00
3.971862e+02,1.043209e+01,8.027279e+00
4.094684e+02,1.061080e+01,7.915007e+00
4.221304e+02,1.079641e+01,7.800106e+00
4.351840e+02,1.098839e+01,7.683897e+00
4.486412e+02,1.118691e+01,7.566422e+00
4.625145e+02,1.139204e+01,7.447918e+00
4.768169e+02,1.160371e+01,7.328849e+00
4.915615e+02,1.182158e+01,7.210154e+00
5.067621e+02,1.204560e+01,7.092236e+00
5.224327e+02,1.227571e+01,6.975460e+00
5.385879e+02,1.251165e+01,6.860585e+00
5.552427e+02,1.275347e+01,6.747725e+00
5.724125e+02,1.300106e+01,6.637219e+00
5.901132e+02,1.325455e+01,6.529224e+00
6.083613e+02,1.351374e+01,6.424111e+00
6.271737e+02,1.377826e+01,6.322822e+00
6.465678e+02,1.404757e+01,6.226237e+00
6.665617e+02,1.432167e+01,6.134438e+00
6.871738e+02,1.460022e+01,6.048160e+00
7.084233e+02,1.488281e+01,5.967938e+00
7.303299e+02,1.516940e+01,5.893894e+00
7.529139e+02,1.546014e+01,5.825769e+00
7.761963e+02,1.575504e+01,5.763544e+00
8.001987e+02,1.605477e+01,5.706034e+00
8.249432e+02,1.635988e+01,5.652655e+00
8.504530e+02,1.667089e+01,5.602751e+00
8.767516e+02,1.698815e+01,5.555651e+00
9.038634e+02,1.731199e+01,5.511340e+00
9.318136e+02,1.764241e+01,5.469647e+00
9.606281e+02,1.797986e+01,5.430265e+00
9.903337e+02,1.832456e+01,5.393004e+00
1.020958e+03,1.867734e+01,5.356843e+00
1.052529e+03,1.903861e+01,5.321392e+00
1.085076e+03,1.940855e+01,5.286614e+00
1.118630e+03,1.978725e+01,5.252414e+00
1.153222e+03,2.017574e+01,5.218447e+00
1.188883e+03,2.057366e+01,5.184998e+00
1.225647e+03,2.098054e+01,5.153015e+00
1.263547e+03,2.139633e+01,5.122549e+00
1.302620e+03,2.182297e+01,5.091618e+00
1.342901e+03,2.226186e+01,5.058954e+00
1.384428e+03,2.271357e+01,5.023754e+00
1.427238e+03,2.317836e+01,4.986291e+00
1.471373e+03,2.365631e+01,4.946901e+00
1.516872e+03,2.414833e+01,4.905537e+00
1.563779e+03,2.465397e+01,4.862218e+00
1.612135e+03,2.517451e+01,4.817016e+00
1.661988e+03,2.570927e+01,4.770273e+00
1.713381e+03,2.625937e+01,4.722122e+00
1.766364e+03,2.682323e+01,4.673715e+00
1.820986e+03,2.740205e+01,4.625548e+00
1.877296e+03,2.799583e+01,4.577526e+00
1.935348e+03,2.860532e+01,4.528630e+00
1.995195e+03,2.923239e+01,4.478411e+00
2.056892e+03,2.987563e+01,4.427084e+00
2.120497e+03,3.053791e+01,4.374542e+00
2.186070e+03,3.121840e+01,4.321089e+00
2.253670e+03,3.191514e+01,4.267024e+00
2.323360e+03,3.263225e+01,4.212194e+00
2.395205e+03,3.337087e+01,4.156694e+00
2.469272e+03,3.412616e+01,4.100821e+00
2.545630e+03,3.490200e+01,4.044465e+00
2.624348e+03,3.570263e+01,3.987386e+00
2.705501e+03,3.652157e+01,3.929932e+00
2.789163e+03,3.736443e+01,3.871996e+00
2.875413e+03,3.822734e+01,3.813823e+00
2.964329e+03,3.911598e+01,3.755291e+00
3.055995e+03,4.002961e+01,3.696525e+00
3.150496e+03,4.096517e+01,3.637716e+00
3.247919e+03,4.192870e+01,3.578736e+00
3.348355e+03,4.291524e+01,3.519897e+00
3.451896e+03,4.393333e+01,3.460913e+00
3.558639e+03,4.496991e+01,3.402364e+00
3.668683e+03,4.604266e+01,3.343686e+00
3.782130e+03,4.714056e+01,3.285328e+00
3.899085e+03,4.826641e+01,3.227282e+00
4.019656e+03,4.942069e+01,3.169599e+00
4.143956e+03,5.060931e+01,3.112161e+00
4.272100e+03,5.183139e+01,3.055092e+00
4.404207e+03,5.308498e+01,2.998461e+00
4.540398e+03,5.436984e+01,2.942343e+00
4.680801e+03,5.568660e+01,2.886796e+00
4.825546e+03,5.703677e+01,2.831781e+00
4.974766e+03,5.842711e+01,2.777179e+00
5.128601e+03,5.985961e+01,2.723089e+00
5.287193e+03,6.132698e+01,2.669599e+00
5.450689e+03,6.283068e+01,2.616797e+00
5.619241e+03,6.437431e+01,2.564629e+00
5.793005e+03,6.596546e+01,2.512985e+00
5.972142e+03,6.758381e+01,2.462221e+00
6.156819e+03,6.924369e+01,2.417115e+00
6.347207e+03,7.094595e+01,2.374669e+00
6.543482e+03,7.270134e+01,2.334489e+00
6.745826e+03,7.449096e+01,2.294541e+00
6.954427e+03,7.631098e+01,2.254662e+00
7.169480e+03,7.821054e+01,2.214636e+00
7.391182e+03,8.016560e+01,2.175024e+00
7.619740e+03,8.214384e+01,2.136845e+00
7.855365e+03,8.416973e+01,2.098689e+00
8.098277e+03,8.629213e+01,2.060420e+00
8.348700e+03,8.843394e+01,2.022592e+00
8.606867e+03,9.062940e+01,1.985034e+00
8.873018e+03,9.289902e+01,1.947827e+00
9.147399e+03,9.522327e+01,1.911149e+00
9.430264e+03,9.761673e+01,1.874683e+00
9.721877e+03,1.000564e+02,1.838925e+00
1.002251e+04,1.025792e+02,1.803325e+00
1.033243e+04,1.051502e+02,1.768158e+00
1.065194e+04,1.077833e+02,1.733341e+00
1.098133e+04,1.105210e+02,1.698585e+00
1.132091e+04,1.132489e+02,1.664828e+00
1.167099e+04,1.161441e+02,1.630993e+00
1.203189e+04,1.190881e+02,1.597633e+00
1.240395e+04,1.220532e+02,1.565071e+00
1.278752e+04,1.252475e+02,1.532196e+00
1.318295e+04,1.282547e+02,1.500975e+00
1.359061e+04,1.317147e+02,1.468621e+00
1.401087e+04,1.349940e+02,1.437700e+00
1.444413e+04,1.382863e+02,1.407776e+00
1.489078e+04,1.420642e+02,1.376780e+00
1.535125e+04,1.455954e+02,1.347412e+00
1.582596e+04,1.490966e+02,1.318889e+00
1.631535e+04,1.531605e+02,1.289556e+00
1.681987e+04,1.570585e+02,1.261422e+00
1.733999e+04,1.608891e+02,1.234124e+00
1.787619e+04,1.650995e+02,1.206602e+00
1.842898e+04,1.693628e+02,1.179767e+00
1.899886e+04,1.736405e+02,1.153814e+00
1.958636e+04,1.780676e+02,1.127902e+00
2.019203e+04,1.825680e+02,1.102820e+00
2.081643e+04,1.872686e+02,1.077825e+00
2.146014e+04,1.921932e+02,1.053202e+00
2.212375e+04,1.969321e+02,1.029576e+00
2.280789e+04,2.017584e+02,1.006660e+00
2.351318e+04,2.071916e+02,9.829714e-01
2.424027e+04,2.125248e+02,9.604749e-01
