energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,8.037373e+00,4.052155e+00
7.216461e+01,6.700797e+00,4.937412e+00
7.439616e+01,5.756942e+00,5.838796e+00
7.669672e+01,5.054584e+00,6.757509e+00
7.906841e+01,4.515938e+00,7.685959e+00
8.151345e+01,4.091667e+00,8.620335e+00
8.403409e+01,3.749134e+00,9.560658e+00
8.663268e+01,3.466956e+00,1.050727e+01
8.931163e+01,3.230569e+00,1.146073e+01
9.207342e+01,3.029761e+00,1.242156e+01
9.492061e+01,2.858208e+00,1.338417e+01
9.785584e+01,2.710770e+00,1.434448e+01
1.008818e+02,2.582938e+00,1.530219e+01
1.040014e+02,2.471238e+00,1.625727e+01
1.072175e+02,2.372961e+00,1.720982e+01
1.105329e+02,2.286028e+00,1.815944e+01
1.139510e+02,2.208865e+00,1.910465e+01
1.174747e+02,2.140078e+00,2.004535e+01
1.211073e+02,2.078513e+00,2.098169e+01
1.248524e+02,2.023209e+00,2.191399e+01
1.287132e+02,1.973423e+00,2.284175e+01
1.326934e+02,1.928901e+00,2.375793e+01
1.367967e+02,1.889152e+00,2.466002e+01
1.410268e+02,1.853641e+00,2.554782e+01
1.453878e+02,1.821903e+00,2.642134e+01
1.498836e+02,1.793640e+00,2.727841e+01
1.545185e+02,1.768696e+00,2.811434e+01
1.592967e+02,1.746762e+00,2.892872e+01
1.642226e+02,1.727563e+00,2.972145e+01
1.693009e+02,1.710842e+00,3.049300e+01
1.745362e+02,1.696277e+00,3.124677e+01
1.799334e+02,1.683663e+00,3.198405e+01
1.854975e+02,1.672849e+00,3.270504e+01
1.912336e+02,1.663696e+00,3.341032e+01
1.971471e+02,1.656013e+00,3.410280e+01
2.032435e+02,1.649660e+00,3.478443e+01
2.095284e+02,1.644551e+00,3.545565e+01
2.160077e+02,1.640610e+00,3.611684e+01
2.226873e+02,1.637768e+00,3.676848e+01
2.295735e+02,1.636016e+00,3.740877e+01
2.366726e+02,1.635583e+00,3.802563e+01
2.439912e+02,1.636457e+00,3.861692e+01
2.515362e+02,1.638581e+00,3.918281e+01
2.593144e+02,1.641900e+00,3.972365e+01
2.673332e+02,1.646364e+00,4.023983e+01
2.756000e+02,1.651927e+00,4.073190e+01
2.841224e+02,1.658603e+00,4.119763e+01
2.929083e+02,1.666572e+00,4.162624e+01
3.019659e+02,1.675838e+00,4.201608e+01
3.113036e+02,1.686358e+00,4.236814e+01
3.209301e+02,1.698094e+00,4.268348e+01
3.308542e+02,1.711013e+00,4.296321e+01
3.410852e+02,1.725087e+00,4.320847e+01
3.516326e+02,1.740290e+00,4.342044e+01
3.625062e+02,1.756608e+00,4.359985e+01
3.737160e+02,1.774088e+00,4.374415e+01
3.852724e+02,1.792730e+00,4.385352e+01
3.971862e+02,1.812519e+00,4.392938e+01
4.094684e+02,1.833442e+00,4.397312e+01
4.221304e+02,1.855490e+00,4.398614e+01
4.351840e+02,1.878655e+00,4.396980e+01
4.486412e+02,1.902933e+00,4.392543e+01
4.625145e+02,1.928321e+00,4.385433e+01
4.768169e+02,1.954820e+00,4.375779e+01
4.915615e+02,1.982431e+00,4.363704e+01
5.067621e+02,2.011173e+00,4.349232e+01
5.224327e+02,2.041118e+00,4.332083e+01
5.385879e+02,2.072284e+00,4.312319e+01
5.552427e+02,2.104677e+00,4.290092e+01
5.724125e+02,2.138302e+00,4.265554e+01
5.901132e+02,2.173169e+00,4.238849e+01
6.083613e+02,2.209288e+00,4.210114e+01
6.271737e+02,2.246678e+00,4.179453e+01
6.465678e+02,2.285413e+00,4.146617e+01
6.665617e+02,2.325536e+00,4.111602e+01
6.871738e+02,2.367057e+00,4.074583e+01
7.084233e+02,2.409989e+00,4.035728e+01
7.303299e+02,2.454351e+00,3.995191e+01
7.529139e+02,2.500158e+00,3.953126e+01
7.761963e+02,2.547434e+00,3.909674e+01
8.001987e+02,2.596199e+00,3.864950e+01
8.249432e+02,2.646497e+00,3.818970e+01
8.504530e+02,2.698358e+00,3.771850e+01
8.767516e+02,2.751803e+00,3.723723e+01
9.038634e+02,2.806860e+00,3.674711e+01
9.318136e+02,2.863557e+00,3.624931e+01
9.606281e+02,2.921927e+00,3.574490e+01
9.903337e+02,2.981996e+00,3.523494e+01
1.020958e+03,3.043800e+00,3.472034e+01
1.052529e+03,3.107374e+00,3.420204e+01
1.085076e+03,3.172762e+00,3.368043e+01
1.118630e+03,3.240009e+00,3.315589e+01
1.153222e+03,3.309155e+00,3.262927e+01
1.188883e+03,3.380241e+00,3.210135e+01
1.225647e+03,3.453310e+00,3.157286e+01
1.263547e+03,3.528402e+00,3.104449e+01
1.302620e+03,3.605565e+00,3.051684e+01
1.342901e+03,3.684841e+00,2.999053e+01
1.384428e+03,3.766295e+00,2.946537e+01
1.427238e+03,3.850002e+00,2.894118e+01
1.471373e+03,3.936003e+00,2.841863e+01
1.516872e+03,4.024341e+00,2.789834e+01
1.563779e+03,4.115094e+00,2.738083e+01
1.612135e+03,4.208298e+00,2.686666e+01
1.661988e+03,4.304000e+00,2.635649e+01
1.713381e+03,4.402279e+00,2.585115e+01
1.766364e+03,4.503169e+00,2.535098e+01
1.820986e+03,4.606752e+00,2.485620e+01
1.877296e+03,4.713079e+00,2.436701e+01
1.935348e+03,4.822240e+00,2.388360e+01
1.995195e+03,4.934286e+00,2.340616e+01
2.056892e+03,5.049307e+00,2.293484e+01
2.120497e+03,5.167350e+00,2.246985e+01
2.186070e+03,5.288538e+00,2.201123e+01
2.253670e+03,5.411851e+00,2.159876e+01
2.323360e+03,5.536015e+00,2.128222e+01
2.395205e+03,5.663487e+00,2.096541e+01
2.469272e+03,5.794399e+00,2.064836e+01
2.545630e+03,5.928752e+00,2.033346e+01
2.624348e+03,6.066674e+00,2.002086e+01
2.705501e+03,6.208034e+00,1.971738e+01
2.789163e+03,6.353146e+00,1.941273e+01
2.875413e+03,6.502398e+00,1.910285e+01
2.964329e+03,6.655603e+00,1.879422e+01
3.055995e+03,6.812995e+00,1.848186e+01
3.150496e+03,6.974627e+00,1.817121e+01
3.247919e+03,7.140675e+00,1.785954e+01
3.348355e+03,7.311172e+00,1.754672e+01
3.451896e+03,7.486157e+00,1.723780e+01
3.558639e+03,7.665977e+00,1.692783e+01
3.668683e+03,7.850596e+00,1.661997e+01
3.782130e+03,8.040205e+00,1.631109e+01
3.899085e+03,8.234760e+00,1.600743e+01
4.019656e+03,8.434742e+00,1.570310e+01
4.143956e+03,8.639817e+00,1.540455e+01
4.272100e+03,8.850507e+00,1.510562e+01
4.404207e+03,9.066647e+00,1.481146e+01
4.540398e+03,9.288728e+00,1.451905e+01
4.680801e+03,9.516937e+00,1.422854e+01
4.825546e+03,9.750842e+00,1.394402e+01
4.974766e+03,9.990987e+00,1.366248e+01
5.128601e+03,1.023773e+01,1.338152e+01
5.287193e+03,1.049098e+01,1.310600e+01
5.450689e+03,1.075100e+01,1.283603e+01
5.619241e+03,1.101812e+01,1.256652e+01
5.793005e+03,1.129189e+01,1.230359e+01
5.972142e+03,1.157313e+01,1.204318e+01
6.156819e+03,1.186192e+01,1.178579e+01
6.347207e+03,1.215821e+01,1.153517e+01
6.543482e+03,1.246305e+01,1.128485e+01
6.745826e+03,1.277548e+01,1.104138e+01
6.954427e+03,1.309659e+01,1.079846e+01
7.169480e+03,1.342587e+01,1.056351e+01
7.391182e+03,1.376373e+01,1.033158e+01
7.619740e+03,1.411069e+01,1.010336e+01
7.855365e+03,1.446700e+01,9.877921e+00
8.098277e+03,1.483335e+01,9.657952e+00
8.348700e+03,1.520947e+01,9.440467e+00
8.606867e+03,1.559521e+01,9.228912e+00
8.873018e+03,1.599043e+01,9.023417e+00
9.147399e+03,1.639765e+01,8.816877e+00
9.430264e+03,1.681486e+01,8.617213e+00
9.721877e+03,1.724317e+01,8.420646e+00
1.002251e+04,1.768278e+01,8.226734e+00
1.033243e+04,1.813316e+01,8.040611e+00
1.065194e+04,1.859837e+01,7.852075e+00
1.098133e+04,1.907441e+01,7.673083e+00
1.132091e+04,1.956426e+01,7.495166e+00
1.167099e+04,2.006779e+01,7.318230e+00
1.203189e+04,2.058168e+01,7.150887e+00
1.240395e+04,2.111060e+01,6.984253e+00
1.278752e+04,2.165585e+01,6.817560e+00
1.318295e+04,2.221364e+01,6.657866e+00
1.359061e+04,2.278810e+01,6.499340e+00
