energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.836125e+00,1.785608e+01
7.216461e+01,1.478112e+00,2.255678e+01
7.439616e+01,1.252489e+00,2.704134e+01
7.669672e+01,1.105125e+00,3.109074e+01
7.906841e+01,1.008868e+00,3.449224e+01
8.151345e+01,9.429936e-01,3.732543e+01
8.403409e+01,8.968302e-01,3.965406e+01
8.663268e+01,8.640463e-01,4.154670e+01
8.931163e+01,8.408865e-01,4.305635e+01
9.207342e+01,8.248818e-01,4.423213e+01
9.492061e+01,8.134158e-01,4.518442e+01
9.785584e+01,8.048649e-01,4.599266e+01
1.008818e+02,7.987344e-01,4.667219e+01
1.040014e+02,7.946648e-01,4.723487e+01
1.072175e+02,7.923187e-01,4.769596e+01
1.105329e+02,7.914117e-01,4.807050e+01
1.139510e+02,7.917793e-01,4.836620e+01
1.174747e+02,7.933269e-01,4.858637e+01
1.211073e+02,7.959723e-01,4.873458e+01
1.248524e+02,7.996085e-01,4.881788e+01
1.287132e+02,8.041489e-01,4.884248e+01
1.326934e+02,8.094702e-01,4.881918e+01
1.367967e+02,8.154014e-01,4.876439e+01
1.410268e+02,8.219063e-01,4.868147e+01
1.453878e+02,8.289633e-01,4.857256e+01
1.498836e+02,8.365306e-01,4.844213e+01
1.545185e+02,8.445594e-01,4.829558e+01
1.592967e+02,8.530385e-01,4.813447e+01
1.642226e+02,8.619617e-01,4.795979e+01
1.693009e+02,8.713662e-01,4.776801e+01
1.745362e+02,8.812635e-01,4.755837e+01
1.799334e+02,8.916499e-01,4.733194e+01
1.854975e+02,9.025533e-01,4.708644e+01
1.912336e+02,9.139909e-01,4.682063e+01
1.971471e+02,9.259622e-01,4.653568e+01
2.032435e+02,9.384654e-01,4.623280e+01
2.095284e+02,9.514948e-01,4.591385e+01
2.160077e+02,9.650439e-01,4.558078e+01
2.226873e+02,9.791263e-01,4.523315e+01
2.295735e+02,9.937746e-01,4.486856e+01
2.366726e+02,1.009025e+00,4.448464e+01
2.439912e+02,1.024908e+00,4.407922e+01
2.515362e+02,1.041509e+00,4.364444e+01
2.593144e+02,1.058881e+00,4.317678e+01
2.673332e+02,1.077080e+00,4.267228e+01
2.756000e+02,1.096136e+00,4.213065e+01
2.841224e+02,1.114706e+00,4.170659e+01
2.929083e+02,1.128812e+00,4.184797e+01
3.019659e+02,1.125246e+00,4.407616e+01
3.113036e+02,1.129302e+00,4.544593e+01
3.209301e+02,1.140567e+00,4.598034e+01
3.308542e+02,1.154357e+00,4.624614e+01
3.410852e+02,1.169779e+00,4.635717e+01
3.516326e+02,1.186548e+00,4.635101e+01
3.625062e+02,1.204520e+00,4.624986e+01
3.737160e+02,1.223358e+00,4.609835e+01
3.852724e+02,1.242996e+00,4.590800e+01
3.971862e+02,1.263434e+00,4.568175e+01
4.094684e+02,1.284672e+00,4.542122e+01
4.221304e+02,1.306769e+00,4.512303e+01
4.351840e+02,1.329724e+00,4.479006e+01
4.486412e+02,1.353537e+00,4.442541e+01
4.625145e+02,1.378192e+00,4.403532e+01
4.768169e+02,1.403666e+00,4.362370e+01
4.915615e+02,1.429982e+00,4.319214e+01
5.067621e+02,1.457150e+00,4.274243e+01
5.224327e+02,1.485153e+00,4.228022e+01
5.385879e+02,1.513911e+00,4.181623e+01
5.552427e+02,1.543441e+00,4.135135e+01
5.724125e+02,1.573779e+00,4.088553e+01
5.901132e+02,1.604922e+00,4.041954e+01
6.083613e+02,1.636925e+00,3.995045e+01
6.271737e+02,1.669801e+00,3.947713e+01
6.465678e+02,1.703611e+00,3.899936e+01
6.665617e+02,1.738338e+00,3.852039e+01
6.871738e+02,1.773987e+00,3.804118e+01
7.084233e+02,1.810604e+00,3.756041e+01
7.303299e+02,1.848231e+00,3.707807e+01
7.529139e+02,1.886874e+00,3.659450e+01
7.761963e+02,1.926576e+00,3.611031e+01
8.001987e+02,1.967276e+00,3.562674e+01
8.249432e+02,2.009172e+00,3.514127e+01
8.504530e+02,2.052159e+00,3.465629e+01
8.767516e+02,2.096210e+00,3.417214e+01
9.038634e+02,2.141565e+00,3.368759e+01
9.318136e+02,2.188099e+00,3.320445e+01
9.606281e+02,2.235840e+00,3.272359e+01
9.903337e+02,2.284886e+00,3.224541e+01
1.020958e+03,2.335177e+00,3.176857e+01
1.052529e+03,2.386858e+00,3.129325e+01
1.085076e+03,2.439905e+00,3.081863e+01
1.118630e+03,2.494319e+00,3.034630e+01
1.153222e+03,2.550266e+00,2.987514e+01
1.188883e+03,2.607658e+00,2.940606e+01
1.225647e+03,2.666603e+00,2.893755e+01
1.263547e+03,2.727121e+00,2.847191e+01
1.302620e+03,2.789203e+00,2.800806e+01
1.342901e+03,2.853073e+00,2.754503e+01
1.384428e+03,2.918511e+00,2.708574e+01
1.427238e+03,2.985846e+00,2.662800e+01
1.471373e+03,3.054914e+00,2.617427e+01
1.516872e+03,3.125611e+00,2.572402e+01
1.563779e+03,3.198378e+00,2.527605e+01
1.612135e+03,3.273209e+00,2.483031e+01
1.661988e+03,3.349708e+00,2.438903e+01
1.713381e+03,3.428464e+00,2.395127e+01
1.766364e+03,3.509531e+00,2.351639e+01
1.820986e+03,3.592244e+00,2.308754e+01
1.877296e+03,3.677489e+00,2.266063e+01
1.935348e+03,3.764880e+00,2.223893e+01
