energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,9.329099e+00,3.494696e+00
7.216461e+01,7.966083e+00,4.149112e+00
7.439616e+01,7.052589e+00,4.748861e+00
7.669672e+01,6.400381e+00,5.300411e+00
7.906841e+01,5.900967e+00,5.823217e+00
8.151345e+01,5.505383e+00,6.322366e+00
8.403409e+01,5.181937e+00,6.804696e+00
8.663268e+01,4.910973e+00,7.275251e+00
8.931163e+01,4.674075e+00,7.748996e+00
9.207342e+01,4.463224e+00,8.230981e+00
9.492061e+01,4.271507e+00,8.729052e+00
9.785584e+01,4.093711e+00,9.251691e+00
1.008818e+02,3.931693e+00,9.789477e+00
1.040014e+02,3.785287e+00,1.033651e+01
1.072175e+02,3.652504e+00,1.089274e+01
1.105329e+02,3.531670e+00,1.145817e+01
1.139510e+02,3.421087e+00,1.203418e+01
1.174747e+02,3.319004e+00,1.262404e+01
1.211073e+02,3.224407e+00,1.322880e+01
1.248524e+02,3.136430e+00,1.384960e+01
1.287132e+02,3.054301e+00,1.448782e+01
1.326934e+02,2.977390e+00,1.514468e+01
1.367967e+02,2.905102e+00,1.582187e+01
1.410268e+02,2.837778e+00,1.651368e+01
1.453878e+02,2.776695e+00,1.720448e+01
1.498836e+02,2.721367e+00,1.789244e+01
1.545185e+02,2.671223e+00,1.857720e+01
1.592967e+02,2.625757e+00,1.925855e+01
1.642226e+02,2.584525e+00,1.993638e+01
1.693009e+02,2.547157e+00,2.061038e+01
1.745362e+02,2.513417e+00,2.127906e+01
1.799334e+02,2.483008e+00,2.194210e+01
1.854975e+02,2.455659e+00,2.259942e+01
1.912336e+02,2.431121e+00,2.325103e+01
1.971471e+02,2.409182e+00,2.389692e+01
2.032435e+02,2.389714e+00,2.453598e+01
2.095284e+02,2.372627e+00,2.516658e+01
2.160077e+02,2.357768e+00,2.578861e+01
2.226873e+02,2.344985e+00,2.640212e+01
2.295735e+02,2.334150e+00,2.700714e+01
2.366726e+02,2.325141e+00,2.760375e+01
2.439912e+02,2.317856e+00,2.819202e+01
2.515362e+02,2.312195e+00,2.877209e+01
2.593144e+02,2.308206e+00,2.934093e+01
2.673332e+02,2.305969e+00,2.989456e+01
2.756000e+02,2.305400e+00,3.043297e+01
2.841224e+02,2.306428e+00,3.095624e+01
2.929083e+02,2.308978e+00,3.146457e+01
3.019659e+02,2.312983e+00,3.195821e+01
3.113036e+02,2.318540e+00,3.243311e+01
3.209301e+02,2.325879e+00,3.288111e+01
3.308542e+02,2.334959e+00,3.330177e+01
3.410852e+02,2.345714e+00,3.369560e+01
3.516326e+02,2.358109e+00,3.406302e+01
3.625062e+02,2.372073e+00,3.440475e+01
3.737160e+02,2.387570e+00,3.472137e+01
3.852724e+02,2.404558e+00,3.501356e+01
3.971862e+02,2.423048e+00,3.528084e+01
4.094684e+02,2.443266e+00,3.551499e+01
4.221304e+02,2.465281e+00,3.571354e+01
4.351840e+02,2.489047e+00,3.587787e+01
4.486412e+02,2.514528e+00,3.600937e+01
4.625145e+02,2.541704e+00,3.610933e+01
4.768169e+02,2.570559e+00,3.617910e+01
4.915615e+02,2.601049e+00,3.622012e+01
5.067621e+02,2.633164e+00,3.623369e+01
5.224327e+02,2.666904e+00,3.622104e+01
5.385879e+02,2.702251e+00,3.618346e+01
5.552427e+02,2.739311e+00,3.611824e+01
5.724125e+02,2.778241e+00,3.602190e+01
5.901132e+02,2.818992e+00,3.589625e+01
6.083613e+02,2.861585e+00,3.574304e+01
6.271737e+02,2.905989e+00,3.556421e+01
6.465678e+02,2.952244e+00,3.536135e+01
6.665617e+02,3.000310e+00,3.513630e+01
6.871738e+02,3.050210e+00,3.489057e+01
7.084233e+02,3.101962e+00,3.462567e+01
7.303299e+02,3.155560e+00,3.434312e+01
7.529139e+02,3.211123e+00,3.404361e+01
7.761963e+02,3.268550e+00,3.372829e+01
8.001987e+02,3.327937e+00,3.339820e+01
8.249432e+02,3.389302e+00,3.305467e+01
8.504530e+02,3.452629e+00,3.269905e+01
8.767516e+02,3.518019e+00,3.233221e+01
9.038634e+02,3.585480e+00,3.195408e+01
9.318136e+02,3.655104e+00,3.156495e+01
9.606281e+02,3.726878e+00,3.116617e+01
9.903337e+02,3.800865e+00,3.075883e+01
1.020958e+03,3.877092e+00,3.034405e+01
1.052529e+03,3.955550e+00,2.992297e+01
1.085076e+03,4.036452e+00,2.949619e+01
1.118630e+03,4.119752e+00,2.906481e+01
1.153222e+03,4.205399e+00,2.862983e+01
1.188883e+03,4.293463e+00,2.819162e+01
1.225647e+03,4.384133e+00,2.775049e+01
1.263547e+03,4.477347e+00,2.730740e+01
1.302620e+03,4.573177e+00,2.686303e+01
