energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,8.293582e+01,3.900824e-01
7.216461e+01,7.289489e+01,4.494349e-01
7.439616e+01,6.599010e+01,5.025131e-01
7.669672e+01,6.101721e+01,5.498423e-01
7.906841e+01,5.732056e+01,5.919043e-01
8.151345e+01,5.451257e+01,6.291430e-01
8.403409e+01,5.235049e+01,6.619511e-01
8.663268e+01,5.067478e+01,6.906762e-01
8.931163e+01,4.937452e+01,7.156616e-01
9.207342e+01,4.837106e+01,7.372238e-01
9.492061e+01,4.760700e+01,7.556561e-01
9.785584e+01,4.703964e+01,7.712275e-01
1.008818e+02,4.663671e+01,7.841815e-01
1.040014e+02,4.637340e+01,7.947388e-01
1.072175e+02,4.623012e+01,8.031067e-01
1.105329e+02,4.619123e+01,8.094782e-01
1.139510e+02,4.624420e+01,8.140302e-01
1.174747e+02,4.637889e+01,8.169255e-01
1.211073e+02,4.658704e+01,8.183134e-01
1.248524e+02,4.686197e+01,8.183277e-01
1.287132e+02,4.719837e+01,8.170860e-01
1.326934e+02,4.759175e+01,8.146995e-01
1.367967e+02,4.803816e+01,8.112772e-01
1.410268e+02,4.853427e+01,8.069203e-01
1.453878e+02,4.907730e+01,8.017213e-01
1.498836e+02,4.966493e+01,7.957656e-01
1.545185e+02,5.029523e+01,7.891313e-01
1.592967e+02,5.096661e+01,7.818901e-01
1.642226e+02,5.167775e+01,7.741078e-01
1.693009e+02,5.242764e+01,7.658431e-01
1.745362e+02,5.321549e+01,7.571487e-01
1.799334e+02,5.404064e+01,7.480759e-01
1.854975e+02,5.490251e+01,7.386726e-01
1.912336e+02,5.580073e+01,7.289822e-01
1.971471e+02,5.673498e+01,7.190453e-01
2.032435e+02,5.770513e+01,7.088984e-01
2.095284e+02,5.871114e+01,6.985745e-01
2.160077e+02,5.975300e+01,6.881055e-01
2.226873e+02,6.083089e+01,6.775189e-01
2.295735e+02,6.194494e+01,6.668413e-01
2.366726e+02,6.309545e+01,6.560959e-01
2.439912e+02,6.428276e+01,6.453042e-01
2.515362e+02,6.550732e+01,6.344855e-01
2.593144e+02,6.676956e+01,6.236567e-01
2.673332e+02,6.807004e+01,6.128341e-01
2.756000e+02,6.940931e+01,6.020327e-01
2.841224e+02,7.078795e+01,5.912667e-01
2.929083e+02,7.220662e+01,5.805484e-01
3.019659e+02,7.366611e+01,5.698888e-01
3.113036e+02,7.516714e+01,5.592980e-01
3.209301e+02,7.671040e+01,5.487862e-01
3.308542e+02,7.829677e+01,5.383611e-01
3.410852e+02,7.992732e+01,5.280289e-01
3.516326e+02,8.160261e+01,5.177980e-01
3.625062e+02,8.332396e+01,5.076727e-01
3.737160e+02,8.509233e+01,4.976584e-01
3.852724e+02,8.690859e+01,4.877608e-01
3.971862e+02,8.877375e+01,4.779845e-01
4.094684e+02,9.068926e+01,4.683316e-01
4.221304e+02,9.265607e+01,4.588062e-01
4.351840e+02,9.467526e+01,4.494115e-01
4.486412e+02,9.674844e+01,4.401485e-01
4.625145e+02,9.887666e+01,4.310200e-01
4.768169e+02,1.010610e+02,4.220284e-01
4.915615e+02,1.033033e+02,4.131732e-01
5.067621e+02,1.056050e+02,4.044558e-01
5.224327e+02,1.079672e+02,3.958775e-01
