energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.383811e+01,1.360526e+00
7.216461e+01,2.060519e+01,1.595552e+00
7.439616e+01,1.836519e+01,1.814099e+00
7.669672e+01,1.673458e+01,2.016853e+00
7.906841e+01,1.550517e+01,2.204508e+00
8.151345e+01,1.455422e+01,2.377762e+00
8.403409e+01,1.380510e+01,2.537214e+00
8.663268e+01,1.320845e+01,2.683161e+00
8.931163e+01,1.272913e+01,2.816217e+00
9.207342e+01,1.234196e+01,2.937079e+00
9.492061e+01,1.202866e+01,3.046423e+00
9.785584e+01,1.177565e+01,3.144895e+00
1.008818e+02,1.157262e+01,3.233124e+00
1.040014e+02,1.141141e+01,3.311799e+00
1.072175e+02,1.128571e+01,3.381544e+00
1.105329e+02,1.119067e+01,3.442881e+00
1.139510e+02,1.112242e+01,3.496306e+00
1.174747e+02,1.107779e+01,3.542294e+00
1.211073e+02,1.105420e+01,3.581296e+00
1.248524e+02,1.105012e+01,3.613441e+00
1.287132e+02,1.106606e+01,3.637942e+00
1.326934e+02,1.110029e+01,3.655256e+00
1.367967e+02,1.115112e+01,3.665966e+00
1.410268e+02,1.121651e+01,3.670965e+00
1.453878e+02,1.129445e+01,3.671229e+00
1.498836e+02,1.138415e+01,3.667121e+00
1.545185e+02,1.148500e+01,3.658963e+00
1.592967e+02,1.159646e+01,3.647059e+00
1.642226e+02,1.171808e+01,3.631695e+00
1.693009e+02,1.184949e+01,3.613139e+00
1.745362e+02,1.199058e+01,3.591517e+00
1.799334e+02,1.214148e+01,3.566843e+00
1.854975e+02,1.230192e+01,3.539367e+00
1.912336e+02,1.247167e+01,3.509349e+00
1.971471e+02,1.265021e+01,3.477221e+00
2.032435e+02,1.283712e+01,3.443363e+00
2.095284e+02,1.303310e+01,3.407483e+00
2.160077e+02,1.323803e+01,3.369789e+00
2.226873e+02,1.345182e+01,3.330486e+00
2.295735e+02,1.367441e+01,3.289762e+00
2.366726e+02,1.390577e+01,3.247791e+00
2.439912e+02,1.414587e+01,3.204735e+00
2.515362e+02,1.439474e+01,3.160742e+00
2.593144e+02,1.465244e+01,3.115926e+00
2.673332e+02,1.491908e+01,3.070380e+00
2.756000e+02,1.519471e+01,3.024232e+00
2.841224e+02,1.547940e+01,2.977599e+00
2.929083e+02,1.577325e+01,2.930579e+00
3.019659e+02,1.607642e+01,2.883240e+00
3.113036e+02,1.638901e+01,2.835677e+00
3.209301e+02,1.671115e+01,2.787983e+00
3.308542e+02,1.704294e+01,2.740245e+00
3.410852e+02,1.738450e+01,2.692572e+00
3.516326e+02,1.773594e+01,2.645033e+00
3.625062e+02,1.809748e+01,2.597679e+00
3.737160e+02,1.846931e+01,2.550555e+00
3.852724e+02,1.885165e+01,2.503695e+00
3.971862e+02,1.924468e+01,2.457143e+00
4.094684e+02,1.964867e+01,2.410936e+00
4.221304e+02,2.006382e+01,2.365111e+00
4.351840e+02,2.049036e+01,2.319702e+00
4.486412e+02,2.092857e+01,2.274734e+00
4.625145e+02,2.137868e+01,2.230234e+00
4.768169e+02,2.184096e+01,2.186226e+00
4.915615e+02,2.231571e+01,2.142730e+00
5.067621e+02,2.280322e+01,2.099761e+00
5.224327e+02,2.330378e+01,2.057338e+00
5.385879e+02,2.381773e+01,2.015456e+00
5.552427e+02,2.434542e+01,1.974118e+00
5.724125e+02,2.488712e+01,1.933360e+00
5.901132e+02,2.544318e+01,1.893190e+00
6.083613e+02,2.601394e+01,1.853616e+00
6.271737e+02,2.659982e+01,1.814641e+00
6.465678e+02,2.720116e+01,1.776272e+00
6.665617e+02,2.781825e+01,1.738516e+00
6.871738e+02,2.845163e+01,1.701371e+00
7.084233e+02,2.910168e+01,1.664837e+00
7.303299e+02,2.976880e+01,1.628917e+00
7.529139e+02,3.045335e+01,1.593613e+00
7.761963e+02,3.115587e+01,1.558921e+00
8.001987e+02,3.187675e+01,1.524840e+00
8.249432e+02,3.261658e+01,1.491363e+00
8.504530e+02,3.337579e+01,1.458490e+00
8.767516e+02,3.415477e+01,1.426220e+00
9.038634e+02,3.495435e+01,1.394539e+00
9.318136e+02,3.577460e+01,1.363456e+00
9.606281e+02,3.661647e+01,1.332955e+00
9.903337e+02,3.748026e+01,1.303038e+00
1.020958e+03,3.836662e+01,1.273696e+00
1.052529e+03,3.927638e+01,1.244918e+00
1.085076e+03,4.020978e+01,1.216706e+00
1.118630e+03,4.116734e+01,1.189056e+00
1.153222e+03,4.215014e+01,1.161951e+00
1.188883e+03,4.315886e+01,1.135384e+00
1.225647e+03,4.419394e+01,1.109354e+00
1.263547e+03,4.525558e+01,1.083861e+00
1.302620e+03,4.634559e+01,1.058878e+00
1.342901e+03,4.746417e+01,1.034407e+00
1.384428e+03,4.861191e+01,1.010445e+00
1.427238e+03,4.978962e+01,9.869820e-01
1.471373e+03,5.099815e+01,9.640115e-01
1.516872e+03,5.223907e+01,9.415118e-01
1.563779e+03,5.351205e+01,9.194942e-01
1.612135e+03,5.481796e+01,8.979523e-01
1.661988e+03,5.615899e+01,8.768564e-01
1.713381e+03,5.753483e+01,8.562195e-01
1.766364e+03,5.894674e+01,8.360261e-01
1.820986e+03,6.039607e+01,8.162651e-01
1.877296e+03,6.188320e+01,7.969377e-01
1.935348e+03,6.341009e+01,7.780257e-01
1.995195e+03,6.497715e+01,7.595272e-01
2.056892e+03,6.658558e+01,7.414348e-01
2.120497e+03,6.823586e+01,7.237438e-01
2.186070e+03,6.992926e+01,7.064449e-01
2.253670e+03,7.166608e+01,6.895391e-01
2.323360e+03,7.344896e+01,6.730110e-01
2.395205e+03,7.528394e+01,6.568180e-01
2.469272e+03,7.716130e+01,6.410238e-01
2.545630e+03,7.908931e+01,6.255803e-01
2.624348e+03,8.107327e+01,6.104541e-01
2.705501e+03,8.310309e+01,5.957089e-01
2.789163e+03,8.519226e+01,5.812655e-01
2.875413e+03,8.733118e+01,5.671813e-01
2.964329e+03,8.952975e+01,5.534020e-01
3.055995e+03,9.178985e+01,5.399192e-01
3.150496e+03,9.410251e+01,5.267851e-01
3.247919e+03,9.648036e+01,5.139325e-01
3.348355e+03,9.892349e+01,5.013644e-01
3.451896e+03,1.014308e+02,4.890900e-01
3.558639e+03,1.040015e+02,4.771138e-01
3.668683e+03,1.066393e+02,4.654204e-01
3.782130e+03,1.093504e+02,4.539875e-01
3.899085e+03,1.121332e+02,4.428208e-01
4.019656e+03,1.149908e+02,4.319133e-01
4.143956e+03,1.179241e+02,4.212615e-01
4.272100e+03,1.209343e+02,4.108618e-01
4.404207e+03,1.240218e+02,4.007129e-01
4.540398e+03,1.271926e+02,3.907997e-01
4.680801e+03,1.304512e+02,3.811145e-01
4.825546e+03,1.337967e+02,3.716571e-01
4.974766e+03,1.372255e+02,3.624362e-01
5.128601e+03,1.407587e+02,3.534082e-01
5.287193e+03,1.443686e+02,3.446321e-01
5.450689e+03,1.480853e+02,3.360440e-01
5.619241e+03,1.518982e+02,3.276594e-01
5.793005e+03,1.558159e+02,3.194747e-01
5.972142e+03,1.598297e+02,3.115031e-01
6.156819e+03,1.639586e+02,3.037039e-01
6.347207e+03,1.681963e+02,2.960948e-01
6.543482e+03,1.725365e+02,2.886874e-01
6.745826e+03,1.769970e+02,2.814476e-01
6.954427e+03,1.815757e+02,2.743896e-01
7.169480e+03,1.862917e+02,2.674775e-01
7.391182e+03,1.911130e+02,2.607574e-01
7.619740e+03,1.960827e+02,2.541804e-01
7.855365e+03,2.011732e+02,2.477797e-01
8.098277e+03,2.064133e+02,2.415128e-01
8.348700e+03,2.117678e+02,2.354340e-01
8.606867e+03,2.172899e+02,2.294662e-01
8.873018e+03,2.229175e+02,2.236923e-01
9.147399e+03,2.287336e+02,2.180164e-01
9.430264e+03,2.347044e+02,2.124905e-01
9.721877e+03,2.408031e+02,2.071183e-01
1.002251e+04,2.470846e+02,2.018627e-01
1.033243e+04,2.535241e+02,1.967443e-01
1.065194e+04,2.601261e+02,1.917533e-01
1.098133e+04,2.669207e+02,1.868694e-01
1.132091e+04,2.738373e+02,1.821537e-01
1.167099e+04,2.810117e+02,1.775006e-01
1.203189e+04,2.883510e+02,1.729778e-01
1.240395e+04,2.958298e+02,1.686035e-01
1.278752e+04,3.035943e+02,1.642812e-01
1.318295e+04,3.115051e+02,1.600972e-01
1.359061e+04,3.196247e+02,1.560217e-01
1.401087e+04,3.279472e+02,1.520478e-01
1.444413e+04,3.365147e+02,1.481621e-01
1.489078e+04,3.452770e+02,1.443866e-01
1.535125e+04,3.542946e+02,1.406963e-01
1.582596e+04,3.635365e+02,1.371009e-01
1.631535e+04,3.730936e+02,1.335699e-01
1.681987e+04,3.828328e+02,1.301454e-01
1.733999e+04,3.927654e+02,1.268331e-01
1.787619e+04,4.029674e+02,1.235968e-01
1.842898e+04,4.134914e+02,1.204222e-01
1.899886e+04,4.243788e+02,1.172924e-01
1.958636e+04,4.353178e+02,1.143129e-01
2.019203e+04,4.465592e+02,1.114002e-01
2.081643e+04,4.580541e+02,1.085703e-01
2.146014e+04,4.699798e+02,1.057711e-01
2.212375e+04,4.821920e+02,1.030372e-01
2.280789e+04,4.946174e+02,1.004112e-01
2.351318e+04,5.073369e+02,9.784701e-02
2.424027e+04,5.203441e+02,9.535220e-02
2.498986e+04,5.336433e+02,9.293051e-02
2.576262e+04,5.475944e+02,9.049675e-02
2.655928e+04,5.615896e+02,8.817686e-02
2.738057e+04,5.758632e+02,8.593973e-02
2.822726e+04,5.905537e+02,8.373768e-02
2.910014e+04,6.054630e+02,8.159917e-02
3.000000e+04,6.206923e+02,7.953186e-02
