energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,7.260853e+00,4.502233e+00
7.216461e+01,5.694707e+00,5.852335e+00
7.439616e+01,4.553042e+00,7.471617e+00
7.669672e+01,3.697019e+00,9.401028e+00
7.906841e+01,3.052099e+00,1.163836e+01
8.151345e+01,2.563573e+00,1.416083e+01
8.403409e+01,2.182927e+00,1.699708e+01
8.663268e+01,1.884857e+00,2.011567e+01
8.931163e+01,1.646949e+00,2.352219e+01
9.207342e+01,1.457746e+00,2.714071e+01
9.492061e+01,1.307205e+00,3.088979e+01
9.785584e+01,1.187361e+00,3.468018e+01
1.008818e+02,1.091241e+00,3.845025e+01
1.040014e+02,1.015185e+00,4.206849e+01
1.072175e+02,9.549139e-01,4.547303e+01
1.105329e+02,9.071218e-01,4.862031e+01
1.139510e+02,8.691071e-01,5.149488e+01
1.174747e+02,8.387981e-01,5.409592e+01
1.211073e+02,8.149449e-01,5.640222e+01
1.248524e+02,7.967271e-01,5.838432e+01
1.287132e+02,7.831453e-01,6.005515e+01
1.326934e+02,7.733787e-01,6.143634e+01
1.367967e+02,7.665593e-01,6.257733e+01
1.410268e+02,7.619897e-01,6.352726e+01
1.453878e+02,7.593468e-01,6.430339e+01
1.498836e+02,7.583885e-01,6.491968e+01
1.545185e+02,7.587532e-01,6.541118e+01
1.592967e+02,7.600440e-01,6.582321e+01
1.642226e+02,7.621641e-01,6.616435e+01
1.693009e+02,7.650411e-01,6.644118e+01
1.745362e+02,7.685539e-01,6.666847e+01
1.799334e+02,7.726433e-01,6.685307e+01
1.854975e+02,7.772746e-01,6.699886e+01
1.912336e+02,7.823950e-01,6.711291e+01
1.971471e+02,7.879803e-01,6.719839e+01
2.032435e+02,7.940148e-01,6.725731e+01
2.095284e+02,8.004867e-01,6.729138e+01
2.160077e+02,8.073861e-01,6.730215e+01
2.226873e+02,8.146985e-01,6.729200e+01
2.295735e+02,8.224054e-01,6.726438e+01
2.366726e+02,8.304995e-01,6.722076e+01
2.439912e+02,8.389766e-01,6.716227e+01
2.515362e+02,8.478339e-01,6.708994e+01
2.593144e+02,8.570689e-01,6.700475e+01
2.673332e+02,8.666812e-01,6.690755e+01
2.756000e+02,8.766694e-01,6.679922e+01
2.841224e+02,8.870364e-01,6.668009e+01
2.929083e+02,8.977886e-01,6.654990e+01
3.019659e+02,9.089278e-01,6.640929e+01
3.113036e+02,9.204554e-01,6.625892e+01
3.209301e+02,9.323755e-01,6.609934e+01
3.308542e+02,9.446897e-01,6.593115e+01
3.410852e+02,9.574037e-01,6.575473e+01
3.516326e+02,9.705193e-01,6.557066e+01
3.625062e+02,9.840434e-01,6.537937e+01
3.737160e+02,9.979806e-01,6.518130e+01
3.852724e+02,1.012349e+00,6.497440e+01
3.971862e+02,1.027163e+00,6.475748e+01
4.094684e+02,1.042431e+00,6.453085e+01
4.221304e+02,1.058157e+00,6.429512e+01
4.351840e+02,1.074354e+00,6.404972e+01
4.486412e+02,1.091049e+00,6.379205e+01
4.625145e+02,1.108248e+00,6.352229e+01
4.768169e+02,1.125962e+00,6.324090e+01
4.915615e+02,1.144198e+00,6.294850e+01
5.067621e+02,1.162974e+00,6.264439e+01
5.224327e+02,1.182306e+00,6.232757e+01
5.385879e+02,1.202204e+00,6.199861e+01
5.552427e+02,1.222684e+00,6.165788e+01
5.724125e+02,1.243749e+00,6.130623e+01
5.901132e+02,1.265440e+00,6.093947e+01
6.083613e+02,1.287801e+00,6.055276e+01
6.271737e+02,1.310844e+00,6.014690e+01
6.465678e+02,1.334581e+00,5.972290e+01
6.665617e+02,1.359026e+00,5.928223e+01
6.871738e+02,1.384186e+00,5.882705e+01
7.084233e+02,1.410072e+00,5.835836e+01
7.303299e+02,1.436698e+00,5.787705e+01
7.529139e+02,1.464079e+00,5.738397e+01
7.761963e+02,1.492241e+00,5.687992e+01
8.001987e+02,1.521179e+00,5.636617e+01
8.249432e+02,1.550935e+00,5.584300e+01
8.504530e+02,1.581519e+00,5.531123e+01
8.767516e+02,1.612937e+00,5.477183e+01
9.038634e+02,1.645220e+00,5.422528e+01
9.318136e+02,1.678386e+00,5.367172e+01
9.606281e+02,1.712472e+00,5.311018e+01
9.903337e+02,1.747500e+00,5.254098e+01
1.020958e+03,1.783473e+00,5.196508e+01
1.052529e+03,1.820450e+00,5.138388e+01
1.085076e+03,1.858393e+00,5.079994e+01
1.118630e+03,1.897353e+00,5.021338e+01
1.153222e+03,1.937377e+00,4.962392e+01
1.188883e+03,1.978484e+00,4.902926e+01
1.225647e+03,2.020690e+00,4.842953e+01
1.263547e+03,2.064046e+00,4.782512e+01
1.302620e+03,2.108647e+00,4.721359e+01
1.342901e+03,2.154438e+00,4.659497e+01
1.384428e+03,2.201482e+00,4.597034e+01
1.427238e+03,2.249818e+00,4.534124e+01
1.471373e+03,2.299497e+00,4.470716e+01
1.516872e+03,2.350536e+00,4.406868e+01
1.563779e+03,2.402943e+00,4.342667e+01
1.612135e+03,2.456781e+00,4.278182e+01
1.661988e+03,2.512110e+00,4.213461e+01
1.713381e+03,2.568880e+00,4.148643e+01
1.766364e+03,2.627312e+00,4.083667e+01
1.820986e+03,2.687186e+00,4.018757e+01
1.877296e+03,2.748692e+00,3.953894e+01
1.935348e+03,2.811852e+00,3.889110e+01
1.995195e+03,2.876786e+00,3.824427e+01
2.056892e+03,2.943451e+00,3.759942e+01
2.120497e+03,3.011857e+00,3.695680e+01
2.186070e+03,3.082189e+00,3.631628e+01
2.253670e+03,3.154147e+00,3.567993e+01
2.323360e+03,3.228200e+00,3.504643e+01
2.395205e+03,3.304303e+00,3.441674e+01
2.469272e+03,3.382404e+00,3.379147e+01
2.545630e+03,3.462612e+00,3.317098e+01
2.624348e+03,3.544879e+00,3.255596e+01
2.705501e+03,3.629430e+00,3.194603e+01
2.789163e+03,3.715913e+00,3.134291e+01
2.875413e+03,3.805002e+00,3.074495e+01
2.964329e+03,3.896500e+00,3.015326e+01
3.055995e+03,3.989870e+00,2.956948e+01
3.150496e+03,4.086591e+00,2.898975e+01
3.247919e+03,4.185623e+00,2.841746e+01
3.348355e+03,4.286373e+00,2.790271e+01
3.451896e+03,4.388634e+00,2.753140e+01
3.558639e+03,4.493287e+00,2.715546e+01
3.668683e+03,4.600691e+00,2.677227e+01
3.782130e+03,4.711596e+00,2.638139e+01
3.899085e+03,4.825112e+00,2.598508e+01
4.019656e+03,4.941600e+00,2.558718e+01
4.143956e+03,5.061391e+00,2.518434e+01
4.272100e+03,5.184648e+00,2.479028e+01
4.404207e+03,5.310815e+00,2.440423e+01
4.540398e+03,5.440408e+00,2.401606e+01
4.680801e+03,5.573478e+00,2.362503e+01
4.825546e+03,5.710266e+00,2.323816e+01
4.974766e+03,5.850799e+00,2.285019e+01
5.128601e+03,5.995862e+00,2.246449e+01
