energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.795409e+00,1.166640e+01
7.216461e+01,2.306526e+00,1.437042e+01
7.439616e+01,1.964301e+00,1.715198e+01
7.669672e+01,1.711850e+00,2.000791e+01
7.906841e+01,1.518277e+00,2.293572e+01
8.151345e+01,1.365521e+00,2.593018e+01
8.403409e+01,1.242107e+00,2.898880e+01
8.663268e+01,1.140405e+00,3.211187e+01
8.931163e+01,1.055095e+00,3.530446e+01
9.207342e+01,9.830502e-01,3.854439e+01
9.492061e+01,9.219730e-01,4.180319e+01
9.785584e+01,8.697642e-01,4.506996e+01
1.008818e+02,8.247668e-01,4.833833e+01
1.040014e+02,7.856585e-01,5.160666e+01
1.072175e+02,7.517575e-01,5.484198e+01
1.105329e+02,7.225250e-01,5.800619e+01
1.139510e+02,6.972859e-01,6.108470e+01
1.174747e+02,6.754582e-01,6.406824e+01
1.211073e+02,6.565776e-01,6.694754e+01
1.248524e+02,6.402398e-01,6.971786e+01
1.287132e+02,6.260824e-01,7.238042e+01
1.326934e+02,6.140249e-01,7.489938e+01
1.367967e+02,6.040368e-01,7.723142e+01
1.410268e+02,5.959400e-01,7.936246e+01
1.453878e+02,5.896301e-01,8.127073e+01
1.498836e+02,5.849102e-01,8.295978e+01
1.545185e+02,5.815851e-01,8.444126e+01
1.592967e+02,5.795167e-01,8.572155e+01
1.642226e+02,5.786566e-01,8.679143e+01
1.693009e+02,5.789033e-01,8.765837e+01
1.745362e+02,5.801497e-01,8.833583e+01
1.799334e+02,5.823127e-01,8.883509e+01
1.854975e+02,5.853385e-01,8.916297e+01
1.912336e+02,5.891596e-01,8.933240e+01
1.971471e+02,5.937155e-01,8.935675e+01
2.032435e+02,5.989728e-01,8.924357e+01
2.095284e+02,6.049044e-01,8.900012e+01
2.160077e+02,6.114683e-01,8.863897e+01
2.226873e+02,6.186301e-01,8.817149e+01
2.295735e+02,6.264182e-01,8.759170e+01
2.366726e+02,6.348327e-01,8.690268e+01
2.439912e+02,6.438355e-01,8.611921e+01
2.515362e+02,6.533702e-01,8.526170e+01
2.593144e+02,6.634024e-01,8.434413e+01
2.673332e+02,6.739182e-01,8.337451e+01
2.756000e+02,6.849025e-01,8.236127e+01
2.841224e+02,6.963471e-01,8.131071e+01
2.929083e+02,7.082449e-01,8.022890e+01
3.019659e+02,7.205850e-01,7.912291e+01
3.113036e+02,7.333420e-01,7.800376e+01
3.209301e+02,7.464929e-01,7.688154e+01
3.308542e+02,7.600130e-01,7.576624e+01
3.410852e+02,7.739035e-01,7.466022e+01
3.516326e+02,7.881355e-01,7.357427e+01
3.625062e+02,8.026973e-01,7.251371e+01
3.737160e+02,8.175891e-01,7.148034e+01
3.852724e+02,8.328104e-01,7.047612e+01
3.971862e+02,8.483627e-01,6.950246e+01
4.094684e+02,8.642452e-01,6.856103e+01
4.221304e+02,8.804529e-01,6.765477e+01
4.351840e+02,8.969829e-01,6.678585e+01
4.486412e+02,9.138332e-01,6.595605e+01
4.625145e+02,9.310125e-01,6.516416e+01
4.768169e+02,9.485487e-01,6.440409e+01
4.915615e+02,9.664492e-01,6.367554e+01
5.067621e+02,9.847164e-01,6.297927e+01
5.224327e+02,1.003355e+00,6.231566e+01
5.385879e+02,1.022374e+00,6.168363e+01
5.552427e+02,1.041780e+00,6.108328e+01
5.724125e+02,1.061576e+00,6.051497e+01
5.901132e+02,1.081788e+00,5.997425e+01
6.083613e+02,1.102434e+00,5.945813e+01
6.271737e+02,1.123520e+00,5.896673e+01
6.465678e+02,1.145067e+00,5.849685e+01
6.665617e+02,1.167123e+00,5.803972e+01
6.871738e+02,1.189700e+00,5.759407e+01
7.084233e+02,1.212812e+00,5.715967e+01
7.303299e+02,1.236477e+00,5.673489e+01
7.529139e+02,1.260734e+00,5.631354e+01
7.761963e+02,1.285602e+00,5.589466e+01
8.001987e+02,1.311100e+00,5.547685e+01
8.249432e+02,1.337259e+00,5.505682e+01
8.504530e+02,1.364095e+00,5.463427e+01
8.767516e+02,1.391642e+00,5.420650e+01
9.038634e+02,1.419929e+00,5.376995e+01
9.318136e+02,1.448980e+00,5.332471e+01
9.606281e+02,1.478815e+00,5.287055e+01
9.903337e+02,1.509454e+00,5.240784e+01
1.020958e+03,1.540916e+00,5.193708e+01
1.052529e+03,1.573226e+00,5.145839e+01
1.085076e+03,1.606413e+00,5.096994e+01
1.118630e+03,1.640509e+00,5.047017e+01
1.153222e+03,1.675535e+00,4.996033e+01
1.188883e+03,1.711490e+00,4.944687e+01
1.225647e+03,1.748371e+00,4.893349e+01
1.263547e+03,1.786208e+00,4.842047e+01
1.302620e+03,1.825038e+00,4.790563e+01
