energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.398893e+00,9.632628e+00
7.216461e+01,2.741500e+00,1.214730e+01
7.439616e+01,2.297890e+00,1.473840e+01
7.669672e+01,1.986558e+00,1.733056e+01
7.906841e+01,1.758817e+00,1.989107e+01
8.151345e+01,1.587429e+00,2.238529e+01
8.403409e+01,1.456379e+00,2.477028e+01
8.663268e+01,1.354262e+00,2.702889e+01
8.931163e+01,1.273488e+00,2.915064e+01
9.207342e+01,1.208877e+00,3.112909e+01
9.492061e+01,1.156747e+00,3.296237e+01
9.785584e+01,1.114443e+00,3.465122e+01
1.008818e+02,1.080014e+00,3.619806e+01
1.040014e+02,1.051956e+00,3.760859e+01
1.072175e+02,1.029085e+00,3.889114e+01
1.105329e+02,1.010551e+00,4.005121e+01
1.139510e+02,9.956930e-01,4.109414e+01
1.174747e+02,9.839860e-01,4.202551e+01
1.211073e+02,9.748736e-01,4.285937e+01
1.248524e+02,9.679618e-01,4.360559e+01
1.287132e+02,9.629978e-01,4.426887e+01
1.326934e+02,9.597779e-01,4.485340e+01
1.367967e+02,9.581053e-01,4.536522e+01
1.410268e+02,9.577275e-01,4.581670e+01
1.453878e+02,9.585167e-01,4.621277e+01
1.498836e+02,9.603870e-01,4.655630e+01
1.545185e+02,9.632666e-01,4.684989e+01
1.592967e+02,9.670955e-01,4.709590e+01
1.642226e+02,9.717922e-01,4.729921e+01
1.693009e+02,9.772425e-01,4.746816e+01
1.745362e+02,9.834076e-01,4.760514e+01
1.799334e+02,9.902605e-01,4.771176e+01
1.854975e+02,9.977789e-01,4.778953e+01
1.912336e+02,1.005944e+00,4.783982e+01
1.971471e+02,1.014740e+00,4.786401e+01
2.032435e+02,1.024154e+00,4.786323e+01
2.095284e+02,1.034209e+00,4.783541e+01
2.160077e+02,1.044914e+00,4.778005e+01
2.226873e+02,1.056259e+00,4.769842e+01
2.295735e+02,1.068239e+00,4.759167e+01
2.366726e+02,1.080866e+00,4.745929e+01
2.439912e+02,1.094146e+00,4.730153e+01
2.515362e+02,1.108097e+00,4.711739e+01
2.593144e+02,1.122866e+00,4.689336e+01
2.673332e+02,1.138471e+00,4.662877e+01
2.756000e+02,1.154930e+00,4.632389e+01
2.841224e+02,1.172245e+00,4.598033e+01
2.929083e+02,1.190597e+00,4.558182e+01
3.019659e+02,1.210033e+00,4.512659e+01
3.113036e+02,1.229903e+00,4.468454e+01
3.209301e+02,1.236935e+00,4.561485e+01
3.308542e+02,1.246123e+00,4.635373e+01
3.410852e+02,1.259677e+00,4.666939e+01
3.516326e+02,1.274996e+00,4.683924e+01
3.625062e+02,1.291705e+00,4.690573e+01
3.737160e+02,1.309383e+00,4.691602e+01
3.852724e+02,1.328009e+00,4.687479e+01
3.971862e+02,1.347569e+00,4.678549e+01
4.094684e+02,1.367992e+00,4.665787e+01
4.221304e+02,1.389208e+00,4.650232e+01
4.351840e+02,1.411209e+00,4.632138e+01
4.486412e+02,1.434001e+00,4.611632e+01
4.625145e+02,1.457593e+00,4.588848e+01
4.768169e+02,1.482018e+00,4.563707e+01
4.915615e+02,1.507308e+00,4.536073e+01
5.067621e+02,1.533463e+00,4.506139e+01
5.224327e+02,1.560516e+00,4.473972e+01
5.385879e+02,1.588440e+00,4.439965e+01
5.552427e+02,1.617226e+00,4.404549e+01
5.724125e+02,1.646898e+00,4.367784e+01
5.901132e+02,1.677453e+00,4.329833e+01
6.083613e+02,1.708914e+00,4.290857e+01
6.271737e+02,1.741272e+00,4.251071e+01
6.465678e+02,1.774558e+00,4.210519e+01
6.665617e+02,1.808783e+00,4.169305e+01
6.871738e+02,1.843961e+00,4.127505e+01
7.084233e+02,1.880112e+00,4.085233e+01
7.303299e+02,1.917269e+00,4.042484e+01
7.529139e+02,1.955449e+00,3.999364e+01
7.761963e+02,1.994655e+00,3.955934e+01
8.001987e+02,2.034937e+00,3.912193e+01
8.249432e+02,2.076321e+00,3.868074e+01
8.504530e+02,2.118833e+00,3.823598e+01
8.767516e+02,2.162508e+00,3.778812e+01
9.038634e+02,2.207360e+00,3.733815e+01
9.318136e+02,2.253415e+00,3.688581e+01
9.606281e+02,2.300755e+00,3.642922e+01
9.903337e+02,2.349368e+00,3.597087e+01
1.020958e+03,2.399346e+00,3.550869e+01
1.052529e+03,2.450614e+00,3.504588e+01
1.085076e+03,2.503288e+00,3.458113e+01
1.118630e+03,2.557454e+00,3.411311e+01
1.153222e+03,2.613055e+00,3.364257e+01
1.188883e+03,2.670162e+00,3.316920e+01
1.225647e+03,2.728822e+00,3.269355e+01
1.263547e+03,2.789202e+00,3.221463e+01
1.302620e+03,2.851092e+00,3.173634e+01
1.342901e+03,2.914679e+00,3.125655e+01
1.384428e+03,2.980058e+00,3.077518e+01
1.427238e+03,3.047113e+00,3.029580e+01
1.471373e+03,3.116010e+00,2.981702e+01
1.516872e+03,3.186773e+00,2.933778e+01
1.563779e+03,3.259487e+00,2.885950e+01
1.612135e+03,3.333912e+00,2.838482e+01
1.661988e+03,3.410550e+00,2.790937e+01
1.713381e+03,3.489238e+00,2.743635e+01
1.766364e+03,3.570018e+00,2.696558e+01
1.820986e+03,3.652896e+00,2.649849e+01
1.877296e+03,3.738015e+00,2.603339e+01
1.935348e+03,3.825625e+00,2.556917e+01
1.995195e+03,3.915177e+00,2.511205e+01
2.056892e+03,4.007265e+00,2.465646e+01
2.120497e+03,4.101963e+00,2.420411e+01
2.186070e+03,4.198924e+00,2.375755e+01
2.253670e+03,4.298910e+00,2.331274e+01
2.323360e+03,4.401329e+00,2.287285e+01
2.395205e+03,4.506013e+00,2.243894e+01
2.469272e+03,4.613861e+00,2.200965e+01
2.545630e+03,4.724822e+00,2.158258e+01
2.624348e+03,4.838101e+00,2.116333e+01
2.705501e+03,4.954544e+00,2.075490e+01
2.789163e+03,5.071071e+00,2.051832e+01
2.875413e+03,5.191278e+00,2.026944e+01
2.964329e+03,5.313951e+00,2.001794e+01
3.055995e+03,5.441196e+00,1.975370e+01
3.150496e+03,5.570936e+00,1.948799e+01
3.247919e+03,5.704380e+00,1.921540e+01
3.348355e+03,5.841443e+00,1.894110e+01
3.451896e+03,5.982359e+00,1.866087e+01
3.558639e+03,6.126576e+00,1.839288e+01
3.668683e+03,6.275001e+00,1.812421e+01
3.782130e+03,6.426310e+00,1.785368e+01
3.899085e+03,6.581677e+00,1.758634e+01
4.019656e+03,6.742237e+00,1.731575e+01
4.143956e+03,6.906900e+00,1.704675e+01
4.272100e+03,7.077481e+00,1.676939e+01
4.404207e+03,7.251945e+00,1.649953e+01
4.540398e+03,7.428890e+00,1.623300e+01
4.680801e+03,7.613138e+00,1.595740e+01
4.825546e+03,7.801455e+00,1.568714e+01
4.974766e+03,7.994712e+00,1.541947e+01
5.128601e+03,8.194052e+00,1.514503e+01
5.287193e+03,8.398299e+00,1.487674e+01
5.450689e+03,8.607981e+00,1.460877e+01
5.619241e+03,8.822723e+00,1.433921e+01
5.793005e+03,9.040061e+00,1.408032e+01
5.972142e+03,9.268814e+00,1.381191e+01
6.156819e+03,9.501906e+00,1.354861e+01
6.347207e+03,9.738808e+00,1.329126e+01
6.543482e+03,9.985521e+00,1.303498e+01
6.745826e+03,1.024042e+01,1.277396e+01
6.954427e+03,1.049320e+01,1.253096e+01
7.169480e+03,1.076077e+01,1.227972e+01
7.391182e+03,1.103587e+01,1.202936e+01
7.619740e+03,1.131527e+01,1.178671e+01
7.855365e+03,1.160227e+01,1.154519e+01
8.098277e+03,1.189843e+01,1.130534e+01
8.348700e+03,1.220074e+01,1.107387e+01
8.606867e+03,1.251007e+01,1.084500e+01
8.873018e+03,1.282753e+01,1.062134e+01
9.147399e+03,1.316577e+01,1.038836e+01
9.430264e+03,1.350080e+01,1.017130e+01
9.721877e+03,1.384706e+01,9.955339e+00
1.002251e+04,1.420697e+01,9.737585e+00
1.033243e+04,1.457600e+01,9.525757e+00
1.065194e+04,1.494935e+01,9.323245e+00
