energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.008741e+01,1.604518e+00
7.216461e+01,1.808027e+01,1.802320e+00
7.439616e+01,1.673634e+01,1.967107e+00
7.669672e+01,1.578782e+01,2.105557e+00
7.906841e+01,1.508127e+01,2.224867e+00
8.151345e+01,1.454482e+01,2.327811e+00
8.403409e+01,1.411168e+01,2.421043e+00
8.663268e+01,1.374970e+01,2.507763e+00
8.931163e+01,1.343288e+01,2.591671e+00
9.207342e+01,1.314112e+01,2.676526e+00
9.492061e+01,1.269340e+01,2.813695e+00
9.785584e+01,1.175580e+01,3.130209e+00
1.008818e+02,1.028757e+01,3.748499e+00
1.040014e+02,9.665636e+00,4.084753e+00
1.072175e+02,9.506557e+00,4.195154e+00
1.105329e+02,9.389177e+00,4.288347e+00
1.139510e+02,9.184380e+00,4.445957e+00
1.174747e+02,8.990230e+00,4.608721e+00
1.211073e+02,8.835498e+00,4.754733e+00
1.248524e+02,8.628017e+00,4.955066e+00
1.287132e+02,8.352840e+00,5.233381e+00
1.326934e+02,8.008891e+00,5.609126e+00
1.367967e+02,7.604868e+00,6.099507e+00
1.410268e+02,7.145166e+00,6.734568e+00
1.453878e+02,6.666009e+00,7.506490e+00
1.498836e+02,6.200131e+00,8.394794e+00
1.545185e+02,5.754849e+00,9.405754e+00
1.592967e+02,5.335208e+00,1.054486e+01
1.642226e+02,4.943792e+00,1.181795e+01
1.693009e+02,4.594196e+00,1.318085e+01
1.745362e+02,4.282614e+00,1.462905e+01
1.799334e+02,4.007487e+00,1.614472e+01
1.854975e+02,3.764776e+00,1.771846e+01
1.912336e+02,3.554778e+00,1.931024e+01
1.971471e+02,3.375008e+00,2.088982e+01
2.032435e+02,3.223771e+00,2.241773e+01
2.095284e+02,3.100286e+00,2.384208e+01
2.160077e+02,3.000773e+00,2.514347e+01
2.226873e+02,2.921930e+00,2.630804e+01
2.295735e+02,2.866679e+00,2.724819e+01
2.366726e+02,2.831288e+00,2.796819e+01
2.439912e+02,2.811314e+00,2.849966e+01
2.515362e+02,2.803525e+00,2.887123e+01
2.593144e+02,2.805538e+00,2.910776e+01
2.673332e+02,2.815908e+00,2.922496e+01
2.756000e+02,2.833562e+00,2.923645e+01
2.841224e+02,2.857223e+00,2.916149e+01
2.929083e+02,2.885957e+00,2.901584e+01
3.019659e+02,2.919021e+00,2.881267e+01
3.113036e+02,2.955987e+00,2.856067e+01
3.209301e+02,2.996871e+00,2.826068e+01
3.308542e+02,3.041156e+00,2.792337e+01
3.410852e+02,3.087997e+00,2.756554e+01
3.516326e+02,3.136858e+00,2.719809e+01
3.625062e+02,3.187514e+00,2.682558e+01
3.737160e+02,3.239887e+00,2.645101e+01
3.852724e+02,3.293810e+00,2.607767e+01
3.971862e+02,3.349246e+00,2.570776e+01
4.094684e+02,3.406102e+00,2.534258e+01
4.221304e+02,3.464417e+00,2.498252e+01
4.351840e+02,3.524162e+00,2.462824e+01
4.486412e+02,3.585439e+00,2.427988e+01
4.625145e+02,3.648194e+00,2.393801e+01
4.768169e+02,3.712484e+00,2.360241e+01
4.915615e+02,3.778301e+00,2.327345e+01
5.067621e+02,3.845730e+00,2.295122e+01
5.224327e+02,3.914758e+00,2.263580e+01
5.385879e+02,3.985399e+00,2.232621e+01
5.552427e+02,4.057975e+00,2.202148e+01
5.724125e+02,4.132271e+00,2.172250e+01
5.901132e+02,4.208386e+00,2.142823e+01
6.083613e+02,4.286585e+00,2.113707e+01
6.271737e+02,4.366966e+00,2.084808e+01
6.465678e+02,4.449290e+00,2.056162e+01
6.665617e+02,4.534154e+00,2.027638e+01
6.871738e+02,4.621203e+00,1.999341e+01
7.084233e+02,4.710642e+00,1.971136e+01
7.303299e+02,4.802737e+00,1.942949e+01
7.529139e+02,4.897295e+00,1.914852e+01
7.761963e+02,4.994298e+00,1.886878e+01
8.001987e+02,5.094359e+00,1.858928e+01
8.249432e+02,5.196780e+00,1.831132e+01
8.504530e+02,5.302562e+00,1.803288e+01
8.767516e+02,5.410981e+00,1.775562e+01
9.038634e+02,5.522589e+00,1.747888e+01
9.318136e+02,5.637060e+00,1.720350e+01
9.606281e+02,5.754751e+00,1.692889e+01
9.903337e+02,5.875475e+00,1.665535e+01
1.020958e+03,5.999844e+00,1.638230e+01
1.052529e+03,6.127710e+00,1.611030e+01
1.085076e+03,6.258639e+00,1.584014e+01
1.118630e+03,6.393691e+00,1.557070e+01
1.153222e+03,6.531918e+00,1.530358e+01
1.188883e+03,6.673687e+00,1.503863e+01
1.225647e+03,6.819571e+00,1.477551e+01
1.263547e+03,6.956076e+00,1.469187e+01
1.302620e+03,7.088448e+00,1.469907e+01
1.342901e+03,7.225387e+00,1.468593e+01
1.384428e+03,7.367384e+00,1.465163e+01
1.427238e+03,7.513912e+00,1.460056e+01
1.471373e+03,7.666779e+00,1.453372e+01
1.516872e+03,7.823895e+00,1.445478e+01
1.563779e+03,7.984229e+00,1.436357e+01
1.612135e+03,8.151365e+00,1.426108e+01
1.661988e+03,8.323686e+00,1.414706e+01
1.713381e+03,8.499654e+00,1.402925e+01
1.766364e+03,8.681232e+00,1.390877e+01
1.820986e+03,8.866892e+00,1.379450e+01
1.877296e+03,9.054679e+00,1.368817e+01
1.935348e+03,9.252148e+00,1.357081e+01
1.995195e+03,9.451700e+00,1.344941e+01
2.056892e+03,9.656631e+00,1.331889e+01
2.120497e+03,9.869600e+00,1.318343e+01
2.186070e+03,1.008979e+01,1.303952e+01
2.253670e+03,1.031428e+01,1.289465e+01
2.323360e+03,1.054492e+01,1.274608e+01
2.395205e+03,1.078212e+01,1.259346e+01
2.469272e+03,1.102574e+01,1.243742e+01
2.545630e+03,1.127592e+01,1.227726e+01
2.624348e+03,1.153315e+01,1.211339e+01
2.705501e+03,1.179895e+01,1.194530e+01
2.789163e+03,1.207122e+01,1.177566e+01
2.875413e+03,1.234753e+01,1.160824e+01
2.964329e+03,1.263084e+01,1.143674e+01
3.055995e+03,1.292317e+01,1.126060e+01
3.150496e+03,1.322745e+01,1.108637e+01
3.247919e+03,1.353773e+01,1.091303e+01
3.348355e+03,1.385984e+01,1.073133e+01
3.451896e+03,1.418034e+01,1.055683e+01
3.558639e+03,1.452517e+01,1.037928e+01
3.668683e+03,1.487055e+01,1.020264e+01
3.782130e+03,1.521185e+01,1.002952e+01
3.899085e+03,1.559246e+01,9.847449e+00
4.019656e+03,1.596598e+01,9.674517e+00
4.143956e+03,1.633330e+01,9.502110e+00
4.272100e+03,1.674570e+01,9.328709e+00
4.404207e+03,1.712665e+01,9.159978e+00
4.540398e+03,1.756910e+01,8.980188e+00
4.680801e+03,1.797979e+01,8.813003e+00
4.825546e+03,1.842289e+01,8.648071e+00
4.974766e+03,1.886338e+01,8.482274e+00
5.128601e+03,1.934457e+01,8.309651e+00
5.287193e+03,1.978861e+01,8.149228e+00
5.450689e+03,2.030735e+01,7.986255e+00
5.619241e+03,2.075642e+01,7.830272e+00
5.793005e+03,2.132510e+01,7.667509e+00
5.972142e+03,2.181970e+01,7.519694e+00
6.156819e+03,2.236522e+01,7.364872e+00
6.347207e+03,2.294960e+01,7.205252e+00
6.543482e+03,2.344644e+01,7.066853e+00
6.745826e+03,2.408739e+01,6.914468e+00
6.954427e+03,2.469282e+01,6.766213e+00
7.169480e+03,2.522537e+01,6.632261e+00
7.391182e+03,2.595370e+01,6.483559e+00
7.619740e+03,2.658890e+01,6.348750e+00
7.855365e+03,2.714188e+01,6.215809e+00
8.098277e+03,2.793479e+01,6.073209e+00
8.348700e+03,2.868183e+01,5.939991e+00
8.606867e+03,2.928150e+01,5.821377e+00
8.873018e+03,3.002892e+01,5.690203e+00
9.147399e+03,3.088560e+01,5.559891e+00
9.430264e+03,3.169150e+01,5.445073e+00
9.721877e+03,3.230652e+01,5.334321e+00
1.002251e+04,3.317156e+01,5.230526e+00
1.033243e+04,3.414692e+01,5.116250e+00
1.065194e+04,3.503228e+01,5.012512e+00
1.098133e+04,3.576750e+01,4.918795e+00
1.132091e+04,3.652589e+01,4.818057e+00
1.167099e+04,3.763059e+01,4.708538e+00
1.203189e+04,3.874838e+01,4.614151e+00
1.240395e+04,3.977350e+01,4.508203e+00
1.278752e+04,4.051210e+01,4.420748e+00
1.318295e+04,4.125410e+01,4.340139e+00
1.359061e+04,4.259750e+01,4.234768e+00
1.401087e+04,4.403766e+01,4.133782e+00
1.444413e+04,4.520770e+01,4.050392e+00
1.489078e+04,4.613889e+01,3.965616e+00
1.535125e+04,4.684680e+01,3.882983e+00
1.582596e+04,4.782428e+01,3.806897e+00
1.631535e+04,4.961263e+01,3.704755e+00
1.681987e+04,5.127273e+01,3.622231e+00
1.733999e+04,5.270707e+01,3.536122e+00
1.787619e+04,5.394260e+01,3.457755e+00
1.842898e+04,5.504554e+01,3.384184e+00
1.899886e+04,5.590896e+01,3.318072e+00
1.958636e+04,5.658812e+01,3.256985e+00
2.019203e+04,5.855943e+01,3.169483e+00
2.081643e+04,6.080567e+01,3.091994e+00
2.146014e+04,6.306782e+01,3.006726e+00
2.212375e+04,6.500016e+01,2.942191e+00
2.280789e+04,6.667347e+01,2.871512e+00
2.351318e+04,6.813196e+01,2.805420e+00
2.424027e+04,6.922530e+01,2.746846e+00
2.498986e+04,6.997298e+01,2.694348e+00
2.576262e+04,7.002871e+01,2.650961e+00
2.655928e+04,7.173284e+01,2.594300e+00
2.738057e+04,7.513012e+01,2.510305e+00
2.822726e+04,7.876754e+01,2.442403e+00
2.910014e+04,8.207582e+01,2.368115e+00
3.000000e+04,8.476144e+01,2.313977e+00
