energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,5.361576e+00,6.087851e+00
7.216461e+01,4.396112e+00,7.548430e+00
7.439616e+01,3.721335e+00,9.067001e+00
7.669672e+01,3.222975e+00,1.064702e+01
7.906841e+01,2.839375e+00,1.229379e+01
8.151345e+01,2.536023e+00,1.400425e+01
8.403409e+01,2.291259e+00,1.577250e+01
8.663268e+01,2.089629e+00,1.760091e+01
8.931163e+01,1.920426e+00,1.949488e+01
9.207342e+01,1.777012e+00,2.144869e+01
9.492061e+01,1.654835e+00,2.344917e+01
9.785584e+01,1.549603e+00,2.549640e+01
1.008818e+02,1.458395e+00,2.758371e+01
1.040014e+02,1.379140e+00,2.969816e+01
1.072175e+02,1.309770e+00,3.183766e+01
1.105329e+02,1.248691e+00,3.399931e+01
1.139510e+02,1.194640e+00,3.617996e+01
1.174747e+02,1.146493e+00,3.838121e+01
1.211073e+02,1.103700e+00,4.058757e+01
1.248524e+02,1.066226e+00,4.275846e+01
1.287132e+02,1.033467e+00,4.488120e+01
1.326934e+02,1.004331e+00,4.698121e+01
1.367967e+02,9.780496e-01,4.907837e+01
1.410268e+02,9.551073e-01,5.110946e+01
1.453878e+02,9.352162e-01,5.306222e+01
1.498836e+02,9.174607e-01,5.498278e+01
1.545185e+02,9.010214e-01,5.692606e+01
1.592967e+02,8.851095e-01,5.895995e+01
1.642226e+02,8.698936e-01,6.106725e+01
1.693009e+02,8.558996e-01,6.318596e+01
1.745362e+02,8.436598e-01,6.523880e+01
1.799334e+02,8.339970e-01,6.709829e+01
1.854975e+02,8.267419e-01,6.875094e+01
1.912336e+02,8.216831e-01,7.019450e+01
1.971471e+02,8.194734e-01,7.130802e+01
2.032435e+02,8.199804e-01,7.208233e+01
2.095284e+02,8.227874e-01,7.255965e+01
2.160077e+02,8.275436e-01,7.278173e+01
2.226873e+02,8.339787e-01,7.278442e+01
2.295735e+02,8.419092e-01,7.259431e+01
2.366726e+02,8.511446e-01,7.224203e+01
2.439912e+02,8.615294e-01,7.175454e+01
2.515362e+02,8.729403e-01,7.115466e+01
2.593144e+02,8.852802e-01,7.046172e+01
2.673332e+02,8.985270e-01,6.968296e+01
2.756000e+02,9.127866e-01,6.880532e+01
2.841224e+02,9.279455e-01,6.785260e+01
2.929083e+02,9.438398e-01,6.685627e+01
3.019659e+02,9.603812e-01,6.583459e+01
3.113036e+02,9.774941e-01,6.480316e+01
3.209301e+02,9.951246e-01,6.377347e+01
3.308542e+02,1.013258e+00,6.275031e+01
3.410852e+02,1.031894e+00,6.173572e+01
3.516326e+02,1.051035e+00,6.073180e+01
3.625062e+02,1.070686e+00,5.973975e+01
