energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,8.407493e-01,3.870056e+01
7.216461e+01,7.222109e-01,4.566806e+01
7.439616e+01,6.439874e-01,5.187544e+01
7.669672e+01,5.887286e-01,5.744544e+01
7.906841e+01,5.479588e-01,6.245421e+01
8.151345e+01,5.170193e-01,6.695251e+01
8.403409e+01,4.927054e-01,7.104691e+01
8.663268e+01,4.732648e-01,7.478181e+01
8.931163e+01,4.575521e-01,7.818835e+01
9.207342e+01,4.447302e-01,8.130100e+01
9.492061e+01,4.343608e-01,8.410961e+01
9.785584e+01,4.254809e-01,8.677306e+01
1.008818e+02,4.153719e-01,9.001449e+01
1.040014e+02,4.051884e-01,9.356557e+01
1.072175e+02,3.959423e-01,9.711798e+01
1.105329e+02,3.877252e-01,1.006019e+02
1.139510e+02,3.805077e-01,1.039821e+02
1.174747e+02,3.742442e-01,1.072296e+02
1.211073e+02,3.688084e-01,1.103535e+02
1.248524e+02,3.638467e-01,1.134775e+02
1.287132e+02,3.590557e-01,1.167322e+02
1.326934e+02,3.542289e-01,1.202247e+02
1.367967e+02,3.495773e-01,1.238537e+02
1.410268e+02,3.456029e-01,1.273262e+02
1.453878e+02,3.426722e-01,1.303791e+02
1.498836e+02,3.409863e-01,1.328227e+02
1.545185e+02,3.404202e-01,1.346739e+02
1.592967e+02,3.408276e-01,1.359836e+02
1.642226e+02,3.420825e-01,1.368065e+02
1.693009e+02,3.439936e-01,1.372576e+02
1.745362e+02,3.464287e-01,1.374208e+02
1.799334e+02,3.493342e-01,1.373300e+02
1.854975e+02,3.526672e-01,1.370150e+02
1.912336e+02,3.563673e-01,1.365212e+02
1.971471e+02,3.604029e-01,1.358739e+02
2.032435e+02,3.647569e-01,1.350890e+02
2.095284e+02,3.694168e-01,1.341794e+02
2.160077e+02,3.743755e-01,1.331549e+02
2.226873e+02,3.796215e-01,1.320289e+02
2.295735e+02,3.851300e-01,1.308252e+02
2.366726e+02,3.908888e-01,1.295581e+02
2.439912e+02,3.968710e-01,1.282530e+02
2.515362e+02,4.030595e-01,1.269271e+02
2.593144e+02,4.094467e-01,1.255908e+02
2.673332e+02,4.160111e-01,1.242636e+02
2.756000e+02,4.227524e-01,1.229490e+02
2.841224e+02,4.296705e-01,1.216505e+02
2.929083e+02,4.367550e-01,1.203788e+02
3.019659e+02,4.440016e-01,1.191394e+02
3.113036e+02,4.514116e-01,1.179342e+02
3.209301e+02,4.589861e-01,1.167645e+02
3.308542e+02,4.667271e-01,1.156319e+02
3.410852e+02,4.746343e-01,1.145371e+02
3.516326e+02,4.827256e-01,1.134714e+02
3.625062e+02,4.910038e-01,1.124339e+02
3.737160e+02,4.994688e-01,1.114271e+02
3.852724e+02,5.081147e-01,1.104585e+02
3.971862e+02,5.169455e-01,1.095279e+02
4.094684e+02,5.259661e-01,1.086327e+02
4.221304e+02,5.351839e-01,1.077728e+02
4.351840e+02,5.445955e-01,1.069499e+02
4.486412e+02,5.542097e-01,1.061614e+02
4.625145e+02,5.640400e-01,1.054010e+02
4.768169e+02,5.740910e-01,1.046685e+02
4.915615e+02,5.843643e-01,1.039640e+02
5.067621e+02,5.948791e-01,1.032768e+02
5.224327e+02,6.056671e-01,1.025900e+02
5.385879e+02,6.167316e-01,1.019035e+02
5.552427e+02,6.280859e-01,1.012161e+02
5.724125e+02,6.397342e-01,1.005273e+02
5.901132e+02,6.516782e-01,9.983652e+01
6.083613e+02,6.639482e-01,9.913899e+01
6.271737e+02,6.765348e-01,9.843606e+01
6.465678e+02,6.894470e-01,9.773021e+01
6.665617e+02,7.026901e-01,9.702542e+01
6.871738e+02,7.162654e-01,9.632292e+01
7.084233e+02,7.301855e-01,9.562249e+01
7.303299e+02,7.444573e-01,9.492307e+01
7.529139e+02,7.591112e-01,9.421788e+01
7.761963e+02,7.741274e-01,9.350773e+01
8.001987e+02,7.895567e-01,9.279028e+01
8.249432e+02,8.053644e-01,9.206886e+01
8.504530e+02,8.216023e-01,9.134075e+01
8.767516e+02,8.382647e-01,9.060206e+01
9.038634e+02,8.553792e-01,8.984819e+01
9.318136e+02,8.729499e-01,8.908049e+01
9.606281e+02,8.909935e-01,8.829910e+01
9.903337e+02,9.095212e-01,8.750530e+01
1.020958e+03,9.285387e-01,8.670013e+01
1.052529e+03,9.480712e-01,8.588354e+01
1.085076e+03,9.681242e-01,8.505692e+01
1.118630e+03,9.887237e-01,8.422068e+01
1.153222e+03,1.009850e+00,8.337048e+01
1.188883e+03,1.031554e+00,8.250001e+01
1.225647e+03,1.053913e+00,8.160867e+01
1.263547e+03,1.076836e+00,8.070181e+01
1.302620e+03,1.100390e+00,7.977923e+01
1.342901e+03,1.124611e+00,7.884175e+01
1.384428e+03,1.149456e+00,7.789274e+01
1.427238e+03,1.174982e+00,7.693253e+01
1.471373e+03,1.201245e+00,7.596082e+01
1.516872e+03,1.228173e+00,7.498195e+01
1.563779e+03,1.255823e+00,7.399627e+01
1.612135e+03,1.284245e+00,7.300308e+01
1.661988e+03,1.313394e+00,7.200602e+01
1.713381e+03,1.343315e+00,7.100565e+01
1.766364e+03,1.374142e+00,6.999377e+01
1.820986e+03,1.405696e+00,6.897272e+01
1.877296e+03,1.438170e+00,6.794606e+01
1.935348e+03,1.471565e+00,6.691400e+01
1.995195e+03,1.505739e+00,6.588151e+01
