energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,4.252755e+00,7.643530e+00
7.216461e+01,3.654237e+00,9.018106e+00
7.439616e+01,3.269885e+00,1.020554e+01
7.669672e+01,3.017748e+00,1.118329e+01
7.906841e+01,2.853042e+00,1.194539e+01
8.151345e+01,2.744057e+00,1.252660e+01
8.403409e+01,2.674072e+00,1.294950e+01
8.663268e+01,2.630483e+00,1.324849e+01
8.931163e+01,2.605262e+00,1.345186e+01
9.207342e+01,2.595521e+00,1.356605e+01
9.492061e+01,2.600316e+00,1.358959e+01
9.785584e+01,2.615098e+00,1.354992e+01
1.008818e+02,2.637150e+00,1.346484e+01
1.040014e+02,2.664737e+00,1.334662e+01
1.072175e+02,2.696159e+00,1.320789e+01
1.105329e+02,2.730122e+00,1.305860e+01
1.139510e+02,2.766138e+00,1.290274e+01
1.174747e+02,2.803807e+00,1.274369e+01
1.211073e+02,2.842830e+00,1.258401e+01
1.248524e+02,2.883061e+00,1.242509e+01
1.287132e+02,2.924254e+00,1.226903e+01
1.326934e+02,2.966377e+00,1.211629e+01
1.367967e+02,3.009496e+00,1.196656e+01
1.410268e+02,3.053545e+00,1.182056e+01
1.453878e+02,3.098502e+00,1.167860e+01
1.498836e+02,3.144421e+00,1.154046e+01
1.545185e+02,3.191402e+00,1.140554e+01
1.592967e+02,3.239581e+00,1.127300e+01
1.642226e+02,3.289014e+00,1.114261e+01
1.693009e+02,3.339776e+00,1.101403e+01
1.745362e+02,3.391970e+00,1.088670e+01
1.799334e+02,3.445659e+00,1.076036e+01
1.854975e+02,3.500962e+00,1.063439e+01
1.912336e+02,3.558076e+00,1.050760e+01
1.971471e+02,3.616971e+00,1.038054e+01
2.032435e+02,3.677657e+00,1.025344e+01
2.095284e+02,3.740247e+00,1.012580e+01
2.160077e+02,3.804792e+00,9.997613e+00
2.226873e+02,3.871300e+00,9.869118e+00
2.295735e+02,3.939815e+00,9.740411e+00
2.366726e+02,4.010372e+00,9.611597e+00
2.439912e+02,4.083013e+00,9.482772e+00
2.515362e+02,4.157768e+00,9.354018e+00
2.593144e+02,4.234742e+00,9.225046e+00
2.673332e+02,4.313993e+00,9.095837e+00
2.756000e+02,4.395567e+00,8.966498e+00
2.841224e+02,4.479510e+00,8.837144e+00
2.929083e+02,4.565872e+00,8.707868e+00
3.019659e+02,4.654696e+00,8.578785e+00
3.113036e+02,4.746025e+00,8.449996e+00
3.209301e+02,4.839955e+00,8.321507e+00
3.308542e+02,4.936525e+00,8.193295e+00
3.410852e+02,5.035808e+00,8.065369e+00
3.516326e+02,5.137912e+00,7.937758e+00
3.625062e+02,5.242837e+00,7.810638e+00
3.737160e+02,5.350680e+00,7.684045e+00
3.852724e+02,5.461494e+00,7.558072e+00
3.971862e+02,5.575376e+00,7.432715e+00
4.094684e+02,5.692383e+00,7.307988e+00
4.221304e+02,5.812604e+00,7.183943e+00
4.351840e+02,5.936088e+00,7.060681e+00
4.486412e+02,6.062985e+00,6.938200e+00
4.625145e+02,6.193271e+00,6.816661e+00
4.768169e+02,6.327129e+00,6.695993e+00
4.915615e+02,6.464572e+00,6.576303e+00
5.067621e+02,6.605700e+00,6.457634e+00
5.224327e+02,6.750684e+00,6.339967e+00
5.385879e+02,6.899553e+00,6.223420e+00
5.552427e+02,7.052352e+00,6.108056e+00
5.724125e+02,7.209299e+00,5.993833e+00
5.901132e+02,7.369071e+00,5.887814e+00
6.083613e+02,7.509128e+00,5.909815e+00
6.271737e+02,7.653770e+00,5.925287e+00
6.465678e+02,7.802975e+00,5.934653e+00
6.665617e+02,7.957108e+00,5.936997e+00
6.871738e+02,8.115885e+00,5.934616e+00
7.084233e+02,8.279292e+00,5.928021e+00
7.303299e+02,8.447385e+00,5.917350e+00
7.529139e+02,8.620410e+00,5.903159e+00
7.761963e+02,8.798405e+00,5.885033e+00
8.001987e+02,8.981362e+00,5.863650e+00
8.249432e+02,9.169865e+00,5.837986e+00
8.504530e+02,9.363616e+00,5.808186e+00
8.767516e+02,9.563322e+00,5.774231e+00
9.038634e+02,9.768896e+00,5.736432e+00
9.318136e+02,9.979877e+00,5.695133e+00
9.606281e+02,1.019802e+01,5.649493e+00
9.903337e+02,1.042166e+01,5.600815e+00
1.020958e+03,1.065210e+01,5.548196e+00
1.052529e+03,1.088904e+01,5.492951e+00
1.085076e+03,1.113294e+01,5.435195e+00
1.118630e+03,1.138356e+01,5.374873e+00
1.153222e+03,1.164130e+01,5.311742e+00
1.188883e+03,1.190605e+01,5.247511e+00
1.225647e+03,1.217807e+01,5.180600e+00
1.263547e+03,1.245793e+01,5.112487e+00
1.302620e+03,1.274534e+01,5.043293e+00
1.342901e+03,1.304071e+01,4.972151e+00
1.384428e+03,1.334498e+01,4.899998e+00
1.427238e+03,1.365675e+01,4.827344e+00
1.471373e+03,1.397649e+01,4.754392e+00
1.516872e+03,1.430580e+01,4.680917e+00
1.563779e+03,1.464265e+01,4.605748e+00
1.612135e+03,1.499149e+01,4.530113e+00
1.661988e+03,1.534839e+01,4.455343e+00
1.713381e+03,1.571321e+01,4.379491e+00
1.766364e+03,1.609053e+01,4.304363e+00
1.820986e+03,1.647733e+01,4.228364e+00
1.877296e+03,1.687195e+01,4.155138e+00
1.935348e+03,1.727795e+01,4.080835e+00
1.995195e+03,1.769912e+01,4.004982e+00
2.056892e+03,1.812642e+01,3.932045e+00
2.120497e+03,1.856601e+01,3.859260e+00
2.186070e+03,1.902014e+01,3.785681e+00
2.253670e+03,1.948524e+01,3.715403e+00
2.323360e+03,1.996245e+01,3.642972e+00
2.395205e+03,2.044811e+01,3.573549e+00
2.469272e+03,2.095151e+01,3.503802e+00
2.545630e+03,2.147113e+01,3.432464e+00
2.624348e+03,2.200363e+01,3.363522e+00
2.705501e+03,2.253973e+01,3.297781e+00
2.789163e+03,2.310152e+01,3.229655e+00
2.875413e+03,2.366903e+01,3.164590e+00
2.964329e+03,2.426139e+01,3.099922e+00
3.055995e+03,2.486523e+01,3.036426e+00
3.150496e+03,2.548490e+01,2.971624e+00
3.247919e+03,2.611885e+01,2.909953e+00
3.348355e+03,2.677450e+01,2.847793e+00
3.451896e+03,2.744329e+01,2.788170e+00
3.558639e+03,2.813707e+01,2.726251e+00
3.668683e+03,2.884379e+01,2.670700e+00
3.782130e+03,2.957484e+01,2.611787e+00
3.899085e+03,3.032526e+01,2.553700e+00
4.019656e+03,3.107118e+01,2.500540e+00
4.143956e+03,3.184881e+01,2.446305e+00
4.272100e+03,3.265485e+01,2.392264e+00
4.404207e+03,3.350761e+01,2.336512e+00
4.540398e+03,3.434694e+01,2.287690e+00
4.680801e+03,3.522594e+01,2.235760e+00
4.825546e+03,3.612554e+01,2.185869e+00
4.974766e+03,3.705542e+01,2.133784e+00
5.128601e+03,3.799997e+01,2.087076e+00
5.287193e+03,3.894547e+01,2.038918e+00
5.450689e+03,3.993928e+01,1.992035e+00
5.619241e+03,4.093458e+01,1.947278e+00
5.793005e+03,4.199723e+01,1.903546e+00
5.972142e+03,4.308366e+01,1.861670e+00
6.156819e+03,4.422270e+01,1.816242e+00
6.347207e+03,4.537398e+01,1.772827e+00
6.543482e+03,4.654414e+01,1.732919e+00
6.745826e+03,4.773738e+01,1.691417e+00
6.954427e+03,4.893713e+01,1.653565e+00
7.169480e+03,5.018830e+01,1.616941e+00
7.391182e+03,5.152676e+01,1.578391e+00
7.619740e+03,5.282048e+01,1.548079e+00
7.855365e+03,5.417920e+01,1.513371e+00
8.098277e+03,5.557240e+01,1.479880e+00
8.348700e+03,5.697869e+01,1.447798e+00
8.606867e+03,5.846134e+01,1.416607e+00
8.873018e+03,5.996478e+01,1.386702e+00
9.147399e+03,6.157662e+01,1.351953e+00
9.430264e+03,6.315367e+01,1.324436e+00
9.721877e+03,6.485471e+01,1.291975e+00
1.002251e+04,6.659110e+01,1.260718e+00
1.033243e+04,6.828902e+01,1.236687e+00
1.065194e+04,7.011520e+01,1.207612e+00
1.098133e+04,7.206817e+01,1.178965e+00
1.132091e+04,7.395072e+01,1.152355e+00
1.167099e+04,7.598374e+01,1.121230e+00
1.203189e+04,7.794045e+01,1.096164e+00
1.240395e+04,7.988911e+01,1.073120e+00
1.278752e+04,8.205639e+01,1.044266e+00
1.318295e+04,8.409022e+01,1.023152e+00
1.359061e+04,8.625882e+01,9.968825e-01
1.401087e+04,8.828148e+01,9.783010e-01
1.444413e+04,9.065510e+01,9.533240e-01
1.489078e+04,9.303743e+01,9.294764e-01
1.535125e+04,9.553454e+01,9.062255e-01
1.582596e+04,9.799522e+01,8.841956e-01
1.631535e+04,1.005492e+02,8.636623e-01
1.681987e+04,1.031157e+02,8.426181e-01
1.733999e+04,1.058152e+02,8.230463e-01
1.787619e+04,1.085451e+02,8.043945e-01
1.842898e+04,1.112295e+02,7.868971e-01
1.899886e+04,1.140362e+02,7.699504e-01
1.958636e+04,1.172088e+02,7.467508e-01
2.019203e+04,1.202113e+02,7.311135e-01
2.081643e+04,1.233245e+02,7.160256e-01
2.146014e+04,1.270797e+02,6.940438e-01
2.212375e+04,1.305015e+02,6.801478e-01
2.280789e+04,1.342806e+02,6.601182e-01
2.351318e+04,1.380084e+02,6.410953e-01
2.424027e+04,1.413319e+02,6.300368e-01
2.498986e+04,1.451191e+02,6.124794e-01
2.576262e+04,1.490306e+02,5.954801e-01
2.655928e+04,1.523055e+02,5.869009e-01
2.738057e+04,1.563316e+02,5.711465e-01
2.822726e+04,1.605662e+02,5.558480e-01
2.910014e+04,1.653185e+02,5.404871e-01
3.000000e+04,1.703319e+02,5.255812e-01
