energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,7.803458e+00,4.134761e+00
7.216461e+01,7.000432e+00,4.660712e+00
7.439616e+01,6.469822e+00,5.095192e+00
7.669672e+01,6.104715e+00,5.451626e+00
7.906841e+01,5.847685e+00,5.741586e+00
8.151345e+01,5.665186e+00,5.974932e+00
8.403409e+01,5.536363e+00,6.159994e+00
8.663268e+01,5.448282e+00,6.302801e+00
8.931163e+01,5.391641e+00,6.409226e+00
9.207342e+01,5.359603e+00,6.484740e+00
9.492061e+01,5.347256e+00,6.533970e+00
9.785584e+01,5.350987e+00,6.560830e+00
1.008818e+02,5.368048e+00,6.568715e+00
1.040014e+02,5.396011e+00,6.561096e+00
1.072175e+02,5.433281e+00,6.540393e+00
1.105329e+02,5.478749e+00,6.508418e+00
1.139510e+02,5.531455e+00,6.466888e+00
1.174747e+02,5.590099e+00,6.418264e+00
1.211073e+02,5.654072e+00,6.363795e+00
1.248524e+02,5.722733e+00,6.304836e+00
1.287132e+02,5.795477e+00,6.242688e+00
1.326934e+02,5.872167e+00,6.177774e+00
1.367967e+02,5.952607e+00,6.110638e+00
1.410268e+02,6.036635e+00,6.041764e+00
1.453878e+02,6.124060e+00,5.971684e+00
1.498836e+02,6.214802e+00,5.900714e+00
1.545185e+02,6.308832e+00,5.829074e+00
1.592967e+02,6.406054e+00,5.757106e+00
1.642226e+02,6.506348e+00,5.685196e+00
1.693009e+02,6.609564e+00,5.613781e+00
1.745362e+02,6.715671e+00,5.543045e+00
1.799334e+02,6.823868e+00,5.474665e+00
1.854975e+02,6.849783e+00,5.571795e+00
1.912336e+02,6.816531e+00,5.791280e+00
1.971471e+02,6.853245e+00,5.874198e+00
2.032435e+02,6.922794e+00,5.893079e+00
2.095284e+02,7.011207e+00,5.877301e+00
2.160077e+02,7.108192e+00,5.849028e+00
2.226873e+02,7.204199e+00,5.828790e+00
2.295735e+02,7.297302e+00,5.820576e+00
2.366726e+02,7.386481e+00,5.826424e+00
2.439912e+02,7.471317e+00,5.847227e+00
2.515362e+02,7.551258e+00,5.884051e+00
2.593144e+02,7.626317e+00,5.936831e+00
2.673332e+02,7.697676e+00,6.003036e+00
2.756000e+02,7.765073e+00,6.083349e+00
2.841224e+02,7.829278e+00,6.176016e+00
2.929083e+02,7.892055e+00,6.277173e+00
3.019659e+02,7.953341e+00,6.387041e+00
3.113036e+02,8.013279e+00,6.505366e+00
3.209301e+02,8.073213e+00,6.629000e+00
3.308542e+02,8.133573e+00,6.757089e+00
3.410852e+02,8.194240e+00,6.889776e+00
3.516326e+02,8.256655e+00,7.023729e+00
3.625062e+02,8.320802e+00,7.158435e+00
3.737160e+02,8.387303e+00,7.292999e+00
3.852724e+02,8.455859e+00,7.427710e+00
3.971862e+02,8.527212e+00,7.561208e+00
4.094684e+02,8.600816e+00,7.694131e+00
4.221304e+02,8.677250e+00,7.825563e+00
4.351840e+02,8.756670e+00,7.954431e+00
4.486412e+02,8.839920e+00,8.079433e+00
4.625145e+02,8.926443e+00,8.201236e+00
4.768169e+02,9.016676e+00,8.319049e+00
4.915615e+02,9.111113e+00,8.431501e+00
5.067621e+02,9.209882e+00,8.538325e+00
5.224327e+02,9.312865e+00,8.639352e+00
5.385879e+02,9.421942e+00,8.730471e+00
5.552427e+02,9.536714e+00,8.811678e+00
5.724125e+02,9.657939e+00,8.882470e+00
5.901132e+02,9.783882e+00,8.945021e+00
6.083613e+02,9.916437e+00,8.997731e+00
6.271737e+02,1.005628e+01,9.040462e+00
6.465678e+02,1.020039e+01,9.076366e+00
6.665617e+02,1.035125e+01,9.103475e+00
6.871738e+02,1.050782e+01,9.123196e+00
7.084233e+02,1.067023e+01,9.135735e+00
7.303299e+02,1.083911e+01,9.140921e+00
7.529139e+02,1.101317e+01,9.140081e+00
7.761963e+02,1.119428e+01,9.132278e+00
8.001987e+02,1.138165e+01,9.118244e+00
8.249432e+02,1.157581e+01,9.096874e+00
8.504530e+02,1.177685e+01,9.067877e+00
8.767516e+02,1.198565e+01,9.031245e+00
9.038634e+02,1.220157e+01,8.987985e+00
9.318136e+02,1.242545e+01,8.937935e+00
9.606281e+02,1.265565e+01,8.882785e+00
9.903337e+02,1.289407e+01,8.821714e+00
1.020958e+03,1.314099e+01,8.755182e+00
1.052529e+03,1.339494e+01,8.684443e+00
1.085076e+03,1.365736e+01,8.608871e+00
1.118630e+03,1.392677e+01,8.529292e+00
1.153222e+03,1.420563e+01,8.445081e+00
1.188883e+03,1.449228e+01,8.357469e+00
1.225647e+03,1.478896e+01,8.265757e+00
1.263547e+03,1.509196e+01,8.171915e+00
1.302620e+03,1.540852e+01,8.073515e+00
1.342901e+03,1.572917e+01,7.974643e+00
1.384428e+03,1.606516e+01,7.871381e+00
1.427238e+03,1.640783e+01,7.767263e+00
1.471373e+03,1.675532e+01,7.663200e+00
1.516872e+03,1.711685e+01,7.556411e+00
1.563779e+03,1.749072e+01,7.447677e+00
1.612135e+03,1.787977e+01,7.336524e+00
1.661988e+03,1.826973e+01,7.227372e+00
1.713381e+03,1.867602e+01,7.115747e+00
1.766364e+03,1.908749e+01,7.004870e+00
1.820986e+03,1.950312e+01,6.895005e+00
