energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.673786e+00,1.919990e+01
7.216461e+01,1.507567e+00,2.155848e+01
7.439616e+01,1.395209e+00,2.354118e+01
7.669672e+01,1.315737e+00,2.521147e+01
7.906841e+01,1.257470e+00,2.662871e+01
8.151345e+01,1.214119e+00,2.782660e+01
8.403409e+01,1.181687e+00,2.883359e+01
8.663268e+01,1.158167e+00,2.965285e+01
8.931163e+01,1.142321e+00,3.028161e+01
9.207342e+01,1.132483e+00,3.074545e+01
9.492061e+01,1.127482e+00,3.106566e+01
9.785584e+01,1.126423e+00,3.126212e+01
1.008818e+02,1.128843e+00,3.134391e+01
1.040014e+02,1.134163e+00,3.132839e+01
1.072175e+02,1.141572e+00,3.124538e+01
1.105329e+02,1.150642e+00,3.111115e+01
1.139510e+02,1.161155e+00,3.093448e+01
1.174747e+02,1.172869e+00,3.072567e+01
1.211073e+02,1.185697e+00,3.048880e+01
1.248524e+02,1.199486e+00,3.023099e+01
1.287132e+02,1.214136e+00,2.995719e+01
1.326934e+02,1.229626e+00,2.966907e+01
1.367967e+02,1.245933e+00,2.936837e+01
1.410268e+02,1.263042e+00,2.905651e+01
1.453878e+02,1.280946e+00,2.873467e+01
1.498836e+02,1.299625e+00,2.840454e+01
1.545185e+02,1.319011e+00,2.806996e+01
1.592967e+02,1.339092e+00,2.773220e+01
1.642226e+02,1.359838e+00,2.739345e+01
1.693009e+02,1.381215e+00,2.705581e+01
1.745362e+02,1.403223e+00,2.671997e+01
1.799334e+02,1.425800e+00,2.638942e+01
1.854975e+02,1.448920e+00,2.606566e+01
1.912336e+02,1.472459e+00,2.575475e+01
1.971471e+02,1.496388e+00,2.545803e+01
2.032435e+02,1.520686e+00,2.517679e+01
2.095284e+02,1.544942e+00,2.492895e+01
2.160077e+02,1.568355e+00,2.474873e+01
2.226873e+02,1.588965e+00,2.471999e+01
2.295735e+02,1.595981e+00,2.531818e+01
2.366726e+02,1.565130e+00,2.770141e+01
2.439912e+02,1.512046e+00,3.136732e+01
2.515362e+02,1.471212e+00,3.464107e+01
2.593144e+02,1.449613e+00,3.696882e+01
2.673332e+02,1.440189e+00,3.863301e+01
2.756000e+02,1.439425e+00,3.978945e+01
2.841224e+02,1.445958e+00,4.049434e+01
2.929083e+02,1.458462e+00,4.082181e+01
3.019659e+02,1.475269e+00,4.088255e+01
3.113036e+02,1.495199e+00,4.076029e+01
3.209301e+02,1.517694e+00,4.049753e+01
3.308542e+02,1.542324e+00,4.012891e+01
3.410852e+02,1.568741e+00,3.968334e+01
3.516326e+02,1.596686e+00,3.918258e+01
3.625062e+02,1.625944e+00,3.864565e+01
3.737160e+02,1.656362e+00,3.808580e+01
3.852724e+02,1.687844e+00,3.751260e+01
3.971862e+02,1.720244e+00,3.693796e+01
4.094684e+02,1.753473e+00,3.636992e+01
4.221304e+02,1.787491e+00,3.581213e+01
4.351840e+02,1.822324e+00,3.526483e+01
4.486412e+02,1.857975e+00,3.472822e+01
4.625145e+02,1.894473e+00,3.420272e+01
4.768169e+02,1.931842e+00,3.368742e+01
4.915615e+02,1.970101e+00,3.318237e+01
5.067621e+02,2.009269e+00,3.268805e+01
5.224327e+02,2.049380e+00,3.220384e+01
5.385879e+02,2.090440e+00,3.173020e+01
5.552427e+02,2.132465e+00,3.126733e+01
5.724125e+02,2.175517e+00,3.081352e+01
5.901132e+02,2.219686e+00,3.036439e+01
6.083613e+02,2.265010e+00,2.991987e+01
6.271737e+02,2.311501e+00,2.948016e+01
6.465678e+02,2.359189e+00,2.904583e+01
6.665617e+02,2.408107e+00,2.861687e+01
6.871738e+02,2.458259e+00,2.819379e+01
7.084233e+02,2.509692e+00,2.777644e+01
7.303299e+02,2.562460e+00,2.736417e+01
7.529139e+02,2.616585e+00,2.695655e+01
7.761963e+02,2.672141e+00,2.655285e+01
8.001987e+02,2.729086e+00,2.615391e+01
8.249432e+02,2.787572e+00,2.575904e+01
8.504530e+02,2.847534e+00,2.536828e+01
8.767516e+02,2.909076e+00,2.498165e+01
9.038634e+02,2.972229e+00,2.459875e+01
9.318136e+02,3.037007e+00,2.421992e+01
9.606281e+02,3.103527e+00,2.384328e+01
9.903337e+02,3.171846e+00,2.346855e+01
1.020958e+03,3.241906e+00,2.309661e+01
1.052529e+03,3.313873e+00,2.272620e+01
1.085076e+03,3.387791e+00,2.235690e+01
1.118630e+03,3.463717e+00,2.198906e+01
1.153222e+03,3.541682e+00,2.162259e+01
1.188883e+03,3.621678e+00,2.125839e+01
1.225647e+03,3.703854e+00,2.089524e+01
1.263547e+03,3.788202e+00,2.053418e+01
1.302620e+03,3.874858e+00,2.017498e+01
1.342901e+03,3.963799e+00,1.981878e+01
1.384428e+03,4.055188e+00,1.946500e+01
1.427238e+03,4.148838e+00,1.911536e+01
1.471373e+03,4.245277e+00,1.876684e+01
1.516872e+03,4.344128e+00,1.842165e+01
1.563779e+03,4.445396e+00,1.807988e+01
1.612135e+03,4.549313e+00,1.774159e+01
1.661988e+03,4.656476e+00,1.740554e+01
1.713381e+03,4.761815e+00,1.723292e+01
1.766364e+03,4.869331e+00,1.708677e+01
1.820986e+03,4.979834e+00,1.692879e+01
1.877296e+03,5.093894e+00,1.675678e+01
1.935348e+03,5.210713e+00,1.657719e+01
1.995195e+03,5.330873e+00,1.639345e+01
2.056892e+03,5.454146e+00,1.620927e+01
2.120497e+03,5.580909e+00,1.602134e+01
2.186070e+03,5.710909e+00,1.583279e+01
2.253670e+03,5.844254e+00,1.564386e+01
2.323360e+03,5.980988e+00,1.545524e+01
2.395205e+03,6.121248e+00,1.526651e+01
2.469272e+03,6.265681e+00,1.507576e+01
2.545630e+03,6.413570e+00,1.488552e+01
2.624348e+03,6.565107e+00,1.469565e+01
2.705501e+03,6.721018e+00,1.450157e+01
2.789163e+03,6.881568e+00,1.430638e+01
2.875413e+03,7.046137e+00,1.410895e+01
2.964329e+03,7.214466e+00,1.391183e+01
3.055995e+03,7.387466e+00,1.371269e+01
