energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.905378e+02,1.701209e-01
7.216461e+01,1.651445e+02,1.989414e-01
7.439616e+01,1.475818e+02,2.255523e-01
7.669672e+01,1.349054e+02,2.498956e-01
7.906841e+01,1.254266e+02,2.721036e-01
8.151345e+01,1.181559e+02,2.923091e-01
8.403409e+01,1.124765e+02,3.106373e-01
8.663268e+01,1.079794e+02,3.272247e-01
8.931163e+01,1.043843e+02,3.422059e-01
9.207342e+01,1.015006e+02,3.556773e-01
9.492061e+01,9.919043e+01,3.677265e-01
9.785584e+01,9.735167e+01,3.784334e-01
1.008818e+02,9.590859e+01,3.878639e-01
1.040014e+02,9.481056e+01,3.960359e-01
1.072175e+02,9.401685e+01,4.029735e-01
1.105329e+02,7.834630e+01,5.224130e-01
1.139510e+02,5.101692e+01,9.090398e-01
1.174747e+02,3.669832e+01,1.354790e+00
1.211073e+02,2.826344e+01,1.843585e+00
1.248524e+02,2.287566e+01,2.360403e+00
1.287132e+02,1.920424e+01,2.895453e+00
1.326934e+02,1.664997e+01,3.423805e+00
1.367967e+02,1.486986e+01,3.915818e+00
1.410268e+02,1.363227e+01,4.349075e+00
1.453878e+02,1.272301e+01,4.735590e+00
1.498836e+02,1.201964e+01,5.088442e+00
1.545185e+02,1.144727e+01,5.420777e+00
1.592967e+02,1.096466e+01,5.740912e+00
1.642226e+02,1.054639e+01,6.054864e+00
1.693009e+02,1.018488e+01,6.360111e+00
1.745362e+02,9.873170e+00,6.654751e+00
1.799334e+02,9.609482e+00,6.932992e+00
1.854975e+02,9.396471e+00,7.184364e+00
1.912336e+02,9.234427e+00,7.400538e+00
1.971471e+02,9.114914e+00,7.583256e+00
2.032435e+02,9.029722e+00,7.736720e+00
2.095284e+02,8.974324e+00,7.862130e+00
2.160077e+02,8.942252e+00,7.964819e+00
2.226873e+02,8.929029e+00,8.048787e+00
2.295735e+02,8.931243e+00,8.117346e+00
2.366726e+02,8.947395e+00,8.171260e+00
2.439912e+02,8.977371e+00,8.210382e+00
2.515362e+02,9.019671e+00,8.236018e+00
2.593144e+02,9.073354e+00,8.249171e+00
2.673332e+02,9.137646e+00,8.250755e+00
2.756000e+02,9.211960e+00,8.241412e+00
2.841224e+02,9.296090e+00,8.221664e+00
2.929083e+02,9.389468e+00,8.192405e+00
3.019659e+02,9.491511e+00,8.154671e+00
3.113036e+02,9.601383e+00,8.109589e+00
3.209301e+02,9.718939e+00,8.057559e+00
3.308542e+02,9.844662e+00,7.998739e+00
3.410852e+02,9.978061e+00,7.933898e+00
3.516326e+02,1.011792e+01,7.864191e+00
3.625062e+02,1.026559e+01,7.789367e+00
3.737160e+02,1.042092e+01,7.709861e+00
3.852724e+02,1.058259e+01,7.626566e+00
3.971862e+02,1.075262e+01,7.538958e+00
4.094684e+02,1.092846e+01,7.448737e+00
4.221304e+02,1.111163e+01,7.355548e+00
4.351840e+02,1.130080e+01,7.260265e+00
4.486412e+02,1.149815e+01,7.162223e+00
4.625145e+02,1.170247e+01,7.062268e+00
4.768169e+02,1.191404e+01,6.960597e+00
4.915615e+02,1.213265e+01,6.857591e+00
5.067621e+02,1.235786e+01,6.753681e+00
5.224327e+02,1.259106e+01,6.648612e+00
5.385879e+02,1.283060e+01,6.543218e+00
5.552427e+02,1.307904e+01,6.436859e+00
5.724125e+02,1.333506e+01,6.330193e+00
5.901132e+02,1.359741e+01,6.223772e+00
6.083613e+02,1.386640e+01,6.117659e+00
6.271737e+02,1.414608e+01,6.010894e+00
6.465678e+02,1.443606e+01,5.903844e+00
6.665617e+02,1.472600e+01,5.799338e+00
6.871738e+02,1.503245e+01,5.693276e+00
7.084233e+02,1.534545e+01,5.588352e+00
7.303299e+02,1.566552e+01,5.484519e+00
7.529139e+02,1.599336e+01,5.381709e+00
7.761963e+02,1.633543e+01,5.278685e+00
8.001987e+02,1.668060e+01,5.177856e+00
8.249432e+02,1.703902e+01,5.077268e+00
8.504530e+02,1.740617e+01,4.977912e+00
8.767516e+02,1.778265e+01,4.879758e+00
9.038634e+02,1.816993e+01,4.782622e+00
9.318136e+02,1.856916e+01,4.686423e+00
9.606281e+02,1.897235e+01,4.592476e+00
9.903337e+02,1.939692e+01,4.498173e+00
1.020958e+03,1.982174e+01,4.406727e+00
1.052529e+03,2.026674e+01,4.315343e+00
