energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.530063e+00,9.307285e+00
7.216461e+01,2.792349e+00,1.197405e+01
7.439616e+01,2.298440e+00,1.480409e+01
7.669672e+01,1.954926e+00,1.770714e+01
7.906841e+01,1.710790e+00,2.057088e+01
8.151345e+01,1.534205e+00,2.330079e+01
8.403409e+01,1.401317e+00,2.589726e+01
8.663268e+01,1.298886e+00,2.834751e+01
8.931163e+01,1.218941e+00,3.063014e+01
9.207342e+01,1.156340e+00,3.271984e+01
9.492061e+01,1.106611e+00,3.462819e+01
9.785584e+01,1.066388e+00,3.638001e+01
1.008818e+02,1.033011e+00,3.801368e+01
1.040014e+02,1.005426e+00,3.952296e+01
1.072175e+02,9.829637e-01,4.089437e+01
1.105329e+02,9.646899e-01,4.213863e+01
1.139510e+02,9.498453e-01,4.326849e+01
1.174747e+02,9.379352e-01,4.428963e+01
1.211073e+02,9.285645e-01,4.520754e+01
1.248524e+02,9.213760e-01,4.603030e+01
1.287132e+02,9.161115e-01,4.676312e+01
1.326934e+02,9.126319e-01,4.740524e+01
1.367967e+02,9.106665e-01,4.796882e+01
1.410268e+02,9.099191e-01,4.847103e+01
1.453878e+02,9.102812e-01,4.891585e+01
1.498836e+02,9.116917e-01,4.930427e+01
1.545185e+02,9.140851e-01,4.963850e+01
1.592967e+02,9.174751e-01,4.991419e+01
1.642226e+02,9.218810e-01,5.012682e+01
1.693009e+02,9.272167e-01,5.028247e+01
1.745362e+02,9.331384e-01,5.041354e+01
1.799334e+02,9.395461e-01,5.052930e+01
1.854975e+02,9.465431e-01,5.061902e+01
1.912336e+02,9.541395e-01,5.068126e+01
1.971471e+02,9.623775e-01,5.071139e+01
2.032435e+02,9.712496e-01,5.071020e+01
2.095284e+02,9.806869e-01,5.068507e+01
2.160077e+02,9.906652e-01,5.063905e+01
2.226873e+02,1.001136e+00,5.057771e+01
2.295735e+02,1.012064e+00,5.050552e+01
2.366726e+02,1.023435e+00,5.042451e+01
2.439912e+02,1.035235e+00,5.033698e+01
2.515362e+02,1.047459e+00,5.024380e+01
2.593144e+02,1.060103e+00,5.014634e+01
2.673332e+02,1.073159e+00,5.004610e+01
2.756000e+02,1.086629e+00,4.994352e+01
2.841224e+02,1.100516e+00,4.983904e+01
2.929083e+02,1.114823e+00,4.973305e+01
3.019659e+02,1.129583e+00,4.962230e+01
3.113036e+02,1.144829e+00,4.950391e+01
3.209301e+02,1.160570e+00,4.937788e+01
3.308542e+02,1.176824e+00,4.924318e+01
3.410852e+02,1.193601e+00,4.909951e+01
3.516326e+02,1.210910e+00,4.894728e+01
3.625062e+02,1.228751e+00,4.878755e+01
3.737160e+02,1.247130e+00,4.862082e+01
3.852724e+02,1.266058e+00,4.844730e+01
3.971862e+02,1.285502e+00,4.827223e+01
4.094684e+02,1.305428e+00,4.810024e+01
4.221304e+02,1.325848e+00,4.793221e+01
4.351840e+02,1.346835e+00,4.775979e+01
4.486412e+02,1.368495e+00,4.757205e+01
4.625145e+02,1.390853e+00,4.736767e+01
4.768169e+02,1.413932e+00,4.714716e+01
4.915615e+02,1.437733e+00,4.691135e+01
5.067621e+02,1.462268e+00,4.666096e+01
5.224327e+02,1.487555e+00,4.639657e+01
5.385879e+02,1.513605e+00,4.611893e+01
5.552427e+02,1.540428e+00,4.582889e+01
5.724125e+02,1.568042e+00,4.552862e+01
5.901132e+02,1.596418e+00,4.522049e+01
6.083613e+02,1.625602e+00,4.490469e+01
6.271737e+02,1.655592e+00,4.458189e+01
6.465678e+02,1.686413e+00,4.425244e+01
6.665617e+02,1.718086e+00,4.391669e+01
6.871738e+02,1.750622e+00,4.357517e+01
7.084233e+02,1.784028e+00,4.322834e+01
7.303299e+02,1.818352e+00,4.287627e+01
7.529139e+02,1.853632e+00,4.251923e+01
7.761963e+02,1.889821e+00,4.215811e+01
8.001987e+02,1.927017e+00,4.179116e+01
8.249432e+02,1.965244e+00,4.141493e+01
8.504530e+02,2.004583e+00,4.102828e+01
8.767516e+02,2.045010e+00,4.063241e+01
9.038634e+02,2.086559e+00,4.022807e+01
9.318136e+02,2.129262e+00,3.981732e+01
9.606281e+02,2.173124e+00,3.940231e+01
9.903337e+02,2.218177e+00,3.898364e+01
1.020958e+03,2.264412e+00,3.856195e+01
1.052529e+03,2.311866e+00,3.813716e+01
1.085076e+03,2.360661e+00,3.770667e+01
1.118630e+03,2.410840e+00,3.726879e+01
1.153222e+03,2.462388e+00,3.682406e+01
1.188883e+03,2.515321e+00,3.637304e+01
1.225647e+03,2.569739e+00,3.591607e+01
1.263547e+03,2.625697e+00,3.545376e+01
1.302620e+03,2.683176e+00,3.498673e+01
1.342901e+03,2.742202e+00,3.451504e+01
1.384428e+03,2.802814e+00,3.403967e+01
1.427238e+03,2.865104e+00,3.356157e+01
1.471373e+03,2.929204e+00,3.308022e+01
1.516872e+03,2.994886e+00,3.259706e+01
1.563779e+03,3.062380e+00,3.211192e+01
1.612135e+03,3.131728e+00,3.162506e+01
1.661988e+03,3.203011e+00,3.113683e+01
1.713381e+03,3.276152e+00,3.064833e+01
1.766364e+03,3.351380e+00,3.015926e+01
1.820986e+03,3.428534e+00,2.967090e+01
1.877296e+03,3.507670e+00,2.918363e+01
1.935348e+03,3.589155e+00,2.869683e+01
1.995195e+03,3.672300e+00,2.821303e+01
2.056892e+03,3.758103e+00,2.772990e+01
2.120497e+03,3.846180e+00,2.724897e+01
2.186070e+03,3.936862e+00,2.676971e+01
2.253670e+03,4.029821e+00,2.629354e+01
2.323360e+03,4.125492e+00,2.581982e+01
2.395205e+03,4.223015e+00,2.535091e+01
2.469272e+03,4.323883e+00,2.488402e+01
2.545630e+03,4.427002e+00,2.442194e+01
2.624348e+03,4.532627e+00,2.396445e+01
2.705501e+03,4.641708e+00,2.351009e+01
2.789163e+03,4.753312e+00,2.306105e+01
2.875413e+03,4.867901e+00,2.261671e+01
2.964329e+03,4.985384e+00,2.217748e+01
3.055995e+03,5.106002e+00,2.174325e+01
3.150496e+03,5.230675e+00,2.131292e+01
3.247919e+03,5.357064e+00,2.095315e+01
3.348355e+03,5.485075e+00,2.065423e+01
3.451896e+03,5.616967e+00,2.037189e+01
3.558639e+03,5.752883e+00,2.008416e+01
3.668683e+03,5.891265e+00,1.979259e+01
3.782130e+03,6.033717e+00,1.949711e+01
3.899085e+03,6.180112e+00,1.919823e+01
4.019656e+03,6.330649e+00,1.889638e+01
4.143956e+03,6.484733e+00,1.859518e+01
4.272100e+03,6.644758e+00,1.829039e+01
4.404207e+03,6.808406e+00,1.798600e+01
4.540398e+03,6.976365e+00,1.768369e+01
4.680801e+03,7.146818e+00,1.739850e+01
4.825546e+03,7.323240e+00,1.711187e+01
4.974766e+03,7.505780e+00,1.682406e+01
5.128601e+03,7.692122e+00,1.653753e+01
5.287193e+03,7.883433e+00,1.625437e+01
5.450689e+03,8.078483e+00,1.597142e+01
5.619241e+03,8.279477e+00,1.568861e+01
5.793005e+03,8.486388e+00,1.540703e+01
5.972142e+03,8.698572e+00,1.512685e+01
6.156819e+03,8.916490e+00,1.484850e+01
6.347207e+03,9.141695e+00,1.457064e+01
6.543482e+03,9.370890e+00,1.429622e+01
6.745826e+03,9.607702e+00,1.402367e+01
6.954427e+03,9.853627e+00,1.375134e+01
7.169480e+03,1.010419e+01,1.348264e+01
7.391182e+03,1.035879e+01,1.321916e+01
7.619740e+03,1.062046e+01,1.295529e+01
7.855365e+03,1.088765e+01,1.269720e+01
8.098277e+03,1.116497e+01,1.244067e+01
8.348700e+03,1.145107e+01,1.218848e+01
8.606867e+03,1.175084e+01,1.193744e+01
8.873018e+03,1.205809e+01,1.168894e+01
9.147399e+03,1.237139e+01,1.144405e+01
9.430264e+03,1.269114e+01,1.120489e+01
9.721877e+03,1.301769e+01,1.096800e+01
1.002251e+04,1.335018e+01,1.073481e+01
1.033243e+04,1.369157e+01,1.050653e+01
1.065194e+04,1.404166e+01,1.028102e+01
1.098133e+04,1.439771e+01,1.006114e+01
1.132091e+04,1.477491e+01,9.841616e+00
1.167099e+04,1.516247e+01,9.626777e+00
1.203189e+04,1.556804e+01,9.413325e+00
1.240395e+04,1.597838e+01,9.205846e+00
1.278752e+04,1.639993e+01,9.000979e+00
1.318295e+04,1.683374e+01,8.800718e+00
1.359061e+04,1.727881e+01,8.603039e+00
1.401087e+04,1.773839e+01,8.409134e+00
1.444413e+04,1.821064e+01,8.217842e+00
1.489078e+04,1.869121e+01,8.031360e+00
1.535125e+04,1.918271e+01,7.850653e+00
