energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.335772e+02,2.433328e-01
7.216461e+01,1.145047e+02,2.878429e-01
7.439616e+01,1.012183e+02,3.301374e-01
7.669672e+01,9.147666e+01,3.702927e-01
7.906841e+01,8.408206e+01,4.082890e-01
8.151345e+01,7.845305e+01,4.432731e-01
8.403409e+01,7.410858e+01,4.751210e-01
8.663268e+01,7.069691e+01,5.040471e-01
8.931163e+01,6.798137e+01,5.302876e-01
9.207342e+01,6.580342e+01,5.540223e-01
9.492061e+01,6.404014e+01,5.755340e-01
9.785584e+01,6.261418e+01,5.949415e-01
1.008818e+02,5.148161e+01,7.702588e-01
1.040014e+02,3.905032e+01,1.090019e+00
1.072175e+02,3.128294e+01,1.429239e+00
1.105329e+02,2.590413e+01,1.794785e+00
1.139510e+02,2.178972e+01,2.208749e+00
1.174747e+02,1.873326e+01,2.647750e+00
1.211073e+02,1.634888e+01,3.119013e+00
1.248524e+02,1.439526e+01,3.637729e+00
1.287132e+02,1.273418e+01,4.222015e+00
1.326934e+02,1.130362e+01,4.883225e+00
1.367967e+02,1.005202e+01,5.639279e+00
1.410268e+02,8.959730e+00,6.498043e+00
1.453878e+02,8.059577e+00,7.409747e+00
1.498836e+02,7.393673e+00,8.256815e+00
1.545185e+02,6.923221e+00,8.982372e+00
1.592967e+02,6.547979e+00,9.662532e+00
1.642226e+02,6.220193e+00,1.034907e+01
1.693009e+02,5.928945e+00,1.104854e+01
1.745362e+02,5.668178e+00,1.176237e+01
1.799334e+02,5.432206e+00,1.249486e+01
1.854975e+02,5.224293e+00,1.322427e+01
1.912336e+02,5.045451e+00,1.393108e+01
1.971471e+02,4.893691e+00,1.460356e+01
2.032435e+02,4.767761e+00,1.522839e+01
2.095284e+02,4.665403e+00,1.579707e+01
2.160077e+02,4.584309e+00,1.630424e+01
2.226873e+02,4.520491e+00,1.675622e+01
2.295735e+02,4.471620e+00,1.715491e+01
2.366726e+02,4.430790e+00,1.753260e+01
2.439912e+02,4.394230e+00,1.790711e+01
2.515362e+02,4.361643e+00,1.827998e+01
2.593144e+02,4.335470e+00,1.863191e+01
2.673332e+02,4.318249e+00,1.894186e+01
2.756000e+02,4.309570e+00,1.920819e+01
2.841224e+02,4.308423e+00,1.943482e+01
2.929083e+02,4.312922e+00,1.963366e+01
3.019659e+02,4.321615e+00,1.981229e+01
3.113036e+02,4.334779e+00,1.997034e+01
3.209301e+02,4.351593e+00,2.011095e+01
3.308542e+02,4.372106e+00,2.023380e+01
3.410852e+02,4.397705e+00,2.032813e+01
3.516326e+02,4.428128e+00,2.039145e+01
3.625062e+02,4.463466e+00,2.042511e+01
3.737160e+02,4.502984e+00,2.043360e+01
3.852724e+02,4.547217e+00,2.041481e+01
3.971862e+02,4.595159e+00,2.037604e+01
4.094684e+02,4.646571e+00,2.032015e+01
4.221304e+02,4.701192e+00,2.024861e+01
4.351840e+02,4.759554e+00,2.016040e+01
4.486412e+02,4.821475e+00,2.005512e+01
4.625145e+02,4.886748e+00,1.993417e+01
4.768169e+02,4.955482e+00,1.979848e+01
4.915615e+02,5.027863e+00,1.964879e+01
5.067621e+02,5.103839e+00,1.948629e+01
5.224327e+02,5.182933e+00,1.931294e+01
5.385879e+02,5.265271e+00,1.912946e+01
5.552427e+02,5.351389e+00,1.893584e+01
5.724125e+02,5.440621e+00,1.873415e+01
5.901132e+02,5.533261e+00,1.852412e+01
6.083613e+02,5.629428e+00,1.830620e+01
6.271737e+02,5.728865e+00,1.808173e+01
6.465678e+02,5.832821e+00,1.784968e+01
6.665617e+02,5.938723e+00,1.761467e+01
6.871738e+02,6.048946e+00,1.737390e+01
7.084233e+02,6.163107e+00,1.712876e+01
7.303299e+02,6.280435e+00,1.688092e+01
7.529139e+02,6.402016e+00,1.662965e+01
7.761963e+02,6.526839e+00,1.637671e+01
8.001987e+02,6.656435e+00,1.612098e+01
8.249432e+02,6.787988e+00,1.586605e+01
8.504530e+02,6.924510e+00,1.560916e+01
8.767516e+02,7.065943e+00,1.535081e+01
9.038634e+02,7.210964e+00,1.509287e+01
9.318136e+02,7.359488e+00,1.483559e+01
9.606281e+02,7.511863e+00,1.457901e+01
9.903337e+02,7.668489e+00,1.432315e+01
1.020958e+03,7.831236e+00,1.406679e+01
1.052529e+03,7.997569e+00,1.381247e+01
1.085076e+03,8.167594e+00,1.356031e+01
1.118630e+03,8.344199e+00,1.330833e+01
1.153222e+03,8.523714e+00,1.305947e+01
1.188883e+03,8.708642e+00,1.281227e+01
1.225647e+03,8.900514e+00,1.256602e+01
1.263547e+03,9.094978e+00,1.232385e+01
1.302620e+03,9.295864e+00,1.208346e+01
1.342901e+03,9.502936e+00,1.184524e+01
1.384428e+03,9.715151e+00,1.161001e+01
1.427238e+03,9.931012e+00,1.137854e+01
1.471373e+03,1.015229e+01,1.115019e+01
1.516872e+03,1.038282e+01,1.092302e+01
1.563779e+03,1.062076e+01,1.069834e+01
1.612135e+03,1.085803e+01,1.047978e+01
1.661988e+03,1.111296e+01,1.025956e+01
1.713381e+03,1.136169e+01,1.004795e+01
1.766364e+03,1.162839e+01,9.835000e+00
1.820986e+03,1.188619e+01,9.630995e+00
1.877296e+03,1.216966e+01,9.423501e+00
1.935348e+03,1.244880e+01,9.223232e+00
1.995195e+03,1.273173e+01,9.027242e+00
2.056892e+03,1.303616e+01,8.830215e+00
2.120497e+03,1.334903e+01,8.636374e+00
2.186070e+03,1.365811e+01,8.449255e+00
2.253670e+03,1.397249e+01,8.265834e+00
2.323360e+03,1.429879e+01,8.084747e+00
2.395205e+03,1.463311e+01,7.907051e+00
2.469272e+03,1.497997e+01,7.731488e+00
2.545630e+03,1.533695e+01,7.558829e+00
2.624348e+03,1.570758e+01,7.395593e+00
2.705501e+03,1.608045e+01,7.258684e+00
2.789163e+03,1.646095e+01,7.123059e+00
2.875413e+03,1.685498e+01,6.987456e+00
2.964329e+03,1.726242e+01,6.852714e+00
3.055995e+03,1.765724e+01,6.723030e+00
3.150496e+03,1.806946e+01,6.593551e+00
3.247919e+03,1.852231e+01,6.460547e+00
3.348355e+03,1.895756e+01,6.333516e+00
3.451896e+03,1.941187e+01,6.206798e+00
3.558639e+03,1.987701e+01,6.081803e+00
3.668683e+03,2.037498e+01,5.955626e+00
3.782130e+03,2.085875e+01,5.834397e+00
3.899085e+03,2.137797e+01,5.712214e+00
4.019656e+03,2.188130e+01,5.594935e+00
4.143956e+03,2.240162e+01,5.478498e+00
4.272100e+03,2.298799e+01,5.359381e+00
4.404207e+03,2.353001e+01,5.247154e+00
4.540398e+03,2.414418e+01,5.132018e+00
4.680801e+03,2.469903e+01,5.024415e+00
4.825546e+03,2.535871e+01,4.911921e+00
4.974766e+03,2.591434e+01,4.809842e+00
5.128601e+03,2.663752e+01,4.699099e+00
5.287193e+03,2.722854e+01,4.599867e+00
5.450689e+03,2.795765e+01,4.494761e+00
5.619241e+03,2.857717e+01,4.399207e+00
5.793005e+03,2.931560e+01,4.299397e+00
5.972142e+03,3.010810e+01,4.199796e+00
6.156819e+03,3.071158e+01,4.112867e+00
6.347207e+03,3.167725e+01,4.009451e+00
6.543482e+03,3.229463e+01,3.927623e+00
6.745826e+03,3.314623e+01,3.835206e+00
6.954427e+03,3.416304e+01,3.739918e+00
7.169480e+03,3.478895e+01,3.663908e+00
7.391182e+03,3.572459e+01,3.577067e+00
7.619740e+03,3.681472e+01,3.487078e+00
7.855365e+03,3.746662e+01,3.416518e+00
8.098277e+03,3.845742e+01,3.335214e+00
8.348700e+03,3.964343e+01,3.251590e+00
8.606867e+03,4.051984e+01,3.178639e+00
8.873018e+03,4.131770e+01,3.110541e+00
9.147399e+03,4.263560e+01,3.030417e+00
9.430264e+03,4.388236e+01,2.954138e+00
9.721877e+03,4.467464e+01,2.892764e+00
1.002251e+04,4.566540e+01,2.827914e+00
1.033243e+04,4.716782e+01,2.752756e+00
1.065194e+04,4.852784e+01,2.683718e+00
1.098133e+04,4.978897e+01,2.619736e+00
1.132091e+04,5.038686e+01,2.570632e+00
1.167099e+04,5.201838e+01,2.502234e+00
1.203189e+04,5.358625e+01,2.437941e+00
1.240395e+04,5.509429e+01,2.377120e+00
1.278752e+04,5.657576e+01,2.319241e+00
1.318295e+04,5.721655e+01,2.275333e+00
1.359061e+04,5.900815e+01,2.215255e+00
1.401087e+04,6.067290e+01,2.160898e+00
1.444413e+04,6.246411e+01,2.104550e+00
1.489078e+04,6.436360e+01,2.049351e+00
1.535125e+04,6.607638e+01,1.999454e+00
1.582596e+04,6.649579e+01,1.964967e+00
1.631535e+04,6.860116e+01,1.912372e+00
1.681987e+04,7.059409e+01,1.864009e+00
