energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.276841e+00,2.529037e+01
7.216461e+01,1.136142e+00,2.875886e+01
7.439616e+01,1.040153e+00,3.176689e+01
7.669672e+01,9.720133e-01,3.435692e+01
7.906841e+01,9.228267e-01,3.655093e+01
8.151345e+01,8.868575e-01,3.839030e+01
8.403409e+01,8.604633e-01,3.991494e+01
8.663268e+01,8.412676e-01,4.115946e+01
8.931163e+01,8.274044e-01,4.217041e+01
9.207342e+01,8.170638e-01,4.302222e+01
9.492061e+01,8.075026e-01,4.388352e+01
9.785584e+01,7.954005e-01,4.500203e+01
1.008818e+02,7.764531e-01,4.676676e+01
1.040014e+02,7.470276e-01,4.963403e+01
1.072175e+02,7.153686e-01,5.306145e+01
1.105329e+02,6.863987e-01,5.660494e+01
1.139510e+02,6.624773e-01,5.992461e+01
1.174747e+02,6.434623e-01,6.291098e+01
1.211073e+02,6.287392e-01,6.552797e+01
1.248524e+02,6.174256e-01,6.780969e+01
1.287132e+02,6.088887e-01,6.978440e+01
1.326934e+02,6.027091e-01,7.146795e+01
1.367967e+02,5.985203e-01,7.288347e+01
1.410268e+02,5.960001e-01,7.405969e+01
1.453878e+02,5.949292e-01,7.501584e+01
1.498836e+02,5.951072e-01,7.577506e+01
1.545185e+02,5.962750e-01,7.637936e+01
1.592967e+02,5.983054e-01,7.684776e+01
1.642226e+02,6.011203e-01,7.719158e+01
1.693009e+02,6.046223e-01,7.742870e+01
1.745362e+02,6.087456e-01,7.757154e+01
1.799334e+02,6.134532e-01,7.762708e+01
1.854975e+02,6.187154e-01,7.760143e+01
1.912336e+02,6.245083e-01,7.750009e+01
1.971471e+02,6.307779e-01,7.733644e+01
2.032435e+02,6.374410e-01,7.713177e+01
2.095284e+02,6.444826e-01,7.689053e+01
2.160077e+02,6.518957e-01,7.661552e+01
2.226873e+02,6.596771e-01,7.630901e+01
2.295735e+02,6.678195e-01,7.597388e+01
2.366726e+02,6.763201e-01,7.561247e+01
2.439912e+02,6.851782e-01,7.522665e+01
2.515362e+02,6.943918e-01,7.481833e+01
2.593144e+02,7.039633e-01,7.438891e+01
2.673332e+02,7.138975e-01,7.393870e+01
2.756000e+02,7.242046e-01,7.346705e+01
2.841224e+02,7.348868e-01,7.297544e+01
2.929083e+02,7.459485e-01,7.246515e+01
3.019659e+02,7.573953e-01,7.193676e+01
3.113036e+02,7.692570e-01,7.138491e+01
3.209301e+02,7.815468e-01,7.080857e+01
3.308542e+02,7.942698e-01,7.020938e+01
3.410852e+02,8.074320e-01,6.958899e+01
3.516326e+02,8.210352e-01,6.894912e+01
3.625062e+02,8.350898e-01,6.829071e+01
3.737160e+02,8.496036e-01,6.761475e+01
3.852724e+02,8.645827e-01,6.692268e+01
3.971862e+02,8.800327e-01,6.621604e+01
4.094684e+02,8.959651e-01,6.549585e+01
4.221304e+02,9.123884e-01,6.476320e+01
4.351840e+02,9.293090e-01,6.401950e+01
4.486412e+02,9.467335e-01,6.326613e+01
4.625145e+02,9.646792e-01,6.250374e+01
4.768169e+02,9.831411e-01,6.173421e+01
4.915615e+02,1.002160e+00,6.095564e+01
5.067621e+02,1.021748e+00,6.016506e+01
5.224327e+02,1.041931e+00,5.936254e+01
5.385879e+02,1.062715e+00,5.855004e+01
5.552427e+02,1.084103e+00,5.772936e+01
5.724125e+02,1.106123e+00,5.690113e+01
5.901132e+02,1.128773e+00,5.606736e+01
6.083613e+02,1.152067e+00,5.522849e+01
6.271737e+02,1.176043e+00,5.438472e+01
6.465678e+02,1.200705e+00,5.353763e+01
6.665617e+02,1.226029e+00,5.268969e+01
6.871738e+02,1.252094e+00,5.183986e+01
7.084233e+02,1.278874e+00,5.099047e+01
7.303299e+02,1.306389e+00,5.014235e+01
7.529139e+02,1.334679e+00,4.929551e+01
7.761963e+02,1.363731e+00,4.845189e+01
8.001987e+02,1.393571e+00,4.761181e+01
8.249432e+02,1.424241e+00,4.677550e+01
8.504530e+02,1.455718e+00,4.594444e+01
8.767516e+02,1.488062e+00,4.511759e+01
9.038634e+02,1.521278e+00,4.429604e+01
9.318136e+02,1.555403e+00,4.347981e+01
9.606281e+02,1.590438e+00,4.267016e+01
9.903337e+02,1.626410e+00,4.186757e+01
1.020958e+03,1.663373e+00,4.107235e+01
1.052529e+03,1.701271e+00,4.028623e+01
1.085076e+03,1.740253e+00,3.950728e+01
1.118630e+03,1.780127e+00,3.873932e+01
1.153222e+03,1.821150e+00,3.797915e+01
1.188883e+03,1.863244e+00,3.722850e+01
1.225647e+03,1.906517e+00,3.648637e+01
1.263547e+03,1.950866e+00,3.575475e+01
1.302620e+03,1.994781e+00,3.528985e+01
1.342901e+03,2.039067e+00,3.495827e+01
1.384428e+03,2.084595e+00,3.460825e+01
1.427238e+03,2.131440e+00,3.424477e+01
1.471373e+03,2.179532e+00,3.386415e+01
1.516872e+03,2.228967e+00,3.347626e+01
1.563779e+03,2.279586e+00,3.309709e+01
1.612135e+03,2.331652e+00,3.271575e+01
1.661988e+03,2.385169e+00,3.231727e+01
1.713381e+03,2.440056e+00,3.191005e+01
1.766364e+03,2.496710e+00,3.148795e+01
1.820986e+03,2.554530e+00,3.106458e+01
1.877296e+03,2.614391e+00,3.062725e+01
1.935348e+03,2.675677e+00,3.018567e+01
1.995195e+03,2.738484e+00,2.973948e+01
2.056892e+03,2.803424e+00,2.928824e+01
2.120497e+03,2.869834e+00,2.883568e+01
2.186070e+03,2.937849e+00,2.837655e+01
2.253670e+03,3.007453e+00,2.791701e+01
2.323360e+03,3.079598e+00,2.745672e+01
2.395205e+03,3.153874e+00,2.699430e+01
2.469272e+03,3.229727e+00,2.653270e+01
2.545630e+03,3.307247e+00,2.607318e+01
2.624348e+03,3.387271e+00,2.561220e+01
2.705501e+03,3.469178e+00,2.515258e+01
2.789163e+03,3.553711e+00,2.469260e+01
2.875413e+03,3.639928e+00,2.423578e+01
2.964329e+03,3.728717e+00,2.378912e+01
3.055995e+03,3.821173e+00,2.333199e+01
3.150496e+03,3.914261e+00,2.288778e+01
3.247919e+03,4.010159e+00,2.244627e+01
3.348355e+03,4.109054e+00,2.201516e+01
3.451896e+03,4.210109e+00,2.157684e+01
3.558639e+03,4.313202e+00,2.115172e+01
3.668683e+03,4.421227e+00,2.072224e+01
3.782130e+03,4.531496e+00,2.030636e+01
3.899085e+03,4.642266e+00,1.989769e+01
4.019656e+03,4.758802e+00,1.948361e+01
4.143956e+03,4.877043e+00,1.908448e+01
4.272100e+03,4.998573e+00,1.868569e+01
4.404207e+03,5.124373e+00,1.828979e+01
4.540398e+03,5.250711e+00,1.790813e+01
4.680801e+03,5.383878e+00,1.752452e+01
4.825546e+03,5.516688e+00,1.715387e+01
4.974766e+03,5.658200e+00,1.678036e+01
5.128601e+03,5.797083e+00,1.642447e+01
5.287193e+03,5.947274e+00,1.605906e+01
5.450689e+03,6.093930e+00,1.571125e+01
5.619241e+03,6.250068e+00,1.536711e+01
5.793005e+03,6.408213e+00,1.502481e+01
5.972142e+03,6.568154e+00,1.469648e+01
6.156819e+03,6.737367e+00,1.436460e+01
6.347207e+03,6.903145e+00,1.405634e+01
6.543482e+03,7.085467e+00,1.372476e+01
6.745826e+03,7.257396e+00,1.343150e+01
6.954427e+03,7.446694e+00,1.312369e+01
7.169480e+03,7.640531e+00,1.281351e+01
7.391182e+03,7.820714e+00,1.254224e+01
7.619740e+03,8.030924e+00,1.224710e+01
7.855365e+03,8.242943e+00,1.195174e+01
8.098277e+03,8.436489e+00,1.169634e+01
8.348700e+03,8.662816e+00,1.141762e+01
8.606867e+03,8.884394e+00,1.115516e+01
8.873018e+03,9.103760e+00,1.089466e+01
9.147399e+03,9.331746e+00,1.065179e+01
9.430264e+03,9.587201e+00,1.039350e+01
9.721877e+03,9.826391e+00,1.015599e+01
1.002251e+04,1.006561e+01,9.915877e+00
1.033243e+04,1.032062e+01,9.693890e+00
1.065194e+04,1.060838e+01,9.453727e+00
1.098133e+04,1.088297e+01,9.230547e+00
1.132091e+04,1.114856e+01,9.008474e+00
1.167099e+04,1.139718e+01,8.815100e+00
1.203189e+04,1.171097e+01,8.593500e+00
1.240395e+04,1.204430e+01,8.376189e+00
1.278752e+04,1.236426e+01,8.173656e+00
1.318295e+04,1.266387e+01,7.989314e+00
1.359061e+04,1.292023e+01,7.833946e+00
1.401087e+04,1.326757e+01,7.643587e+00
1.444413e+04,1.363116e+01,7.457729e+00
1.489078e+04,1.401607e+01,7.275314e+00
1.535125e+04,1.439036e+01,7.104203e+00
1.582596e+04,1.472558e+01,6.950333e+00
1.631535e+04,1.503127e+01,6.810035e+00
1.681987e+04,1.543142e+01,6.639649e+00
1.733999e+04,1.582681e+01,6.494251e+00
1.787619e+04,1.625435e+01,6.334067e+00
1.842898e+04,1.671309e+01,6.175522e+00
1.899886e+04,1.715563e+01,6.027067e+00
1.958636e+04,1.758073e+01,5.888315e+00
2.019203e+04,1.791705e+01,5.770043e+00
2.081643e+04,1.836688e+01,5.623723e+00
2.146014e+04,1.881882e+01,5.499890e+00
2.212375e+04,1.928067e+01,5.363652e+00
2.280789e+04,1.977862e+01,5.246110e+00
2.351318e+04,2.031077e+01,5.112829e+00
2.424027e+04,2.089751e+01,4.978985e+00
2.498986e+04,2.151681e+01,4.848516e+00
2.576262e+04,2.200875e+01,4.737170e+00
2.655928e+04,2.237658e+01,4.643461e+00
2.738057e+04,2.275189e+01,4.535598e+00
2.822726e+04,2.326339e+01,4.436703e+00
2.910014e+04,2.379049e+01,4.340914e+00
3.000000e+04,2.441584e+01,4.224190e+00
