energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.371324e+00,1.359486e+01
7.216461e+01,2.099350e+00,1.554865e+01
7.439616e+01,1.896568e+00,1.743283e+01
7.669672e+01,1.731890e+00,1.935145e+01
7.906841e+01,1.592078e+00,2.135919e+01
8.151345e+01,1.450370e+00,2.386632e+01
8.403409e+01,1.310006e+00,2.697756e+01
8.663268e+01,1.176969e+00,3.072515e+01
8.931163e+01,1.055951e+00,3.508773e+01
9.207342e+01,9.526314e-01,3.984066e+01
9.492061e+01,8.654458e-01,4.489802e+01
9.785584e+01,7.926469e-01,5.014715e+01
1.008818e+02,7.317219e-01,5.552499e+01
1.040014e+02,6.795542e-01,6.108499e+01
1.072175e+02,6.344526e-01,6.682508e+01
1.105329e+02,5.968100e-01,7.248658e+01
1.139510e+02,5.662598e-01,7.784679e+01
1.174747e+02,5.419392e-01,8.275983e+01
1.211073e+02,5.242207e-01,8.685205e+01
1.248524e+02,5.116133e-01,9.016388e+01
1.287132e+02,5.032116e-01,9.270683e+01
1.326934e+02,4.981570e-01,9.455516e+01
1.367967e+02,4.959773e-01,9.573964e+01
1.410268e+02,4.963807e-01,9.627888e+01
1.453878e+02,4.985523e-01,9.636915e+01
1.498836e+02,5.019535e-01,9.615253e+01
1.545185e+02,5.064105e-01,9.567495e+01
1.592967e+02,5.118225e-01,9.496606e+01
1.642226e+02,5.180096e-01,9.408233e+01
1.693009e+02,5.247964e-01,9.308066e+01
1.745362e+02,5.320821e-01,9.199558e+01
1.799334e+02,5.397885e-01,9.085493e+01
1.854975e+02,5.478865e-01,8.967120e+01
1.912336e+02,5.563530e-01,8.845499e+01
1.971471e+02,5.651582e-01,8.721857e+01
2.032435e+02,5.742786e-01,8.597237e+01
2.095284e+02,5.837000e-01,8.472361e+01
2.160077e+02,5.934185e-01,8.347585e+01
2.226873e+02,6.034422e-01,8.222993e+01
2.295735e+02,6.137726e-01,8.098715e+01
2.366726e+02,6.244007e-01,7.975320e+01
2.439912e+02,6.353376e-01,7.852732e+01
2.515362e+02,6.466045e-01,7.730519e+01
2.593144e+02,6.581891e-01,7.609311e+01
2.673332e+02,6.701083e-01,7.488915e+01
2.756000e+02,6.823626e-01,7.369476e+01
2.841224e+02,6.949603e-01,7.251128e+01
2.929083e+02,7.078943e-01,7.134192e+01
3.019659e+02,7.211780e-01,7.018672e+01
3.113036e+02,7.348155e-01,6.904550e+01
3.209301e+02,7.488309e-01,6.791492e+01
3.308542e+02,7.632323e-01,6.679402e+01
3.410852e+02,7.780424e-01,6.568260e+01
3.516326e+02,7.932372e-01,6.458423e+01
3.625062e+02,8.088658e-01,6.349490e+01
3.737160e+02,8.249082e-01,6.241844e+01
3.852724e+02,8.413620e-01,6.135954e+01
3.971862e+02,8.582582e-01,6.031256e+01
4.094684e+02,8.756076e-01,5.927774e+01
4.221304e+02,8.934215e-01,5.825464e+01
4.351840e+02,9.117049e-01,5.724429e+01
4.486412e+02,9.304875e-01,5.624578e+01
4.625145e+02,9.497274e-01,5.526827e+01
4.768169e+02,9.694018e-01,5.432302e+01
