energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,5.675718e+00,5.710276e+00
7.216461e+01,4.925342e+00,6.668944e+00
7.439616e+01,4.405432e+00,7.553880e+00
7.669672e+01,4.021011e+00,8.383486e+00
7.906841e+01,3.730970e+00,9.149572e+00
8.151345e+01,3.507273e+00,9.852981e+00
8.403409e+01,3.331565e+00,1.049689e+01
8.663268e+01,3.191724e+00,1.108451e+01
8.931163e+01,3.079436e+00,1.161903e+01
9.207342e+01,2.988812e+00,1.210353e+01
9.492061e+01,2.915763e+00,1.253992e+01
9.785584e+01,2.857299e+00,1.292969e+01
1.008818e+02,2.810931e+00,1.327562e+01
1.040014e+02,2.774728e+00,1.358047e+01
1.072175e+02,2.747042e+00,1.384787e+01
1.105329e+02,2.725410e+00,1.408968e+01
1.139510e+02,2.709945e+00,1.430107e+01
1.174747e+02,2.700035e+00,1.448312e+01
1.211073e+02,2.695111e+00,1.463735e+01
1.248524e+02,2.694747e+00,1.476492e+01
1.287132e+02,2.698568e+00,1.486706e+01
1.326934e+02,2.706214e+00,1.494543e+01
1.367967e+02,2.717379e+00,1.500163e+01
1.410268e+02,2.731815e+00,1.503706e+01
1.453878e+02,2.749340e+00,1.505282e+01
1.498836e+02,2.769786e+00,1.505009e+01
1.545185e+02,2.792995e+00,1.503017e+01
1.592967e+02,2.818830e+00,1.499431e+01
1.642226e+02,2.847185e+00,1.494357e+01
1.693009e+02,2.877979e+00,1.487893e+01
1.745362e+02,2.911130e+00,1.480142e+01
1.799334e+02,2.946565e+00,1.471208e+01
1.854975e+02,2.984232e+00,1.461181e+01
1.912336e+02,3.024082e+00,1.450150e+01
1.971471e+02,3.066077e+00,1.438200e+01
2.032435e+02,3.110189e+00,1.425407e+01
2.095284e+02,3.156414e+00,1.411828e+01
2.160077e+02,3.204729e+00,1.397539e+01
2.226873e+02,3.255124e+00,1.382608e+01
2.295735e+02,3.307588e+00,1.367101e+01
2.366726e+02,3.362120e+00,1.351079e+01
2.439912e+02,3.418725e+00,1.334599e+01
2.515362e+02,3.477406e+00,1.317714e+01
2.593144e+02,3.538175e+00,1.300476e+01
2.673332e+02,3.601050e+00,1.282925e+01
2.756000e+02,3.666062e+00,1.265096e+01
2.841224e+02,3.733222e+00,1.247036e+01
2.929083e+02,3.802554e+00,1.228783e+01
3.019659e+02,3.874104e+00,1.210368e+01
3.113036e+02,3.947871e+00,1.191833e+01
3.209301e+02,4.023914e+00,1.173203e+01
3.308542e+02,4.102266e+00,1.154500e+01
3.410852e+02,4.182991e+00,1.135733e+01
3.516326e+02,4.266107e+00,1.116934e+01
3.625062e+02,4.351693e+00,1.098122e+01
3.737160e+02,4.439750e+00,1.079331e+01
3.852724e+02,4.530345e+00,1.060580e+01
3.971862e+02,4.623534e+00,1.041887e+01
4.094684e+02,4.719357e+00,1.023276e+01
4.221304e+02,4.817869e+00,1.004763e+01
4.351840e+02,4.919139e+00,9.863621e+00
4.486412e+02,5.023194e+00,9.680930e+00
4.625145e+02,5.130125e+00,9.499622e+00
4.768169e+02,5.239983e+00,9.319834e+00
4.915615e+02,5.352831e+00,9.141688e+00
5.067621e+02,5.468745e+00,8.965279e+00
5.224327e+02,5.587827e+00,8.790658e+00
5.385879e+02,5.710104e+00,8.617974e+00
5.552427e+02,5.835651e+00,8.447294e+00
5.724125e+02,5.964543e+00,8.278688e+00
5.901132e+02,6.096863e+00,8.112216e+00
6.083613e+02,6.232741e+00,7.947876e+00
6.271737e+02,6.372309e+00,7.785673e+00
6.465678e+02,6.515443e+00,7.625775e+00
6.665617e+02,6.662437e+00,7.468006e+00
6.871738e+02,6.813358e+00,7.312436e+00
7.084233e+02,6.968238e+00,7.159158e+00
7.303299e+02,7.127250e+00,7.008142e+00
7.529139e+02,7.290459e+00,6.859449e+00
7.761963e+02,7.457875e+00,6.713171e+00
8.001987e+02,7.629763e+00,6.569203e+00
8.249432e+02,7.803907e+00,6.443068e+00
8.504530e+02,7.973855e+00,6.376147e+00
8.767516e+02,8.148695e+00,6.306258e+00
9.038634e+02,8.328637e+00,6.233629e+00
9.318136e+02,8.513603e+00,6.158622e+00
9.606281e+02,8.703873e+00,6.081408e+00
9.903337e+02,8.899483e+00,6.002291e+00
1.020958e+03,9.100553e+00,5.921548e+00
1.052529e+03,9.307265e+00,5.839414e+00
1.085076e+03,9.519536e+00,5.755941e+00
1.118630e+03,9.737407e+00,5.671633e+00
1.153222e+03,9.961611e+00,5.586276e+00
1.188883e+03,1.019213e+01,5.499835e+00
1.225647e+03,1.042891e+01,5.413007e+00
1.263547e+03,1.067204e+01,5.325407e+00
1.302620e+03,1.092128e+01,5.237338e+00
1.342901e+03,1.117813e+01,5.149052e+00
1.384428e+03,1.144219e+01,5.060315e+00
1.427238e+03,1.171194e+01,4.972325e+00
1.471373e+03,1.198985e+01,4.884248e+00
1.516872e+03,1.227606e+01,4.795585e+00
1.563779e+03,1.256764e+01,4.708857e+00
1.612135e+03,1.286982e+01,4.620733e+00
1.661988e+03,1.317775e+01,4.534933e+00
1.713381e+03,1.349570e+01,4.447872e+00
1.766364e+03,1.382068e+01,4.363289e+00
1.820986e+03,1.415548e+01,4.277641e+00
1.877296e+03,1.449847e+01,4.193942e+00
1.935348e+03,1.485092e+01,4.111000e+00
1.995195e+03,1.521248e+01,4.028684e+00
2.056892e+03,1.558542e+01,3.946653e+00
2.120497e+03,1.596436e+01,3.867551e+00
2.186070e+03,1.635834e+01,3.786976e+00
2.253670e+03,1.675636e+01,3.709134e+00
2.323360e+03,1.716994e+01,3.632371e+00
2.395205e+03,1.759545e+01,3.554956e+00
2.469272e+03,1.802763e+01,3.480042e+00
2.545630e+03,1.847483e+01,3.406905e+00
2.624348e+03,1.893240e+01,3.333473e+00
2.705501e+03,1.940024e+01,3.262665e+00
2.789163e+03,1.988728e+01,3.190395e+00
2.875413e+03,2.038080e+01,3.120990e+00
2.964329e+03,2.088624e+01,3.053944e+00
3.055995e+03,2.141163e+01,2.986493e+00
3.150496e+03,2.195074e+01,2.919201e+00
3.247919e+03,2.249329e+01,2.854888e+00
3.348355e+03,2.305986e+01,2.792018e+00
3.451896e+03,2.364349e+01,2.728999e+00
3.558639e+03,2.423721e+01,2.668380e+00
3.668683e+03,2.484144e+01,2.608122e+00
3.782130e+03,2.547050e+01,2.549283e+00
3.899085e+03,2.611979e+01,2.490019e+00
4.019656e+03,2.678605e+01,2.432771e+00
4.143956e+03,2.744867e+01,2.378590e+00
4.272100e+03,2.814933e+01,2.322975e+00
4.404207e+03,2.886719e+01,2.269327e+00
4.540398e+03,2.960136e+01,2.217733e+00
4.680801e+03,3.036337e+01,2.165214e+00
4.825546e+03,3.111889e+01,2.115570e+00
4.974766e+03,3.191114e+01,2.067077e+00
5.128601e+03,3.273581e+01,2.017435e+00
5.287193e+03,3.357262e+01,1.969936e+00
5.450689e+03,3.443967e+01,1.923773e+00
5.619241e+03,3.532544e+01,1.877345e+00
5.793005e+03,3.620371e+01,1.835156e+00
5.972142e+03,3.713093e+01,1.791751e+00
6.156819e+03,3.809378e+01,1.748742e+00
6.347207e+03,3.907537e+01,1.706491e+00
6.543482e+03,4.009384e+01,1.664623e+00
6.745826e+03,4.112574e+01,1.625130e+00
