energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.767034e+01,1.853015e+00
7.216461e+01,1.445574e+01,2.301648e+00
7.439616e+01,1.224476e+01,2.761432e+00
7.669672e+01,1.063996e+01,3.229782e+00
7.906841e+01,9.430018e+00,3.703638e+00
8.151345e+01,8.486775e+00,4.182501e+00
8.403409e+01,7.731902e+00,4.666029e+00
8.663268e+01,7.114899e+00,5.153984e+00
8.931163e+01,6.601751e+00,5.646226e+00
9.207342e+01,6.169160e+00,6.142180e+00
9.492061e+01,5.802292e+00,6.638533e+00
9.785584e+01,5.488443e+00,7.134004e+00
1.008818e+02,5.217441e+00,7.628339e+00
1.040014e+02,4.981616e+00,8.121205e+00
1.072175e+02,4.775929e+00,8.610200e+00
1.105329e+02,4.595906e+00,9.093912e+00
1.139510e+02,4.437539e+00,9.572090e+00
1.174747e+02,4.297597e+00,1.004458e+01
1.211073e+02,4.173511e+00,1.051110e+01
1.248524e+02,4.063383e+00,1.097073e+01
1.287132e+02,3.965354e+00,1.142340e+01
1.326934e+02,3.878017e+00,1.186890e+01
1.367967e+02,3.800003e+00,1.230744e+01
1.410268e+02,3.730738e+00,1.273685e+01
1.453878e+02,3.670692e+00,1.314937e+01
1.498836e+02,3.619113e+00,1.354347e+01
1.545185e+02,3.575117e+00,1.391922e+01
1.592967e+02,3.537862e+00,1.427698e+01
1.642226e+02,3.506749e+00,1.461688e+01
1.693009e+02,3.481182e+00,1.493932e+01
1.745362e+02,3.460900e+00,1.524296e+01
1.799334e+02,3.446117e+00,1.552337e+01
1.854975e+02,3.436352e+00,1.578086e+01
1.912336e+02,3.431379e+00,1.601568e+01
1.971471e+02,3.430676e+00,1.622906e+01
2.032435e+02,3.434238e+00,1.642010e+01
2.095284e+02,3.442106e+00,1.658574e+01
2.160077e+02,3.454149e+00,1.672617e+01
2.226873e+02,3.470175e+00,1.684246e+01
2.295735e+02,3.489834e+00,1.693616e+01
2.366726e+02,3.513037e+00,1.700821e+01
2.439912e+02,3.539608e+00,1.705979e+01
2.515362e+02,3.569306e+00,1.709223e+01
2.593144e+02,3.602000e+00,1.710648e+01
2.673332e+02,3.637766e+00,1.710318e+01
2.756000e+02,3.676355e+00,1.708374e+01
2.841224e+02,3.717691e+00,1.704914e+01
2.929083e+02,3.761784e+00,1.700017e+01
3.019659e+02,3.808729e+00,1.693716e+01
3.113036e+02,3.858453e+00,1.685987e+01
3.209301e+02,3.910923e+00,1.676913e+01
3.308542e+02,3.966086e+00,1.666598e+01
3.410852e+02,4.024063e+00,1.655108e+01
3.516326e+02,4.084843e+00,1.642535e+01
3.625062e+02,4.148133e+00,1.629017e+01
3.737160e+02,4.214037e+00,1.614613e+01
3.852724e+02,4.282538e+00,1.599402e+01
3.971862e+02,4.353653e+00,1.583454e+01
4.094684e+02,4.427563e+00,1.566772e+01
4.221304e+02,4.504445e+00,1.549372e+01
4.351840e+02,4.584067e+00,1.531364e+01
4.486412e+02,4.666435e+00,1.512815e+01
4.625145e+02,4.751586e+00,1.493785e+01
4.768169e+02,4.839533e+00,1.474335e+01
4.915615e+02,4.930283e+00,1.454522e+01
5.067621e+02,5.023873e+00,1.434395e+01
5.224327e+02,5.120436e+00,1.413991e+01
5.385879e+02,5.220438e+00,1.393290e+01
5.552427e+02,5.323496e+00,1.372374e+01
5.724125e+02,5.429687e+00,1.351283e+01
5.901132e+02,5.539016e+00,1.330062e+01
6.083613e+02,5.651537e+00,1.308748e+01
6.271737e+02,5.767305e+00,1.287376e+01
6.465678e+02,5.886229e+00,1.265991e+01
6.665617e+02,6.008274e+00,1.244628e+01
6.871738e+02,6.133678e+00,1.223299e+01
7.084233e+02,6.262501e+00,1.202026e+01
7.303299e+02,6.394858e+00,1.180823e+01
7.529139e+02,6.530973e+00,1.159701e+01
7.761963e+02,6.671640e+00,1.138630e+01
8.001987e+02,6.816138e+00,1.117691e+01
8.249432e+02,6.964557e+00,1.096901e+01
8.504530e+02,7.116971e+00,1.076275e+01
8.767516e+02,7.273498e+00,1.055826e+01
9.038634e+02,7.434188e+00,1.035570e+01
9.318136e+02,7.599152e+00,1.015517e+01
9.606281e+02,7.768473e+00,9.956784e+00
9.903337e+02,7.942240e+00,9.760651e+00
1.020958e+03,8.120543e+00,9.566866e+00
1.052529e+03,8.303524e+00,9.375479e+00
1.085076e+03,8.491379e+00,9.186514e+00
1.118630e+03,8.684105e+00,9.000077e+00
1.153222e+03,8.881793e+00,8.816219e+00
1.188883e+03,9.084544e+00,8.634986e+00
1.225647e+03,9.292502e+00,8.456412e+00
1.263547e+03,9.505762e+00,8.280560e+00
1.302620e+03,9.724456e+00,8.107413e+00
1.342901e+03,9.948681e+00,7.936948e+00
1.384428e+03,1.017857e+01,7.769196e+00
1.427238e+03,1.041432e+01,7.604169e+00
1.471373e+03,1.065835e+01,7.441255e+00
1.516872e+03,1.090956e+01,7.280848e+00
1.563779e+03,1.116744e+01,7.123129e+00
1.612135e+03,1.143213e+01,6.968115e+00
1.661988e+03,1.170381e+01,6.815795e+00
1.713381e+03,1.198262e+01,6.666169e+00
1.766364e+03,1.226886e+01,6.519200e+00
1.820986e+03,1.256257e+01,6.374915e+00
1.877296e+03,1.286411e+01,6.233252e+00
1.935348e+03,1.317347e+01,6.094241e+00
1.995195e+03,1.349110e+01,5.957797e+00
2.056892e+03,1.381717e+01,5.823934e+00
2.120497e+03,1.415231e+01,5.692539e+00
2.186070e+03,1.449348e+01,5.578358e+00
2.253670e+03,1.484241e+01,5.472617e+00
2.323360e+03,1.520086e+01,5.367335e+00
2.395205e+03,1.556871e+01,5.263213e+00
2.469272e+03,1.594679e+01,5.159699e+00
2.545630e+03,1.633492e+01,5.057426e+00
2.624348e+03,1.673347e+01,4.956226e+00
2.705501e+03,1.714292e+01,4.856169e+00
2.789163e+03,1.756326e+01,4.757129e+00
2.875413e+03,1.799488e+01,4.659479e+00
2.964329e+03,1.843846e+01,4.562888e+00
3.055995e+03,1.889372e+01,4.467755e+00
3.150496e+03,1.936135e+01,4.373657e+00
3.247919e+03,1.984179e+01,4.281007e+00
3.348355e+03,2.033497e+01,4.189876e+00
3.451896e+03,2.084150e+01,4.100227e+00
3.558639e+03,2.136133e+01,4.011635e+00
3.668683e+03,2.189582e+01,3.924755e+00
3.782130e+03,2.244425e+01,3.839236e+00
3.899085e+03,2.300752e+01,3.754997e+00
4.019656e+03,2.358598e+01,3.672181e+00
4.143956e+03,2.418108e+01,3.590732e+00
4.272100e+03,2.479202e+01,3.510726e+00
4.404207e+03,2.541986e+01,3.432083e+00
4.540398e+03,2.606436e+01,3.354828e+00
4.680801e+03,2.672612e+01,3.278934e+00
4.825546e+03,2.740674e+01,3.204416e+00
4.974766e+03,2.810530e+01,3.131557e+00
5.128601e+03,2.882307e+01,3.060083e+00
5.287193e+03,2.956033e+01,2.989827e+00
5.450689e+03,3.031781e+01,2.920865e+00
5.619241e+03,3.109612e+01,2.853038e+00
5.793005e+03,3.189572e+01,2.786981e+00
5.972142e+03,3.271716e+01,2.722062e+00
6.156819e+03,3.356160e+01,2.658242e+00
6.347207e+03,3.442960e+01,2.596078e+00
6.543482e+03,3.532100e+01,2.534997e+00
6.745826e+03,3.623715e+01,2.474918e+00
6.954427e+03,3.717790e+01,2.416471e+00
7.169480e+03,3.814566e+01,2.358956e+00
7.391182e+03,3.914113e+01,2.302946e+00
7.619740e+03,4.016303e+01,2.247907e+00
7.855365e+03,4.121355e+01,2.194362e+00
8.098277e+03,4.229403e+01,2.141619e+00
8.348700e+03,4.340184e+01,2.090442e+00
8.606867e+03,4.454245e+01,2.039937e+00
8.873018e+03,4.571659e+01,1.990147e+00
9.147399e+03,4.692220e+01,1.942431e+00
9.430264e+03,4.815983e+01,1.895182e+00
9.721877e+03,4.943556e+01,1.849057e+00
1.002251e+04,5.074695e+01,1.803966e+00
1.033243e+04,5.209667e+01,1.759810e+00
1.065194e+04,5.348142e+01,1.716944e+00
1.098133e+04,5.491079e+01,1.674855e+00
1.132091e+04,5.637743e+01,1.633325e+00
1.167099e+04,5.788617e+01,1.592956e+00
1.203189e+04,5.943146e+01,1.553850e+00
1.240395e+04,6.102783e+01,1.515103e+00
1.278752e+04,6.266784e+01,1.478158e+00
1.318295e+04,6.435602e+01,1.440943e+00
1.359061e+04,6.609697e+01,1.405252e+00
1.401087e+04,6.787455e+01,1.370149e+00
1.444413e+04,6.971289e+01,1.335951e+00
1.489078e+04,7.160713e+01,1.302769e+00
1.535125e+04,7.356141e+01,1.269707e+00
1.582596e+04,7.556188e+01,1.238559e+00
1.631535e+04,7.763992e+01,1.207336e+00
1.681987e+04,7.976780e+01,1.176337e+00
1.733999e+04,8.194831e+01,1.147189e+00
1.787619e+04,8.421582e+01,1.117856e+00
1.842898e+04,8.653798e+01,1.089534e+00
1.899886e+04,8.892288e+01,1.062061e+00
1.958636e+04,9.136769e+01,1.034702e+00
2.019203e+04,9.389446e+01,1.008894e+00
2.081643e+04,9.651691e+01,9.828769e-01
2.146014e+04,9.919692e+01,9.578373e-01
2.212375e+04,1.019558e+02,9.335477e-01
2.280789e+04,1.048163e+02,9.098934e-01
2.351318e+04,1.077832e+02,8.859549e-01
2.424027e+04,1.108187e+02,8.628567e-01
2.498986e+04,1.139079e+02,8.415512e-01
2.576262e+04,1.171048e+02,8.199021e-01
2.655928e+04,1.204054e+02,7.986873e-01
2.738057e+04,1.238105e+02,7.776387e-01
2.822726e+04,1.273047e+02,7.579605e-01
2.910014e+04,1.309623e+02,7.377741e-01
3.000000e+04,1.346834e+02,7.193423e-01
