energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.966815e+00,8.238431e+00
7.216461e+01,3.098924e+00,1.075500e+01
7.439616e+01,2.472368e+00,1.376226e+01
7.669672e+01,2.003380e+00,1.735453e+01
7.906841e+01,1.643849e+00,2.162777e+01
8.151345e+01,1.369200e+00,2.655586e+01
8.403409e+01,1.161812e+00,3.199015e+01
8.663268e+01,1.006963e+00,3.768777e+01
8.931163e+01,8.891578e-01,4.354048e+01
9.207342e+01,7.960077e-01,4.959156e+01
9.492061e+01,7.200753e-01,5.588876e+01
9.785584e+01,6.577162e-01,6.236236e+01
1.008818e+02,6.080850e-01,6.868307e+01
1.040014e+02,5.697788e-01,7.453253e+01
1.072175e+02,5.411846e-01,7.965116e+01
1.105329e+02,5.206543e-01,8.387915e+01
1.139510e+02,5.066790e-01,8.715771e+01
1.174747e+02,4.976350e-01,8.958624e+01
1.211073e+02,4.922709e-01,9.129675e+01
1.248524e+02,4.897586e-01,9.239659e+01
1.287132e+02,4.895603e-01,9.296559e+01
1.326934e+02,4.911622e-01,9.310720e+01
1.367967e+02,4.941491e-01,9.291801e+01
1.410268e+02,4.982664e-01,9.246179e+01
1.453878e+02,5.033905e-01,9.177170e+01
1.498836e+02,5.092465e-01,9.092768e+01
1.545185e+02,5.156885e-01,8.997443e+01
1.592967e+02,5.226134e-01,8.894508e+01
1.642226e+02,5.299725e-01,8.785703e+01
1.693009e+02,5.377306e-01,8.672386e+01
1.745362e+02,5.458627e-01,8.555620e+01
1.799334e+02,5.543401e-01,8.436552e+01
1.854975e+02,5.631429e-01,8.316068e+01
1.912336e+02,5.722602e-01,8.194746e+01
1.971471e+02,5.816840e-01,8.073094e+01
2.032435e+02,5.914173e-01,7.951303e+01
2.095284e+02,6.014581e-01,7.829644e+01
2.160077e+02,6.118050e-01,7.708454e+01
2.226873e+02,6.224608e-01,7.587869e+01
2.295735e+02,6.334320e-01,7.467938e+01
2.366726e+02,6.447247e-01,7.348736e+01
2.439912e+02,6.563435e-01,7.230368e+01
2.515362e+02,6.682955e-01,7.112906e+01
2.593144e+02,6.805853e-01,6.996439e+01
2.673332e+02,6.932171e-01,6.881097e+01
2.756000e+02,7.061945e-01,6.766980e+01
2.841224e+02,7.195283e-01,6.654107e+01
2.929083e+02,7.332287e-01,6.542381e+01
3.019659e+02,7.473105e-01,6.431703e+01
3.113036e+02,7.617786e-01,6.322126e+01
3.209301e+02,7.766470e-01,6.213665e+01
3.308542e+02,7.919163e-01,6.106403e+01
3.410852e+02,8.076039e-01,6.000317e+01
3.516326e+02,8.237162e-01,5.895458e+01
3.625062e+02,8.402530e-01,5.791896e+01
3.737160e+02,8.572402e-01,5.689570e+01
3.852724e+02,8.746853e-01,5.588494e+01
3.971862e+02,8.925792e-01,5.488777e+01
4.094684e+02,9.109123e-01,5.391512e+01
4.221304e+02,9.296699e-01,5.297031e+01
4.351840e+02,9.487623e-01,5.207406e+01
4.486412e+02,9.681844e-01,5.123401e+01
4.625145e+02,9.878299e-01,5.046878e+01
4.768169e+02,1.007535e+00,4.981919e+01
4.915615e+02,1.027195e+00,4.930361e+01
5.067621e+02,1.047063e+00,4.886246e+01
5.224327e+02,1.067228e+00,4.847400e+01
5.385879e+02,1.087594e+00,4.815818e+01
5.552427e+02,1.108246e+00,4.789028e+01
5.724125e+02,1.129294e+00,4.766261e+01
5.901132e+02,1.150720e+00,4.745872e+01
6.083613e+02,1.172749e+00,4.724748e+01
6.271737e+02,1.195323e+00,4.703475e+01
6.465678e+02,1.218420e+00,4.682661e+01
6.665617e+02,1.242100e+00,4.662024e+01
6.871738e+02,1.266410e+00,4.641218e+01
7.084233e+02,1.291230e+00,4.621497e+01
7.303299e+02,1.316240e+00,4.610701e+01
7.529139e+02,1.342046e+00,4.596467e+01
7.761963e+02,1.368509e+00,4.580995e+01
8.001987e+02,1.395746e+00,4.563270e+01
8.249432e+02,1.423745e+00,4.544169e+01
8.504530e+02,1.452582e+00,4.522341e+01
8.767516e+02,1.482257e+00,4.497772e+01
9.038634e+02,1.512764e+00,4.471267e+01
9.318136e+02,1.544083e+00,4.443823e+01
9.606281e+02,1.576153e+00,4.416566e+01
9.903337e+02,1.609168e+00,4.387037e+01
