energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.850493e+00,1.749818e+01
7.216461e+01,1.616518e+00,2.029249e+01
7.439616e+01,1.455145e+00,2.282770e+01
7.669672e+01,1.338885e+00,2.511203e+01
7.906841e+01,1.252593e+00,2.715618e+01
8.151345e+01,1.187787e+00,2.895696e+01
8.403409e+01,1.138618e+00,3.052705e+01
8.663268e+01,1.100852e+00,3.189274e+01
8.931163e+01,1.070925e+00,3.310576e+01
9.207342e+01,1.046658e+00,3.420149e+01
9.492061e+01,1.027035e+00,3.518776e+01
9.785584e+01,1.011352e+00,3.606863e+01
1.008818e+02,9.989923e-01,3.685119e+01
1.040014e+02,9.894611e-01,3.754268e+01
1.072175e+02,9.823496e-01,3.815069e+01
1.105329e+02,9.773500e-01,3.868110e+01
1.139510e+02,9.742189e-01,3.913896e+01
1.174747e+02,9.727565e-01,3.952906e+01
1.211073e+02,9.727978e-01,3.985583e+01
1.248524e+02,9.742061e-01,4.012341e+01
1.287132e+02,9.768670e-01,4.033566e+01
1.326934e+02,9.806853e-01,4.049617e+01
1.367967e+02,9.855806e-01,4.060832e+01
1.410268e+02,9.914850e-01,4.067525e+01
1.453878e+02,9.983404e-01,4.070000e+01
1.498836e+02,1.006098e+00,4.068534e+01
1.545185e+02,1.014718e+00,4.063389e+01
1.592967e+02,1.024164e+00,4.054807e+01
1.642226e+02,1.034409e+00,4.043020e+01
1.693009e+02,1.045451e+00,4.028069e+01
1.745362e+02,1.057304e+00,4.009894e+01
1.799334e+02,1.069951e+00,3.988701e+01
1.854975e+02,1.083375e+00,3.964701e+01
1.912336e+02,1.097591e+00,3.937881e+01
1.971471e+02,1.112585e+00,3.908476e+01
2.032435e+02,1.128299e+00,3.877047e+01
2.095284e+02,1.144720e+00,3.843837e+01
2.160077e+02,1.161839e+00,3.809039e+01
2.226873e+02,1.179628e+00,3.773006e+01
2.295735e+02,1.197064e+00,3.743970e+01
2.366726e+02,1.214466e+00,3.719216e+01
2.439912e+02,1.230703e+00,3.707845e+01
2.515362e+02,1.239182e+00,3.762560e+01
2.593144e+02,1.239314e+00,3.889311e+01
2.673332e+02,1.235522e+00,4.054103e+01
2.756000e+02,1.233057e+00,4.212664e+01
2.841224e+02,1.234457e+00,4.340960e+01
2.929083e+02,1.240014e+00,4.434447e+01
3.019659e+02,1.249075e+00,4.498118e+01
3.113036e+02,1.261043e+00,4.537172e+01
3.209301e+02,1.275482e+00,4.555772e+01
3.308542e+02,1.292004e+00,4.557938e+01
3.410852e+02,1.310334e+00,4.546673e+01
3.516326e+02,1.330261e+00,4.524487e+01
3.625062e+02,1.351554e+00,4.494051e+01
3.737160e+02,1.374092e+00,4.456987e+01
3.852724e+02,1.397673e+00,4.415603e+01
3.971862e+02,1.422237e+00,4.370874e+01
4.094684e+02,1.447772e+00,4.323203e+01
4.221304e+02,1.474209e+00,4.273521e+01
4.351840e+02,1.501462e+00,4.222983e+01
4.486412e+02,1.529529e+00,4.171788e+01
4.625145e+02,1.558429e+00,4.120019e+01
4.768169e+02,1.588176e+00,4.067761e+01
4.915615e+02,1.618785e+00,4.015096e+01
5.067621e+02,1.650277e+00,3.962090e+01
5.224327e+02,1.682664e+00,3.908828e+01
5.385879e+02,1.715935e+00,3.855641e+01
5.552427e+02,1.750098e+00,3.802701e+01
5.724125e+02,1.785174e+00,3.750041e+01
5.901132e+02,1.821178e+00,3.697703e+01
6.083613e+02,1.858124e+00,3.645777e+01
6.271737e+02,1.896029e+00,3.594376e+01
6.465678e+02,1.934916e+00,3.543531e+01
6.665617e+02,1.974793e+00,3.493279e+01
6.871738e+02,2.015699e+00,3.443590e+01
7.084233e+02,2.057665e+00,3.394354e+01
7.303299e+02,2.100741e+00,3.345513e+01
7.529139e+02,2.144950e+00,3.297011e+01
7.761963e+02,2.190348e+00,3.248688e+01
8.001987e+02,2.236953e+00,3.200570e+01
8.249432e+02,2.284805e+00,3.152674e+01
8.504530e+02,2.333924e+00,3.105053e+01
8.767516e+02,2.384340e+00,3.057815e+01
9.038634e+02,2.436099e+00,3.010974e+01
9.318136e+02,2.489182e+00,2.964577e+01
9.606281e+02,2.543690e+00,2.918497e+01
9.903337e+02,2.599615e+00,2.872718e+01
1.020958e+03,2.657033e+00,2.827259e+01
1.052529e+03,2.715985e+00,2.782113e+01
