energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,7.285199e+00,4.467067e+00
7.216461e+01,6.124428e+00,5.395246e+00
7.439616e+01,5.311026e+00,6.316882e+00
7.669672e+01,4.709896e+00,7.232289e+00
7.906841e+01,4.248168e+00,8.141366e+00
8.151345e+01,3.884470e+00,9.039869e+00
8.403409e+01,3.593964e+00,9.918620e+00
8.663268e+01,3.360269e+00,1.076616e+01
8.931163e+01,3.169663e+00,1.158023e+01
9.207342e+01,3.010445e+00,1.236937e+01
9.492061e+01,2.875847e+00,1.313486e+01
9.785584e+01,2.760895e+00,1.387810e+01
1.008818e+02,2.661810e+00,1.460094e+01
1.040014e+02,2.575106e+00,1.530987e+01
1.072175e+02,2.498903e+00,1.600492e+01
1.105329e+02,2.432230e+00,1.668115e+01
1.139510e+02,2.373844e+00,1.733775e+01
1.174747e+02,2.323072e+00,1.797015e+01
1.211073e+02,2.279231e+00,1.857506e+01
1.248524e+02,2.241943e+00,1.914678e+01
1.287132e+02,2.210213e+00,1.968837e+01
1.326934e+02,2.182994e+00,2.020600e+01
1.367967e+02,2.159800e+00,2.070030e+01
1.410268e+02,2.140245e+00,2.117157e+01
1.453878e+02,2.124419e+00,2.161341e+01
1.498836e+02,2.112323e+00,2.202082e+01
1.545185e+02,2.103509e+00,2.239666e+01
1.592967e+02,2.097666e+00,2.274244e+01
1.642226e+02,2.094566e+00,2.305908e+01
1.693009e+02,2.094004e+00,2.334752e+01
1.745362e+02,2.095835e+00,2.360819e+01
1.799334e+02,2.100097e+00,2.383826e+01
1.854975e+02,2.106689e+00,2.403788e+01
1.912336e+02,2.115475e+00,2.420835e+01
1.971471e+02,2.126310e+00,2.435155e+01
2.032435e+02,2.139053e+00,2.446955e+01
2.095284e+02,2.153852e+00,2.455842e+01
2.160077e+02,2.170757e+00,2.461643e+01
2.226873e+02,2.189728e+00,2.464417e+01
2.295735e+02,2.210675e+00,2.464357e+01
2.366726e+02,2.233533e+00,2.461625e+01
2.439912e+02,2.258259e+00,2.456343e+01
2.515362e+02,2.284800e+00,2.448681e+01
2.593144e+02,2.313107e+00,2.438809e+01
2.673332e+02,2.343141e+00,2.426887e+01
2.756000e+02,2.374897e+00,2.413002e+01
2.841224e+02,2.408354e+00,2.397284e+01
2.929083e+02,2.443488e+00,2.379882e+01
3.019659e+02,2.480283e+00,2.360936e+01
3.113036e+02,2.518724e+00,2.340579e+01
3.209301e+02,2.558783e+00,2.318980e+01
3.308542e+02,2.600430e+00,2.296322e+01
3.410852e+02,2.643667e+00,2.272706e+01
3.516326e+02,2.688505e+00,2.248205e+01
3.625062e+02,2.735117e+00,2.222521e+01
3.737160e+02,2.783465e+00,2.195872e+01
3.852724e+02,2.833490e+00,2.168524e+01
3.971862e+02,2.885201e+00,2.140566e+01
4.094684e+02,2.938617e+00,2.112076e+01
4.221304e+02,2.993759e+00,2.083128e+01
4.351840e+02,3.050659e+00,2.053762e+01
4.486412e+02,3.109357e+00,2.024011e+01
4.625145e+02,3.169874e+00,1.993938e+01
4.768169e+02,3.232239e+00,1.963607e+01
4.915615e+02,3.296484e+00,1.933072e+01
5.067621e+02,3.362640e+00,1.902390e+01
5.224327e+02,3.430738e+00,1.871609e+01
5.385879e+02,3.500818e+00,1.840776e+01
5.552427e+02,3.572910e+00,1.809933e+01
5.724125e+02,3.647056e+00,1.779111e+01
5.901132e+02,3.723309e+00,1.748337e+01
6.083613e+02,3.801708e+00,1.717648e+01
6.271737e+02,3.882301e+00,1.687077e+01
6.465678e+02,3.965130e+00,1.656654e+01
6.665617e+02,4.050249e+00,1.626407e+01
6.871738e+02,4.137700e+00,1.596363e+01
7.084233e+02,4.227548e+00,1.566542e+01
7.303299e+02,4.319828e+00,1.536969e+01
7.529139e+02,4.414605e+00,1.507661e+01
7.761963e+02,4.511931e+00,1.478637e+01
8.001987e+02,4.611898e+00,1.449902e+01
8.249432e+02,4.714535e+00,1.421474e+01
8.504530e+02,4.819922e+00,1.393364e+01
8.767516e+02,4.928129e+00,1.365584e+01
9.038634e+02,5.039219e+00,1.338146e+01
9.318136e+02,5.153267e+00,1.311058e+01
9.606281e+02,5.270335e+00,1.284329e+01
9.903337e+02,5.390511e+00,1.257965e+01
1.020958e+03,5.513868e+00,1.231973e+01
1.052529e+03,5.640473e+00,1.206358e+01
1.085076e+03,5.770415e+00,1.181125e+01
1.118630e+03,5.903780e+00,1.156277e+01
1.153222e+03,6.040639e+00,1.131818e+01
1.188883e+03,6.181139e+00,1.107743e+01
1.225647e+03,6.325320e+00,1.084061e+01
1.263547e+03,6.473249e+00,1.060775e+01
1.302620e+03,6.625118e+00,1.037874e+01
1.342901e+03,6.780983e+00,1.015361e+01
1.384428e+03,6.940910e+00,9.932396e+00
1.427238e+03,7.105026e+00,9.715103e+00
1.471373e+03,7.273460e+00,9.501685e+00
1.516872e+03,7.446347e+00,9.292087e+00
1.563779e+03,7.623743e+00,9.086344e+00
1.612135e+03,7.805793e+00,8.884397e+00
1.661988e+03,7.992633e+00,8.686199e+00
1.713381e+03,8.184337e+00,8.491761e+00
1.766364e+03,8.379637e+00,8.319615e+00
1.820986e+03,8.578504e+00,8.168511e+00
1.877296e+03,8.782790e+00,8.018099e+00
1.935348e+03,8.992592e+00,7.868602e+00
1.995195e+03,9.207975e+00,7.720455e+00
2.056892e+03,9.429005e+00,7.572960e+00
2.120497e+03,9.656054e+00,7.426742e+00
2.186070e+03,9.889065e+00,7.282227e+00
2.253670e+03,1.012829e+01,7.138398e+00
2.323360e+03,1.037397e+01,6.996532e+00
2.395205e+03,1.062624e+01,6.855905e+00
2.469272e+03,1.088494e+01,6.716999e+00
2.545630e+03,1.115087e+01,6.579739e+00
2.624348e+03,1.142375e+01,6.444615e+00
2.705501e+03,1.170383e+01,6.310730e+00
2.789163e+03,1.199136e+01,6.178870e+00
2.875413e+03,1.228664e+01,6.048675e+00
2.964329e+03,1.258954e+01,5.920394e+00
3.055995e+03,1.290103e+01,5.793916e+00
3.150496e+03,1.321989e+01,5.670023e+00
3.247919e+03,1.354800e+01,5.547330e+00
3.348355e+03,1.388458e+01,5.426676e+00
3.451896e+03,1.423043e+01,5.307917e+00
3.558639e+03,1.458437e+01,5.191910e+00
3.668683e+03,1.494900e+01,5.077335e+00
3.782130e+03,1.532263e+01,4.964425e+00
3.899085e+03,1.570597e+01,4.854358e+00
4.019656e+03,1.610046e+01,4.745016e+00
4.143956e+03,1.650468e+01,4.638521e+00
4.272100e+03,1.691923e+01,4.533896e+00
4.404207e+03,1.734617e+01,4.430785e+00
4.540398e+03,1.778356e+01,4.330470e+00
4.680801e+03,1.823191e+01,4.231907e+00
4.825546e+03,1.869318e+01,4.134806e+00
4.974766e+03,1.916777e+01,4.039152e+00
5.128601e+03,1.965260e+01,3.946333e+00
5.287193e+03,2.015157e+01,3.854873e+00
5.450689e+03,2.066430e+01,3.765241e+00
5.619241e+03,2.119058e+01,3.677044e+00
5.793005e+03,2.172887e+01,3.592026e+00
5.972142e+03,2.228489e+01,3.507017e+00
6.156819e+03,2.285373e+01,3.425321e+00
6.347207e+03,2.343654e+01,3.343982e+00
6.543482e+03,2.403623e+01,3.265471e+00
6.745826e+03,2.465317e+01,3.187751e+00
6.954427e+03,2.528654e+01,3.111753e+00
7.169480e+03,2.593628e+01,3.037940e+00
7.391182e+03,2.660178e+01,2.965191e+00
7.619740e+03,2.728368e+01,2.894607e+00
7.855365e+03,2.798850e+01,2.825835e+00
8.098277e+03,2.871035e+01,2.757955e+00
8.348700e+03,2.945377e+01,2.690730e+00
8.606867e+03,3.021616e+01,2.626687e+00
8.873018e+03,3.099535e+01,2.562281e+00
9.147399e+03,3.179472e+01,2.500933e+00
9.430264e+03,3.261590e+01,2.440212e+00
9.721877e+03,3.346188e+01,2.381131e+00
1.002251e+04,3.433355e+01,2.322448e+00
1.033243e+04,3.522701e+01,2.266853e+00
1.065194e+04,3.614715e+01,2.210232e+00
1.098133e+04,3.708350e+01,2.156847e+00
1.132091e+04,3.804324e+01,2.103772e+00
1.167099e+04,3.903037e+01,2.052250e+00
1.203189e+04,4.004309e+01,2.002366e+00
1.240395e+04,4.109125e+01,1.952367e+00
1.278752e+04,4.217201e+01,1.905072e+00
1.318295e+04,4.327277e+01,1.858256e+00
1.359061e+04,4.441156e+01,1.811149e+00
1.401087e+04,4.557251e+01,1.767055e+00
1.444413e+04,4.676111e+01,1.722986e+00
1.489078e+04,4.797018e+01,1.680566e+00
1.535125e+04,4.922488e+01,1.639088e+00
1.582596e+04,5.053596e+01,1.597649e+00
