energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.515491e+00,2.137546e+01
7.216461e+01,1.321680e+00,2.483191e+01
7.439616e+01,1.188051e+00,2.797631e+01
7.669672e+01,1.091503e+00,3.082554e+01
7.906841e+01,1.019204e+00,3.340579e+01
8.151345e+01,9.632156e-01,3.575923e+01
8.403409e+01,9.190244e-01,3.790543e+01
8.663268e+01,8.836652e-01,3.986141e+01
8.931163e+01,8.547503e-01,4.166359e+01
9.207342e+01,8.308382e-01,4.333058e+01
9.492061e+01,8.109873e-01,4.487158e+01
9.785584e+01,7.944479e-01,4.629794e+01
1.008818e+02,7.804460e-01,4.763634e+01
1.040014e+02,7.685542e-01,4.889712e+01
1.072175e+02,7.584718e-01,5.008633e+01
1.105329e+02,7.499453e-01,5.121053e+01
1.139510e+02,7.427925e-01,5.227323e+01
1.174747e+02,7.369095e-01,5.327266e+01
1.211073e+02,7.323084e-01,5.419592e+01
1.248524e+02,7.287808e-01,5.505587e+01
1.287132e+02,7.258557e-01,5.590015e+01
1.326934e+02,7.225523e-01,5.684790e+01
1.367967e+02,7.168004e-01,5.817599e+01
1.410268e+02,7.087912e-01,5.989473e+01
1.453878e+02,7.005084e-01,6.175925e+01
1.498836e+02,6.926889e-01,6.366678e+01
1.545185e+02,6.855840e-01,6.557324e+01
1.592967e+02,6.793150e-01,6.744892e+01
1.642226e+02,6.739628e-01,6.926774e+01
1.693009e+02,6.695111e-01,7.101919e+01
1.745362e+02,6.660716e-01,7.266845e+01
1.799334e+02,6.636374e-01,7.420215e+01
1.854975e+02,6.621506e-01,7.561824e+01
1.912336e+02,6.615150e-01,7.692520e+01
1.971471e+02,6.616347e-01,7.813402e+01
2.032435e+02,6.624630e-01,7.924721e+01
2.095284e+02,6.639601e-01,8.026712e+01
2.160077e+02,6.660907e-01,8.119634e+01
2.226873e+02,6.688368e-01,8.203442e+01
2.295735e+02,6.721817e-01,8.278144e+01
2.366726e+02,6.761010e-01,8.344023e+01
