energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,4.378681e+00,7.423446e+00
7.216461e+01,3.715482e+00,8.878211e+00
7.439616e+01,3.253274e+00,1.028820e+01
7.669672e+01,2.918374e+00,1.163329e+01
7.906841e+01,2.666771e+00,1.290941e+01
8.151345e+01,2.472326e+00,1.411591e+01
8.403409e+01,2.318771e+00,1.525314e+01
8.663268e+01,2.195480e+00,1.632206e+01
8.931163e+01,2.095224e+00,1.732412e+01
9.207342e+01,2.012920e+00,1.826106e+01
9.492061e+01,1.944888e+00,1.913493e+01
9.785584e+01,1.888419e+00,1.994770e+01
1.008818e+02,1.841915e+00,2.069486e+01
1.040014e+02,1.804051e+00,2.137335e+01
1.072175e+02,1.773449e+00,2.198602e+01
1.105329e+02,1.749012e+00,2.253605e+01
1.139510e+02,1.729866e+00,2.302666e+01
1.174747e+02,1.715310e+00,2.346103e+01
1.211073e+02,1.704774e+00,2.384228e+01
1.248524e+02,1.697794e+00,2.417344e+01
1.287132e+02,1.693986e+00,2.445741e+01
1.326934e+02,1.693035e+00,2.469700e+01
1.367967e+02,1.694676e+00,2.489488e+01
1.410268e+02,1.698687e+00,2.505362e+01
1.453878e+02,1.704873e+00,2.517586e+01
1.498836e+02,1.713076e+00,2.526399e+01
1.545185e+02,1.723163e+00,2.532018e+01
1.592967e+02,1.735024e+00,2.534650e+01
1.642226e+02,1.748563e+00,2.534489e+01
1.693009e+02,1.763700e+00,2.531721e+01
1.745362e+02,1.780368e+00,2.526521e+01
1.799334e+02,1.798508e+00,2.519057e+01
1.854975e+02,1.818073e+00,2.509484e+01
1.912336e+02,1.839022e+00,2.497953e+01
1.971471e+02,1.861323e+00,2.484601e+01
2.032435e+02,1.884998e+00,2.469418e+01
2.095284e+02,1.910085e+00,2.452367e+01
2.160077e+02,1.936557e+00,2.433600e+01
2.226873e+02,1.964392e+00,2.413267e+01
2.295735e+02,1.993571e+00,2.391508e+01
2.366726e+02,2.024081e+00,2.368455e+01
2.439912e+02,2.055912e+00,2.344232e+01
2.515362e+02,2.089060e+00,2.318952e+01
2.593144e+02,2.123523e+00,2.292726e+01
2.673332e+02,2.159300e+00,2.265654e+01
2.756000e+02,2.196394e+00,2.237840e+01
2.841224e+02,2.234803e+00,2.209391e+01
2.929083e+02,2.274537e+00,2.180387e+01
3.019659e+02,2.315609e+00,2.150900e+01
3.113036e+02,2.358032e+00,2.121000e+01
3.209301e+02,2.401823e+00,2.090752e+01
3.308542e+02,2.446998e+00,2.060214e+01
3.410852e+02,2.493580e+00,2.029442e+01
3.516326e+02,2.541587e+00,1.998490e+01
3.625062e+02,2.591045e+00,1.967403e+01
3.737160e+02,2.642002e+00,1.936163e+01
3.852724e+02,2.694511e+00,1.904743e+01
3.971862e+02,2.748597e+00,1.873201e+01
4.094684e+02,2.804283e+00,1.841592e+01
4.221304e+02,2.861598e+00,1.809967e+01
4.351840e+02,2.920568e+00,1.778373e+01
4.486412e+02,2.981224e+00,1.746851e+01
4.625145e+02,3.043598e+00,1.715441e+01
4.768169e+02,3.107725e+00,1.684177e+01
4.915615e+02,3.173634e+00,1.653107e+01
5.067621e+02,3.241353e+00,1.622276e+01
5.224327e+02,3.310924e+00,1.591706e+01
5.385879e+02,3.382386e+00,1.561416e+01
5.552427e+02,3.455784e+00,1.531421e+01
5.724125e+02,3.531168e+00,1.501734e+01
5.901132e+02,3.608576e+00,1.472372e+01
6.083613e+02,3.688065e+00,1.443343e+01
6.271737e+02,3.769681e+00,1.414661e+01
6.465678e+02,3.853475e+00,1.386334e+01
6.665617e+02,3.939499e+00,1.358373e+01
6.871738e+02,4.027805e+00,1.330784e+01
7.084233e+02,4.118455e+00,1.303575e+01
7.303299e+02,4.211510e+00,1.276748e+01
7.529139e+02,4.307021e+00,1.250312e+01
7.761963e+02,4.405055e+00,1.224269e+01
8.001987e+02,4.505669e+00,1.198622e+01
8.249432e+02,4.608942e+00,1.173371e+01
8.504530e+02,4.714930e+00,1.148519e+01
8.767516e+02,4.823700e+00,1.124069e+01
9.038634e+02,4.935340e+00,1.100018e+01
9.318136e+02,5.049892e+00,1.076370e+01
9.606281e+02,5.167464e+00,1.053121e+01
9.903337e+02,5.288118e+00,1.030273e+01
1.020958e+03,5.411940e+00,1.007823e+01
1.052529e+03,5.539011e+00,9.857691e+00
1.085076e+03,5.669404e+00,9.641106e+00
1.118630e+03,5.799023e+00,9.496985e+00
1.153222e+03,5.932120e+00,9.353364e+00
1.188883e+03,6.068845e+00,9.208758e+00
1.225647e+03,6.209272e+00,9.063304e+00
1.263547e+03,6.353620e+00,8.916532e+00
1.302620e+03,6.501823e+00,8.769934e+00
1.342901e+03,6.654093e+00,8.622289e+00
1.384428e+03,6.810517e+00,8.474689e+00
1.427238e+03,6.971130e+00,8.326807e+00
1.471373e+03,7.136101e+00,8.179531e+00
1.516872e+03,7.305450e+00,8.033188e+00
1.563779e+03,7.479423e+00,7.886856e+00
1.612135e+03,7.657995e+00,7.741103e+00
1.661988e+03,7.841477e+00,7.596025e+00
1.713381e+03,8.029736e+00,7.452417e+00
1.766364e+03,8.223040e+00,7.309740e+00
1.820986e+03,8.421593e+00,7.168298e+00
1.877296e+03,8.625330e+00,7.027947e+00
1.935348e+03,8.834615e+00,6.889126e+00
1.995195e+03,9.049299e+00,6.751978e+00
2.056892e+03,9.269967e+00,6.615408e+00
2.120497e+03,9.496465e+00,6.480757e+00
2.186070e+03,9.728582e+00,6.348571e+00
2.253670e+03,9.967261e+00,6.217573e+00
2.323360e+03,1.021225e+01,6.087574e+00
2.395205e+03,1.046363e+01,5.959797e+00
2.469272e+03,1.072195e+01,5.833930e+00
2.545630e+03,1.098678e+01,5.710347e+00
2.624348e+03,1.125857e+01,5.588911e+00
2.705501e+03,1.153806e+01,5.467665e+00
2.789163e+03,1.182495e+01,5.349716e+00
