energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,6.800855e-01,4.776649e+01
7.216461e+01,5.873958e-01,5.605004e+01
7.439616e+01,5.255387e-01,6.344787e+01
7.669672e+01,4.859655e-01,6.937916e+01
7.906841e+01,4.618716e-01,7.366569e+01
8.151345e+01,4.480047e-01,7.649549e+01
8.403409e+01,4.393544e-01,7.849073e+01
8.663268e+01,4.332984e-01,8.006387e+01
8.931163e+01,4.283008e-01,8.150701e+01
9.207342e+01,4.233999e-01,8.303653e+01
9.492061e+01,4.180429e-01,8.480390e+01
9.785584e+01,4.117459e-01,8.697082e+01
1.008818e+02,4.041277e-01,8.970380e+01
1.040014e+02,3.949620e-01,9.316071e+01
1.072175e+02,3.848924e-01,9.723378e+01
1.105329e+02,3.746835e-01,1.017262e+02
1.139510e+02,3.647699e-01,1.065028e+02
1.174747e+02,3.554118e-01,1.114558e+02
1.211073e+02,3.470412e-01,1.163552e+02
1.248524e+02,3.398989e-01,1.210089e+02
1.287132e+02,3.341295e-01,1.252428e+02
1.326934e+02,3.298426e-01,1.288858e+02
1.367967e+02,3.268474e-01,1.319507e+02
1.410268e+02,3.249029e-01,1.345114e+02
1.453878e+02,3.238421e-01,1.366221e+02
1.498836e+02,3.235157e-01,1.383441e+02
1.545185e+02,3.238363e-01,1.397103e+02
1.592967e+02,3.247325e-01,1.407513e+02
1.642226e+02,3.261633e-01,1.414820e+02
1.693009e+02,3.281378e-01,1.418837e+02
1.745362e+02,3.306138e-01,1.419819e+02
1.799334e+02,3.335466e-01,1.418076e+02
1.854975e+02,3.369000e-01,1.413895e+02
1.912336e+02,3.406161e-01,1.407755e+02
1.971471e+02,3.446271e-01,1.400239e+02
2.032435e+02,3.489174e-01,1.391508e+02
2.095284e+02,3.534632e-01,1.381798e+02
2.160077e+02,3.582411e-01,1.371345e+02
2.226873e+02,3.632383e-01,1.360296e+02
2.295735e+02,3.684346e-01,1.348857e+02
2.366726e+02,3.738197e-01,1.337156e+02
2.439912e+02,3.793705e-01,1.325421e+02
2.515362e+02,3.850843e-01,1.313706e+02
2.593144e+02,3.909612e-01,1.302039e+02
2.673332e+02,3.970015e-01,1.290451e+02
2.756000e+02,4.031997e-01,1.279018e+02
2.841224e+02,4.095542e-01,1.267779e+02
2.929083e+02,4.160654e-01,1.256757e+02
3.019659e+02,4.227351e-01,1.245967e+02
3.113036e+02,4.295645e-01,1.235422e+02
3.209301e+02,4.365557e-01,1.225134e+02
3.308542e+02,4.437105e-01,1.215112e+02
3.410852e+02,4.510375e-01,1.205314e+02
3.516326e+02,4.585419e-01,1.195729e+02
3.625062e+02,4.662322e-01,1.186301e+02
3.737160e+02,4.741231e-01,1.176954e+02
3.852724e+02,4.822188e-01,1.167689e+02
3.971862e+02,4.905239e-01,1.158509e+02
4.094684e+02,4.990388e-01,1.149429e+02
4.221304e+02,5.077674e-01,1.140474e+02
4.351840e+02,5.167133e-01,1.131650e+02
4.486412e+02,5.258766e-01,1.122971e+02
4.625145e+02,5.352633e-01,1.114448e+02
4.768169e+02,5.448864e-01,1.106042e+02
4.915615e+02,5.547443e-01,1.097759e+02
5.067621e+02,5.648416e-01,1.089603e+02
5.224327e+02,5.751883e-01,1.081568e+02
5.385879e+02,5.857897e-01,1.073640e+02
5.552427e+02,5.966508e-01,1.065797e+02
5.724125e+02,6.078036e-01,1.057935e+02
5.901132e+02,6.192485e-01,1.049996e+02
6.083613e+02,6.310016e-01,1.041969e+02
6.271737e+02,6.430692e-01,1.033860e+02
6.465678e+02,6.554582e-01,1.025673e+02
6.665617e+02,6.681750e-01,1.017414e+02
6.871738e+02,6.812211e-01,1.009095e+02
7.084233e+02,6.946202e-01,1.000707e+02
7.303299e+02,7.083663e-01,9.922673e+01
7.529139e+02,7.224853e-01,9.837674e+01
7.761963e+02,7.369617e-01,9.752299e+01
8.001987e+02,7.518291e-01,9.666139e+01
8.249432e+02,7.671050e-01,9.578318e+01
8.504530e+02,7.827929e-01,9.488701e+01
8.767516e+02,7.989120e-01,9.397340e+01
9.038634e+02,8.154845e-01,9.304353e+01
9.318136e+02,8.324727e-01,9.210779e+01
9.606281e+02,8.499291e-01,9.117102e+01
9.903337e+02,8.678074e-01,9.023773e+01
1.020958e+03,8.861518e-01,8.930628e+01
1.052529e+03,9.049649e-01,8.837635e+01
1.085076e+03,9.243016e-01,8.743848e+01
1.118630e+03,9.441725e-01,8.648658e+01
1.153222e+03,9.645738e-01,8.552070e+01
1.188883e+03,9.855056e-01,8.454152e+01
1.225647e+03,1.007019e+00,8.354852e+01
1.263547e+03,1.029122e+00,8.254359e+01
1.302620e+03,1.051817e+00,8.153217e+01
1.342901e+03,1.075070e+00,8.052361e+01
1.384428e+03,1.098999e+00,7.951143e+01
1.427238e+03,1.123545e+00,7.849022e+01
1.471373e+03,1.148775e+00,7.745753e+01
1.516872e+03,1.174709e+00,7.641441e+01
1.563779e+03,1.201298e+00,7.536409e+01
1.612135e+03,1.228642e+00,7.430549e+01
1.661988e+03,1.256654e+00,7.324188e+01
1.713381e+03,1.285535e+00,7.217035e+01
1.766364e+03,1.315098e+00,7.109635e+01
1.820986e+03,1.345554e+00,7.001742e+01
1.877296e+03,1.376686e+00,6.893908e+01
1.935348e+03,1.408746e+00,6.785723e+01
1.995195e+03,1.441675e+00,6.677430e+01
2.056892e+03,1.475367e+00,6.569401e+01
2.120497e+03,1.510126e+00,6.461222e+01
2.186070e+03,1.545839e+00,6.353160e+01
2.253670e+03,1.582517e+00,6.245390e+01
2.323360e+03,1.620163e+00,6.138043e+01
2.395205e+03,1.658565e+00,6.031510e+01
2.469272e+03,1.698319e+00,5.925063e+01
2.545630e+03,1.738876e+00,5.819601e+01
2.624348e+03,1.780646e+00,5.714624e+01
2.705501e+03,1.823506e+00,5.610467e+01
2.789163e+03,1.867758e+00,5.506801e+01
2.875413e+03,1.912526e+00,5.404728e+01
2.964329e+03,1.959221e+00,5.302801e+01
3.055995e+03,2.006954e+00,5.202059e+01
3.150496e+03,2.055798e+00,5.102505e+01
3.247919e+03,2.105766e+00,5.004135e+01
3.348355e+03,2.157411e+00,4.906563e+01
3.451896e+03,2.210566e+00,4.810035e+01
3.558639e+03,2.264628e+00,4.715048e+01
3.668683e+03,2.320291e+00,4.621014e+01
3.782130e+03,2.377598e+00,4.528116e+01
3.899085e+03,2.436415e+00,4.436488e+01
4.019656e+03,2.496382e+00,4.357722e+01
4.143956e+03,2.557709e+00,4.287770e+01
