energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,6.783291e+01,4.799175e-01
7.216461e+01,5.703410e+01,5.794994e-01
7.439616e+01,4.949736e+01,6.778931e-01
7.669672e+01,4.394133e+01,7.752057e-01
7.906841e+01,3.967837e+01,8.715365e-01
8.151345e+01,3.630634e+01,9.669780e-01
8.403409e+01,3.357439e+01,1.061617e+00
8.663268e+01,3.131802e+01,1.155528e+00
8.931163e+01,2.943055e+01,1.248490e+00
9.207342e+01,2.783522e+01,1.340283e+00
9.492061e+01,2.647143e+01,1.430961e+00
9.785584e+01,2.529416e+01,1.520587e+00
1.008818e+02,2.426940e+01,1.609222e+00
1.040014e+02,2.337096e+01,1.696928e+00
1.072175e+02,2.258356e+01,1.783226e+00
1.105329e+02,2.190781e+01,1.866122e+00
1.139510e+02,2.132888e+01,1.945300e+00
1.174747e+02,2.083168e+01,2.020867e+00
1.211073e+02,2.040420e+01,2.092932e+00
1.248524e+02,2.003723e+01,2.161531e+00
1.287132e+02,1.972742e+01,2.226026e+00
1.326934e+02,1.946962e+01,2.286181e+00
1.367967e+02,1.925742e+01,2.342158e+00
1.410268e+02,1.908552e+01,2.394117e+00
1.453878e+02,1.894956e+01,2.442210e+00
1.498836e+02,1.884588e+01,2.486589e+00
1.545185e+02,1.877143e+01,2.527391e+00
1.592967e+02,1.872464e+01,2.564533e+00
1.642226e+02,1.870407e+01,2.597959e+00
1.693009e+02,1.870764e+01,2.627823e+00
1.745362e+02,1.873358e+01,2.654284e+00
1.799334e+02,1.878035e+01,2.677493e+00
1.854975e+02,1.884666e+01,2.697596e+00
1.912336e+02,1.893149e+01,2.714709e+00
1.971471e+02,1.903549e+01,2.728532e+00
2.032435e+02,1.915903e+01,2.738868e+00
2.095284e+02,1.930111e+01,2.745912e+00
2.160077e+02,1.946088e+01,2.749857e+00
2.226873e+02,1.963760e+01,2.750884e+00
2.295735e+02,1.983152e+01,2.748921e+00
2.366726e+02,2.004277e+01,2.743949e+00
2.439912e+02,2.027079e+01,2.736167e+00
2.515362e+02,2.051512e+01,2.725762e+00
2.593144e+02,2.077545e+01,2.712894e+00
2.673332e+02,2.105178e+01,2.697641e+00
2.756000e+02,2.050795e+01,2.940660e+00
2.841224e+02,1.963228e+01,3.318646e+00
2.929083e+02,1.884490e+01,3.702331e+00
3.019659e+02,1.813648e+01,4.090436e+00
3.113036e+02,1.750158e+01,4.480352e+00
3.209301e+02,1.694309e+01,4.864787e+00
3.308542e+02,1.645271e+01,5.241950e+00
3.410852e+02,1.602194e+01,5.610933e+00
3.516326e+02,1.565854e+01,5.960467e+00
3.625062e+02,1.536016e+01,6.284946e+00
3.737160e+02,1.510664e+01,6.594006e+00
3.852724e+02,1.486266e+01,6.912991e+00
3.971862e+02,1.462678e+01,7.243055e+00
4.094684e+02,1.442311e+01,7.561287e+00
4.221304e+02,1.425825e+01,7.856988e+00
4.351840e+02,1.412879e+01,8.129664e+00
4.486412e+02,1.403343e+01,8.377228e+00
4.625145e+02,1.396849e+01,8.600590e+00
4.768169e+02,1.393023e+01,8.801488e+00
4.915615e+02,1.391486e+01,8.982276e+00
5.067621e+02,1.392064e+01,9.143756e+00
5.224327e+02,1.394616e+01,9.286671e+00
5.385879e+02,1.398944e+01,9.412297e+00
5.552427e+02,1.404884e+01,9.521803e+00
5.724125e+02,1.412440e+01,9.615030e+00
5.901132e+02,1.421732e+01,9.690707e+00
6.083613e+02,1.432265e+01,9.752436e+00
6.271737e+02,1.444436e+01,9.798030e+00
6.465678e+02,1.457958e+01,9.829886e+00
6.665617e+02,1.472723e+01,9.849210e+00
6.871738e+02,1.488684e+01,9.856804e+00
7.084233e+02,1.505937e+01,9.852640e+00
7.303299e+02,1.524441e+01,9.837552e+00
7.529139e+02,1.544152e+01,9.812388e+00
7.761963e+02,1.564828e+01,9.779049e+00
8.001987e+02,1.586708e+01,9.736629e+00
8.249432e+02,1.609758e+01,9.685559e+00
8.504530e+02,1.633892e+01,9.626815e+00
8.767516e+02,1.659172e+01,9.560637e+00
9.038634e+02,1.685509e+01,9.488043e+00
9.318136e+02,1.712995e+01,9.409024e+00
9.606281e+02,1.741781e+01,9.323403e+00
9.903337e+02,1.771619e+01,9.232832e+00
1.020958e+03,1.802353e+01,9.138459e+00
1.052529e+03,1.834447e+01,9.038801e+00
1.085076e+03,1.867279e+01,8.936779e+00
1.118630e+03,1.901571e+01,8.829950e+00
1.153222e+03,1.937554e+01,8.717894e+00
1.188883e+03,1.974094e+01,8.605261e+00
1.225647e+03,2.012050e+01,8.489426e+00
1.263547e+03,2.050954e+01,8.372329e+00
1.302620e+03,2.091339e+01,8.252527e+00
1.342901e+03,2.132313e+01,8.132957e+00
1.384428e+03,2.176123e+01,8.007385e+00
1.427238e+03,2.219781e+01,7.884992e+00
1.471373e+03,2.264013e+01,7.763645e+00
1.516872e+03,2.311122e+01,7.637553e+00
1.563779e+03,2.358974e+01,7.512629e+00
1.612135e+03,2.408169e+01,7.387529e+00
1.661988e+03,2.459607e+01,7.260474e+00
1.713381e+03,2.512642e+01,7.133294e+00
1.766364e+03,2.565529e+01,7.009833e+00
1.820986e+03,2.619591e+01,6.887290e+00
1.877296e+03,2.677357e+01,6.761034e+00
1.935348e+03,2.736662e+01,6.635659e+00
1.995195e+03,2.795848e+01,6.514179e+00
2.056892e+03,2.854745e+01,6.396651e+00
2.120497e+03,2.922004e+01,6.269149e+00
2.186070e+03,2.985223e+01,6.151973e+00
2.253670e+03,3.050615e+01,6.035086e+00
2.323360e+03,3.121177e+01,5.914551e+00
2.395205e+03,3.191662e+01,5.798078e+00
2.469272e+03,3.258871e+01,5.689468e+00
2.545630e+03,3.336203e+01,5.571729e+00
2.624348e+03,3.414415e+01,5.457048e+00
2.705501e+03,3.492706e+01,5.346176e+00
2.789163e+03,3.570834e+01,5.239164e+00
2.875413e+03,3.648573e+01,5.136014e+00
2.964329e+03,3.741542e+01,5.021361e+00
3.055995e+03,3.818537e+01,4.925817e+00
3.150496e+03,3.912001e+01,4.818524e+00
3.247919e+03,4.005842e+01,4.714863e+00
3.348355e+03,4.099865e+01,4.614779e+00
3.451896e+03,4.193762e+01,4.518305e+00
3.558639e+03,4.287352e+01,4.425355e+00
3.668683e+03,4.398142e+01,4.323450e+00
3.782130e+03,4.496469e+01,4.233864e+00
3.899085e+03,4.612918e+01,4.135704e+00
4.019656e+03,4.705582e+01,4.055870e+00
4.143956e+03,4.823723e+01,3.963587e+00
4.272100e+03,4.942459e+01,3.874518e+00
4.404207e+03,5.060213e+01,3.800296e+00
4.540398e+03,5.177899e+01,3.730069e+00
4.680801e+03,5.295209e+01,3.661971e+00
4.825546e+03,5.412082e+01,3.596102e+00
4.974766e+03,5.567410e+01,3.515048e+00
5.128601e+03,5.683677e+01,3.453371e+00
5.287193e+03,5.842584e+01,3.376239e+00
5.450689e+03,5.957116e+01,3.318952e+00
