energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.257727e+00,2.594286e+01
7.216461e+01,1.035296e+00,3.203403e+01
7.439616e+01,8.849853e-01,3.807515e+01
7.669672e+01,7.793987e-01,4.390076e+01
7.906841e+01,7.027474e-01,4.941018e+01
8.151345e+01,6.456532e-01,5.454119e+01
8.403409e+01,6.022532e-01,5.926284e+01
8.663268e+01,5.687108e-01,6.356993e+01
8.931163e+01,5.429379e-01,6.739943e+01
9.207342e+01,5.233488e-01,7.071669e+01
9.492061e+01,5.082905e-01,7.359042e+01
9.785584e+01,4.967427e-01,7.606138e+01
1.008818e+02,4.880579e-01,7.815043e+01
1.040014e+02,4.817424e-01,7.988081e+01
1.072175e+02,4.776391e-01,8.122517e+01
1.105329e+02,4.753393e-01,8.223038e+01
1.139510e+02,4.744845e-01,8.295039e+01
1.174747e+02,4.748768e-01,8.341288e+01
1.211073e+02,4.764076e-01,8.363074e+01
1.248524e+02,4.789189e-01,8.363576e+01
1.287132e+02,4.822819e-01,8.345697e+01
1.326934e+02,4.864020e-01,8.311755e+01
1.367967e+02,4.912018e-01,8.263840e+01
1.410268e+02,4.966150e-01,8.203897e+01
1.453878e+02,5.025813e-01,8.133813e+01
1.498836e+02,5.090577e-01,8.055066e+01
1.545185e+02,5.160088e-01,7.968955e+01
1.592967e+02,5.233920e-01,7.877021e+01
1.642226e+02,5.311678e-01,7.780715e+01
1.693009e+02,5.393059e-01,7.681216e+01
1.745362e+02,5.477712e-01,7.579819e+01
1.799334e+02,5.565319e-01,7.477708e+01
1.854975e+02,5.652898e-01,7.383696e+01
1.912336e+02,5.721595e-01,7.351887e+01
1.971471e+02,5.764635e-01,7.401033e+01
2.032435e+02,5.833580e-01,7.379404e+01
2.095284e+02,5.907302e-01,7.350517e+01
2.160077e+02,5.946837e-01,7.431018e+01
2.226873e+02,5.894820e-01,7.802442e+01
2.295735e+02,5.804745e-01,8.316080e+01
2.366726e+02,5.768736e-01,8.665770e+01
2.439912e+02,5.771902e-01,8.887581e+01
2.515362e+02,5.803011e-01,9.014794e+01
2.593144e+02,5.849884e-01,9.089936e+01
2.673332e+02,5.907816e-01,9.130015e+01
2.756000e+02,5.975348e-01,9.140616e+01
2.841224e+02,6.051365e-01,9.126292e+01
2.929083e+02,6.135019e-01,9.090859e+01
3.019659e+02,6.225589e-01,9.037681e+01
3.113036e+02,6.322462e-01,8.969828e+01
3.209301e+02,6.425208e-01,8.889649e+01
3.308542e+02,6.533479e-01,8.799191e+01
3.410852e+02,6.646692e-01,8.701347e+01
3.516326e+02,6.764732e-01,8.597210e+01
3.625062e+02,6.887475e-01,8.487803e+01
3.737160e+02,7.014665e-01,8.374708e+01
3.852724e+02,7.146361e-01,8.258253e+01
3.971862e+02,7.282746e-01,8.138342e+01
4.094684e+02,7.423734e-01,8.015797e+01
4.221304e+02,7.569227e-01,7.891578e+01
4.351840e+02,7.719224e-01,7.766188e+01
4.486412e+02,7.873982e-01,7.639203e+01
4.625145e+02,8.033453e-01,7.511327e+01
4.768169e+02,8.197646e-01,7.383061e+01
4.915615e+02,8.366620e-01,7.254701e+01
5.067621e+02,8.540406e-01,7.126595e+01
5.224327e+02,8.719025e-01,6.999176e+01
5.385879e+02,8.902443e-01,6.872931e+01
5.552427e+02,9.090820e-01,6.747966e+01
5.724125e+02,9.284146e-01,6.624536e+01
5.901132e+02,9.482580e-01,6.502616e+01
6.083613e+02,9.686255e-01,6.382250e+01
6.271737e+02,9.895193e-01,6.263643e+01
6.465678e+02,1.010958e+00,6.146785e+01
6.665617e+02,1.032956e+00,6.031733e+01
6.871738e+02,1.055519e+00,5.918562e+01
7.084233e+02,1.078651e+00,5.807446e+01
7.303299e+02,1.102370e+00,5.698665e+01
7.529139e+02,1.126664e+00,5.592874e+01
7.761963e+02,1.151526e+00,5.490321e+01
8.001987e+02,1.176946e+00,5.391767e+01
8.249432e+02,1.202951e+00,5.297192e+01
8.504530e+02,1.229499e+00,5.207464e+01
8.767516e+02,1.256549e+00,5.123706e+01
9.038634e+02,1.284176e+00,5.044904e+01
9.318136e+02,1.312334e+00,4.971791e+01
9.606281e+02,1.341089e+00,4.903353e+01
9.903337e+02,1.370447e+00,4.838977e+01
1.020958e+03,1.400441e+00,4.778569e+01
1.052529e+03,1.431089e+00,4.721643e+01
1.085076e+03,1.462406e+00,4.667937e+01
1.118630e+03,1.494470e+00,4.616473e+01
1.153222e+03,1.527292e+00,4.567193e+01
1.188883e+03,1.560901e+00,4.519355e+01
1.225647e+03,1.595283e+00,4.472805e+01
1.263547e+03,1.630658e+00,4.426565e+01
1.302620e+03,1.666846e+00,4.380887e+01
1.342901e+03,1.703993e+00,4.335416e+01
