energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,4.651710e+00,7.007751e+00
7.216461e+01,3.843254e+00,8.620564e+00
7.439616e+01,3.269968e+00,1.030048e+01
7.669672e+01,2.841092e+00,1.205640e+01
7.906841e+01,2.509407e+00,1.388473e+01
8.151345e+01,2.245670e+00,1.578568e+01
8.403409e+01,2.030558e+00,1.776668e+01
8.663268e+01,1.851523e+00,1.983464e+01
8.931163e+01,1.701532e+00,2.197367e+01
9.207342e+01,1.574467e+00,2.417932e+01
9.492061e+01,1.465381e+00,2.645587e+01
9.785584e+01,1.371368e+00,2.878945e+01
1.008818e+02,1.290107e+00,3.116474e+01
1.040014e+02,1.219277e+00,3.358023e+01
1.072175e+02,1.156999e+00,3.603803e+01
1.105329e+02,1.101948e+00,3.853436e+01
1.139510e+02,1.053558e+00,4.104036e+01
1.174747e+02,1.010867e+00,4.354923e+01
1.211073e+02,9.729766e-01,4.606154e+01
1.248524e+02,9.394861e-01,4.855556e+01
1.287132e+02,9.102003e-01,5.099651e+01
1.326934e+02,8.845999e-01,5.337517e+01
1.367967e+02,8.625720e-01,5.565378e+01
1.410268e+02,8.438851e-01,5.780552e+01
1.453878e+02,8.281288e-01,5.982580e+01
1.498836e+02,8.149320e-01,6.171446e+01
1.545185e+02,8.039800e-01,6.347313e+01
1.592967e+02,7.949974e-01,6.510579e+01
1.642226e+02,7.879893e-01,6.658611e+01
1.693009e+02,7.829314e-01,6.789278e+01
1.745362e+02,7.796233e-01,6.903130e+01
1.799334e+02,7.778785e-01,7.001041e+01
1.854975e+02,7.776796e-01,7.081785e+01
1.912336e+02,7.790449e-01,7.143819e+01
1.971471e+02,7.818195e-01,7.188535e+01
2.032435e+02,7.859315e-01,7.216347e+01
2.095284e+02,7.913258e-01,7.227653e+01
2.160077e+02,7.978811e-01,7.224169e+01
2.226873e+02,8.055907e-01,7.205883e+01
2.295735e+02,8.144654e-01,7.172641e+01
2.366726e+02,8.243690e-01,7.126954e+01
2.439912e+02,8.351148e-01,7.072293e+01
2.515362e+02,8.466363e-01,7.010088e+01
2.593144e+02,8.588854e-01,6.941478e+01
2.673332e+02,8.717631e-01,6.868497e+01
2.756000e+02,8.852375e-01,6.791988e+01
2.841224e+02,8.993007e-01,6.712373e+01
2.929083e+02,9.139578e-01,6.629852e+01
3.019659e+02,9.292433e-01,6.544137e+01
3.113036e+02,9.451510e-01,6.455662e+01
3.209301e+02,9.616548e-01,6.365202e+01
3.308542e+02,9.787501e-01,6.273147e+01
3.410852e+02,9.964232e-01,6.180037e+01
3.516326e+02,1.014656e+00,6.086452e+01
3.625062e+02,1.033447e+00,5.992717e+01
3.737160e+02,1.052772e+00,5.899490e+01
3.852724e+02,1.072632e+00,5.806975e+01
3.971862e+02,1.093026e+00,5.715413e+01
4.094684e+02,1.113936e+00,5.625359e+01
4.221304e+02,1.135342e+00,5.537287e+01
4.351840e+02,1.157226e+00,5.451676e+01
4.486412e+02,1.179585e+00,5.368702e+01
4.625145e+02,1.202409e+00,5.288683e+01
4.768169e+02,1.225685e+00,5.211909e+01
4.915615e+02,1.249408e+00,5.138588e+01
5.067621e+02,1.273583e+00,5.068691e+01
5.224327e+02,1.298249e+00,5.001729e+01
5.385879e+02,1.323411e+00,4.937749e+01
5.552427e+02,1.349069e+00,4.876829e+01
5.724125e+02,1.375237e+00,4.818896e+01
5.901132e+02,1.401916e+00,4.764010e+01
6.083613e+02,1.429107e+00,4.712264e+01
6.271737e+02,1.456847e+00,4.663200e+01
6.465678e+02,1.485196e+00,4.616085e+01
6.665617e+02,1.514166e+00,4.570919e+01
6.871738e+02,1.543766e+00,4.527704e+01
7.084233e+02,1.574012e+00,4.486383e+01
7.303299e+02,1.604921e+00,4.446914e+01
7.529139e+02,1.636525e+00,4.408936e+01
7.761963e+02,1.668907e+00,4.371589e+01
8.001987e+02,1.702090e+00,4.334769e+01
8.249432e+02,1.736108e+00,4.298247e+01
8.504530e+02,1.771000e+00,4.261794e+01
8.767516e+02,1.806785e+00,4.225414e+01
9.038634e+02,1.843487e+00,4.189148e+01
9.318136e+02,1.881121e+00,4.153027e+01
9.606281e+02,1.919713e+00,4.117041e+01
9.903337e+02,1.959317e+00,4.080813e+01
1.020958e+03,1.999984e+00,4.044053e+01
1.052529e+03,2.041737e+00,4.006783e+01
1.085076e+03,2.084604e+00,3.969021e+01
1.118630e+03,2.128626e+00,3.930716e+01
1.153222e+03,2.173824e+00,3.891904e+01
1.188883e+03,2.220233e+00,3.852615e+01
1.225647e+03,2.267886e+00,3.812874e+01
1.263547e+03,2.316811e+00,3.772701e+01
1.302620e+03,2.367038e+00,3.732135e+01
1.342901e+03,2.418606e+00,3.691271e+01
1.384428e+03,2.471526e+00,3.650207e+01
1.427238e+03,2.525846e+00,3.608963e+01
1.471373e+03,2.581599e+00,3.567563e+01
1.516872e+03,2.638820e+00,3.525975e+01
1.563779e+03,2.697573e+00,3.484110e+01
1.612135e+03,2.757886e+00,3.441980e+01
1.661988e+03,2.819812e+00,3.399516e+01
1.713381e+03,2.883411e+00,3.356734e+01
1.766364e+03,2.948695e+00,3.313721e+01
1.820986e+03,3.015711e+00,3.270617e+01
1.877296e+03,3.084495e+00,3.227408e+01
1.935348e+03,3.155155e+00,3.183828e+01
1.995195e+03,3.227710e+00,3.139838e+01
2.056892e+03,3.302255e+00,3.095462e+01
2.120497e+03,3.378792e+00,3.050711e+01
2.186070e+03,3.457425e+00,3.005616e+01
2.253670e+03,3.538143e+00,2.960277e+01
2.323360e+03,3.621087e+00,2.914723e+01
2.395205e+03,3.706250e+00,2.869040e+01
2.469272e+03,3.793731e+00,2.823265e+01
2.545630e+03,3.883521e+00,2.777486e+01
2.624348e+03,3.975703e+00,2.731742e+01
2.705501e+03,4.070411e+00,2.686059e+01
2.789163e+03,4.167597e+00,2.640521e+01
2.875413e+03,4.267461e+00,2.595120e+01
2.964329e+03,4.369980e+00,2.549928e+01
3.055995e+03,4.475104e+00,2.504991e+01
3.150496e+03,4.583194e+00,2.460264e+01
3.247919e+03,4.694067e+00,2.415835e+01
3.348355e+03,4.807963e+00,2.371692e+01
3.451896e+03,4.924837e+00,2.327899e+01
