energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.673219e+00,1.947134e+01
7.216461e+01,1.394597e+00,2.373039e+01
7.439616e+01,1.199703e+00,2.802177e+01
7.669672e+01,1.056134e+00,3.233520e+01
7.906841e+01,9.457380e-01,3.668487e+01
8.151345e+01,8.581909e-01,4.107555e+01
8.403409e+01,7.870876e-01,4.550965e+01
8.663268e+01,7.281850e-01,4.999196e+01
8.931163e+01,6.785360e-01,5.453193e+01
9.207342e+01,6.364494e-01,5.909681e+01
9.492061e+01,6.005998e-01,6.365546e+01
9.785584e+01,5.698571e-01,6.819066e+01
1.008818e+02,5.433335e-01,7.268829e+01
1.040014e+02,5.203399e-01,7.713418e+01
1.072175e+02,5.002610e-01,8.152959e+01
1.105329e+02,4.825576e-01,8.588976e+01
1.139510e+02,4.668454e-01,9.022132e+01
1.174747e+02,4.528571e-01,9.451981e+01
1.211073e+02,4.404053e-01,9.877096e+01
1.248524e+02,4.292913e-01,1.029736e+02
1.287132e+02,4.193218e-01,1.071369e+02
1.326934e+02,4.104106e-01,1.112419e+02
1.367967e+02,4.025823e-01,1.152274e+02
1.410268e+02,3.957427e-01,1.190790e+02
1.453878e+02,3.899474e-01,1.227183e+02
1.498836e+02,3.851637e-01,1.261043e+02
1.545185e+02,3.813992e-01,1.291777e+02
1.592967e+02,3.786151e-01,1.319063e+02
1.642226e+02,3.768589e-01,1.342136e+02
1.693009e+02,3.763804e-01,1.359067e+02
1.745362e+02,3.770972e-01,1.369884e+02
1.799334e+02,3.788341e-01,1.375342e+02
1.854975e+02,3.814343e-01,1.376240e+02
1.912336e+02,3.847796e-01,1.373245e+02
1.971471e+02,3.887990e-01,1.366793e+02
2.032435e+02,3.934046e-01,1.357474e+02
2.095284e+02,3.985212e-01,1.345828e+02
2.160077e+02,4.040903e-01,1.332300e+02
2.226873e+02,4.100948e-01,1.317073e+02
2.295735e+02,4.165093e-01,1.300394e+02
2.366726e+02,4.232821e-01,1.282679e+02
2.439912e+02,4.303803e-01,1.264218e+02
2.515362e+02,4.377808e-01,1.245231e+02
2.593144e+02,4.454611e-01,1.225924e+02
2.673332e+02,4.534043e-01,1.206467e+02
2.756000e+02,4.615951e-01,1.187007e+02
2.841224e+02,4.700231e-01,1.167657e+02
2.929083e+02,4.786801e-01,1.148512e+02
3.019659e+02,4.875651e-01,1.129614e+02
3.113036e+02,4.966814e-01,1.110980e+02
3.209301e+02,5.060340e-01,1.092615e+02
3.308542e+02,5.156262e-01,1.074533e+02
3.410852e+02,5.254653e-01,1.056725e+02
3.516326e+02,5.355645e-01,1.039148e+02
3.625062e+02,5.459299e-01,1.021803e+02
3.737160e+02,5.565669e-01,1.004697e+02
3.852724e+02,5.674823e-01,9.878298e+01
3.971862e+02,5.786822e-01,9.712043e+01
4.094684e+02,5.901722e-01,9.548268e+01
4.221304e+02,6.019614e-01,9.386867e+01
4.351840e+02,6.140595e-01,9.227692e+01
4.486412e+02,6.264733e-01,9.070771e+01
4.625145e+02,6.392103e-01,8.916122e+01
4.768169e+02,6.522818e-01,8.763571e+01
4.915615e+02,6.656983e-01,8.612959e+01
5.067621e+02,6.794687e-01,8.464281e+01
5.224327e+02,6.936039e-01,8.317423e+01
5.385879e+02,7.081178e-01,8.172138e+01
5.552427e+02,7.230217e-01,8.028333e+01
5.724125e+02,7.383275e-01,7.885943e+01
5.901132e+02,7.540434e-01,7.745045e+01
6.083613e+02,7.701791e-01,7.605710e+01
6.271737e+02,7.867418e-01,7.468098e+01
6.465678e+02,8.037317e-01,7.332729e+01
6.665617e+02,8.211517e-01,7.200027e+01
6.871738e+02,8.389993e-01,7.070524e+01
7.084233e+02,8.572635e-01,6.945243e+01
7.303299e+02,8.758578e-01,6.828615e+01
7.529139e+02,8.946726e-01,6.725863e+01
7.761963e+02,9.136841e-01,6.637693e+01
8.001987e+02,9.329481e-01,6.561284e+01
8.249432e+02,9.525382e-01,6.493205e+01
8.504530e+02,9.725404e-01,6.429648e+01
8.767516e+02,9.930027e-01,6.368847e+01
9.038634e+02,1.013945e+00,6.310327e+01
9.318136e+02,1.035382e+00,6.253909e+01
9.606281e+02,1.057332e+00,6.199213e+01
