energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.616073e+00,2.005523e+01
7.216461e+01,1.417033e+00,2.316037e+01
7.439616e+01,1.282682e+00,2.589300e+01
7.669672e+01,1.187824e+00,2.827896e+01
7.906841e+01,1.118010e+00,3.037204e+01
8.151345e+01,1.065245e+00,3.220980e+01
8.403409e+01,1.024849e+00,3.381521e+01
8.663268e+01,9.936985e-01,3.521077e+01
8.931163e+01,9.691340e-01,3.644131e+01
9.207342e+01,9.495773e-01,3.753306e+01
9.492061e+01,9.340986e-01,3.849793e+01
9.785584e+01,9.220400e-01,3.934420e+01
1.008818e+02,9.128720e-01,4.008070e+01
1.040014e+02,9.061774e-01,4.071570e+01
1.072175e+02,9.016340e-01,4.125627e+01
1.105329e+02,8.989839e-01,4.170887e+01
1.139510e+02,8.979893e-01,4.208150e+01
1.174747e+02,8.984040e-01,4.238527e+01
1.211073e+02,9.000763e-01,4.262653e+01
1.248524e+02,9.028617e-01,4.281251e+01
1.287132e+02,9.066701e-01,4.294746e+01
1.326934e+02,9.114317e-01,4.303485e+01
1.367967e+02,9.170887e-01,4.307783e+01
1.410268e+02,9.235877e-01,4.307969e+01
1.453878e+02,9.308772e-01,4.304403e+01
1.498836e+02,9.389223e-01,4.297346e+01
1.545185e+02,9.476951e-01,4.287027e+01
1.592967e+02,9.571721e-01,4.273661e+01
1.642226e+02,9.673339e-01,4.257451e+01
1.693009e+02,9.781713e-01,4.238525e+01
1.745362e+02,9.897032e-01,4.216785e+01
1.799334e+02,1.001921e+00,4.192384e+01
1.854975e+02,1.014816e+00,4.165505e+01
1.912336e+02,1.028379e+00,4.136322e+01
1.971471e+02,1.042605e+00,4.104999e+01
2.032435e+02,1.057491e+00,4.071691e+01
2.095284e+02,1.073059e+00,4.036325e+01
2.160077e+02,1.089383e+00,3.998381e+01
2.226873e+02,1.106472e+00,3.957963e+01
2.295735e+02,1.124326e+00,3.915234e+01
2.366726e+02,1.142875e+00,3.871029e+01
2.439912e+02,1.162028e+00,3.826320e+01
2.515362e+02,1.178472e+00,3.810909e+01
2.593144e+02,1.177480e+00,3.958277e+01
2.673332e+02,1.170396e+00,4.168287e+01
2.756000e+02,1.167232e+00,4.346730e+01
2.841224e+02,1.168321e+00,4.487422e+01
2.929083e+02,1.172730e+00,4.597802e+01
3.019659e+02,1.180024e+00,4.681249e+01
3.113036e+02,1.189810e+00,4.741343e+01
3.209301e+02,1.201747e+00,4.781549e+01
3.308542e+02,1.215601e+00,4.804479e+01
3.410852e+02,1.231175e+00,4.812492e+01
3.516326e+02,1.248312e+00,4.807653e+01
3.625062e+02,1.266857e+00,4.792081e+01
3.737160e+02,1.286573e+00,4.768808e+01
3.852724e+02,1.307371e+00,4.739174e+01
3.971862e+02,1.329221e+00,4.703919e+01
4.094684e+02,1.352092e+00,4.663729e+01
4.221304e+02,1.375935e+00,4.619538e+01
