energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,8.970065e+00,3.667302e+00
7.216461e+01,7.206349e+00,4.639435e+00
7.439616e+01,6.074928e+00,5.590236e+00
7.669672e+01,5.296487e+00,6.509862e+00
7.906841e+01,4.727109e+00,7.403656e+00
8.151345e+01,4.284124e+00,8.292914e+00
8.403409e+01,3.925383e+00,9.190346e+00
8.663268e+01,3.624540e+00,1.011103e+01
8.931163e+01,3.361703e+00,1.108299e+01
9.207342e+01,3.125649e+00,1.212998e+01
9.492061e+01,2.911209e+00,1.326576e+01
9.785584e+01,2.714456e+00,1.450631e+01
1.008818e+02,2.535018e+00,1.584970e+01
1.040014e+02,2.373706e+00,1.727868e+01
1.072175e+02,2.227826e+00,1.880018e+01
1.105329e+02,2.095732e+00,2.041503e+01
1.139510e+02,1.977291e+00,2.210468e+01
1.174747e+02,1.870683e+00,2.386977e+01
1.211073e+02,1.775826e+00,2.568350e+01
1.248524e+02,1.691675e+00,2.753088e+01
1.287132e+02,1.616656e+00,2.941032e+01
1.326934e+02,1.549401e+00,3.132249e+01
1.367967e+02,1.488753e+00,3.326964e+01
1.410268e+02,1.434784e+00,3.521987e+01
1.453878e+02,1.387645e+00,3.713173e+01
1.498836e+02,1.346459e+00,3.899820e+01
1.545185e+02,1.310427e+00,4.081585e+01
1.592967e+02,1.278854e+00,4.258334e+01
1.642226e+02,1.251391e+00,4.428812e+01
1.693009e+02,1.227855e+00,4.591123e+01
1.745362e+02,1.207774e+00,4.745180e+01
1.799334e+02,1.190931e+00,4.889824e+01
1.854975e+02,1.178150e+00,5.017299e+01
1.912336e+02,1.169048e+00,5.127359e+01
1.971471e+02,1.163032e+00,5.221846e+01
2.032435e+02,1.160215e+00,5.298109e+01
2.095284e+02,1.160492e+00,5.355363e+01
2.160077e+02,1.163173e+00,5.397763e+01
2.226873e+02,1.167937e+00,5.427106e+01
2.295735e+02,1.174614e+00,5.444272e+01
2.366726e+02,1.183321e+00,5.447972e+01
2.439912e+02,1.193934e+00,5.439050e+01
2.515362e+02,1.206118e+00,5.420326e+01
2.593144e+02,1.219474e+00,5.395271e+01
2.673332e+02,1.233915e+00,5.364759e+01
2.756000e+02,1.249395e+00,5.329327e+01
2.841224e+02,1.265877e+00,5.289433e+01
2.929083e+02,1.283482e+00,5.244215e+01
3.019659e+02,1.302288e+00,5.193209e+01
3.113036e+02,1.322232e+00,5.137222e+01
3.209301e+02,1.343256e+00,5.077069e+01
3.308542e+02,1.365293e+00,5.013613e+01
3.410852e+02,1.388317e+00,4.947392e+01
3.516326e+02,1.412295e+00,4.878873e+01
3.625062e+02,1.437184e+00,4.808740e+01
3.737160e+02,1.462905e+00,4.737881e+01
3.852724e+02,1.489487e+00,4.666400e+01
3.971862e+02,1.516923e+00,4.594385e+01
4.094684e+02,1.545224e+00,4.522014e+01
4.221304e+02,1.574398e+00,4.449574e+01
4.351840e+02,1.604381e+00,4.377585e+01
4.486412e+02,1.635192e+00,4.306325e+01
4.625145e+02,1.666773e+00,4.236163e+01
4.768169e+02,1.699122e+00,4.167487e+01
4.915615e+02,1.732183e+00,4.100754e+01
5.067621e+02,1.765962e+00,4.036116e+01
5.224327e+02,1.800424e+00,3.973825e+01
